seqnum;now;rtptime;deadline
0;9905730000;9414500000;9914500000
1;9905734000;9414500000;9914500000
2;9905736000;9414500000;9914500000
3;9936194000;9445855555;9945855555
4;9936208000;9445855555;9945855555
5;9936210000;9445855555;9945855555
6;9936221000;9445855555;9945855555
7;9936222000;9445855555;9945855555
8;9936224000;9445855555;9945855555
9;9936225000;9445855555;9945855555
10;9936462000;9445866666;9945866666
11;9936477000;9446200000;9946200000
12;9945204000;9446200000;9946200000
13;9945206000;9446200000;9946200000
14;9977793000;9487500000;9987500000
15;9977796000;9487500000;9987500000
16;9977797000;9487500000;9987500000
17;9977798000;9487500000;9987500000
18;9977799000;9487500000;9987500000
19;9977800000;9487500000;9987500000
21;9977999000;9487522222;9987522222
22;9978014000;9487900000;9987900000
23;9978015000;9487900000;9987900000
24;9978016000;9487900000;9987900000
25;10019358000;9529177777;10029177777
26;10019362000;9529177777;10029177777
27;10019363000;9529177777;10029177777
28;10065504000;9529177777;10029177777
29;10065506000;9529177777;10029177777
30;10065508000;9529177777;10029177777
31;10065509000;9529177777;10029177777
32;10266766000;9529188888;10029188888
36;10266783000;9570844444;10070844444
37;10266784000;9570844444;10070844444
38;10266786000;9570844444;10070844444
39;10266787000;9570844444;10070844444
40;10266788000;9570844444;10070844444
41;10266790000;9570844444;10070844444
42;10266791000;9570844444;10070844444
43;10307590000;9570855555;10070855555
77;10307605000;9696211111;10196211111
78;10307606000;9696211111;10196211111
79;10307607000;9696211111;10196211111
80;10471076000;9737511111;10237511111
159;10700335000;10029188888;10529188888
262;10807134000;10404177777;10904177777
296;10819148000;10529211111;11029211111
297;10819163000;10529477777;11029477777
298;10819165000;10529477777;11029477777
299;10819166000;10529477777;11029477777
300;10843466000;10570866666;11070866666
307;10843667000;10570888888;11070888888
308;10843682000;10571200000;11071200000
309;10843683000;10571200000;11071200000
310;10843684000;10571200000;11071200000
311;10876684000;10612533333;11112533333
312;10876688000;10612533333;11112533333
313;10876689000;10612533333;11112533333
314;10876690000;10612533333;11112533333
315;10876691000;10612533333;11112533333
316;10876692000;10612533333;11112533333
317;10876693000;10612533333;11112533333
318;10876898000;10612577777;11112577777
319;10876914000;10612866666;11112866666
320;10876915000;10612866666;11112866666
321;10876916000;10612866666;11112866666
322;10915941000;10654200000;11154200000
323;10915945000;10654200000;11154200000
324;10915946000;10654200000;11154200000
325;10915947000;10654200000;11154200000
326;10915948000;10654200000;11154200000
327;10915949000;10654200000;11154200000
328;10915950000;10654200000;11154200000
329;10916164000;10654244444;11154244444
330;10916170000;10654522222;11154522222
331;10916172000;10654522222;11154522222
332;10916173000;10654522222;11154522222
333;10956698000;10695855555;11195855555
334;10956702000;10695855555;11195855555
335;10956703000;10695855555;11195855555
336;10956704000;10695855555;11195855555
337;10956705000;10695855555;11195855555
338;10956706000;10695855555;11195855555
339;10956707000;10695855555;11195855555
340;10956912000;10695900000;11195900000
341;10956918000;10696211111;11196211111
342;10956920000;10696211111;11196211111
343;10956921000;10696211111;11196211111
344;10998066000;10737533333;11237533333
345;10998069000;10737533333;11237533333
346;10998070000;10737533333;11237533333
347;10998071000;10737533333;11237533333
348;10998072000;10737533333;11237533333
349;10998073000;10737533333;11237533333
350;10998074000;10737533333;11237533333
351;10998281000;10737577777;11237577777
352;10998287000;10737866666;11237866666
353;10998288000;10737866666;11237866666
354;10998290000;10737866666;11237866666
355;11039621000;10779200000;11279200000
356;11039634000;10779200000;11279200000
357;11039635000;10779200000;11279200000
358;11039636000;10779200000;11279200000
359;11039637000;10779200000;11279200000
360;11039638000;10779200000;11279200000
361;11039639000;10779200000;11279200000
362;11039864000;10779244444;11279244444
363;11039870000;10779522222;11279522222
364;11039871000;10779522222;11279522222
365;11039872000;10779522222;11279522222
366;11081355000;10820866666;11320866666
367;11081359000;10820866666;11320866666
368;11081360000;10820866666;11320866666
369;11081361000;10820866666;11320866666
370;11081362000;10820866666;11320866666
371;11081363000;10820866666;11320866666
372;11081364000;10820866666;11320866666
373;11081562000;10820911111;11320911111
374;11081577000;10821211111;11321211111
375;11081578000;10821211111;11321211111
376;11081579000;10821211111;11321211111
377;11123028000;10862533333;11362533333
378;11123034000;10862533333;11362533333
379;11123037000;10862533333;11362533333
380;11123038000;10862533333;11362533333
381;11123040000;10862533333;11362533333
382;11123041000;10862533333;11362533333
383;11123055000;10862533333;11362533333
384;11123269000;10862577777;11362577777
385;11123285000;10862866666;11362866666
386;11123287000;10862866666;11362866666
387;11123288000;10862866666;11362866666
388;11164733000;10904200000;11404200000
389;11164739000;10904200000;11404200000
390;11164741000;10904200000;11404200000
391;11164743000;10904200000;11404200000
392;11164744000;10904200000;11404200000
393;11164746000;10904200000;11404200000
394;11164747000;10904200000;11404200000
395;11165075000;10904244444;11404244444
396;11165082000;10904522222;11404522222
397;11165083000;10904522222;11404522222
398;11165085000;10904522222;11404522222
399;11207881000;10945844444;11445844444
400;11207888000;10945844444;11445844444
401;11207890000;10945844444;11445844444
402;11207891000;10945844444;11445844444
403;11207893000;10945844444;11445844444
404;11207895000;10945844444;11445844444
405;11207897000;10945844444;11445844444
406;11208839000;10945855555;11445855555
407;11208856000;10946111111;11446111111
408;11208857000;10946111111;11446111111
409;11208859000;10946111111;11446111111
410;11248017000;10987511111;11487511111
411;11248022000;10987511111;11487511111
412;11248024000;10987511111;11487511111
413;11248025000;10987511111;11487511111
414;11248027000;10987511111;11487511111
415;11248029000;10987511111;11487511111
416;11248039000;10987511111;11487511111
417;11248273000;10987522222;11487522222
418;11248288000;10987811111;11487811111
419;11248289000;10987811111;11487811111
420;11248291000;10987811111;11487811111
421;11291828000;11029188888;11529188888
422;11291852000;11029188888;11529188888
423;11291853000;11029188888;11529188888
424;11291854000;11029188888;11529188888
425;11291856000;11029188888;11529188888
426;11291857000;11029188888;11529188888
427;11291859000;11029188888;11529188888
428;11292010000;11029211111;11529211111
429;11292015000;11029488888;11529488888
430;11292017000;11029488888;11529488888
431;11292018000;11029488888;11529488888
432;11331352000;11070844444;11570844444
435;11331511000;11070844444;11570844444
436;11331525000;11070844444;11570844444
437;11331526000;11070844444;11570844444
438;11331528000;11070844444;11570844444
439;11331736000;11070855555;11570855555
