seqnum;now;rtptime;deadline
3;2026594000;1979600000;2479600000
4;2026598000;1979600000;2479600000
5;2026601000;1979600000;2479600000
6;2026602000;1979600000;2479600000
7;2026605000;1979600000;2479600000
8;2026606000;1979600000;2479600000
9;2026608000;1979600000;2479600000
10;2066719000;1979611111;2479611111
11;2066739000;1979933333;2479933333
12;2066742000;1979933333;2479933333
13;2066743000;1979933333;2479933333
14;2108229000;2021244444;2521244444
15;2108236000;2021244444;2521244444
16;2108238000;2021244444;2521244444
17;2108240000;2021244444;2521244444
18;2108241000;2021244444;2521244444
19;2108243000;2021244444;2521244444
20;2108244000;2021244444;2521244444
21;2108390000;2021255555;2521255555
22;2108406000;2021633333;2521633333
23;2108408000;2021633333;2521633333
24;2108410000;2021633333;2521633333
25;2149746000;2062911111;2562911111
26;2149762000;2062911111;2562911111
27;2149764000;2062911111;2562911111
28;2149765000;2062911111;2562911111
29;2149767000;2062911111;2562911111
30;2149769000;2062911111;2562911111
31;2149770000;2062911111;2562911111
32;2149978000;2062922222;2562922222
33;2149994000;2063255555;2563255555
34;2149996000;2063255555;2563255555
35;2149997000;2063255555;2563255555
36;2191112000;2104577777;2604577777
37;2191119000;2104577777;2604577777
38;2191121000;2104577777;2604577777
39;2191123000;2104577777;2604577777
40;2191124000;2104577777;2604577777
41;2191126000;2104577777;2604577777
42;2191128000;2104577777;2604577777
43;2191334000;2104588888;2604588888
44;2191351000;2104922222;2604922222
45;2191352000;2104922222;2604922222
46;2191354000;2104922222;2604922222
47;2232198000;2146244444;2646244444
48;2232205000;2146244444;2646244444
49;2232207000;2146244444;2646244444
50;2232208000;2146244444;2646244444
51;2232219000;2146244444;2646244444
52;2232221000;2146244444;2646244444
53;2232222000;2146244444;2646244444
54;2232428000;2146255555;2646255555
55;2232444000;2146566666;2646566666
56;2232446000;2146566666;2646566666
57;2232447000;2146566666;2646566666
58;2272978000;2187911111;2687911111
59;2272983000;2187911111;2687911111
60;2272985000;2187911111;2687911111
61;2272987000;2187911111;2687911111
62;2272988000;2187911111;2687911111
63;2272989000;2187911111;2687911111
64;2272991000;2187911111;2687911111
66;2273118000;2188222222;2688222222
67;2273123000;2188222222;2688222222
68;2273124000;2188222222;2688222222
69;2313687000;2229577777;2729577777
70;2313693000;2229577777;2729577777
71;2313695000;2229577777;2729577777
72;2313697000;2229577777;2729577777
73;2313698000;2229577777;2729577777
74;2313700000;2229577777;2729577777
75;2313712000;2229577777;2729577777
76;2313934000;2229588888;2729588888
77;2313942000;2229911111;2729911111
78;2313943000;2229911111;2729911111
81;2353770000;2271244444;2771244444
82;2353775000;2271244444;2771244444
83;2353776000;2271244444;2771244444
86;2353778000;2271244444;2771244444
87;2353912000;2271255555;2771255555
88;2353929000;2271566666;2771566666
89;2353931000;2271566666;2771566666
90;2353932000;2271566666;2771566666
91;2393012000;2312911111;2812911111
92;2393016000;2312911111;2812911111
93;2393018000;2312911111;2812911111
94;2393019000;2312911111;2812911111
95;2393021000;2312911111;2812911111
96;2393022000;2312911111;2812911111
97;2393023000;2312911111;2812911111
98;2393248000;2312922222;2812922222
99;2393264000;2313244444;2813244444
100;2393265000;2313244444;2813244444
101;2393266000;2313244444;2813244444
102;2432190000;2354577777;2854577777
103;2432194000;2354577777;2854577777
104;2432196000;2354577777;2854577777
105;2432197000;2354577777;2854577777
106;2432198000;2354577777;2854577777
107;2432200000;2354577777;2854577777
108;2432201000;2354577777;2854577777
109;2432435000;2354588888;2854588888
110;2432451000;2354855555;2854855555
111;2432452000;2354855555;2854855555
112;2432454000;2354855555;2854855555
113;2471144000;2396255555;2896255555
114;2471148000;2396255555;2896255555
115;2471149000;2396255555;2896255555
116;2471151000;2396255555;2896255555
117;2471152000;2396255555;2896255555
118;2471153000;2396255555;2896255555
119;2471155000;2396255555;2896255555
120;2471364000;2396277777;2896277777
121;2471398000;2396566666;2896566666
122;2471400000;2396566666;2896566666
123;2471401000;2396566666;2896566666
124;2509975000;2437922222;2937922222
125;2509979000;2437922222;2937922222
126;2509981000;2437922222;2937922222
127;2509983000;2437922222;2937922222
128;2509984000;2437922222;2937922222
129;2509985000;2437922222;2937922222
130;2509987000;2437922222;2937922222
