seqnum;now;rtptime;deadline;packet_len;payload_len
0;13762359000;13272500000;13772500000;10240;10228
3;13762414000;13303722222;13803722222;10240;10228
4;13762440000;13303722222;13803722222;10240;10228
7;13762444000;13303722222;13803722222;10240;10228
1;13762557000;13272500000;13772500000;10240;10228
2;13762728000;13272500000;13772500000;10240;10228
5;13762921000;13303722222;13803722222;10240;10228
6;13762930000;13303722222;13803722222;10240;10228
8;13962738000;13303722222;13803722222;10240;10228
11;13962766000;13304077777;13804077777;10240;10228
12;13962811000;13304077777;13804077777;10240;10228
13;13962817000;13304077777;13804077777;10240;10228
14;13962828000;13345377777;13845377777;10240;10228
15;13962833000;13345377777;13845377777;10240;10228
16;13962847000;13345377777;13845377777;10240;10228
19;13962853000;13345377777;13845377777;10240;10228
9;13962857000;13303722222;13803722222;10240;10228
10;13963076000;13303744444;13803744444;10240;10228
17;13963105000;13345377777;13845377777;10240;10228
18;13963278000;13345377777;13845377777;10240;10228
21;14163278000;13345388888;13845388888;10240;10228
20;14163375000;13345377777;13845377777;10240;10228
23;14163395000;13345766666;13845766666;10240;10228
24;14163408000;13345766666;13845766666;10240;10228
27;14163418000;13387044444;13887044444;10240;10228
28;14163437000;13387044444;13887044444;10240;10228
30;14163443000;13387044444;13887044444;10240;10228
31;14163451000;13387044444;13887044444;10240;10228
32;14163466000;13387055555;13887055555;10240;10228
33;14163471000;13387388888;13887388888;10240;10228
34;14163478000;13387388888;13887388888;10240;10228
22;14163491000;13345766666;13845766666;10240;10228
25;14163684000;13387044444;13887044444;10240;10228
26;14163703000;13387044444;13887044444;10240;10228
29;14163884000;13387044444;13887044444;10240;10228
35;14363732000;13387388888;13887388888;10240;10228
36;14363748000;13428711111;13928711111;10240;10228
37;14363767000;13428711111;13928711111;10240;10228
40;14363775000;13428711111;13928711111;10240;10228
41;14363793000;13428711111;13928711111;10240;10228
38;14363920000;13428711111;13928711111;10240;10228
44;14363998000;13429044444;13929044444;10240;10228
46;14364007000;13429044444;13929044444;10240;10228
47;14364015000;13470377777;13970377777;10240;10228
48;14364020000;13470377777;13970377777;10240;10228
49;14364025000;13470377777;13970377777;10240;10228
50;14364029000;13470377777;13970377777;10240;10228
51;14364034000;13470377777;13970377777;10240;10228
52;14364039000;13470377777;13970377777;10240;10228
39;14364115000;13428711111;13928711111;10240;10228
42;14364317000;13428711111;13928711111;10240;10228
