seqnum;now;rtptime;deadline
2;31929258000;31289244444;31789244444
3;31960264000;31320422222;31820422222
4;31960271000;31320422222;31820422222
5;31960273000;31320422222;31820422222
6;31960275000;31320422222;31820422222
7;31960277000;31320422222;31820422222
8;32119171000;31320422222;31820422222
9;32119402000;31320422222;31820422222
10;32169705000;31320444444;31820444444
12;32169804000;31320788888;31820788888
13;32169805000;31320788888;31820788888
14;32211126000;31362077777;31862077777
15;32211130000;31362077777;31862077777
17;32359455000;31362077777;31862077777
18;32359459000;31362077777;31862077777
19;32359473000;31362077777;31862077777
20;32359873000;31362077777;31862077777
21;32409944000;31362088888;31862088888
22;32409960000;31362500000;31862500000
23;32409961000;31362500000;31862500000
24;32409962000;31362500000;31862500000
25;32451429000;31403744444;31903744444
26;32451442000;31403744444;31903744444
27;32451443000;31403744444;31903744444
28;32599886000;31403744444;31903744444
31;32599924000;31403744444;31903744444
33;32650618000;31404088888;31904088888
34;32650622000;31404088888;31904088888
35;32650623000;31404088888;31904088888
36;32691590000;31445433333;31945433333
37;32691593000;31445433333;31945433333
38;32691594000;31445433333;31945433333
39;32691596000;31445433333;31945433333
40;32691596000;31445433333;31945433333
41;32691597000;31445433333;31945433333
42;32691598000;31445433333;31945433333
43;32692035000;31445444444;31945444444
46;32840390000;31445844444;31945844444
47;32931437000;31487100000;31987100000
49;32931678000;31487100000;31987100000
50;32931681000;31487100000;31987100000
51;32931692000;31487100000;31987100000
52;32931693000;31487100000;31987100000
53;32931695000;31487100000;31987100000
54;32931913000;31487111111;31987111111
55;32931928000;31487466666;31987466666
56;32931929000;31487466666;31987466666
57;32931930000;31487466666;31987466666
58;32973220000;31528755555;32028755555
59;32973224000;31528755555;32028755555
62;33130763000;31528755555;32028755555
63;33130765000;31528755555;32028755555
66;33130937000;31529055555;32029055555
67;33130940000;31529055555;32029055555
68;33130941000;31529055555;32029055555
69;33172385000;31570411111;32070411111
70;33172388000;31570411111;32070411111
71;33172389000;31570411111;32070411111
72;33172390000;31570411111;32070411111
73;33172391000;31570411111;32070411111
75;33172392000;31570411111;32070411111
76;33172506000;31570433333;32070433333
77;33172512000;31570766666;32070766666
79;33172513000;31570766666;32070766666
80;33371249000;31612088888;32112088888
81;33371257000;31612088888;32112088888
82;33371259000;31612088888;32112088888
83;33371261000;31612088888;32112088888
85;33371263000;31612088888;32112088888
88;33371362000;31612422222;32112422222
89;33371365000;31612422222;32112422222
90;33371366000;31612422222;32112422222
91;33412856000;31653744444;32153744444
94;33412864000;31653744444;32153744444
95;33412866000;31653744444;32153744444
96;33412868000;31653744444;32153744444
97;33412870000;31653744444;32153744444
98;33413030000;31653766666;32153766666
99;33413036000;31654044444;32154044444
100;33413037000;31654044444;32154044444
101;33413038000;31654044444;32154044444
102;33611447000;31695411111;32195411111
111;33611523000;31695688888;32195688888
112;33611526000;31695688888;32195688888
113;33652846000;31737077777;32237077777
114;33652849000;31737077777;32237077777
115;33652851000;31737077777;32237077777
116;33652852000;31737077777;32237077777
117;33652852000;31737077777;32237077777
118;33652853000;31737077777;32237077777
120;33653425000;31737088888;32237088888
121;33653431000;31737411111;32237411111
122;33653433000;31737411111;32237411111
123;33653433000;31737411111;32237411111
124;33694554000;31778744444;32278744444
125;33694557000;31778744444;32278744444
126;33694558000;31778744444;32278744444
132;33852096000;31779055555;32279055555
135;33892921000;31820422222;32320422222
136;33892924000;31820422222;32320422222
137;33892925000;31820422222;32320422222
138;33892926000;31820422222;32320422222
139;33892927000;31820422222;32320422222
140;33892928000;31820422222;32320422222
141;33892947000;31820422222;32320422222
142;33893079000;31820433333;32320433333
143;33893085000;31820744444;32320744444
144;33893086000;31820744444;32320744444
145;33893087000;31820744444;32320744444
148;33935189000;31862088888;32362088888
149;33935192000;31862088888;32362088888
150;33935194000;31862088888;32362088888
151;33935194000;31862088888;32362088888
152;33935195000;31862088888;32362088888
153;33935269000;31862100000;32362100000
154;33935284000;31862455555;32362455555
155;33935285000;31862455555;32362455555
156;33935286000;31862455555;32362455555
157;34092278000;31903744444;32403744444
158;34092282000;31903744444;32403744444
159;34092283000;31903744444;32403744444
160;34092284000;31903744444;32403744444
162;34092285000;31903744444;32403744444
164;34092388000;31903766666;32403766666
165;34092393000;31904066666;32404066666
166;34092394000;31904066666;32404066666
167;34092395000;31904066666;32404066666
168;34133865000;31945411111;32445411111
169;34282317000;31945411111;32445411111
170;34282544000;31945411111;32445411111
173;34332917000;31945411111;32445411111
174;34332931000;31945411111;32445411111
175;34333073000;31945433333;32445433333
176;34333078000;31945722222;32445722222
177;34333080000;31945722222;32445722222
178;34333081000;31945722222;32445722222
180;34374318000;31987088888;32487088888
182;34374321000;31987088888;32487088888
183;34522716000;31987088888;32487088888
184;34522841000;31987088888;32487088888
185;34522843000;31987088888;32487088888
186;34573089000;31987100000;32487100000
187;34573095000;31987422222;32487422222
188;34573096000;31987422222;32487422222
189;34573098000;31987422222;32487422222
190;34614553000;32028744444;32528744444
191;34614557000;32028744444;32528744444
192;34614558000;32028744444;32528744444
193;34614559000;32028744444;32528744444
194;34614560000;32028744444;32528744444
196;34614789000;32028744444;32528744444
198;34813341000;32029033333;32529033333
199;34813344000;32029033333;32529033333
200;34813345000;32029033333;32529033333
201;34854611000;32070411111;32570411111
202;34854615000;32070411111;32570411111
204;34854616000;32070411111;32570411111
206;34854617000;32070411111;32570411111
207;34854618000;32070411111;32570411111
208;34854739000;32070433333;32570433333
210;34854745000;32070711111;32570711111
211;34854746000;32070711111;32570711111
213;35053670000;32112100000;32612100000
214;35053673000;32112100000;32612100000
215;35053674000;32112100000;32612100000
216;35053675000;32112100000;32612100000
217;35053676000;32112100000;32612100000
218;35053677000;32112100000;32612100000
219;35053740000;32112111111;32612111111
221;35053755000;32112466666;32612466666
222;35053756000;32112466666;32612466666
223;35095224000;32153744444;32653744444
224;35095228000;32153744444;32653744444
226;35095229000;32153744444;32653744444
227;35095230000;32153744444;32653744444
228;35095231000;32153744444;32653744444
232;35294013000;32154055555;32654055555
234;35335269000;32195411111;32695411111
235;35335272000;32195411111;32695411111
236;35335273000;32195411111;32695411111
