seqnum;now;rtptime;deadline;packet_len;payload_len
1;26512385000;25522322222;26022322222;10240;10228
2;26512431000;25522322222;26022322222;10240;10228
5;26512508000;25553733333;26053733333;10240;10228
0;26512535000;25522322222;26022322222;10240;10228
3;26512761000;25553733333;26053733333;10240;10228
4;26512769000;25553733333;26053733333;10240;10228
7;26512954000;25553733333;26053733333;10240;10228
6;26546072000;25553733333;26053733333;10240;10228
8;26912696000;25553733333;26053733333;10240;10228
13;26912707000;25554077777;26054077777;10240;10228
16;26912742000;25595388888;26095388888;10240;10228
9;26912898000;25553733333;26053733333;10240;10228
10;26913079000;25553755555;26053755555;10240;10228
12;26913099000;25554077777;26054077777;10240;10228
17;26913126000;25595388888;26095388888;10240;10228
14;26913314000;25595388888;26095388888;10240;10228
15;26913324000;25595388888;26095388888;10240;10228
18;26913519000;25595388888;26095388888;10240;10228
11;26921441000;25554077777;26054077777;10240;10228
20;26922233000;25595388888;26095388888;10240;10228
21;26922248000;25595400000;26095400000;10240;10228
19;26962176000;25595388888;26095388888;10240;10228
22;26962378000;25595777777;26095777777;10240;10228
23;26962581000;25595777777;26095777777;10240;10228
24;26962602000;25595777777;26095777777;10240;10228
25;27003117000;25637055555;26137055555;10240;10228
26;27003303000;25637055555;26137055555;10240;10228
27;27003321000;25637055555;26137055555;10240;10228
28;27048847000;25637055555;26137055555;10240;10228
29;27049086000;25637055555;26137055555;10240;10228
30;27049119000;25637055555;26137055555;10240;10228
31;27089561000;25637055555;26137055555;10240;10228
32;27089771000;25637066666;26137066666;10240;10228
33;27089790000;25637411111;26137411111;10240;10228
34;27130230000;25637411111;26137411111;10240;10228
35;27130428000;25637411111;26137411111;10240;10228
36;27130448000;25678733333;26178733333;10240;10228
37;27170852000;25678733333;26178733333;10240;10228
38;27171065000;25678733333;26178733333;10240;10228
39;27171076000;25678733333;26178733333;10240;10228
40;27211472000;25678733333;26178733333;10240;10228
41;27211676000;25678733333;26178733333;10240;10228
42;27211696000;25678733333;26178733333;10240;10228
43;27257080000;25678755555;26178755555;10240;10228
44;27257265000;25679177777;26179177777;10240;10228
45;27257469000;25679177777;26179177777;10240;10228
46;27297760000;25679177777;26179177777;10240;10228
47;27297950000;25720388888;26220388888;10240;10228
48;27298162000;25720388888;26220388888;10240;10228
49;27313130000;25720388888;26220388888;10240;10228
50;27313356000;25720388888;26220388888;10240;10228
51;27313369000;25720388888;26220388888;10240;10228
52;27313537000;25720388888;26220388888;10240;10228
53;27313748000;25720388888;26220388888;10240;10228
54;27313761000;25720411111;26220411111;10240;10228
55;27313939000;25720733333;26220733333;10240;10228
56;27313943000;25720733333;26220733333;10240;10228
57;27338446000;25720733333;26220733333;10240;10228
58;27338647000;25762055555;26262055555;10240;10228
59;27338843000;25762055555;26262055555;10240;10228
60;27338856000;25762055555;26262055555;10240;10228
61;27339067000;25762055555;26262055555;10240;10228
62;27339075000;25762055555;26262055555;10240;10228
63;27339261000;25762055555;26262055555;10240;10228
64;27339276000;25762055555;26262055555;10240;10228
65;27339466000;25762066666;26262066666;10240;10228
66;27339478000;25762366666;26262366666;10240;10228
67;27339661000;25762366666;26262366666;10240;10228
68;27379231000;25762366666;26262366666;10240;10228
69;27379431000;25803722222;26303722222;10240;10228
70;27379627000;25803722222;26303722222;10240;10228
71;27379639000;25803722222;26303722222;10240;10228
72;27379831000;25803722222;26303722222;10240;10228
73;27379841000;25803722222;26303722222;10240;10228
74;27380037000;25803722222;26303722222;10240;10228
75;27380041000;25803722222;26303722222;10240;10228
76;27380252000;25803733333;26303733333;10240;10228
77;27380264000;25804066666;26304066666;10240;10228
78;27380455000;25804066666;26304066666;10240;10228
79;27420005000;25804066666;26304066666;10240;10228
80;27420202000;25845388888;26345388888;10240;10228
81;27420407000;25845388888;26345388888;10240;10228
82;27420420000;25845388888;26345388888;10240;10228
83;27420603000;25845388888;26345388888;10240;10228
84;27420611000;25845388888;26345388888;10240;10228
85;27420807000;25845388888;26345388888;10240;10228
86;27420812000;25845388888;26345388888;10240;10228
87;27421011000;25845400000;26345400000;10240;10228
88;27421016000;25845711111;26345711111;10240;10228
89;27421226000;25845711111;26345711111;10240;10228
90;27460778000;25845711111;26345711111;10240;10228
91;27460971000;25887055555;26387055555;10240;10228
92;27461184000;25887055555;26387055555;10240;10228
93;27461198000;25887055555;26387055555;10240;10228
94;27461388000;25887055555;26387055555;10240;10228
95;27461403000;25887055555;26387055555;10240;10228
96;27461585000;25887055555;26387055555;10240;10228
97;27461595000;25887055555;26387055555;10240;10228
98;27478320000;25887066666;26387066666;10240;10228
99;27478520000;25887388888;26387388888;10240;10228
100;27478718000;25887388888;26387388888;10240;10228
101;27519083000;25887388888;26387388888;10240;10228
102;27519258000;25928722222;26428722222;10240;10228
103;27519463000;25928722222;26428722222;10240;10228
104;27519478000;25928722222;26428722222;10240;10228
105;27519660000;25928722222;26428722222;10240;10228
106;27519669000;25928722222;26428722222;10240;10228
107;27519864000;25928722222;26428722222;10240;10228
108;27519872000;25928722222;26428722222;10240;10228
109;27520072000;25928733333;26428733333;10240;10228
110;27520282000;25929011111;26429011111;10240;10228
111;27520298000;25929011111;26429011111;10240;10228
112;27559728000;25929011111;26429011111;10240;10228
113;27559919000;25970388888;26470388888;10240;10228
114;27560147000;25970388888;26470388888;10240;10228
115;27560162000;25970388888;26470388888;10240;10228
116;27560334000;25970388888;26470388888;10240;10228
117;27571523000;25970388888;26470388888;10240;10228
118;27600430000;25970388888;26470388888;10240;10228
119;27600629000;25970388888;26470388888;10240;10228
120;27612085000;25970400000;26470400000;10240;10228
121;27612302000;25970700000;26470700000;10240;10228
122;27657591000;25970700000;26470700000;10240;10228
123;27657933000;25970700000;26470700000;10240;10228
124;27658173000;26012055555;26512055555;10240;10228
125;27698276000;26012055555;26512055555;10240;10228
126;27698652000;26012055555;26512055555;10240;10228
127;27698863000;26012055555;26512055555;10240;10228
128;27713513000;26012055555;26512055555;10240;10228
129;27713832000;26012055555;26512055555;10240;10228
130;27714062000;26012055555;26512055555;10240;10228
131;27714261000;26012066666;26512066666;10240;10228
132;27714284000;26012366666;26512366666;10240;10228
133;27714463000;26012366666;26512366666;10240;10228
134;27714473000;26012366666;26512366666;10240;10228
135;27714692000;26053722222;26553722222;10240;10228
138;27739371000;26053722222;26553722222;10240;10228
139;27739567000;26053722222;26553722222;10240;10228
140;27739722000;26053722222;26553722222;10240;10228
141;27739748000;26053722222;26553722222;10240;10228
142;27739921000;26053733333;26553733333;10240;10228
143;27739937000;26054000000;26554000000;10240;10228
144;27740158000;26054000000;26554000000;10240;10228
145;27740339000;26054000000;26554000000;10240;10228
146;27740350000;26095388888;26595388888;10240;10228
136;27779410000;26053722222;26553722222;10240;10228
137;27779461000;26053722222;26553722222;10240;10228
147;27779606000;26095388888;26595388888;10240;10228
148;27780093000;26095388888;26595388888;10240;10228
149;27780291000;26095388888;26595388888;10240;10228
150;27780311000;26095388888;26595388888;10240;10228
151;27780500000;26095388888;26595388888;10240;10228
152;27780695000;26095388888;26595388888;10240;10228
153;27780717000;26095411111;26595411111;10240;10228
154;27780898000;26095733333;26595733333;10240;10228
155;27780909000;26095733333;26595733333;10240;10228
156;27781077000;26095733333;26595733333;10240;10228
157;27781329000;26137055555;26637055555;10240;10228
158;27820576000;26137055555;26637055555;10240;10228
159;27820862000;26137055555;26637055555;10240;10228
160;27821069000;26137055555;26637055555;10240;10228
161;27821270000;26137055555;26637055555;10240;10228
162;27821294000;26137055555;26637055555;10240;10228
163;27821485000;26137055555;26637055555;10240;10228
164;27821495000;26137066666;26637066666;10240;10228
167;27821501000;26137377777;26637377777;10240;10228
165;27821660000;26137377777;26637377777;10240;10228
166;27821680000;26137377777;26637377777;10240;10228
168;27821849000;26178722222;26678722222;10240;10228
169;27861552000;26178722222;26678722222;10240;10228
170;27861587000;26178722222;26678722222;10240;10228
173;27861659000;26178722222;26678722222;10240;10228
171;27861723000;26178722222;26678722222;10240;10228
175;27861793000;26178733333;26678733333;10240;10228
172;27861925000;26178722222;26678722222;10240;10228
174;27862174000;26178722222;26678722222;10240;10228
176;27862225000;26179044444;26679044444;10240;10228
177;27878671000;26179044444;26679044444;10240;10228
178;27879165000;26179044444;26679044444;10240;10228
179;27879201000;26220388888;26720388888;10240;10228
180;27906784000;26220388888;26720388888;10240;10228
181;27919749000;26220388888;26720388888;10240;10228
183;27919932000;26220388888;26720388888;10240;10228
182;27919956000;26220388888;26720388888;10240;10228
185;27920037000;26220388888;26720388888;10240;10228
187;27920087000;26220688888;26720688888;10240;10228
184;27920172000;26220388888;26720388888;10240;10228
188;27920293000;26220688888;26720688888;10240;10228
186;27920396000;26220400000;26720400000;10240;10228
189;27920582000;26220688888;26720688888;10240;10228
190;27920796000;26262055555;26762055555;10240;10228
191;27947379000;26262055555;26762055555;10240;10228
192;27960423000;26262055555;26762055555;10240;10228
193;27960443000;26262055555;26762055555;10240;10228
194;27960568000;26262055555;26762055555;10240;10228
195;27960588000;26262055555;26762055555;10240;10228
196;28000460000;26262055555;26762055555;10240;10228
197;28000471000;26262066666;26762066666;10240;10228
198;28000918000;26262355555;26762355555;10240;10228
199;28012348000;26262355555;26762355555;10240;10228
200;28042505000;26262355555;26762355555;10240;10228
201;28042525000;26303722222;26803722222;10240;10228
202;28058237000;26303722222;26803722222;10240;10228
203;28088208000;26303722222;26803722222;10240;10228
204;28088219000;26303722222;26803722222;10240;10228
205;28098933000;26303722222;26803722222;10240;10228
206;28113801000;26303722222;26803722222;10240;10228
207;28113820000;26303722222;26803722222;10240;10228
208;28114284000;26303733333;26803733333;10240;10228
209;28114293000;26304011111;26804011111;10240;10228
210;28114457000;26304011111;26804011111;10240;10228
211;28114674000;26304011111;26804011111;10240;10228
212;28114695000;26345388888;26845388888;10240;10228
213;28114699000;26345388888;26845388888;10240;10228
214;28123272000;26345388888;26845388888;10240;10228
215;28123290000;26345388888;26845388888;10240;10228
216;28139642000;26345388888;26845388888;10240;10228
217;28139662000;26345388888;26845388888;10240;10228
218;28139757000;26345388888;26845388888;10240;10228
220;28140210000;26345722222;26845722222;10240;10228
221;28140232000;26345722222;26845722222;10240;10228
222;28140382000;26345722222;26845722222;10240;10228
223;28140401000;26387055555;26887055555;10240;10228
224;28140587000;26387055555;26887055555;10240;10228
225;28140606000;26387055555;26887055555;10240;10228
226;28179757000;26387055555;26887055555;10240;10228
219;28180284000;26345400000;26845400000;10240;10228
227;28180396000;26387055555;26887055555;10240;10228
228;28180587000;26387055555;26887055555;10240;10228
229;28180927000;26387055555;26887055555;10240;10228
230;28180938000;26387066666;26887066666;10240;10228
231;28180943000;26387377777;26887377777;10240;10228
232;28180948000;26387377777;26887377777;10240;10228
233;28181054000;26387377777;26887377777;10240;10228
234;28181344000;26428722222;26928722222;10240;10228
235;28181362000;26428722222;26928722222;10240;10228
236;28210180000;26428722222;26928722222;10240;10228
237;28210197000;26428722222;26928722222;10240;10228
238;28221172000;26428722222;26928722222;10240;10228
239;28221513000;26428722222;26928722222;10240;10228
240;28221554000;26428722222;26928722222;10240;10228
241;28221665000;26428733333;26928733333;10240;10228
