seqnum;now;rtptime;deadline
0;3613259000;3473200000;3973200000
1;3613264000;3473200000;3973200000
2;3613266000;3473200000;3973200000
3;3644250000;3504277777;4004277777
4;3644260000;3504277777;4004277777
5;3644261000;3504277777;4004277777
6;3644264000;3504277777;4004277777
7;3644265000;3504277777;4004277777
8;3644267000;3504277777;4004277777
9;3644268000;3504277777;4004277777
10;3644538000;3504300000;4004300000
11;3644559000;3504622222;4004622222
12;3644560000;3504622222;4004622222
13;3644561000;3504622222;4004622222
14;3685898000;3545933333;4045933333
22;3686031000;3546355555;4046355555
23;3686035000;3546355555;4046355555
24;3686036000;3546355555;4046355555
25;3730895000;3587611111;4087611111
33;3731031000;3588011111;4088011111
34;3731035000;3588011111;4088011111
35;3731037000;3588011111;4088011111
36;3768749000;3629266666;4129266666
44;3768882000;3629622222;4129622222
45;3768887000;3629622222;4129622222
46;3768888000;3629622222;4129622222
47;3809527000;3670955555;4170955555
55;3809627000;3671300000;4171300000
56;3809630000;3671300000;4171300000
57;3809631000;3671300000;4171300000
58;3848960000;3712622222;4212622222
66;3849068000;3712933333;4212933333
67;3849072000;3712933333;4212933333
68;3849073000;3712933333;4212933333
69;3887813000;3754288888;4254288888
77;3887944000;3754655555;4254655555
78;3887948000;3754655555;4254655555
79;3887949000;3754655555;4254655555
80;3925447000;3795955555;4295955555
88;3925561000;3796322222;4296322222
89;3925564000;3796322222;4296322222
90;3925565000;3796322222;4296322222
91;3962227000;3837622222;4337622222
95;3962230000;3837622222;4337622222
96;3962231000;3837622222;4337622222
97;3962232000;3837622222;4337622222
98;3962432000;3837666666;4337666666
99;3962447000;3837977777;4337977777
100;3962448000;3837977777;4337977777
101;3962449000;3837977777;4337977777
102;3998439000;3879255555;4379255555
104;3998443000;3879255555;4379255555
105;3998444000;3879255555;4379255555
106;3998445000;3879255555;4379255555
107;3998446000;3879255555;4379255555
108;3998447000;3879255555;4379255555
109;3998617000;3879300000;4379300000
110;3998622000;3879577777;4379577777
111;3998623000;3879577777;4379577777
112;3998624000;3879577777;4379577777
113;4032721000;3920922222;4420922222
114;4032725000;3920922222;4420922222
115;4032726000;3920922222;4420922222
116;4032727000;3920922222;4420922222
117;4032728000;3920922222;4420922222
118;4032729000;3920922222;4420922222
119;4032729000;3920922222;4420922222
120;4032929000;3920955555;4420955555
121;4032935000;3921244444;4421244444
122;4032936000;3921244444;4421244444
123;4032937000;3921244444;4421244444
124;4068314000;3962622222;4462622222
125;4068317000;3962622222;4462622222
126;4068318000;3962622222;4462622222
127;4068319000;3962622222;4462622222
128;4068320000;3962622222;4462622222
129;4068321000;3962622222;4462622222
130;4068322000;3962622222;4462622222
131;4068521000;3962644444;4462644444
132;4068527000;3962922222;4462922222
133;4068528000;3962922222;4462922222
134;4068529000;3962922222;4462922222
135;4103866000;4004266666;4504266666
136;4103868000;4004266666;4504266666
137;4103869000;4004266666;4504266666
138;4103870000;4004266666;4504266666
139;4103871000;4004266666;4504266666
140;4103872000;4004266666;4504266666
141;4103873000;4004266666;4504266666
142;4104014000;4004288888;4504288888
143;4104016000;4004544444;4504544444
144;4104017000;4004544444;4504544444
145;4104018000;4004544444;4504544444
146;4139787000;4045955555;4545955555
147;4139790000;4045955555;4545955555
148;4139791000;4045955555;4545955555
149;4139792000;4045955555;4545955555
150;4139793000;4045955555;4545955555
151;4139794000;4045955555;4545955555
152;4139795000;4045955555;4545955555
153;4139949000;4045966666;4545966666
154;4139955000;4046277777;4546277777
155;4139956000;4046277777;4546277777
156;4139957000;4046277777;4546277777
157;4176169000;4087622222;4587622222
158;4176172000;4087622222;4587622222
159;4176173000;4087622222;4587622222
160;4176174000;4087622222;4587622222
161;4176175000;4087622222;4587622222
162;4176176000;4087622222;4587622222
163;4176177000;4087622222;4587622222
164;4176376000;4087633333;4587633333
165;4176396000;4087933333;4587933333
166;4176397000;4087933333;4587933333
167;4176398000;4087933333;4587933333
168;4213116000;4129266666;4629266666
169;4213119000;4129266666;4629266666
170;4213121000;4129266666;4629266666
171;4213122000;4129266666;4629266666
172;4213123000;4129266666;4629266666
173;4213123000;4129266666;4629266666
174;4213124000;4129266666;4629266666
175;4213279000;4129288888;4629288888
176;4213285000;4129588888;4629588888
177;4213286000;4129588888;4629588888
178;4213287000;4129588888;4629588888
179;4250960000;4170955555;4670955555
180;4250963000;4170955555;4670955555
181;4250964000;4170955555;4670955555
182;4250965000;4170955555;4670955555
183;4250966000;4170955555;4670955555
184;4250967000;4170955555;4670955555
185;4250968000;4170955555;4670955555
186;4251167000;4170988888;4670988888
187;4251173000;4171277777;4671277777
188;4251175000;4171277777;4671277777
189;4251176000;4171277777;4671277777
190;4289570000;4212622222;4712622222
191;4289574000;4212622222;4712622222
192;4289574000;4212622222;4712622222
193;4289575000;4212622222;4712622222
194;4289576000;4212622222;4712622222
195;4289577000;4212622222;4712622222
196;4289578000;4212622222;4712622222
197;4289777000;4212666666;4712666666
198;4289783000;4212922222;4712922222
199;4289784000;4212922222;4712922222
200;4289785000;4212922222;4712922222
201;4328916000;4254288888;4754288888
202;4328920000;4254288888;4754288888
203;4328921000;4254288888;4754288888
204;4328922000;4254288888;4754288888
205;4328923000;4254288888;4754288888
206;4328924000;4254288888;4754288888
207;4328925000;4254288888;4754288888
208;4329128000;4254333333;4754333333
209;4329134000;4254600000;4754600000
210;4329135000;4254600000;4754600000
211;4329136000;4254600000;4754600000
212;4368881000;4295922222;4795922222
213;4368885000;4295922222;4795922222
214;4368886000;4295922222;4795922222
215;4368886000;4295922222;4795922222
216;4368887000;4295922222;4795922222
217;4368888000;4295922222;4795922222
218;4368889000;4295922222;4795922222
219;4369114000;4295966666;4795966666
220;4369120000;4296300000;4796300000
221;4369121000;4296300000;4796300000
222;4369122000;4296300000;4796300000
223;4409423000;4337588888;4837588888
224;4409427000;4337588888;4837588888
225;4409428000;4337588888;4837588888
226;4409429000;4337588888;4837588888
227;4409430000;4337588888;4837588888
228;4409431000;4337588888;4837588888
229;4409432000;4337588888;4837588888
230;4409562000;4337633333;4837633333
231;4409565000;4337911111;4837911111
232;4409566000;4337911111;4837911111
233;4409567000;4337911111;4837911111
234;4450474000;4379300000;4879300000
235;4450477000;4379300000;4879300000
236;4450478000;4379300000;4879300000
237;4450479000;4379300000;4879300000
238;4450480000;4379300000;4879300000
239;4450481000;4379300000;4879300000
240;4450482000;4379300000;4879300000
241;4450635000;4379344444;4879344444
242;4450642000;4379655555;4879655555
243;4450643000;4379655555;4879655555
244;4450644000;4379655555;4879655555
245;4491717000;4420922222;4920922222
246;4491721000;4420922222;4920922222
247;4491722000;4420922222;4920922222
248;4491723000;4420922222;4920922222
249;4491724000;4420922222;4920922222
250;4491725000;4420922222;4920922222
251;4491726000;4420922222;4920922222
252;4491880000;4420966666;4920966666
253;4491886000;4421311111;4921311111
254;4491888000;4421311111;4921311111
255;4491889000;4421311111;4921311111
256;4533150000;4462588888;4962588888
257;4533154000;4462588888;4962588888
258;4533155000;4462588888;4962588888
259;4533156000;4462588888;4962588888
260;4533157000;4462588888;4962588888
261;4533158000;4462588888;4962588888
262;4533159000;4462588888;4962588888
263;4533308000;4462633333;4962633333
264;4533315000;4462911111;4962911111
265;4533316000;4462911111;4962911111
266;4533317000;4462911111;4962911111
267;4574793000;4504255555;5004255555
268;4574796000;4504255555;5004255555
269;4574797000;4504255555;5004255555
270;4574798000;4504255555;5004255555
271;4574799000;4504255555;5004255555
272;4574800000;4504255555;5004255555
273;4574801000;4504255555;5004255555
274;4575000000;4504300000;5004300000
275;4575015000;4504555555;5004555555
276;4575025000;4504555555;5004555555
277;4575026000;4504555555;5004555555
278;4616425000;4545922222;5045922222
279;4616429000;4545922222;5045922222
280;4616430000;4545922222;5045922222
281;4616431000;4545922222;5045922222
282;4616431000;4545922222;5045922222
283;4616432000;4545922222;5045922222
284;4616433000;4545922222;5045922222
285;4616648000;4545966666;5045966666
286;4616651000;4546288888;5046288888
287;4616652000;4546288888;5046288888
288;4616653000;4546288888;5046288888
289;4658069000;4587588888;5087588888
290;4658073000;4587588888;5087588888
291;4658074000;4587588888;5087588888
292;4658075000;4587588888;5087588888
293;4658076000;4587588888;5087588888
294;4658085000;4587588888;5087588888
295;4658086000;4587588888;5087588888
296;4658285000;4587633333;5087633333
297;4658291000;4587900000;5087900000
298;4658292000;4587900000;5087900000
299;4658293000;4587900000;5087900000
300;4699736000;4629255555;5129255555
301;4699740000;4629255555;5129255555
302;4699741000;4629255555;5129255555
303;4699742000;4629255555;5129255555
304;4699743000;4629255555;5129255555
305;4699744000;4629255555;5129255555
306;4699745000;4629255555;5129255555
307;4699959000;4629300000;5129300000
308;4699974000;4629577777;5129577777
309;4699976000;4629577777;5129577777
310;4699977000;4629577777;5129577777
311;4741402000;4670922222;5170922222
312;4741405000;4670922222;5170922222
313;4741406000;4670922222;5170922222
314;4741407000;4670922222;5170922222
315;4741408000;4670922222;5170922222
316;4741409000;4670922222;5170922222
317;4741410000;4670922222;5170922222
318;4741608000;4670966666;5170966666
319;4741623000;4671288888;5171288888
320;4741624000;4671288888;5171288888
321;4773650000;4671288888;5171288888
322;4782910000;4712588888;5212588888
323;4782913000;4712588888;5212588888
324;4782914000;4712588888;5212588888
325;4782915000;4712588888;5212588888
326;4782916000;4712588888;5212588888
327;4782917000;4712588888;5212588888
328;4782918000;4712588888;5212588888
329;4783148000;4712633333;5212633333
330;4783151000;4712911111;5212911111
331;4783152000;4712911111;5212911111
332;4783153000;4712911111;5212911111
333;4907193000;4754266666;5254266666
344;4947890000;4795955555;5295955555
355;4988467000;4837622222;5337622222
367;5028152000;4879266666;5379266666
380;5067117000;4920955555;5420955555
388;5105322000;4962622222;5462622222
393;5105329000;4962622222;5462622222
394;5105331000;4962622222;5462622222
395;5105444000;4962644444;5462644444
396;5105449000;4962911111;5462911111
397;5105451000;4962911111;5462911111
398;5105452000;4962911111;5462911111
399;5144510000;5004288888;5504288888
401;5144516000;5004288888;5504288888
402;5144517000;5004288888;5504288888
403;5144519000;5004288888;5504288888
404;5144521000;5004288888;5504288888
405;5144523000;5004288888;5504288888
406;5144677000;5004322222;5504322222
407;5144683000;5004577777;5504577777
408;5144684000;5004577777;5504577777
409;5144685000;5004577777;5504577777
410;5177326000;5045955555;5545955555
411;5177333000;5045955555;5545955555
412;5177335000;5045955555;5545955555
413;5177337000;5045955555;5545955555
414;5177338000;5045955555;5545955555
415;5177339000;5045955555;5545955555
416;5177341000;5045955555;5545955555
417;5177486000;5045966666;5545966666
418;5177491000;5046266666;5546266666
419;5177492000;5046266666;5546266666
420;5177494000;5046266666;5546266666
421;5212842000;5087611111;5587611111
422;5212850000;5087611111;5587611111
423;5212852000;5087611111;5587611111
424;5212854000;5087611111;5587611111
425;5212855000;5087611111;5587611111
426;5212857000;5087611111;5587611111
427;5212858000;5087611111;5587611111
428;5213006000;5087622222;5587622222
429;5213012000;5087900000;5587900000
430;5213014000;5087900000;5587900000
431;5213016000;5087900000;5587900000
432;5247696000;5129244444;5629244444
433;5247702000;5129244444;5629244444
434;5247704000;5129244444;5629244444
435;5247706000;5129244444;5629244444
436;5247707000;5129244444;5629244444
437;5247708000;5129244444;5629244444
438;5247710000;5129244444;5629244444
439;5247855000;5129255555;5629255555
440;5247861000;5129555555;5629555555
441;5247890000;5129555555;5629555555
442;5247892000;5129555555;5629555555
443;5282331000;5170955555;5670955555
444;5282336000;5170955555;5670955555
445;5282338000;5170955555;5670955555
446;5282339000;5170955555;5670955555
447;5282341000;5170955555;5670955555
448;5282342000;5170955555;5670955555
449;5282344000;5170955555;5670955555
450;5282462000;5170977777;5670977777
451;5282477000;5171266666;5671266666
452;5282479000;5171266666;5671266666
453;5282480000;5171266666;5671266666
454;5316700000;5212600000;5712600000
455;5316703000;5212600000;5712600000
456;5316705000;5212600000;5712600000
457;5316706000;5212600000;5712600000
458;5316707000;5212600000;5712600000
459;5316709000;5212600000;5712600000
460;5316710000;5212600000;5712600000
461;5316827000;5212611111;5712611111
462;5316831000;5212866666;5712866666
463;5316833000;5212866666;5712866666
464;5316833000;5212866666;5712866666
465;5351153000;5254255555;5754255555
466;5351156000;5254255555;5754255555
467;5351157000;5254255555;5754255555
468;5351158000;5254255555;5754255555
469;5351159000;5254255555;5754255555
470;5351160000;5254255555;5754255555
471;5351161000;5254255555;5754255555
472;5351276000;5254266666;5754266666
473;5351281000;5254522222;5754522222
474;5351282000;5254522222;5754522222
475;5351283000;5254522222;5754522222
476;5386428000;5295955555;5795955555
477;5386431000;5295955555;5795955555
478;5386432000;5295955555;5795955555
479;5386433000;5295955555;5795955555
480;5386433000;5295955555;5795955555
481;5386434000;5295955555;5795955555
482;5386435000;5295955555;5795955555
483;5386530000;5295966666;5795966666
484;5386535000;5296277777;5796277777
485;5386536000;5296277777;5796277777
486;5386537000;5296277777;5796277777
487;5422615000;5337622222;5837622222
488;5422617000;5337622222;5837622222
489;5422618000;5337622222;5837622222
490;5422619000;5337622222;5837622222
491;5422621000;5337622222;5837622222
492;5422621000;5337622222;5837622222
493;5422622000;5337622222;5837622222
494;5422726000;5337644444;5837644444
495;5422730000;5337922222;5837922222
496;5422732000;5337922222;5837922222
497;5422732000;5337922222;5837922222
498;5459774000;5379288888;5879288888
499;5459776000;5379288888;5879288888
500;5459777000;5379288888;5879288888
501;5459778000;5379288888;5879288888
502;5459779000;5379288888;5879288888
503;5459780000;5379288888;5879288888
504;5459781000;5379288888;5879288888
505;5459891000;5379333333;5879333333
506;5459895000;5379611111;5879611111
507;5459897000;5379611111;5879611111
508;5459898000;5379611111;5879611111
509;5497228000;5420955555;5920955555
510;5497230000;5420955555;5920955555
511;5497231000;5420955555;5920955555
512;5497232000;5420955555;5920955555
513;5497233000;5420955555;5920955555
514;5497234000;5420955555;5920955555
515;5497235000;5420955555;5920955555
516;5497345000;5420977777;5920977777
517;5497349000;5421288888;5921288888
518;5497351000;5421288888;5921288888
519;5497352000;5421288888;5921288888
520;5536642000;5462622222;5962622222
521;5536644000;5462622222;5962622222
522;5536645000;5462622222;5962622222
523;5536646000;5462622222;5962622222
524;5536647000;5462622222;5962622222
525;5536648000;5462622222;5962622222
526;5536649000;5462622222;5962622222
527;5536733000;5462633333;5962633333
528;5536737000;5462911111;5962911111
529;5536738000;5462911111;5962911111
530;5560479000;5462911111;5962911111
531;5576767000;5504266666;6004266666
532;5576771000;5504266666;6004266666
533;5576772000;5504266666;6004266666
534;5576773000;5504266666;6004266666
535;5576774000;5504266666;6004266666
536;5576775000;5504266666;6004266666
537;5576776000;5504266666;6004266666
538;5576896000;5504277777;6004277777
539;5576901000;5504544444;6004544444
540;5576902000;5504544444;6004544444
541;5576903000;5504544444;6004544444
542;5617474000;5545955555;6045955555
543;5617478000;5545955555;6045955555
544;5617479000;5545955555;6045955555
545;5617480000;5545955555;6045955555
546;5617481000;5545955555;6045955555
547;5617482000;5545955555;6045955555
