seqnum;now;rtptime;deadline
1;8346797000;8213944444;8713944444
2;8346801000;8213944444;8713944444
3;8427767000;8245366666;8745366666
4;8427829000;8245366666;8745366666
5;8427831000;8245366666;8745366666
6;8427834000;8245366666;8745366666
7;8427836000;8245366666;8745366666
8;8427838000;8245366666;8745366666
9;8427848000;8245366666;8745366666
10;8428105000;8245388888;8745388888
11;8428144000;8245700000;8745700000
12;8428150000;8245700000;8745700000
13;8428152000;8245700000;8745700000
14;8470989000;8287022222;8787022222
16;8471035000;8287022222;8787022222
18;8471074000;8287022222;8787022222
19;8471077000;8287022222;8787022222
20;8471119000;8287022222;8787022222
21;8471346000;8287044444;8787044444
22;8471384000;8287433333;8787433333
23;8471390000;8287433333;8787433333
24;8471392000;8287433333;8787433333
25;8510680000;8328688888;8828688888
28;8510691000;8328688888;8828688888
29;8510694000;8328688888;8828688888
30;8510695000;8328688888;8828688888
31;8510697000;8328688888;8828688888
32;8510917000;8328711111;8828711111
33;8510966000;8329033333;8829033333
34;8510976000;8329033333;8829033333
35;8510982000;8329033333;8829033333
36;8551946000;8370355555;8870355555
44;8552136000;8370700000;8870700000
45;8552162000;8370700000;8870700000
46;8552164000;8370700000;8870700000
47;8592110000;8412022222;8912022222
55;8592300000;8412355555;8912355555
56;8592305000;8412355555;8912355555
57;8592332000;8412355555;8912355555
58;8632918000;8453688888;8953688888
61;8632962000;8453688888;8953688888
62;8632964000;8453688888;8953688888
63;8632966000;8453688888;8953688888
64;8632968000;8453688888;8953688888
65;8633197000;8453711111;8953711111
66;8633239000;8453988888;8953988888
67;8633241000;8453988888;8953988888
68;8633254000;8453988888;8953988888
69;8672311000;8495355555;8995355555
77;8672422000;8495700000;8995700000
78;8672440000;8495700000;8995700000
79;8672442000;8495700000;8995700000
82;8711017000;8537022222;9037022222
85;8711066000;8537022222;9037022222
86;8711068000;8537022222;9037022222
87;8711281000;8537044444;9037044444
88;8711323000;8537355555;9037355555
89;8711332000;8537355555;9037355555
90;8711333000;8537355555;9037355555
91;8748461000;8578688888;9078688888
99;8748623000;8579022222;9079022222
100;8748626000;8579022222;9079022222
101;8748628000;8579022222;9079022222
102;8786616000;8620344444;9120344444
103;8786640000;8620344444;9120344444
104;8786642000;8620344444;9120344444
105;8786643000;8620344444;9120344444
106;8786644000;8620344444;9120344444
107;8786646000;8620344444;9120344444
108;8786647000;8620344444;9120344444
109;8786888000;8620366666;9120366666
110;8786929000;8620688888;9120688888
111;8786931000;8620688888;9120688888
112;8786932000;8620688888;9120688888
113;8822009000;8662000000;9162000000
117;8822037000;8662000000;9162000000
118;8822038000;8662000000;9162000000
119;8822040000;8662000000;9162000000
120;8823371000;8662011111;9162011111
121;8823400000;8662333333;9162333333
122;8823405000;8662333333;9162333333
123;8823407000;8662333333;9162333333
124;8862717000;8703655555;9203655555
132;8862879000;8703966666;9203966666
133;8862904000;8703966666;9203966666
134;8862905000;8703966666;9203966666
135;8901142000;8745355555;9245355555
143;8901304000;8745633333;9245633333
144;8901328000;8745633333;9245633333
145;8901329000;8745633333;9245633333
146;8941805000;8787022222;9287022222
154;8941969000;8787355555;9287355555
155;8941993000;8787355555;9287355555
156;8941995000;8787355555;9287355555
157;8981957000;8828688888;9328688888
165;8982134000;8829000000;9329000000
166;8982159000;8829000000;9329000000
167;8982160000;8829000000;9329000000
168;9022347000;8870366666;9370366666
176;9022497000;8870700000;9370700000
177;9022525000;8870700000;9370700000
178;9022526000;8870700000;9370700000
179;9063293000;8912011111;9412011111
187;9063437000;8912322222;9412322222
188;9063441000;8912322222;9412322222
189;9063463000;8912322222;9412322222
190;9104703000;8953666666;9453666666
198;9104865000;8953955555;9453955555
199;9104890000;8953955555;9453955555
200;9104891000;8953955555;9453955555
