seqnum;now;rtptime;deadline
1;8277726000;8095033333;8595033333
2;8277762000;8095033333;8595033333
3;8358224000;8126211111;8626211111
4;8358290000;8126211111;8626211111
5;8358293000;8126211111;8626211111
6;8358297000;8126211111;8626211111
7;8358300000;8126211111;8626211111
8;8358302000;8126211111;8626211111
9;8358304000;8126211111;8626211111
10;8358511000;8126233333;8626233333
11;8358542000;8126555555;8626555555
12;8358553000;8126555555;8626555555
13;8358570000;8126555555;8626555555
14;8401084000;8167855555;8667855555
16;8401130000;8167855555;8667855555
17;8401133000;8167855555;8667855555
18;8401135000;8167855555;8667855555
19;8401136000;8167855555;8667855555
20;8401138000;8167855555;8667855555
21;8401373000;8167866666;8667866666
22;8401406000;8168277777;8668277777
23;8401413000;8168277777;8668277777
24;8401415000;8168277777;8668277777
25;8441069000;8209522222;8709522222
33;8441217000;8209877777;8709877777
34;8441250000;8209877777;8709877777
35;8441252000;8209877777;8709877777
36;8482320000;8251200000;8751200000
44;8482522000;8251544444;8751544444
45;8482528000;8251544444;8751544444
46;8482554000;8251544444;8751544444
47;8523023000;8292877777;8792877777
55;8523188000;8293266666;8793266666
56;8523215000;8293266666;8793266666
57;8523218000;8293266666;8793266666
58;8563278000;8334533333;8834533333
66;8563475000;8334833333;8834833333
67;8563502000;8334833333;8834833333
68;8563504000;8334833333;8834833333
69;8602829000;8376200000;8876200000
77;8602993000;8376555555;8876555555
78;8603018000;8376555555;8876555555
79;8603019000;8376555555;8876555555
80;8641590000;8417866666;8917866666
88;8641727000;8418200000;8918200000
89;8641741000;8418200000;8918200000
90;8641743000;8418200000;8918200000
91;8679969000;8459533333;8959533333
95;8680008000;8459533333;8959533333
96;8680017000;8459533333;8959533333
97;8680019000;8459533333;8959533333
98;8680257000;8459544444;8959544444
99;8680283000;8459866666;8959866666
100;8680284000;8459866666;8959866666
101;8680304000;8459866666;8959866666
102;8716216000;8501200000;9001200000
105;8716244000;8501200000;9001200000
106;8716246000;8501200000;9001200000
107;8716247000;8501200000;9001200000
108;8716248000;8501200000;9001200000
109;8716456000;8501211111;9001211111
110;8716484000;8501488888;9001488888
111;8716489000;8501488888;9001488888
112;8716491000;8501488888;9001488888
113;8754299000;8542877777;9042877777
121;8754461000;8543200000;9043200000
122;8754486000;8543200000;9043200000
123;8754488000;8543200000;9043200000
124;8793158000;8584533333;9084533333
132;8793320000;8584833333;9084833333
133;8793345000;8584833333;9084833333
134;8793346000;8584833333;9084833333
135;8832409000;8626200000;9126200000
143;8832572000;8626477777;9126477777
144;8832597000;8626477777;9126477777
145;8832599000;8626477777;9126477777
