seqnum;now;rtptime;deadline;packet_len;payload_len
0;4868347000;4816566666;5316566666;1398;1386
0;4868440000;4816566666;5316566666;1398;1386
1;4868477000;4816566666;5316566666;1400;1388
2;4868516000;4816566666;5316566666;1398;1386
3;4868522000;4847844444;5347844444;1400;1388
4;4868530000;4847844444;5347844444;1400;1388
1;4868564000;4816566666;5316566666;1400;1388
2;4868590000;4816566666;5316566666;1398;1386
5;4868604000;4847844444;5347844444;1398;1386
6;4868644000;4847844444;5347844444;1400;1388
3;4868661000;4847844444;5347844444;1400;1388
7;4868698000;4847844444;5347844444;1398;1386
8;4868709000;4847844444;5347844444;1400;1388
9;4868727000;4847844444;5347844444;1400;1388
10;4868733000;4847866666;5347866666;982;970
4;4868788000;4847844444;5347844444;1400;1388
5;4868795000;4847844444;5347844444;1398;1386
6;4869000000;4847844444;5347844444;1400;1388
7;4869013000;4847844444;5347844444;1398;1386
8;4869169000;4847844444;5347844444;1400;1388
10;4869174000;4847866666;5347866666;982;970
11;4909865000;4848200000;5348200000;1398;1386
11;4909955000;4848200000;5348200000;1398;1386
12;4910000000;4848200000;5348200000;1400;1388
13;4910007000;4848200000;5348200000;1398;1386
14;4910012000;4889500000;5389500000;1400;1388
16;4910017000;4889500000;5389500000;1398;1386
18;4910025000;4889500000;5389500000;1398;1386
19;4910030000;4889500000;5389500000;1400;1388
20;4910033000;4889500000;5389500000;1400;1388
12;4910073000;4848200000;5348200000;1400;1388
13;4910249000;4848200000;5348200000;1398;1386
14;4910259000;4889500000;5389500000;1400;1388
15;4910480000;4889500000;5389500000;1400;1388
16;4910490000;4889500000;5389500000;1398;1386
17;4910665000;4889500000;5389500000;1400;1388
18;4910682000;4889500000;5389500000;1398;1386
19;4910866000;4889500000;5389500000;1400;1388
20;4911094000;4889500000;5389500000;1400;1388
21;4911105000;4889522222;5389522222;982;970
23;4951609000;4889900000;5389900000;1400;1388
22;4951711000;4889900000;5389900000;1398;1386
24;4951772000;4889900000;5389900000;1398;1386
23;4951787000;4889900000;5389900000;1400;1388
24;4951810000;4889900000;5389900000;1398;1386
25;4951814000;4931166666;5431166666;1400;1388
26;4951835000;4931166666;5431166666;1400;1388
27;4951841000;4931166666;5431166666;1398;1386
28;4951845000;4931166666;5431166666;1400;1388
29;4951850000;4931166666;5431166666;1398;1386
30;4951857000;4931166666;5431166666;1400;1388
31;4951864000;4931166666;5431166666;1400;1388
32;4951867000;4931188888;5431188888;982;970
25;4951917000;4931166666;5431166666;1400;1388
26;4951927000;4931166666;5431166666;1400;1388
28;4952108000;4931166666;5431166666;1400;1388
29;4952127000;4931166666;5431166666;1398;1386
30;4952296000;4931166666;5431166666;1400;1388
32;4952303000;4931188888;5431188888;982;970
33;4993181000;4931511111;5431511111;1398;1386
33;4993259000;4931511111;5431511111;1398;1386
34;4993272000;4931511111;5431511111;1400;1388
35;4993278000;4931511111;5431511111;1398;1386
36;4993281000;4972833333;5472833333;1400;1388
37;4993285000;4972833333;5472833333;1400;1388
39;4993291000;4972833333;5472833333;1400;1388
40;4993309000;4972833333;5472833333;1398;1386
41;4993313000;4972833333;5472833333;1400;1388
42;4993316000;4972833333;5472833333;1400;1388
43;4993341000;4972855555;5472855555;982;970
34;4993384000;4931511111;5431511111;1400;1388
35;4993394000;4931511111;5431511111;1398;1386
36;4993570000;4972833333;5472833333;1400;1388
37;4993776000;4972833333;5472833333;1400;1388
38;4993785000;4972833333;5472833333;1398;1386
39;4993977000;4972833333;5472833333;1400;1388
40;4993986000;4972833333;5472833333;1398;1386
41;4994187000;4972833333;5472833333;1400;1388
42;4994195000;4972833333;5472833333;1400;1388
43;4994379000;4972855555;5472855555;982;970
44;5034914000;4973188888;5473188888;1398;1386
44;5034969000;4973188888;5473188888;1398;1386
45;5034990000;4973188888;5473188888;1400;1388
46;5034997000;4973188888;5473188888;1398;1386
47;5035001000;5014522222;5514522222;1400;1388
48;5035007000;5014522222;5514522222;1400;1388
49;5035011000;5014522222;5514522222;1398;1386
50;5035016000;5014522222;5514522222;1400;1388
51;5035019000;5014522222;5514522222;1398;1386
45;5035108000;4973188888;5473188888;1400;1388
52;5035167000;5014522222;5514522222;1400;1388
53;5035183000;5014522222;5514522222;1400;1388
54;5035188000;5014544444;5514544444;982;970
46;5035252000;4973188888;5473188888;1398;1386
47;5035260000;5014522222;5514522222;1400;1388
48;5035434000;5014522222;5514522222;1400;1388
49;5035441000;5014522222;5514522222;1398;1386
50;5035641000;5014522222;5514522222;1400;1388
51;5035648000;5014522222;5514522222;1398;1386
52;5035844000;5014522222;5514522222;1400;1388
53;5036069000;5014522222;5514522222;1400;1388
54;5036077000;5014544444;5514544444;982;970
55;5076527000;5014900000;5514900000;1398;1386
55;5076582000;5014900000;5514900000;1398;1386
56;5076596000;5014900000;5514900000;1400;1388
57;5076601000;5014900000;5514900000;1398;1386
58;5076605000;5056144444;5556144444;1400;1388
59;5076609000;5056144444;5556144444;1400;1388
60;5076613000;5056144444;5556144444;1398;1386
61;5076616000;5056144444;5556144444;1400;1388
62;5076620000;5056144444;5556144444;1398;1386
63;5076623000;5056144444;5556144444;1400;1388
64;5076627000;5056144444;5556144444;1400;1388
65;5076631000;5056166666;5556166666;982;970
56;5076664000;5014900000;5514900000;1400;1388
57;5076856000;5014900000;5514900000;1398;1386
58;5076860000;5056144444;5556144444;1400;1388
59;5077060000;5056144444;5556144444;1400;1388
60;5077064000;5056144444;5556144444;1398;1386
61;5077306000;5056144444;5556144444;1400;1388
62;5077314000;5056144444;5556144444;1398;1386
63;5077508000;5056144444;5556144444;1400;1388
64;5077513000;5056144444;5556144444;1400;1388
65;5077707000;5056166666;5556166666;982;970
66;5118185000;5056455555;5556455555;1398;1386
67;5118237000;5056455555;5556455555;1400;1388
68;5118242000;5056455555;5556455555;1398;1386
69;5118262000;5097833333;5597833333;1400;1388
66;5118276000;5056455555;5556455555;1398;1386
70;5118351000;5097833333;5597833333;1400;1388
71;5118382000;5097833333;5597833333;1398;1386
72;5118386000;5097833333;5597833333;1400;1388
73;5118390000;5097833333;5597833333;1398;1386
74;5118394000;5097833333;5597833333;1400;1388
75;5118398000;5097833333;5597833333;1400;1388
76;5118401000;5097855555;5597855555;982;970
67;5118412000;5056455555;5556455555;1400;1388
68;5118435000;5056455555;5556455555;1398;1386
69;5118574000;5097833333;5597833333;1400;1388
70;5118766000;5097833333;5597833333;1400;1388
71;5118779000;5097833333;5597833333;1398;1386
72;5118965000;5097833333;5597833333;1400;1388
73;5118973000;5097833333;5597833333;1398;1386
74;5119167000;5097833333;5597833333;1400;1388
75;5119373000;5097833333;5597833333;1400;1388
76;5119381000;5097855555;5597855555;982;970
80;5159877000;5139500000;5639500000;1400;1388
77;5159972000;5098200000;5598200000;1398;1386
78;5160000000;5098200000;5598200000;1400;1388
79;5160015000;5098200000;5598200000;1398;1386
80;5160019000;5139500000;5639500000;1400;1388
81;5160026000;5139500000;5639500000;1400;1388
82;5160030000;5139500000;5639500000;1398;1386
83;5160034000;5139500000;5639500000;1400;1388
81;5160068000;5139500000;5639500000;1400;1388
84;5160141000;5139500000;5639500000;1398;1386
85;5160153000;5139500000;5639500000;1400;1388
86;5160156000;5139500000;5639500000;1400;1388
87;5160160000;5139522222;5639522222;982;970
82;5160268000;5139500000;5639500000;1398;1386
83;5160277000;5139500000;5639500000;1400;1388
84;5160466000;5139500000;5639500000;1398;1386
85;5160474000;5139500000;5639500000;1400;1388
86;5160665000;5139500000;5639500000;1400;1388
87;5160674000;5139522222;5639522222;982;970
88;5201502000;5139822222;5639822222;1398;1386
88;5201516000;5139822222;5639822222;1398;1386
89;5201590000;5139822222;5639822222;1400;1388
91;5201602000;5181166666;5681166666;1400;1388
92;5201619000;5181166666;5681166666;1400;1388
93;5201623000;5181166666;5681166666;1398;1386
95;5201626000;5181166666;5681166666;1398;1386
96;5201630000;5181166666;5681166666;1400;1388
97;5201634000;5181166666;5681166666;1400;1388
91;5201717000;5181166666;5681166666;1400;1388
92;5201725000;5181166666;5681166666;1400;1388
96;5201921000;5181166666;5681166666;1400;1388
97;5202117000;5181166666;5681166666;1400;1388
98;5202122000;5181188888;5681188888;982;970
99;5243201000;5181500000;5681500000;1398;1386
99;5243264000;5181500000;5681500000;1398;1386
100;5243282000;5181500000;5681500000;1400;1388
101;5243288000;5181500000;5681500000;1398;1386
104;5243292000;5222833333;5722833333;1398;1386
105;5243299000;5222833333;5722833333;1400;1388
106;5243302000;5222833333;5722833333;1398;1386
107;5243306000;5222833333;5722833333;1400;1388
108;5243310000;5222833333;5722833333;1400;1388
109;5243313000;5222855555;5722855555;982;970
100;5243389000;5181500000;5681500000;1400;1388
101;5243589000;5181500000;5681500000;1398;1386
102;5243598000;5222833333;5722833333;1400;1388
104;5243795000;5222833333;5722833333;1398;1386
106;5243803000;5222833333;5722833333;1398;1386
107;5243994000;5222833333;5722833333;1400;1388
108;5244002000;5222833333;5722833333;1400;1388
109;5244203000;5222855555;5722855555;982;970
110;5284840000;5223122222;5723122222;1398;1386
110;5284856000;5223122222;5723122222;1398;1386
111;5284871000;5223122222;5723122222;1400;1388
112;5284888000;5223122222;5723122222;1398;1386
113;5284891000;5264500000;5764500000;1400;1388
114;5284895000;5264500000;5764500000;1400;1388
115;5284899000;5264500000;5764500000;1398;1386
116;5284902000;5264500000;5764500000;1400;1388
117;5284905000;5264500000;5764500000;1398;1386
118;5284909000;5264500000;5764500000;1400;1388
119;5284912000;5264500000;5764500000;1400;1388
120;5284915000;5264522222;5764522222;982;970
111;5285069000;5223122222;5723122222;1400;1388
112;5285078000;5223122222;5723122222;1398;1386
113;5285254000;5264500000;5764500000;1400;1388
114;5285460000;5264500000;5764500000;1400;1388
116;5285468000;5264500000;5764500000;1400;1388
117;5285648000;5264500000;5764500000;1398;1386
118;5285653000;5264500000;5764500000;1400;1388
119;5285858000;5264500000;5764500000;1400;1388
121;5326529000;5264811111;5764811111;1398;1386
121;5326552000;5264811111;5764811111;1398;1386
122;5326571000;5264811111;5764811111;1400;1388
123;5326575000;5264811111;5764811111;1398;1386
124;5326579000;5306166666;5806166666;1400;1388
125;5326583000;5306166666;5806166666;1400;1388
127;5326586000;5306166666;5806166666;1400;1388
128;5326592000;5306166666;5806166666;1398;1386
129;5326606000;5306166666;5806166666;1400;1388
130;5326609000;5306166666;5806166666;1400;1388
131;5326613000;5306188888;5806188888;982;970
122;5326705000;5264811111;5764811111;1400;1388
123;5326711000;5264811111;5764811111;1398;1386
125;5326910000;5306166666;5806166666;1400;1388
126;5327119000;5306166666;5806166666;1398;1386
127;5327139000;5306166666;5806166666;1400;1388
129;5327321000;5306166666;5806166666;1400;1388
131;5327325000;5306188888;5806188888;982;970
132;5368197000;5306477777;5806477777;1398;1386
132;5368225000;5306477777;5806477777;1398;1386
134;5368244000;5306477777;5806477777;1398;1386
135;5368261000;5347833333;5847833333;1400;1388
136;5368265000;5347833333;5847833333;1400;1388
137;5368269000;5347833333;5847833333;1398;1386
138;5368272000;5347833333;5847833333;1400;1388
139;5368275000;5347833333;5847833333;1398;1386
140;5368279000;5347833333;5847833333;1400;1388
141;5368282000;5347833333;5847833333;1400;1388
142;5368294000;5347855555;5847855555;982;970
133;5368369000;5306477777;5806477777;1400;1388
134;5368388000;5306477777;5806477777;1398;1386
135;5368577000;5347833333;5847833333;1400;1388
137;5368782000;5347833333;5847833333;1398;1386
138;5368787000;5347833333;5847833333;1400;1388
139;5368983000;5347833333;5847833333;1398;1386
140;5368988000;5347833333;5847833333;1400;1388
141;5369186000;5347833333;5847833333;1400;1388
142;5369191000;5347855555;5847855555;982;970
143;5409861000;5348111111;5848111111;1398;1386
144;5409887000;5348111111;5848111111;1400;1388
145;5409906000;5348111111;5848111111;1398;1386
146;5409909000;5389500000;5889500000;1400;1388
147;5409913000;5389500000;5889500000;1400;1388
148;5409917000;5389500000;5889500000;1398;1386
149;5409920000;5389500000;5889500000;1400;1388
150;5409923000;5389500000;5889500000;1398;1386
151;5409927000;5389500000;5889500000;1400;1388
152;5409930000;5389500000;5889500000;1400;1388
153;5409933000;5389522222;5889522222;982;970
144;5410051000;5348111111;5848111111;1400;1388
145;5410057000;5348111111;5848111111;1398;1386
146;5410245000;5389500000;5889500000;1400;1388
147;5410448000;5389500000;5889500000;1400;1388
148;5410453000;5389500000;5889500000;1398;1386
149;5410647000;5389500000;5889500000;1400;1388
150;5410651000;5389500000;5889500000;1398;1386
152;5410852000;5389500000;5889500000;1400;1388
153;5410856000;5389522222;5889522222;982;970
154;5451550000;5389833333;5889833333;1398;1386
154;5451612000;5389833333;5889833333;1398;1386
156;5451626000;5389833333;5889833333;1398;1386
157;5451646000;5431177777;5931177777;1400;1388
159;5451651000;5431177777;5931177777;1398;1386
160;5451656000;5431177777;5931177777;1400;1388
162;5451660000;5431177777;5931177777;1400;1388
163;5451664000;5431177777;5931177777;1400;1388
164;5451680000;5431200000;5931200000;982;970
155;5451731000;5389833333;5889833333;1400;1388
156;5451758000;5389833333;5889833333;1398;1386
157;5451914000;5431177777;5931177777;1400;1388
158;5452119000;5431177777;5931177777;1400;1388
159;5452138000;5431177777;5931177777;1398;1386
160;5452334000;5431177777;5931177777;1400;1388
161;5452342000;5431177777;5931177777;1398;1386
163;5452538000;5431177777;5931177777;1400;1388
165;5493177000;5431511111;5931511111;1398;1386
165;5493193000;5431511111;5931511111;1398;1386
166;5493208000;5431511111;5931511111;1400;1388
167;5493225000;5431511111;5931511111;1398;1386
168;5493229000;5472833333;5972833333;1400;1388
169;5493232000;5472833333;5972833333;1400;1388
170;5493236000;5472833333;5972833333;1398;1386
171;5493239000;5472833333;5972833333;1400;1388
172;5493242000;5472833333;5972833333;1398;1386
173;5493246000;5472833333;5972833333;1400;1388
175;5493249000;5472855555;5972855555;982;970
166;5493395000;5431511111;5931511111;1400;1388
167;5493404000;5431511111;5931511111;1398;1386
