seqnum;now;rtptime;deadline;packet_len;payload_len
0;6754770000;6642766666;7142766666;1398;1386
0;6754887000;6642766666;7142766666;1398;1386
1;6754944000;6642766666;7142766666;1400;1388
1;6754979000;6642766666;7142766666;1400;1388
2;6755004000;6642766666;7142766666;1398;1386
3;6755019000;6674233333;7174233333;1400;1388
2;6755033000;6642766666;7142766666;1398;1386
4;6755083000;6674233333;7174233333;1400;1388
5;6755120000;6674233333;7174233333;1398;1386
6;6755125000;6674233333;7174233333;1400;1388
7;6755129000;6674233333;7174233333;1398;1386
3;6755145000;6674233333;7174233333;1400;1388
8;6755173000;6674233333;7174233333;1400;1388
4;6755194000;6674233333;7174233333;1400;1388
9;6755203000;6674233333;7174233333;1400;1388
10;6755209000;6674255555;7174255555;982;970
5;6755219000;6674233333;7174233333;1398;1386
6;6755369000;6674233333;7174233333;1400;1388
7;6755380000;6674233333;7174233333;1398;1386
8;6755570000;6674233333;7174233333;1400;1388
9;6755777000;6674233333;7174233333;1400;1388
10;6755788000;6674255555;7174255555;982;970
11;6796235000;6674600000;7174600000;1398;1386
12;6796273000;6674600000;7174600000;1400;1388
13;6796288000;6674600000;7174600000;1398;1386
12;6796303000;6674600000;7174600000;1400;1388
14;6796318000;6715866666;7215866666;1400;1388
15;6796325000;6715866666;7215866666;1400;1388
16;6796343000;6715866666;7215866666;1398;1386
17;6796347000;6715866666;7215866666;1400;1388
18;6796351000;6715866666;7215866666;1398;1386
19;6796357000;6715866666;7215866666;1400;1388
20;6796361000;6715866666;7215866666;1400;1388
21;6796381000;6715888888;7215888888;982;970
14;6796422000;6715866666;7215866666;1400;1388
15;6796430000;6715866666;7215866666;1400;1388
16;6796590000;6715866666;7215866666;1398;1386
17;6796787000;6715866666;7215866666;1400;1388
18;6796792000;6715866666;7215866666;1398;1386
19;6796980000;6715866666;7215866666;1400;1388
20;6796984000;6715866666;7215866666;1400;1388
21;6797196000;6715888888;7215888888;982;970
22;6837877000;6716277777;7216277777;1398;1386
22;6837944000;6716277777;7216277777;1398;1386
23;6837958000;6716277777;7216277777;1400;1388
24;6837964000;6716277777;7216277777;1398;1386
25;6837968000;6757511111;7257511111;1400;1388
26;6837972000;6757511111;7257511111;1400;1388
27;6837976000;6757511111;7257511111;1398;1386
28;6837980000;6757511111;7257511111;1400;1388
29;6837984000;6757511111;7257511111;1398;1386
30;6837988000;6757511111;7257511111;1400;1388
31;6838007000;6757511111;7257511111;1400;1388
32;6838011000;6757533333;7257533333;982;970
23;6838059000;6716277777;7216277777;1400;1388
24;6838238000;6716277777;7216277777;1398;1386
25;6838248000;6757511111;7257511111;1400;1388
26;6838443000;6757511111;7257511111;1400;1388
27;6838453000;6757511111;7257511111;1398;1386
28;6838648000;6757511111;7257511111;1400;1388
29;6838657000;6757511111;7257511111;1398;1386
30;6838851000;6757511111;7257511111;1400;1388
31;6839057000;6757511111;7257511111;1400;1388
32;6839066000;6757533333;7257533333;982;970
33;6879629000;6757855555;7257855555;1398;1386
33;6879709000;6757855555;7257855555;1398;1386
