seqnum;now;rtptime;deadline
2;10970613000;10797077777;11297077777
3;11011715000;10828433333;11328433333
4;11011738000;10828433333;11328433333
5;11011742000;10828433333;11328433333
7;11011746000;10828433333;11328433333
8;11011751000;10828433333;11328433333
9;11011753000;10828433333;11328433333
10;11015935000;10828444444;11328444444
16;11052028000;10870066666;11370066666
17;11052034000;10870066666;11370066666
19;11052037000;10870066666;11370066666
20;11052039000;10870066666;11370066666
21;11052322000;10870077777;11370077777
22;11052338000;10870466666;11370466666
23;11052340000;10870466666;11370466666
24;11052342000;10870466666;11370466666
25;11096741000;10911733333;11411733333
30;11096748000;10911733333;11411733333
31;11096749000;10911733333;11411733333
32;11096977000;10911744444;11411744444
33;11096994000;10912077777;11412077777
34;11096997000;10912077777;11412077777
35;11096999000;10912077777;11412077777
36;11135030000;10953400000;11453400000
37;11135041000;10953400000;11453400000
38;11135057000;10953400000;11453400000
39;11135059000;10953400000;11453400000
40;11135061000;10953400000;11453400000
41;11135063000;10953400000;11453400000
42;11135065000;10953400000;11453400000
43;11135282000;10953411111;11453411111
44;11135298000;10953744444;11453744444
45;11135300000;10953744444;11453744444
46;11135302000;10953744444;11453744444
47;11180092000;10995066666;11495066666
56;11180254000;10995400000;11495400000
57;11180258000;10995400000;11495400000
58;11216955000;11036733333;11536733333
59;11216966000;11036733333;11536733333
60;11216968000;11036733333;11536733333
61;11216970000;11036733333;11536733333
62;11216971000;11036733333;11536733333
63;11216973000;11036733333;11536733333
64;11216975000;11036733333;11536733333
65;11217201000;11036755555;11536755555
66;11217219000;11037033333;11537033333
67;11217220000;11037033333;11537033333
69;11257520000;11078400000;11578400000
70;11257524000;11078400000;11578400000
71;11257525000;11078400000;11578400000
72;11257527000;11078400000;11578400000
73;11257528000;11078400000;11578400000
74;11257530000;11078400000;11578400000
76;11257657000;11078411111;11578411111
77;11257674000;11078744444;11578744444
78;11257675000;11078744444;11578744444
79;11257676000;11078744444;11578744444
80;11297184000;11120066666;11620066666
81;11297188000;11120066666;11620066666
82;11297189000;11120066666;11620066666
84;11297191000;11120066666;11620066666
85;11297192000;11120066666;11620066666
87;11297401000;11120088888;11620088888
88;11297417000;11120400000;11620400000
89;11297419000;11120400000;11620400000
90;11297420000;11120400000;11620400000
91;11336794000;11161755555;11661755555
93;11336814000;11161755555;11661755555
94;11336816000;11161755555;11661755555
95;11336818000;11161755555;11661755555
97;11336820000;11161755555;11661755555
98;11337030000;11161766666;11661766666
99;11337061000;11162133333;11662133333
100;11337064000;11162133333;11662133333
101;11337065000;11162133333;11662133333
102;11375898000;11203411111;11703411111
103;11375902000;11203411111;11703411111
105;11375904000;11203411111;11703411111
107;11375905000;11203411111;11703411111
108;11375907000;11203411111;11703411111
112;11376017000;11203711111;11703711111
114;11415706000;11245066666;11745066666
115;11415710000;11245066666;11745066666
116;11415712000;11245066666;11745066666
118;11415713000;11245066666;11745066666
119;11415714000;11245066666;11745066666
120;11415837000;11245077777;11745077777
121;11415853000;11245388888;11745388888
122;11415855000;11245388888;11745388888
123;11415856000;11245388888;11745388888
124;11454386000;11286711111;11786711111
125;11454390000;11286711111;11786711111
126;11454391000;11286711111;11786711111
127;11454392000;11286711111;11786711111
129;11454394000;11286711111;11786711111
132;11454505000;11287000000;11787000000
133;11454509000;11287000000;11787000000
135;11494070000;11328400000;11828400000
137;11494074000;11328400000;11828400000
138;11494075000;11328400000;11828400000
139;11494076000;11328400000;11828400000
140;11494077000;11328400000;11828400000
141;11494079000;11328400000;11828400000
142;11494199000;11328422222;11828422222
143;11494247000;11328677777;11828677777
144;11494249000;11328677777;11828677777
145;11494251000;11328677777;11828677777
146;11532682000;11370066666;11870066666
147;11532686000;11370066666;11870066666
148;11532687000;11370066666;11870066666
149;11532688000;11370066666;11870066666
150;11532689000;11370066666;11870066666
151;11532690000;11370066666;11870066666
152;11532692000;11370066666;11870066666
153;11532892000;11370088888;11870088888
154;11532908000;11370400000;11870400000
155;11532910000;11370400000;11870400000
156;11532911000;11370400000;11870400000
157;11571645000;11411733333;11911733333
158;11571649000;11411733333;11911733333
159;11571650000;11411733333;11911733333
160;11571651000;11411733333;11911733333
161;11571652000;11411733333;11911733333
162;11571653000;11411733333;11911733333
163;11571655000;11411733333;11911733333
165;11571766000;11412044444;11912044444
167;11571769000;11412044444;11912044444
168;11611603000;11453400000;11953400000
169;11611606000;11453400000;11953400000
170;11611608000;11453400000;11953400000
171;11611609000;11453400000;11953400000
172;11611610000;11453400000;11953400000
173;11611611000;11453400000;11953400000
174;11611612000;11453400000;11953400000
175;11611813000;11453422222;11953422222
176;11611830000;11453722222;11953722222
178;11611831000;11453722222;11953722222
179;11651126000;11495066666;11995066666
180;11651130000;11495066666;11995066666
182;11651131000;11495066666;11995066666
183;11651133000;11495066666;11995066666
184;11651134000;11495066666;11995066666
185;11651135000;11495066666;11995066666
188;11651246000;11495377777;11995377777
189;11651249000;11495377777;11995377777
190;11691531000;11536733333;12036733333
191;11691535000;11536733333;12036733333
192;11691536000;11536733333;12036733333
193;11691537000;11536733333;12036733333
194;11691538000;11536733333;12036733333
195;11691539000;11536733333;12036733333
196;11691540000;11536733333;12036733333
197;11691741000;11536744444;12036744444
198;11691758000;11537011111;12037011111
199;11691759000;11537011111;12037011111
200;11691760000;11537011111;12037011111
201;11731699000;11578400000;12078400000
202;11731703000;11578400000;12078400000
203;11731704000;11578400000;12078400000
204;11731705000;11578400000;12078400000
205;11731707000;11578400000;12078400000
206;11731708000;11578400000;12078400000
207;11731709000;11578400000;12078400000
208;11731910000;11578411111;12078411111
209;11731926000;11578677777;12078677777
210;11731928000;11578677777;12078677777
212;11772406000;11620066666;12120066666
213;11772410000;11620066666;12120066666
214;11772411000;11620066666;12120066666
215;11772412000;11620066666;12120066666
216;11772414000;11620066666;12120066666
217;11772415000;11620066666;12120066666
219;11772535000;11620088888;12120088888
221;11772551000;11620411111;12120411111
222;11772552000;11620411111;12120411111
223;11813293000;11661733333;12161733333
224;11813296000;11661733333;12161733333
225;11813297000;11661733333;12161733333
226;11813299000;11661733333;12161733333
227;11813300000;11661733333;12161733333
228;11813301000;11661733333;12161733333
230;11813501000;11661755555;12161755555
231;11813517000;11662044444;12162044444
232;11813519000;11662044444;12162044444
233;11813520000;11662044444;12162044444
234;11854530000;11703400000;12203400000
235;11854534000;11703400000;12203400000
236;11854535000;11703400000;12203400000
237;11854536000;11703400000;12203400000
238;11854538000;11703400000;12203400000
239;11854539000;11703400000;12203400000
241;11854739000;11703411111;12203411111
242;11854755000;11703711111;12203711111
244;11854757000;11703711111;12203711111
245;11895965000;11745066666;12245066666
247;11895969000;11745066666;12245066666
248;11895970000;11745066666;12245066666
249;11895971000;11745066666;12245066666
252;11896172000;11745077777;12245077777
253;11896179000;11745400000;12245400000
254;11896181000;11745400000;12245400000
255;11896182000;11745400000;12245400000
256;11937444000;11786733333;12286733333
257;11937448000;11786733333;12286733333
258;11937449000;11786733333;12286733333
259;11937450000;11786733333;12286733333
260;11937452000;11786733333;12286733333
261;11937460000;11786733333;12286733333
262;11937462000;11786733333;12286733333
263;11937662000;11786744444;12286744444
264;11937669000;11787022222;12287022222
265;11937671000;11787022222;12287022222
266;11937672000;11787022222;12287022222
267;11979098000;11828400000;12328400000
268;11979102000;11828400000;12328400000
269;11979103000;11828400000;12328400000
270;11979104000;11828400000;12328400000
271;11979105000;11828400000;12328400000
272;11979106000;11828400000;12328400000
274;11979307000;11828411111;12328411111
275;11979323000;11828666666;12328666666
276;11979324000;11828666666;12328666666
277;11979326000;11828666666;12328666666
278;12020721000;11870066666;12370066666
279;12020725000;11870066666;12370066666
280;12020726000;11870066666;12370066666
281;12020727000;11870066666;12370066666
282;12020728000;11870066666;12370066666
283;12020729000;11870066666;12370066666
284;12020730000;11870066666;12370066666
285;12020932000;11870077777;12370077777
286;12020939000;11870388888;12370388888
287;12020940000;11870388888;12370388888
288;12020942000;11870388888;12370388888
289;12062413000;11911733333;12411733333
290;12062417000;11911733333;12411733333
292;12062419000;11911733333;12411733333
295;12062420000;11911733333;12411733333
296;12062621000;11911744444;12411744444
297;12062628000;11912011111;12412011111
298;12062629000;11912011111;12412011111
299;12062630000;11912011111;12412011111
300;12104031000;11953400000;12453400000
301;12104035000;11953400000;12453400000
302;12104036000;11953400000;12453400000
303;12104037000;11953400000;12453400000
304;12104038000;11953400000;12453400000
305;12104039000;11953400000;12453400000
308;12104253000;11953700000;12453700000
309;12104256000;11953700000;12453700000
310;12104258000;11953700000;12453700000
311;12145720000;11995077777;12495077777
314;12145724000;11995077777;12495077777
315;12145726000;11995077777;12495077777
316;12145727000;11995077777;12495077777
317;12145728000;11995077777;12495077777
320;12145919000;11995400000;12495400000
322;12187424000;12036733333;12536733333
323;12187427000;12036733333;12536733333
324;12187428000;12036733333;12536733333
325;12187429000;12036733333;12536733333
326;12187431000;12036733333;12536733333
327;12187432000;12036733333;12536733333
328;12187433000;12036733333;12536733333
329;12187553000;12036744444;12536744444
330;12187569000;12037022222;12537022222
331;12187570000;12037022222;12537022222
332;12187572000;12037022222;12537022222
333;12229067000;12078400000;12578400000
334;12229070000;12078400000;12578400000
335;12229072000;12078400000;12578400000
338;12229073000;12078400000;12578400000
339;12229074000;12078400000;12578400000
340;12229275000;12078411111;12578411111
341;12229292000;12078688888;12578688888
342;12229293000;12078688888;12578688888
343;12229294000;12078688888;12578688888
344;12270718000;12120066666;12620066666
345;12270722000;12120066666;12620066666
349;12270723000;12120066666;12620066666
350;12270724000;12120066666;12620066666
351;12270925000;12120077777;12620077777
352;12270941000;12120388888;12620388888
353;12270943000;12120388888;12620388888
354;12270944000;12120388888;12620388888
356;12312433000;12161733333;12661733333
357;12312437000;12161733333;12661733333
359;12312438000;12161733333;12661733333
360;12312439000;12161733333;12661733333
361;12312440000;12161733333;12661733333
362;12312561000;12161755555;12661755555
363;12312577000;12162022222;12662022222
366;12354076000;12203400000;12703400000
367;12354090000;12203400000;12703400000
368;12354091000;12203400000;12703400000
369;12354092000;12203400000;12703400000
370;12354093000;12203400000;12703400000
371;12354094000;12203400000;12703400000
372;12354095000;12203400000;12703400000
373;12354216000;12203411111;12703411111
374;12354232000;12203677777;12703677777
375;12354233000;12203677777;12703677777
376;12354234000;12203677777;12703677777
378;12395747000;12245066666;12745066666
379;12395760000;12245066666;12745066666
381;12395762000;12245066666;12745066666
382;12395763000;12245066666;12745066666
383;12395764000;12245066666;12745066666
384;12395884000;12245077777;12745077777
385;12395908000;12245366666;12745366666
387;12395909000;12245366666;12745366666
388;12437369000;12286733333;12786733333
389;12437373000;12286733333;12786733333
390;12437374000;12286733333;12786733333
391;12437375000;12286733333;12786733333
392;12437377000;12286733333;12786733333
393;12437378000;12286733333;12786733333
394;12437379000;12286733333;12786733333
395;12437580000;12286744444;12786744444
396;12437597000;12287033333;12787033333
397;12437598000;12287033333;12787033333
398;12437600000;12287033333;12787033333
399;12479036000;12328400000;12828400000
400;12479058000;12328400000;12828400000
401;12479060000;12328400000;12828400000
402;12479065000;12328400000;12828400000
403;12479067000;12328400000;12828400000
404;12479068000;12328400000;12828400000
405;12479069000;12328400000;12828400000
406;12479297000;12328411111;12828411111
409;12479313000;12328677777;12828677777
410;12520797000;12370077777;12870077777
411;12520807000;12370077777;12870077777
412;12520810000;12370077777;12870077777
413;12520812000;12370077777;12870077777
415;12520815000;12370077777;12870077777
416;12520817000;12370077777;12870077777
417;12521039000;12370088888;12870088888
420;12521070000;12370400000;12870400000
421;12562476000;12411733333;12911733333
422;12562494000;12411733333;12911733333
423;12562496000;12411733333;12911733333
424;12562498000;12411733333;12911733333
426;12562500000;12411733333;12911733333
428;12562708000;12411744444;12911744444
431;12562726000;12412033333;12912033333
433;12604157000;12453400000;12953400000
434;12604163000;12453400000;12953400000
436;12604165000;12453400000;12953400000
439;12604297000;12453411111;12953411111
440;12604313000;12453722222;12953722222
