seqnum;now;rtptime;deadline;packet_len;payload_len
0;7684177000;7533011111;8033011111;1398;1386
1;7684203000;7533011111;8033011111;1400;1388
4;7684265000;7563788888;8063788888;1400;1388
5;7684274000;7563788888;8063788888;1398;1386
6;7684278000;7563788888;8063788888;1400;1388
7;7684282000;7563788888;8063788888;1398;1386
8;7684287000;7563788888;8063788888;1400;1388
9;7684291000;7563788888;8063788888;1400;1388
10;7684296000;7563800000;8063800000;982;970
11;7725748000;7564133333;8064133333;1398;1386
12;7725770000;7564133333;8064133333;1400;1388
13;7725783000;7564133333;8064133333;1398;1386
14;7725792000;7605444444;8105444444;1400;1388
15;7725796000;7605444444;8105444444;1400;1388
16;7725807000;7605444444;8105444444;1398;1386
17;7725821000;7605444444;8105444444;1400;1388
18;7725829000;7605444444;8105444444;1398;1386
19;7725833000;7605444444;8105444444;1400;1388
20;7725837000;7605444444;8105444444;1400;1388
21;7725842000;7605466666;8105466666;982;970
22;7767446000;7605855555;8105855555;1398;1386
23;7767473000;7605855555;8105855555;1400;1388
24;7767478000;7605855555;8105855555;1398;1386
25;7767482000;7647111111;8147111111;1400;1388
26;7767486000;7647111111;8147111111;1400;1388
27;7767491000;7647111111;8147111111;1398;1386
28;7767495000;7647111111;8147111111;1400;1388
29;7767499000;7647111111;8147111111;1398;1386
31;7767503000;7647111111;8147111111;1400;1388
32;7767522000;7647133333;8147133333;982;970
33;7809108000;7647466666;8147466666;1398;1386
34;7809133000;7647466666;8147466666;1400;1388
35;7809140000;7647466666;8147466666;1398;1386
36;7809144000;7688766666;8188766666;1400;1388
37;7809148000;7688766666;8188766666;1400;1388
38;7809157000;7688766666;8188766666;1398;1386
39;7809160000;7688766666;8188766666;1400;1388
40;7809166000;7688766666;8188766666;1398;1386
41;7809170000;7688766666;8188766666;1400;1388
43;7809173000;7688777777;8188777777;982;970
44;7850775000;7689111111;8189111111;1398;1386
45;7850793000;7689111111;8189111111;1400;1388
46;7850797000;7689111111;8189111111;1398;1386
47;7850806000;7730455555;8230455555;1400;1388
48;7850811000;7730455555;8230455555;1400;1388
49;7850817000;7730455555;8230455555;1398;1386
50;7850821000;7730455555;8230455555;1400;1388
51;7850825000;7730455555;8230455555;1398;1386
52;7850828000;7730455555;8230455555;1400;1388
53;7850833000;7730455555;8230455555;1400;1388
54;7850837000;7730466666;8230466666;982;970
55;7892429000;7730777777;8230777777;1398;1386
56;7892443000;7730777777;8230777777;1400;1388
57;7892448000;7730777777;8230777777;1398;1386
58;7892451000;7772122222;8272122222;1400;1388
59;7892455000;7772122222;8272122222;1400;1388
60;7892459000;7772122222;8272122222;1398;1386
61;7892462000;7772122222;8272122222;1400;1388
62;7892466000;7772122222;8272122222;1398;1386
63;7892469000;7772122222;8272122222;1400;1388
64;7892472000;7772122222;8272122222;1400;1388
65;7892476000;7772144444;8272144444;982;970
66;7934118000;7772433333;8272433333;1398;1386
67;7934138000;7772433333;8272433333;1400;1388
68;7934143000;7772433333;8272433333;1398;1386
69;7934147000;7813788888;8313788888;1400;1388
70;7934151000;7813788888;8313788888;1400;1388
71;7934155000;7813788888;8313788888;1398;1386
72;7934159000;7813788888;8313788888;1400;1388
73;7934163000;7813788888;8313788888;1398;1386
74;7934167000;7813788888;8313788888;1400;1388
75;7934171000;7813788888;8313788888;1400;1388
76;7934175000;7813811111;8313811111;982;970
77;7975777000;7814133333;8314133333;1398;1386
78;7975791000;7814133333;8314133333;1400;1388
79;7975795000;7814133333;8314133333;1398;1386
80;7975799000;7855455555;8355455555;1400;1388
84;7975803000;7855455555;8355455555;1398;1386
85;7975814000;7855455555;8355455555;1400;1388
86;7975820000;7855455555;8355455555;1400;1388
87;7975826000;7855477777;8355477777;982;970
