seqnum;now;rtptime;deadline;packet_len;payload_len
0;5325445000;5233633333;5733633333;1398;1386
1;5325464000;5233633333;5733633333;1400;1388
2;5325532000;5233633333;5733633333;1398;1386
3;5325539000;5264988888;5764988888;1400;1388
4;5325544000;5264988888;5764988888;1400;1388
5;5325547000;5264988888;5764988888;1398;1386
6;5325552000;5264988888;5764988888;1400;1388
7;5325556000;5264988888;5764988888;1398;1386
8;5325560000;5264988888;5764988888;1400;1388
9;5325564000;5264988888;5764988888;1400;1388
10;5325567000;5265000000;5765000000;982;970
11;5367002000;5265322222;5765322222;1398;1386
12;5367033000;5265322222;5765322222;1400;1388
13;5367039000;5265322222;5765322222;1398;1386
14;5367068000;5306644444;5806644444;1400;1388
15;5367080000;5306644444;5806644444;1400;1388
16;5367090000;5306644444;5806644444;1398;1386
17;5367107000;5306644444;5806644444;1400;1388
18;5367111000;5306644444;5806644444;1398;1386
19;5367115000;5306644444;5806644444;1400;1388
20;5367118000;5306644444;5806644444;1400;1388
21;5367141000;5306655555;5806655555;982;970
22;5408697000;5307033333;5807033333;1398;1386
23;5408718000;5307033333;5807033333;1400;1388
24;5408722000;5307033333;5807033333;1398;1386
25;5408727000;5348311111;5848311111;1400;1388
26;5408731000;5348311111;5848311111;1400;1388
27;5408734000;5348311111;5848311111;1398;1386
28;5408738000;5348311111;5848311111;1400;1388
29;5408741000;5348311111;5848311111;1398;1386
30;5408745000;5348311111;5848311111;1400;1388
32;5408755000;5348322222;5848322222;982;970
33;5450355000;5348644444;5848644444;1398;1386
34;5450375000;5348644444;5848644444;1400;1388
35;5450384000;5348644444;5848644444;1398;1386
36;5450388000;5389977777;5889977777;1400;1388
37;5450392000;5389977777;5889977777;1400;1388
38;5450398000;5389977777;5889977777;1398;1386
39;5450402000;5389977777;5889977777;1400;1388
40;5450406000;5389977777;5889977777;1398;1386
41;5450410000;5389977777;5889977777;1400;1388
42;5450414000;5389977777;5889977777;1400;1388
43;5450418000;5389988888;5889988888;982;970
44;5492007000;5390333333;5890333333;1398;1386
45;5492023000;5390333333;5890333333;1400;1388
46;5492027000;5390333333;5890333333;1398;1386
47;5492030000;5431644444;5931644444;1400;1388
48;5492034000;5431644444;5931644444;1400;1388
49;5492038000;5431644444;5931644444;1398;1386
51;5492042000;5431644444;5931644444;1398;1386
52;5492066000;5431644444;5931644444;1400;1388
53;5492074000;5431644444;5931644444;1400;1388
55;5533686000;5431966666;5931966666;1398;1386
56;5533705000;5431966666;5931966666;1400;1388
57;5533709000;5431966666;5931966666;1398;1386
58;5533714000;5473311111;5973311111;1400;1388
59;5533718000;5473311111;5973311111;1400;1388
60;5533722000;5473311111;5973311111;1398;1386
61;5533726000;5473311111;5973311111;1400;1388
62;5533729000;5473311111;5973311111;1398;1386
63;5533733000;5473311111;5973311111;1400;1388
64;5533736000;5473311111;5973311111;1400;1388
65;5533739000;5473322222;5973322222;982;970
66;5575345000;5473611111;5973611111;1398;1386
67;5575361000;5473611111;5973611111;1400;1388
68;5575366000;5473611111;5973611111;1398;1386
69;5575370000;5514977777;6014977777;1400;1388
70;5575373000;5514977777;6014977777;1400;1388
71;5575377000;5514977777;6014977777;1398;1386
72;5575381000;5514977777;6014977777;1400;1388
73;5575384000;5514977777;6014977777;1398;1386
74;5575388000;5514977777;6014977777;1400;1388
75;5575392000;5514977777;6014977777;1400;1388
77;5617026000;5515322222;6015322222;1398;1386
78;5617067000;5515322222;6015322222;1400;1388
79;5617072000;5515322222;6015322222;1398;1386
80;5617085000;5556644444;6056644444;1400;1388
81;5617088000;5556644444;6056644444;1400;1388
82;5617091000;5556644444;6056644444;1398;1386
83;5617095000;5556644444;6056644444;1400;1388
84;5617098000;5556644444;6056644444;1398;1386
85;5617101000;5556644444;6056644444;1400;1388
86;5617104000;5556644444;6056644444;1400;1388
87;5617107000;5556655555;6056655555;982;970
89;5658647000;5556955555;6056955555;1400;1388
90;5658668000;5556955555;6056955555;1398;1386
91;5658672000;5598311111;6098311111;1400;1388
92;5658676000;5598311111;6098311111;1400;1388
95;5658679000;5598311111;6098311111;1398;1386
96;5658715000;5598311111;6098311111;1400;1388
97;5658718000;5598311111;6098311111;1400;1388
98;5658722000;5598322222;6098322222;982;970
99;5700362000;5598633333;6098633333;1398;1386
100;5700381000;5598633333;6098633333;1400;1388
101;5700386000;5598633333;6098633333;1398;1386
102;5700390000;5639977777;6139977777;1400;1388
103;5700394000;5639977777;6139977777;1400;1388
104;5700398000;5639977777;6139977777;1398;1386
105;5700402000;5639977777;6139977777;1400;1388
107;5700405000;5639977777;6139977777;1400;1388
108;5700410000;5639977777;6139977777;1400;1388
109;5700413000;5639988888;6139988888;982;970
110;5742021000;5640266666;6140266666;1398;1386
111;5742034000;5640266666;6140266666;1400;1388
112;5742038000;5640266666;6140266666;1398;1386
113;5742054000;5681644444;6181644444;1400;1388
114;5742058000;5681644444;6181644444;1400;1388
115;5742062000;5681644444;6181644444;1398;1386
116;5742065000;5681644444;6181644444;1400;1388
117;5742069000;5681644444;6181644444;1398;1386
118;5742072000;5681644444;6181644444;1400;1388
120;5742075000;5681655555;6181655555;982;970
121;5783637000;5681944444;6181944444;1398;1386
122;5783646000;5681944444;6181944444;1400;1388
123;5783650000;5681944444;6181944444;1398;1386
124;5783653000;5723288888;6223288888;1400;1388
125;5783657000;5723288888;6223288888;1400;1388
126;5783660000;5723288888;6223288888;1398;1386
127;5783663000;5723288888;6223288888;1400;1388
128;5783667000;5723288888;6223288888;1398;1386
129;5783670000;5723288888;6223288888;1400;1388
130;5783673000;5723288888;6223288888;1400;1388
131;5783676000;5723300000;6223300000;982;970
132;5825316000;5723588888;6223588888;1398;1386
133;5825325000;5723588888;6223588888;1400;1388
134;5825329000;5723588888;6223588888;1398;1386
135;5825332000;5764977777;6264977777;1400;1388
136;5825336000;5764977777;6264977777;1400;1388
137;5825339000;5764977777;6264977777;1398;1386
138;5825342000;5764977777;6264977777;1400;1388
139;5825345000;5764977777;6264977777;1398;1386
140;5825348000;5764977777;6264977777;1400;1388
141;5825351000;5764977777;6264977777;1400;1388
142;5825354000;5764988888;6264988888;982;970
143;5866995000;5765255555;6265255555;1398;1386
144;5867004000;5765255555;6265255555;1400;1388
145;5867008000;5765255555;6265255555;1398;1386
146;5867011000;5806644444;6306644444;1400;1388
147;5867014000;5806644444;6306644444;1400;1388
148;5867017000;5806644444;6306644444;1398;1386
149;5867020000;5806644444;6306644444;1400;1388
150;5867023000;5806644444;6306644444;1398;1386
151;5867027000;5806644444;6306644444;1400;1388
152;5867030000;5806644444;6306644444;1400;1388
153;5867033000;5806655555;6306655555;982;970
154;5908654000;5806977777;6306977777;1398;1386
155;5908663000;5806977777;6306977777;1400;1388
156;5908667000;5806977777;6306977777;1398;1386
157;5908670000;5848322222;6348322222;1400;1388
158;5908674000;5848322222;6348322222;1400;1388
159;5908677000;5848322222;6348322222;1398;1386
