seqnum;now;rtptime;deadline
3;3161465000;2703500000;3203500000
4;3161469000;2703500000;3203500000
5;3161471000;2703500000;3203500000
6;3161482000;2703500000;3203500000
7;3161483000;2703500000;3203500000
8;3161485000;2703500000;3203500000
9;3161487000;2703500000;3203500000
10;3219338000;2703555555;3203555555
14;3219353000;2745166666;3245166666
15;3219355000;2745166666;3245166666
16;3219356000;2745166666;3245166666
17;3219357000;2745166666;3245166666
18;3219359000;2745166666;3245166666
19;3219360000;2745166666;3245166666
20;3219361000;2745166666;3245166666
21;3260905000;2745222222;3245222222
25;3260921000;2786800000;3286800000
26;3260922000;2786800000;3286800000
27;3260924000;2786800000;3286800000
28;3260925000;2786800000;3286800000
29;3260926000;2786800000;3286800000
30;3260928000;2786800000;3286800000
31;3260929000;2786800000;3286800000
32;3302392000;2786844444;3286844444
36;3302408000;2828522222;3328522222
37;3302409000;2828522222;3328522222
38;3302410000;2828522222;3328522222
39;3302412000;2828522222;3328522222
40;3302413000;2828522222;3328522222
41;3302414000;2828522222;3328522222
42;3302415000;2828522222;3328522222
43;3343478000;2828566666;3328566666
47;3343493000;2870188888;3370188888
48;3343495000;2870188888;3370188888
49;3343496000;2870188888;3370188888
50;3343497000;2870188888;3370188888
51;3343498000;2870188888;3370188888
52;3343500000;2870188888;3370188888
53;3343501000;2870188888;3370188888
54;3384688000;2870244444;3370244444
58;3384694000;2911800000;3411800000
59;3384696000;2911800000;3411800000
60;3384697000;2911800000;3411800000
61;3384698000;2911800000;3411800000
62;3384700000;2911800000;3411800000
63;3384701000;2911800000;3411800000
64;3384702000;2911800000;3411800000
65;3424338000;2911844444;3411844444
69;3424342000;2953500000;3453500000
70;3424344000;2953500000;3453500000
71;3424345000;2953500000;3453500000
72;3424347000;2953500000;3453500000
73;3424348000;2953500000;3453500000
74;3424349000;2953500000;3453500000
75;3424351000;2953500000;3453500000
76;3465090000;2953544444;3453544444
80;3465106000;2995177777;3495177777
81;3465107000;2995177777;3495177777
82;3465109000;2995177777;3495177777
83;3465110000;2995177777;3495177777
84;3465111000;2995177777;3495177777
85;3465112000;2995177777;3495177777
86;3465113000;2995177777;3495177777
87;3503122000;2995222222;3495222222
91;3503128000;3036833333;3536833333
92;3503129000;3036833333;3536833333
93;3503131000;3036833333;3536833333
94;3503132000;3036833333;3536833333
95;3503133000;3036833333;3536833333
96;3503135000;3036833333;3536833333
97;3503136000;3036833333;3536833333
98;3542475000;3036877777;3536877777
102;3542481000;3078500000;3578500000
103;3542482000;3078500000;3578500000
104;3542484000;3078500000;3578500000
105;3542485000;3078500000;3578500000
106;3542486000;3078500000;3578500000
107;3542487000;3078500000;3578500000
108;3542488000;3078500000;3578500000
109;3579614000;3078555555;3578555555
113;3579629000;3120177777;3620177777
114;3579631000;3120177777;3620177777
115;3579632000;3120177777;3620177777
116;3579633000;3120177777;3620177777
117;3579634000;3120177777;3620177777
118;3579635000;3120177777;3620177777
119;3579636000;3120177777;3620177777
120;3619415000;3120222222;3620222222
121;3619430000;3120522222;3620522222
122;3619432000;3120522222;3620522222
123;3619432000;3120522222;3620522222
124;3657798000;3161833333;3661833333
125;3657802000;3161833333;3661833333
126;3657803000;3161833333;3661833333
127;3657804000;3161833333;3661833333
128;3657805000;3161833333;3661833333
129;3657806000;3161833333;3661833333
130;3657807000;3161833333;3661833333
131;3658008000;3161888888;3661888888
132;3658023000;3162200000;3662200000
133;3658024000;3162200000;3662200000
