seqnum;now;rtptime;deadline;packet_len;payload_len
0;5415235000;5125766666;5625766666;10240;10228
1;5415304000;5125766666;5625766666;10240;10228
2;5415320000;5125766666;5625766666;10240;10228
3;5415338000;5156688888;5656688888;10240;10228
4;5415344000;5156688888;5656688888;10240;10228
5;5415348000;5156688888;5656688888;10240;10228
6;5415353000;5156688888;5656688888;10240;10228
7;5415357000;5156688888;5656688888;10240;10228
8;5415362000;5156688888;5656688888;10240;10228
9;5415365000;5156688888;5656688888;10240;10228
10;5415375000;5156711111;5656711111;10240;10228
11;5415379000;5157055555;5657055555;10240;10228
12;5415386000;5157055555;5657055555;10240;10228
13;5415390000;5157055555;5657055555;10240;10228
14;5415397000;5198355555;5698355555;10240;10228
15;5415405000;5198355555;5698355555;10240;10228
16;5415412000;5198355555;5698355555;10240;10228
17;5415419000;5198355555;5698355555;10240;10228
18;5415424000;5198355555;5698355555;10240;10228
19;5415428000;5198355555;5698355555;10240;10228
20;5415433000;5198355555;5698355555;10240;10228
21;5415437000;5198366666;5698366666;10240;10228
22;5415442000;5198744444;5698744444;10240;10228
23;5415446000;5198744444;5698744444;10240;10228
24;5415451000;5198744444;5698744444;10240;10228
25;5415456000;5240022222;5740022222;10240;10228
26;5415466000;5240022222;5740022222;10240;10228
27;5415470000;5240022222;5740022222;10240;10228
28;5535613000;5240022222;5740022222;10240;10228
29;5535654000;5240022222;5740022222;10240;10228
30;5535664000;5240022222;5740022222;10240;10228
31;5535669000;5240022222;5740022222;10240;10228
32;5535675000;5240033333;5740033333;10240;10228
33;5535682000;5240377777;5740377777;10240;10228
34;5535689000;5240377777;5740377777;10240;10228
35;5535694000;5240377777;5740377777;10240;10228
36;5535760000;5281688888;5781688888;10240;10228
37;5535768000;5281688888;5781688888;10240;10228
38;5535780000;5281688888;5781688888;10240;10228
39;5535786000;5281688888;5781688888;10240;10228
40;5535792000;5281688888;5781688888;10240;10228
41;5535799000;5281688888;5781688888;10240;10228
42;5535805000;5281688888;5781688888;10240;10228
43;5535810000;5281700000;5781700000;10240;10228
44;5535837000;5282033333;5782033333;10240;10228
45;5535846000;5282033333;5782033333;10240;10228
46;5535851000;5282033333;5782033333;10240;10228
47;5535857000;5323355555;5823355555;10240;10228
48;5535888000;5323355555;5823355555;10240;10228
49;5535899000;5323355555;5823355555;10240;10228
50;5535908000;5323355555;5823355555;10240;10228
51;5535915000;5323355555;5823355555;10240;10228
52;5535937000;5323355555;5823355555;10240;10228
54;5535944000;5323366666;5823366666;10240;10228
55;5535965000;5323677777;5823677777;10240;10228
56;5535971000;5323677777;5823677777;10240;10228
57;5535986000;5323677777;5823677777;10240;10228
58;5535992000;5365022222;5865022222;10240;10228
59;5536008000;5365022222;5865022222;10240;10228
60;5536013000;5365022222;5865022222;10240;10228
61;5536019000;5365022222;5865022222;10240;10228
62;5536037000;5365022222;5865022222;10240;10228
63;5536059000;5365022222;5865022222;10240;10228
64;5536075000;5365022222;5865022222;10240;10228
65;5536089000;5365033333;5865033333;10240;10228
66;5536104000;5365333333;5865333333;10240;10228
67;5536110000;5365333333;5865333333;10240;10228
68;5536116000;5365333333;5865333333;10240;10228
69;5536121000;5406688888;5906688888;10240;10228
70;5536135000;5406688888;5906688888;10240;10228
71;5536141000;5406688888;5906688888;10240;10228
72;5536147000;5406688888;5906688888;10240;10228
73;5536153000;5406688888;5906688888;10240;10228
74;5536162000;5406688888;5906688888;10240;10228
75;5536228000;5406688888;5906688888;10240;10228
76;5536236000;5406700000;5906700000;10240;10228
77;5536242000;5407033333;5907033333;10240;10228
78;5536258000;5407033333;5907033333;10240;10228
79;5536264000;5407033333;5907033333;10240;10228
80;5536270000;5448333333;5948333333;10240;10228
81;5536277000;5448333333;5948333333;10240;10228
82;5564446000;5448333333;5948333333;10240;10228
83;5564491000;5448333333;5948333333;10240;10228
84;5656094000;5448333333;5948333333;10240;10228
85;5656122000;5448333333;5948333333;10240;10228
86;5656152000;5448333333;5948333333;10240;10228
87;5656158000;5448344444;5948344444;10240;10228
88;5656164000;5448755555;5948755555;10240;10228
89;5656170000;5448755555;5948755555;10240;10228
90;5656174000;5448755555;5948755555;10240;10228
91;5656178000;5490022222;5990022222;10240;10228
92;5656183000;5490022222;5990022222;10240;10228
93;5656187000;5490022222;5990022222;10240;10228
94;5656191000;5490022222;5990022222;10240;10228
95;5656195000;5490022222;5990022222;10240;10228
96;5656203000;5490022222;5990022222;10240;10228
97;5656207000;5490022222;5990022222;10240;10228
98;5656212000;5490033333;5990033333;10240;10228
99;5656216000;5490311111;5990311111;10240;10228
100;5656221000;5490311111;5990311111;10240;10228
101;5656282000;5490311111;5990311111;10240;10228
102;5656295000;5531688888;6031688888;10240;10228
103;5656300000;5531688888;6031688888;10240;10228
104;5656305000;5531688888;6031688888;10240;10228
105;5656309000;5531688888;6031688888;10240;10228
106;5656313000;5531688888;6031688888;10240;10228
107;5656317000;5531688888;6031688888;10240;10228
108;5656320000;5531688888;6031688888;10240;10228
109;5656380000;5531700000;6031700000;10240;10228
110;5656391000;5531944444;6031944444;10240;10228
111;5656396000;5531944444;6031944444;10240;10228
112;5656401000;5531944444;6031944444;10240;10228
113;5656406000;5573355555;6073355555;10240;10228
114;5656413000;5573355555;6073355555;10240;10228
115;5656418000;5573355555;6073355555;10240;10228
116;5656422000;5573355555;6073355555;10240;10228
117;5656427000;5573355555;6073355555;10240;10228
118;5656450000;5573355555;6073355555;10240;10228
119;5656456000;5573355555;6073355555;10240;10228
120;5656460000;5573366666;6073366666;10240;10228
53;5656464000;5323355555;5823355555;10240;10228
121;5776477000;5573655555;6073655555;10240;10228
122;5776497000;5573655555;6073655555;10240;10228
123;5776515000;5573655555;6073655555;10240;10228
124;5776519000;5615022222;6115022222;10240;10228
125;5776524000;5615022222;6115022222;10240;10228
126;5776528000;5615022222;6115022222;10240;10228
127;5776532000;5615022222;6115022222;10240;10228
128;5776753000;5615022222;6115022222;10240;10228
129;5776765000;5615022222;6115022222;10240;10228
130;5776770000;5615022222;6115022222;10240;10228
131;5776774000;5615033333;6115033333;10240;10228
132;5776778000;5615322222;6115322222;10240;10228
133;5776783000;5615322222;6115322222;10240;10228
134;5776788000;5615322222;6115322222;10240;10228
135;5776792000;5656677777;6156677777;10240;10228
136;5776797000;5656677777;6156677777;10240;10228
137;5776801000;5656677777;6156677777;10240;10228
138;5776806000;5656677777;6156677777;10240;10228
139;5776810000;5656677777;6156677777;10240;10228
140;5776817000;5656677777;6156677777;10240;10228
141;5776821000;5656677777;6156677777;10240;10228
142;5776826000;5656688888;6156688888;10240;10228
143;5776830000;5656966666;6156966666;10240;10228
