seqnum;now;rtptime;deadline
2;12307079000;11312922222;11812922222
5;12388392000;11344122222;11844122222
14;12429776000;11385788888;11885788888
15;12429781000;11385788888;11885788888
16;12429783000;11385788888;11885788888
17;12429786000;11385788888;11885788888
18;12429788000;11385788888;11885788888
19;12429791000;11385788888;11885788888
20;12429792000;11385788888;11885788888
21;12430004000;11385800000;11885800000
22;12430020000;11386188888;11886188888
23;12430021000;11386188888;11886188888
24;12430023000;11386188888;11886188888
25;12471001000;11427455555;11927455555
26;12471005000;11427455555;11927455555
27;12471006000;11427455555;11927455555
28;12707318000;11427455555;11927455555
29;12707326000;11427455555;11927455555
30;12707333000;11427455555;11927455555
31;12707338000;11427455555;11927455555
32;12757820000;11427466666;11927466666
47;12757836000;11510788888;12010788888
48;12757837000;11510788888;12010788888
49;12757838000;11510788888;12010788888
50;12757839000;11510788888;12010788888
51;12757840000;11510788888;12010788888
52;12757841000;11510788888;12010788888
53;12757842000;11510788888;12010788888
54;12841037000;11510800000;12010800000
55;12841062000;11511122222;12011122222
56;12841064000;11511122222;12011122222
57;12841065000;11511122222;12011122222
58;12881694000;11552455555;12052455555
59;12881697000;11552455555;12052455555
60;13107919000;11552455555;12052455555
61;13107934000;11552455555;12052455555
62;13107936000;11552455555;12052455555
63;13107948000;11552455555;12052455555
64;13107951000;11552455555;12052455555
65;13158389000;11552466666;12052466666
80;13158404000;11635788888;12135788888
81;13158406000;11635788888;12135788888
82;13158406000;11635788888;12135788888
83;13158407000;11635788888;12135788888
84;13158408000;11635788888;12135788888
85;13158409000;11635788888;12135788888
86;13158410000;11635788888;12135788888
87;13241564000;11635800000;12135800000
88;13241579000;11636122222;12136122222
89;13241580000;11636122222;12136122222
90;13241581000;11636122222;12136122222
91;13282204000;11677455555;12177455555
92;13282207000;11677455555;12177455555
93;13282208000;11677455555;12177455555
94;13282209000;11677455555;12177455555
95;13282210000;11677455555;12177455555
96;13282211000;11677455555;12177455555
97;13508524000;11677455555;12177455555
98;13559076000;11677466666;12177466666
124;13559089000;11802466666;12302466666
125;13559091000;11802466666;12302466666
126;13559092000;11802466666;12302466666
127;13559094000;11802466666;12302466666
128;13559096000;11802466666;12302466666
129;13559097000;11802466666;12302466666
130;13559099000;11802466666;12302466666
131;13683387000;11802488888;12302488888
132;13683416000;11802833333;12302833333
133;13683418000;11802833333;12302833333
134;13683420000;11802833333;12302833333
135;13722509000;11844122222;12344122222
136;13722518000;11844122222;12344122222
137;13722520000;11844122222;12344122222
138;13722522000;11844122222;12344122222
139;13909174000;11844122222;12344122222
140;13909184000;11844122222;12344122222
141;13909187000;11844122222;12344122222
142;14001562000;11844155555;12344155555
168;14001577000;11969122222;12469122222
169;14001578000;11969122222;12469122222
170;14001579000;11969122222;12469122222
171;14001580000;11969122222;12469122222
172;14001581000;11969122222;12469122222
173;14001582000;11969122222;12469122222
174;14001583000;11969122222;12469122222
175;14123699000;11969144444;12469144444
176;14123704000;11969444444;12469444444
177;14123706000;11969444444;12469444444
178;14123707000;11969444444;12469444444
179;14159594000;12010788888;12510788888
180;14159597000;12010788888;12510788888
181;14159598000;12010788888;12510788888
182;14159600000;12010788888;12510788888
183;14159610000;12010788888;12510788888
184;14159612000;12010788888;12510788888
185;14159613000;12010788888;12510788888
186;14159755000;12010811111;12510811111
187;14159758000;12011100000;12511100000
188;14309653000;12011100000;12511100000
189;14309658000;12011100000;12511100000
190;14401567000;12052455555;12552455555
215;14504261000;12135788888;12635788888
218;14710001000;12135788888;12635788888
219;14710243000;12135800000;12635800000
232;14710284000;12177766666;12677766666
234;14710310000;12219122222;12719122222
235;14710322000;12219122222;12719122222
236;14710324000;12219122222;12719122222
237;14710326000;12219122222;12719122222
239;14710327000;12219122222;12719122222
240;14710329000;12219122222;12719122222
241;14760486000;12219155555;12719155555
261;14760502000;12302455555;12802455555
274;15110516000;12344133333;12844133333
286;15110523000;12386133333;12886133333
288;15110524000;12386133333;12886133333
289;15110545000;12427444444;12927444444
290;15110547000;12427444444;12927444444
291;15110548000;12427444444;12927444444
292;15110549000;12427444444;12927444444
293;15110566000;12427444444;12927444444
294;15110568000;12427444444;12927444444
298;15160661000;12427744444;12927744444
314;15302935000;12510777777;13010777777
333;15510724000;12594111111;13094111111
338;15510728000;12594111111;13094111111
339;15510730000;12594111111;13094111111
340;15510849000;12594122222;13094122222
345;15510855000;12635777777;13135777777
347;15510857000;12635777777;13135777777
348;15510859000;12635777777;13135777777
349;15510875000;12635777777;13135777777
351;15510985000;12635788888;13135788888
355;15510990000;12677444444;13177444444
356;15510993000;12677444444;13177444444
359;15511118000;12677444444;13177444444
360;15511120000;12677444444;13177444444
361;15511121000;12677444444;13177444444
362;15602563000;12677455555;13177455555
369;15602579000;12719111111;13219111111
396;15910981000;12802766666;13302766666
402;15910997000;12844122222;13344122222
404;15911013000;12844122222;13344122222
405;15911015000;12844122222;13344122222
406;15911124000;12844133333;13344133333
410;15911130000;12885788888;13385788888
411;15911133000;12885788888;13385788888
412;15911135000;12885788888;13385788888
413;15911151000;12885788888;13385788888
414;15911154000;12885788888;13385788888
415;15911156000;12885788888;13385788888
416;15911157000;12885788888;13385788888
417;15961308000;12885800000;13385800000
427;15961323000;12927455555;13427455555
464;16311260000;13052744444;13552744444
470;16311285000;13094122222;13594122222
471;16311298000;13094122222;13594122222
472;16311403000;13094133333;13594133333
476;16311408000;13135777777;13635777777
478;16311411000;13135777777;13635777777
479;16311412000;13135777777;13635777777
480;16311414000;13135777777;13635777777
481;16311428000;13135777777;13635777777
482;16311429000;13135777777;13635777777
483;16311553000;13135788888;13635788888
487;16311558000;13177444444;13677444444
488;16311560000;13177444444;13677444444
489;16311562000;13177444444;13677444444
490;16311564000;13177444444;13677444444
491;16311574000;13177444444;13677444444
492;16311576000;13177444444;13677444444
493;16311577000;13177444444;13677444444
494;16609297000;13177455555;13677455555
951;16609321000;14927455555;15427455555
952;16609322000;14927455555;15427455555
953;16609323000;14927455555;15427455555
954;16609324000;14927455555;15427455555
955;16609325000;14927455555;15427455555
956;16609457000;14927477777;15427477777
957;16609460000;14927777777;15427777777
958;16609461000;14927777777;15427777777
959;16609462000;14927777777;15427777777
960;16609469000;14969122222;15469122222
961;16609470000;14969122222;15469122222
962;16609471000;14969122222;15469122222
963;16609483000;14969122222;15469122222
964;16609484000;14969122222;15469122222
965;16609485000;14969122222;15469122222
966;16609486000;14969122222;15469122222
967;16609564000;14969144444;15469144444
968;16609566000;14969444444;15469444444
969;16609567000;14969444444;15469444444
970;16609568000;14969444444;15469444444
971;16609573000;15010788888;15510788888
972;16609574000;15010788888;15510788888
973;16609575000;15010788888;15510788888
974;16711337000;15010788888;15510788888
975;16711343000;15010788888;15510788888
976;16711369000;15010788888;15510788888
977;16711371000;15010788888;15510788888
978;16761809000;15010800000;15510800000
1028;16761824000;15219111111;15719111111
1029;16761826000;15219111111;15719111111
1030;16761826000;15219111111;15719111111
1031;16761827000;15219111111;15719111111
1032;16761828000;15219111111;15719111111
1033;16926355000;15219133333;15719133333
1034;16926361000;15219422222;15719422222
1035;16926362000;15219422222;15719422222
1036;16926364000;15219422222;15719422222
1037;16963212000;15260788888;15760788888
1038;16963215000;15260788888;15760788888
1039;16963217000;15260788888;15760788888
1040;16963218000;15260788888;15760788888
1041;16963220000;15260788888;15760788888
1042;16963230000;15260788888;15760788888
1043;16963232000;15260788888;15760788888
1044;16963372000;15260811111;15760811111
1045;16963375000;15261122222;15761122222
1046;16963377000;15261122222;15761122222
1047;16963378000;15261122222;15761122222
1048;16997446000;15302444444;15802444444
1049;16997448000;15302444444;15802444444
1050;16997449000;15302444444;15802444444
1051;17111617000;15302444444;15802444444
1052;17111621000;15302444444;15802444444
1053;17111623000;15302444444;15802444444
1054;17111631000;15302444444;15802444444
1055;17162102000;15302466666;15802466666
1108;17162108000;15510777777;16010777777
1109;17162110000;15510777777;16010777777
1110;17364159000;15510788888;16010788888
1111;17364165000;15511133333;16011133333
1112;17364166000;15511133333;16011133333
1113;17364168000;15511133333;16011133333
1114;17397493000;15552455555;16052455555
1115;17397495000;15552455555;16052455555
1116;17397496000;15552455555;16052455555
1117;17397497000;15552455555;16052455555
1118;17397498000;15552455555;16052455555
1119;17397499000;15552455555;16052455555
1120;17397500000;15552455555;16052455555
1121;17397644000;15552466666;16052466666
1122;17397647000;15552755555;16052755555
1123;17397648000;15552755555;16052755555
1124;17397649000;15552755555;16052755555
1125;17427150000;15594111111;16094111111
1126;17427152000;15594111111;16094111111
1127;17427153000;15594111111;16094111111
1128;17427154000;15594111111;16094111111
1129;17427155000;15594111111;16094111111
1130;17427156000;15594111111;16094111111
1131;17511902000;15594111111;16094111111
1132;17562371000;15594122222;16094122222
1188;17562387000;15802755555;16302755555
1189;17562388000;15802755555;16302755555
1190;17562389000;15802755555;16302755555
1191;17798877000;15844122222;16344122222
1192;17798881000;15844122222;16344122222
1193;17798882000;15844122222;16344122222
1194;17798882000;15844122222;16344122222
1195;17798884000;15844122222;16344122222
1196;17798884000;15844122222;16344122222
1197;17798885000;15844122222;16344122222
1198;17799087000;15844144444;16344144444
1199;17799102000;15844422222;16344422222
1200;17799103000;15844422222;16344422222
1201;17799104000;15844422222;16344422222
1202;17827555000;15885788888;16385788888
1203;17827558000;15885788888;16385788888
1204;17827559000;15885788888;16385788888
1205;17827560000;15885788888;16385788888
1206;17827561000;15885788888;16385788888
1207;17827562000;15885788888;16385788888
1208;17827563000;15885788888;16385788888
1209;17827701000;15885800000;16385800000
1210;17827703000;15886100000;16386100000
1211;17912216000;15886100000;16386100000
1212;17912227000;15886100000;16386100000
1213;17962623000;15927444444;16427444444
1477;18710316000;16927455555;17427455555
1555;18710565000;17219111111;17719111111
1556;18710599000;17219111111;17719111111
1557;18710600000;17219111111;17719111111
1558;18710601000;17219111111;17719111111
1559;18710602000;17219111111;17719111111
1560;18710603000;17219111111;17719111111
1561;18710725000;17219133333;17719133333
1564;18710741000;17219411111;17719411111
1565;18710752000;17260777777;17760777777
1566;18710753000;17260777777;17760777777
1567;18710764000;17260777777;17760777777
1568;18710765000;17260777777;17760777777
1569;18710766000;17260777777;17760777777
1570;18710767000;17260777777;17760777777
1571;18710768000;17260777777;17760777777
1572;18710870000;17260800000;17760800000
1573;18710885000;17261111111;17761111111
1574;18710886000;17261111111;17761111111
1575;18710887000;17261111111;17761111111
1576;18710898000;17302444444;17802444444
1577;18710899000;17302444444;17802444444
1578;18710910000;17302444444;17802444444
1579;18710911000;17302444444;17802444444
1580;18712818000;17302444444;17802444444
1581;18712822000;17302444444;17802444444
1582;18712837000;17302444444;17802444444
1583;18763296000;17302466666;17802466666
1637;18763311000;17510777777;18010777777
1638;18965359000;17510788888;18010788888
1639;18965364000;17511188888;18011188888
1640;18965366000;17511188888;18011188888
1641;18965368000;17511188888;18011188888
1642;18998684000;17552444444;18052444444
1643;18998687000;17552444444;18052444444
1644;18998688000;17552444444;18052444444
1645;18998689000;17552444444;18052444444
1646;18998690000;17552444444;18052444444
1647;18998691000;17552444444;18052444444
1648;18998701000;17552444444;18052444444
1649;18998842000;17552466666;18052466666
1650;18998845000;17552766666;18052766666
1651;18998846000;17552766666;18052766666
1652;18998847000;17552766666;18052766666
1653;19028354000;17594111111;18094111111
1654;19028356000;17594111111;18094111111
1655;19028357000;17594111111;18094111111
1656;19028358000;17594111111;18094111111
1657;19028359000;17594111111;18094111111
1658;19028360000;17594111111;18094111111
1659;19028361000;17594111111;18094111111
1660;19163536000;17594122222;18094122222
1926;19163542000;18594422222;19094422222
1927;19163544000;18594422222;19094422222
1928;19878200000;18635788888;19135788888
1974;19878288000;18802455555;19302455555
1980;19913731000;18802744444;19302744444
1983;19913748000;18844122222;19344122222
1988;19913754000;18844122222;19344122222
1990;19913887000;18844133333;19344133333
1995;19913893000;18885788888;19385788888
1997;19913895000;18885788888;19385788888
1998;19913897000;18885788888;19385788888
1999;19913899000;18885788888;19385788888
2001;19914030000;18885800000;19385800000
2115;19914036000;19344133333;19844133333
2116;19914038000;19344133333;19844133333
2117;19914075000;19344133333;19844133333
2118;19914078000;19344133333;19844133333
2119;19914080000;19344133333;19844133333
2120;19914083000;19344133333;19844133333
2121;19914098000;19344133333;19844133333
2122;20214399000;19344155555;19844155555
2128;20214418000;19385788888;19885788888
2153;20530635000;19469133333;19969133333
2182;20530722000;19594111111;20094111111
2223;20714514000;19719488888;20219488888
2228;20714525000;19760800000;20260800000
2229;20714526000;19760800000;20260800000
2230;20714544000;19760800000;20260800000
2231;20714547000;19760800000;20260800000
2232;20714664000;19760811111;20260811111
2236;20714670000;19802455555;20302455555
2237;20714672000;19802455555;20302455555
2238;20714683000;19802455555;20302455555
2239;20714685000;19802455555;20302455555
2240;20714686000;19802455555;20302455555
2241;20714688000;19802455555;20302455555
2242;20714690000;19802455555;20302455555
2243;20714815000;19802477777;20302477777
2244;20714818000;19802777777;20302777777
2245;20714819000;19802777777;20302777777
2246;20714820000;19802777777;20302777777
2249;20806275000;19844122222;20344122222
2295;21089000000;20010788888;20510788888
2296;21089013000;20010788888;20510788888
2297;21089015000;20010788888;20510788888
2298;21089164000;20010800000;20510800000
2299;21089168000;20011111111;20511111111
2300;21089169000;20011111111;20511111111
2301;21089170000;20011111111;20511111111
2302;21089189000;20052455555;20552455555
2303;21089191000;20052455555;20552455555
2304;21089192000;20052455555;20552455555
2305;21089193000;20052455555;20552455555
2306;21089195000;20052455555;20552455555
2307;21089196000;20052455555;20552455555
2308;21089208000;20052455555;20552455555
2309;21089288000;20052466666;20552466666
2310;21089291000;20052766666;20552766666
2311;21089293000;20052766666;20552766666
2312;21089294000;20052766666;20552766666
2313;21089302000;20094122222;20594122222
2314;21089312000;20094122222;20594122222
2315;21089314000;20094122222;20594122222
2316;21089315000;20094122222;20594122222
2317;21089317000;20094122222;20594122222
2318;21114866000;20094122222;20594122222
2319;21114877000;20094122222;20594122222
2320;21165358000;20094155555;20594155555
2375;21497684000;20302477777;20802477777
2376;21497690000;20302766666;20802766666
2377;21497691000;20302766666;20802766666
2378;21497701000;20302766666;20802766666
2379;21497770000;20344122222;20844122222
2380;21497772000;20344122222;20844122222
2381;21497790000;20344122222;20844122222
2382;21497791000;20344122222;20844122222
2383;21497792000;20344122222;20844122222
2384;21497792000;20344122222;20844122222
2385;21497793000;20344122222;20844122222
2386;21497882000;20344144444;20844144444
2387;21497884000;20344455555;20844455555
2388;21497886000;20344455555;20844455555
2389;21497886000;20344455555;20844455555
2390;21497893000;20385788888;20885788888
2391;21497894000;20385788888;20885788888
2392;21497895000;20385788888;20885788888
2393;21497906000;20385788888;20885788888
2394;21497907000;20385788888;20885788888
2395;21497908000;20385788888;20885788888
2396;21497909000;20385788888;20885788888
2397;21497993000;20385800000;20885800000
2398;21515336000;20386155555;20886155555
2399;21515345000;20386155555;20886155555
2400;21515350000;20386155555;20886155555
2401;21607139000;20427455555;20927455555
2455;21767200000;20594411111;21094411111
2456;21800854000;20635800000;21135800000
2457;21800857000;20635800000;21135800000
2458;21800858000;20635800000;21135800000
2459;21800859000;20635800000;21135800000
2460;21800859000;20635800000;21135800000
2461;21800860000;20635800000;21135800000
2462;21800861000;20635800000;21135800000
2463;21801005000;20635811111;21135811111
2464;21801008000;20636122222;21136122222
2465;21801009000;20636122222;21136122222
2466;21801010000;20636122222;21136122222
2467;21830520000;20677455555;21177455555
2468;21830523000;20677455555;21177455555
2469;21830524000;20677455555;21177455555
2470;21830525000;20677455555;21177455555
2471;21830525000;20677455555;21177455555
2472;21830526000;20677455555;21177455555
2473;21830527000;20677455555;21177455555
2474;21830670000;20677477777;21177477777
2475;21830672000;20677766666;21177766666
2476;21830673000;20677766666;21177766666
2477;21830674000;20677766666;21177766666
2478;21966205000;20719122222;21219122222
2534;22168331000;20927466666;21427466666
2535;22168344000;20927466666;21427466666
2536;22168346000;20927466666;21427466666
2537;22168348000;20927466666;21427466666
2538;22168349000;20927466666;21427466666
2539;22168351000;20927466666;21427466666
2540;22168505000;20927488888;21427488888
2541;22168509000;20927777777;21427777777
2542;22168510000;20927777777;21427777777
2543;22168512000;20927777777;21427777777
2544;22201794000;20969122222;21469122222
2545;22201798000;20969122222;21469122222
2546;22201799000;20969122222;21469122222
2548;22202986000;20969122222;21469122222
2549;22202988000;20969122222;21469122222
2550;22202989000;20969122222;21469122222
2551;22203175000;20969155555;21469155555
2552;22203181000;20969444444;21469444444
2553;22203182000;20969444444;21469444444
2554;22203183000;20969444444;21469444444
2555;22231433000;21010788888;21510788888
2556;22231437000;21010788888;21510788888
2557;22231437000;21010788888;21510788888
2558;22316313000;21010788888;21510788888
2559;22316376000;21010788888;21510788888
2560;22316383000;21010788888;21510788888
2561;22316390000;21010788888;21510788888
2562;22366807000;21010811111;21510811111
2615;22366814000;21219122222;21719122222
2616;22366815000;21219122222;21719122222
2617;22568856000;21219133333;21719133333
2618;22568862000;21219422222;21719422222
2619;22568863000;21219422222;21719422222
2620;22568865000;21219422222;21719422222
2621;22602268000;21260777777;21760777777
2622;22602272000;21260777777;21760777777
2623;22602273000;21260777777;21760777777
2624;22602274000;21260777777;21760777777
2625;22602275000;21260777777;21760777777
2626;22602276000;21260777777;21760777777
2627;22602277000;21260777777;21760777777
2628;22602431000;21260800000;21760800000
2629;22602437000;21261122222;21761122222
2630;22602438000;21261122222;21761122222
2631;22602439000;21261122222;21761122222
2632;22631950000;21302455555;21802455555
2633;22631953000;21302455555;21802455555
2634;22631954000;21302455555;21802455555
2635;22631955000;21302455555;21802455555
2636;22631956000;21302455555;21802455555
2637;22631957000;21302455555;21802455555
2638;22716850000;21302455555;21802455555
2639;22767265000;21302466666;21802466666
2695;22767271000;21511100000;22011100000
2696;22767272000;21511100000;22011100000
2697;22767281000;21511100000;22011100000
2698;23003696000;21552455555;22052455555
2699;23003699000;21552455555;22052455555
2700;23003700000;21552455555;22052455555
2701;23003701000;21552455555;22052455555
2702;23003702000;21552455555;22052455555
2703;23003703000;21552455555;22052455555
2704;23003704000;21552455555;22052455555
2705;23003810000;21552466666;22052466666
2706;23003813000;21552744444;22052744444
2707;23003814000;21552744444;22052744444
2708;23003815000;21552744444;22052744444
2709;23032343000;21594122222;22094122222
2710;23032346000;21594122222;22094122222
2711;23032347000;21594122222;22094122222
2712;23032348000;21594122222;22094122222
2713;23032349000;21594122222;22094122222
2714;23032350000;21594122222;22094122222
2715;23032351000;21594122222;22094122222
2716;23032418000;21594133333;22094133333
2717;23032421000;21594433333;22094433333
2718;23117303000;21594433333;22094433333
2719;23117312000;21594433333;22094433333
2720;23167657000;21635788888;22135788888
2994;23882723000;22636100000;23136100000
3046;23882881000;22844155555;23344155555
3047;23882884000;22844411111;23344411111
3048;23882885000;22844411111;23344411111
3049;23882886000;22844411111;23344411111
3050;23882894000;22885800000;23385800000
3051;23882896000;22885800000;23385800000
3052;23882906000;22885800000;23385800000
3053;23882907000;22885800000;23385800000
3054;23882908000;22885800000;23385800000
3055;23882909000;22885800000;23385800000
3056;23882910000;22885800000;23385800000
3057;23882993000;22885811111;23385811111
3168;23883000000;23302833333;23802833333
3169;23917848000;23302833333;23802833333
3170;23917857000;23302833333;23802833333
3171;24195152000;23344166666;23844166666
3202;24503912000;23427744444;23927744444
3264;24635148000;23677455555;24177455555
3265;24635152000;23677455555;24177455555
3266;24635357000;23677477777;24177477777
3267;24635373000;23677755555;24177755555
3268;24635374000;23677755555;24177755555
3269;24635375000;23677755555;24177755555
3270;24658361000;23719122222;24219122222
3271;24658364000;23719122222;24219122222
3272;24658365000;23719122222;24219122222
3273;24658366000;23719122222;24219122222
3274;24658367000;23719122222;24219122222
3275;24658368000;23719122222;24219122222
3276;24658369000;23719122222;24219122222
3277;24658574000;23719166666;24219166666
3278;24658590000;23719555555;24219555555
3279;24658591000;23719555555;24219555555
3280;24658592000;23719555555;24219555555
3281;24675078000;23760788888;24260788888
3282;24675081000;23760788888;24260788888
3283;24675082000;23760788888;24260788888
3284;24675083000;23760788888;24260788888
3285;24675084000;23760788888;24260788888
3286;24718508000;23760788888;24260788888
3287;24718511000;23760788888;24260788888
3288;24768969000;23760811111;24260811111
3329;24768984000;23927455555;24427455555
3330;24768985000;23927455555;24427455555
3331;24768986000;23927455555;24427455555
3332;25063550000;23927477777;24427477777
3333;25063565000;23927777777;24427777777
3334;25063566000;23927777777;24427777777
3335;25063567000;23927777777;24427777777
3336;25078597000;23969122222;24469122222
3337;25078600000;23969122222;24469122222
3338;25078601000;23969122222;24469122222
3339;25078602000;23969122222;24469122222
3340;25078603000;23969122222;24469122222
3341;25078604000;23969122222;24469122222
3342;25078605000;23969122222;24469122222
3343;25078817000;23969144444;24469144444
3344;25078833000;23969455555;24469455555
3345;25078834000;23969455555;24469455555
3346;25078835000;23969455555;24469455555
3347;25087321000;24010788888;24510788888
3348;25087324000;24010788888;24510788888
3349;25087325000;24010788888;24510788888
3350;25087326000;24010788888;24510788888
3351;25118806000;24010788888;24510788888
3352;25118809000;24010788888;24510788888
3353;25118810000;24010788888;24510788888
3354;25169272000;24010800000;24510800000
3403;25169288000;24219133333;24719133333
3404;25169289000;24219133333;24719133333
3405;25169290000;24219133333;24719133333
3406;25169291000;24219133333;24719133333
3407;25169292000;24219133333;24719133333
3408;25169293000;24219133333;24719133333
3409;25491028000;24219166666;24719166666
3410;25491058000;24219444444;24719444444
3411;25491060000;24219444444;24719444444
3412;25491060000;24219444444;24719444444
3413;25491170000;24260788888;24760788888
3414;25491174000;24260788888;24760788888
3415;25491174000;24260788888;24760788888
3416;25491175000;24260788888;24760788888
3417;25491177000;24260788888;24760788888
3418;25491177000;24260788888;24760788888
3419;25491178000;24260788888;24760788888
3420;25491298000;24260811111;24760811111
3421;25491313000;24261111111;24761111111
3422;25491314000;24261111111;24761111111
3423;25491315000;24261111111;24761111111
3424;25491325000;24302455555;24802455555
3425;25491327000;24302455555;24802455555
3426;25519104000;24302455555;24802455555
3427;25519107000;24302455555;24802455555
3428;25519108000;24302455555;24802455555
3429;25519117000;24302455555;24802455555
3430;25519135000;24302455555;24802455555
3431;25569617000;24302477777;24802477777
3482;25569633000;24510788888;25010788888
3483;25569634000;24510788888;25010788888
3484;25569635000;24510788888;25010788888
3485;25569636000;24510788888;25010788888
3486;25771716000;24510800000;25010800000
3487;25771731000;24511111111;25011111111
3488;25771732000;24511111111;25011111111
3489;25771733000;24511111111;25011111111
3490;25805063000;24552466666;25052466666
3491;25805075000;24552466666;25052466666
3492;25805076000;24552466666;25052466666
3493;25805077000;24552466666;25052466666
3494;25805078000;24552466666;25052466666
3495;25805079000;24552466666;25052466666
3496;25805080000;24552466666;25052466666
3497;25805278000;24552477777;25052477777
3498;25805293000;24552755555;25052755555
3499;25805295000;24552755555;25052755555
3500;25805296000;24552755555;25052755555
3501;25834748000;24594122222;25094122222
3502;25834751000;24594122222;25094122222
3503;25834752000;24594122222;25094122222
3504;25834753000;24594122222;25094122222
3505;25919435000;24594122222;25094122222
3506;25919440000;24594122222;25094122222
3507;25919445000;24594122222;25094122222
3508;25969869000;24594155555;25094155555
3561;25969875000;24802455555;25302455555
3562;25969876000;24802455555;25302455555
3563;26171991000;24802477777;25302477777
3564;26171998000;24802755555;25302755555
3565;26171999000;24802755555;25302755555
