seqnum;now;rtptime;deadline;packet_len;payload_len
0;7500370000;6909500000;7409500000;10240;10228
1;7500461000;6909500000;7409500000;10240;10228
2;7500479000;6909500000;7409500000;10240;10228
3;7500484000;6940788888;7440788888;10240;10228
4;7500498000;6940788888;7440788888;10240;10228
5;7500502000;6940788888;7440788888;10240;10228
6;7500507000;6940788888;7440788888;10240;10228
7;7500510000;6940788888;7440788888;10240;10228
8;7500515000;6940788888;7440788888;10240;10228
9;7500519000;6940788888;7440788888;10240;10228
10;7500525000;6940822222;7440822222;10240;10228
11;7500531000;6941166666;7441166666;10240;10228
12;7500538000;6941166666;7441166666;10240;10228
13;7500541000;6941166666;7441166666;10240;10228
14;7500546000;6982444444;7482444444;10240;10228
15;7500555000;6982444444;7482444444;10240;10228
16;7500565000;6982444444;7482444444;10240;10228
17;7500571000;6982444444;7482444444;10240;10228
18;7500579000;6982444444;7482444444;10240;10228
19;7500586000;6982444444;7482444444;10240;10228
0;7500593000;6909500000;7409500000;10240;10228
20;7500599000;6982444444;7482444444;10240;10228
21;7500606000;6982455555;7482455555;10240;10228
22;7500691000;6982866666;7482866666;10240;10228
23;7500713000;6982866666;7482866666;10240;10228
24;7500731000;6982866666;7482866666;10240;10228
25;7500738000;7024111111;7524111111;10240;10228
1;7500745000;6909500000;7409500000;10240;10228
26;7500760000;7024111111;7524111111;10240;10228
27;7500768000;7024111111;7524111111;10240;10228
28;7500795000;7024111111;7524111111;10240;10228
29;7500804000;7024111111;7524111111;10240;10228
30;7500818000;7024111111;7524111111;10240;10228
31;7500822000;7024111111;7524111111;10240;10228
32;7500827000;7024122222;7524122222;10240;10228
33;7500831000;7024455555;7524455555;10240;10228
34;7500836000;7024455555;7524455555;10240;10228
35;7500855000;7024455555;7524455555;10240;10228
36;7500863000;7065777777;7565777777;10240;10228
37;7500868000;7065777777;7565777777;10240;10228
38;7500883000;7065777777;7565777777;10240;10228
39;7500893000;7065777777;7565777777;10240;10228
2;7500899000;6909500000;7409500000;10240;10228
3;7500927000;6940788888;7440788888;10240;10228
4;7501126000;6940788888;7440788888;10240;10228
5;7501154000;6940788888;7440788888;10240;10228
6;7501316000;6940788888;7440788888;10240;10228
7;7501349000;6940788888;7440788888;10240;10228
8;7501521000;6940788888;7440788888;10240;10228
9;7501745000;6940788888;7440788888;10240;10228
10;7501778000;6940822222;7440822222;10240;10228
11;7501952000;6941166666;7441166666;10240;10228
12;7501978000;6941166666;7441166666;10240;10228
13;7502181000;6941166666;7441166666;10240;10228
14;7502208000;6982444444;7482444444;10240;10228
15;7502365000;6982444444;7482444444;10240;10228
16;7502565000;6982444444;7482444444;10240;10228
17;7502599000;6982444444;7482444444;10240;10228
18;7502768000;6982444444;7482444444;10240;10228
19;7502789000;6982444444;7482444444;10240;10228
20;7502975000;6982444444;7482444444;10240;10228
21;7502985000;6982455555;7482455555;10240;10228
22;7503186000;6982866666;7482866666;10240;10228
23;7503196000;6982866666;7482866666;10240;10228
24;7503389000;6982866666;7482866666;10240;10228
25;7503586000;7024111111;7524111111;10240;10228
26;7503607000;7024111111;7524111111;10240;10228
27;7503791000;7024111111;7524111111;10240;10228
28;7503801000;7024111111;7524111111;10240;10228
29;7503981000;7024111111;7524111111;10240;10228
30;7504201000;7024111111;7524111111;10240;10228
31;7504222000;7024111111;7524111111;10240;10228
32;7504227000;7024122222;7524122222;10240;10228
33;7504414000;7024455555;7524455555;10240;10228
34;7504608000;7024455555;7524455555;10240;10228
35;7504628000;7024455555;7524455555;10240;10228
36;7504813000;7065777777;7565777777;10240;10228
37;7504824000;7065777777;7565777777;10240;10228
38;7505001000;7065777777;7565777777;10240;10228
40;7740939000;7065777777;7565777777;10240;10228
41;7741003000;7065777777;7565777777;10240;10228
42;7741014000;7065777777;7565777777;10240;10228
43;7741033000;7065788888;7565788888;10240;10228
44;7741075000;7066122222;7566122222;10240;10228
45;7741093000;7066122222;7566122222;10240;10228
46;7741128000;7066122222;7566122222;10240;10228
47;7741133000;7107444444;7607444444;10240;10228
48;7741137000;7107444444;7607444444;10240;10228
49;7741143000;7107444444;7607444444;10240;10228
50;7741146000;7107444444;7607444444;10240;10228
51;7741151000;7107444444;7607444444;10240;10228
52;7741155000;7107444444;7607444444;10240;10228
53;7741158000;7107444444;7607444444;10240;10228
54;7741162000;7107455555;7607455555;10240;10228
39;7741166000;7065777777;7565777777;10240;10228
55;7741172000;7107788888;7607788888;10240;10228
