seqnum;now;rtptime;deadline;packet_len;payload_len
0;8781615000;8043577777;8543577777;10240;10228
3;8781716000;8074011111;8574011111;10240;10228
4;8781734000;8074011111;8574011111;10240;10228
7;8781748000;8074011111;8574011111;10240;10228
8;8781752000;8074011111;8574011111;10240;10228
11;8781756000;8074388888;8574388888;10240;10228
12;8781762000;8074388888;8574388888;10240;10228
15;8781786000;8115666666;8615666666;10240;10228
16;8781798000;8115666666;8615666666;10240;10228
19;8781821000;8115666666;8615666666;10240;10228
20;8781839000;8115666666;8615666666;10240;10228
23;8781844000;8116066666;8616066666;10240;10228
24;8781852000;8116066666;8616066666;10240;10228
27;8781873000;8157333333;8657333333;10240;10228
28;8781886000;8157333333;8657333333;10240;10228
31;8781898000;8157333333;8657333333;10240;10228
32;8781928000;8157344444;8657344444;10240;10228
35;8781951000;8157677777;8657677777;10240;10228
36;8781969000;8199000000;8699000000;10240;10228
39;8781983000;8199000000;8699000000;10240;10228
40;8781995000;8199000000;8699000000;10240;10228
43;8782006000;8199011111;8699011111;10240;10228
1;8782031000;8043577777;8543577777;10240;10228
44;8782066000;8199344444;8699344444;10240;10228
47;8782074000;8240666666;8740666666;10240;10228
48;8782094000;8240666666;8740666666;10240;10228
51;8782107000;8240666666;8740666666;10240;10228
52;8782130000;8240666666;8740666666;10240;10228
63;8782143000;8282333333;8782333333;10240;10228
64;8782165000;8282333333;8782333333;10240;10228
67;8782178000;8282644444;8782644444;10240;10228
68;8782191000;8282644444;8782644444;10240;10228
2;8782204000;8043577777;8543577777;10240;10228
71;8782216000;8324000000;8824000000;10240;10228
72;8782229000;8324000000;8824000000;10240;10228
75;8782241000;8324000000;8824000000;10240;10228
76;8782253000;8324011111;8824011111;10240;10228
78;8782265000;8324344444;8824344444;10240;10228
79;8782278000;8324344444;8824344444;10240;10228
5;8782290000;8074011111;8574011111;10240;10228
6;8782305000;8074011111;8574011111;10240;10228
9;8782354000;8074011111;8574011111;10240;10228
10;8782370000;8074033333;8574033333;10240;10228
13;8782556000;8074388888;8574388888;10240;10228
14;8782572000;8115666666;8615666666;10240;10228
17;8782754000;8115666666;8615666666;10240;10228
18;8782764000;8115666666;8615666666;10240;10228
21;8782956000;8115677777;8615677777;10240;10228
22;8782965000;8116066666;8616066666;10240;10228
25;8783170000;8157333333;8657333333;10240;10228
26;8783376000;8157333333;8657333333;10240;10228
29;8783391000;8157333333;8657333333;10240;10228
30;8783572000;8157333333;8657333333;10240;10228
