seqnum;now;rtptime;deadline;packet_len;payload_len
0;6899333000;6710811111;7210811111;10240;10228
1;6899388000;6710811111;7210811111;10240;10228
2;6899402000;6710811111;7210811111;10240;10228
5;6899406000;6742011111;7242011111;10240;10228
6;6899414000;6742011111;7242011111;10240;10228
7;6899429000;6742011111;7242011111;10240;10228
8;6899435000;6742011111;7242011111;10240;10228
9;6899439000;6742011111;7242011111;10240;10228
10;6899445000;6742033333;7242033333;10240;10228
11;6899451000;6742355555;7242355555;10240;10228
12;6899467000;6742355555;7242355555;10240;10228
13;6899472000;6742355555;7242355555;10240;10228
14;6899479000;6783655555;7283655555;10240;10228
15;6899483000;6783655555;7283655555;10240;10228
16;6899492000;6783655555;7283655555;10240;10228
17;6899499000;6783655555;7283655555;10240;10228
18;6899505000;6783655555;7283655555;10240;10228
19;6899511000;6783655555;7283655555;10240;10228
20;6899521000;6783655555;7283655555;10240;10228
21;6899528000;6783677777;7283677777;10240;10228
0;6899538000;6710811111;7210811111;10240;10228
22;6899545000;6784066666;7284066666;10240;10228
23;6899552000;6784066666;7284066666;10240;10228
24;6899557000;6784066666;7284066666;10240;10228
25;6899573000;6825322222;7325322222;10240;10228
26;6899611000;6825322222;7325322222;10240;10228
28;6899631000;6825322222;7325322222;10240;10228
29;6899644000;6825322222;7325322222;10240;10228
30;6899654000;6825322222;7325322222;10240;10228
31;6899678000;6825322222;7325322222;10240;10228
32;6899686000;6825344444;7325344444;10240;10228
1;6899693000;6710811111;7210811111;10240;10228
2;6899896000;6710811111;7210811111;10240;10228
3;6899919000;6742011111;7242011111;10240;10228
4;6900145000;6742011111;7242011111;10240;10228
5;6900154000;6742011111;7242011111;10240;10228
6;6900305000;6742011111;7242011111;10240;10228
7;6900315000;6742011111;7242011111;10240;10228
8;6900503000;6742011111;7242011111;10240;10228
9;6900699000;6742011111;7242011111;10240;10228
10;6900720000;6742033333;7242033333;10240;10228
11;6900907000;6742355555;7242355555;10240;10228
12;6900918000;6742355555;7242355555;10240;10228
13;6901140000;6742355555;7242355555;10240;10228
14;6901150000;6783655555;7283655555;10240;10228
17;6901325000;6783655555;7283655555;10240;10228
18;6901519000;6783655555;7283655555;10240;10228
19;6901541000;6783655555;7283655555;10240;10228
20;6901723000;6783655555;7283655555;10240;10228
21;6901745000;6783677777;7283677777;10240;10228
22;6901928000;6784066666;7284066666;10240;10228
23;6901940000;6784066666;7284066666;10240;10228
24;6902147000;6784066666;7284066666;10240;10228
25;6902159000;6825322222;7325322222;10240;10228
26;6902348000;6825322222;7325322222;10240;10228
27;6902542000;6825322222;7325322222;10240;10228
28;6902564000;6825322222;7325322222;10240;10228
29;6902748000;6825322222;7325322222;10240;10228
32;6902761000;6825344444;7325344444;10240;10228
33;6905863000;6825688888;7325688888;10240;10228
34;6905881000;6825688888;7325688888;10240;10228
35;6905892000;6825688888;7325688888;10240;10228
36;6905917000;6867022222;7367022222;10240;10228
37;6905927000;6867022222;7367022222;10240;10228
38;6905936000;6867022222;7367022222;10240;10228
39;6905951000;6867022222;7367022222;10240;10228
33;6906103000;6825688888;7325688888;10240;10228
34;6906294000;6825688888;7325688888;10240;10228
35;6906488000;6825688888;7325688888;10240;10228
36;6906511000;6867022222;7367022222;10240;10228
37;6906691000;6867022222;7367022222;10240;10228
38;6906713000;6867022222;7367022222;10240;10228
40;6979828000;6867022222;7367022222;10240;10228
41;6979866000;6867022222;7367022222;10240;10228
42;6979879000;6867022222;7367022222;10240;10228
43;6979888000;6867077777;7367077777;10240;10228
44;6979896000;6867444444;7367444444;10240;10228
45;6979903000;6867444444;7367444444;10240;10228
46;6979910000;6867444444;7367444444;10240;10228
47;6979923000;6908655555;7408655555;10240;10228
48;6979948000;6908655555;7408655555;10240;10228
49;6979962000;6908655555;7408655555;10240;10228
3;6979986000;6742011111;7242011111;10240;10228
4;6979995000;6742011111;7242011111;10240;10228
51;6980014000;6908655555;7408655555;10240;10228
52;6980071000;6908655555;7408655555;10240;10228
54;6980077000;6908677777;7408677777;10240;10228
39;6980081000;6867022222;7367022222;10240;10228
40;6980183000;6867022222;7367022222;10240;10228
41;6980381000;6867022222;7367022222;10240;10228
42;6980398000;6867022222;7367022222;10240;10228
44;6980586000;6867444444;7367444444;10240;10228
45;6980603000;6867444444;7367444444;10240;10228
48;6980783000;6908655555;7408655555;10240;10228
49;6980789000;6908655555;7408655555;10240;10228
50;6980984000;6908655555;7408655555;10240;10228
51;6981200000;6908655555;7408655555;10240;10228
53;6981220000;6908655555;7408655555;10240;10228
54;6981402000;6908677777;7408677777;10240;10228
15;6981953000;6783655555;7283655555;10240;10228
16;6982164000;6783655555;7283655555;10240;10228
27;6986346000;6825322222;7325322222;10240;10228
30;6986722000;6825322222;7325322222;10240;10228
31;6986914000;6825322222;7325322222;10240;10228
55;6989138000;6908988888;7408988888;10240;10228
56;6989154000;6908988888;7408988888;10240;10228
57;6989173000;6908988888;7408988888;10240;10228
58;6989181000;6950355555;7450355555;10240;10228
59;6989194000;6950355555;7450355555;10240;10228
60;6989218000;6950355555;7450355555;10240;10228
61;6989229000;6950355555;7450355555;10240;10228
62;6989237000;6950355555;7450355555;10240;10228
63;6989258000;6950355555;7450355555;10240;10228
64;6989271000;6950355555;7450355555;10240;10228
65;6989280000;6950444444;7450444444;10240;10228
55;6989377000;6908988888;7408988888;10240;10228
59;6989579000;6950355555;7450355555;10240;10228
60;6989774000;6950355555;7450355555;10240;10228
61;6989794000;6950355555;7450355555;10240;10228
