seqnum;now;rtptime;deadline
1;7659745000;7269822222;7769822222
13;7793871000;7300955555;7800955555
25;7828872000;7383911111;7883911111
63;8367472000;7508911111;8008911111
231;8654147000;8134222222;8634222222
255;8792303000;8217588888;8717588888
293;8917929000;8384011111;8884011111
351;9101195000;8592266666;9092266666
396;9101216000;8759200000;9259200000
397;9101218000;8759200000;9259200000
398;9101219000;8759200000;9259200000
399;9246606000;8800566666;9300566666
439;9413418000;8925600000;9425600000
484;9423119000;9092622222;9592622222
485;9423122000;9092622222;9592622222
486;9423123000;9092622222;9592622222
487;9563136000;9133900000;9633900000
531;9839932000;9300566666;9800566666
551;9918364000;9342600000;9842600000
590;9998924000;9508922222;10008922222
644;10235004000;9717244444;10217244444
672;10282569000;9800888888;10300888888
673;10282579000;9800888888;10300888888
732;10514991000;10050577777;10550577777
753;10558762000;10133900000;10633900000
764;10693689000;10175577777;10675577777
813;10838191000;10342266666;10842266666
858;10838198000;10509222222;11009222222
859;10838199000;10509222222;11009222222
860;10838200000;10509222222;11009222222
861;10955341000;10550566666;11050566666
901;11247652000;10675600000;11175600000
935;11247673000;10800900000;11300900000
988;11404755000;11008922222;11508922222
1033;11672041000;11175600000;11675600000
1046;11672293000;11217588888;11717588888
1047;11672295000;11217588888;11717588888
1048;11794178000;11258900000;11758900000
1063;11831659000;11300588888;11800588888
1091;11910517000;11384200000;11884200000
1100;11949567000;11425855555;11925855555
1156;12092511000;11634200000;12134200000
1195;12249609000;11800577777;12300577777
1241;12422801000;11967244444;12467244444
1251;12422938000;12008900000;12508900000
1285;12561220000;12133911111;12633911111
1328;12794248000;12300577777;12800577777
1333;12867127000;12300877777;12800877777
1361;12967438000;12425577777;12925577777
1393;13058694000;12550788888;13050788888
1449;13215715000;12758911111;13258911111
1492;13366446000;12925577777;13425577777
1540;13522175000;13092588888;13592588888
1582;13757632000;13258922222;13758922222
1601;13848526000;13342233333;13842233333
1608;13848644000;13342588888;13842588888
1664;14079232000;13592244444;14092244444
1685;14169597000;13634211111;14134211111
1687;14210819000;13675811111;14175811111
1688;14210822000;13675811111;14175811111
1743;14376869000;13883911111;14383911111
1793;14537394000;14050877777;14550877777
1835;14714320000;14217244444;14717244444
1882;14879976000;14384188888;14884188888
1897;14978018000;14467233333;14967233333
1908;15014711000;14508911111;15008911111
1909;15014715000;14508911111;15008911111
1959;15155369000;14675844444;15175844444
2000;15277850000;14842244444;15342244444
2045;15470722000;15008933333;15508933333
2085;15470738000;15175577777;15675577777
2086;15470739000;15175577777;15675577777
2087;15470740000;15175577777;15675577777
2088;15470741000;15175577777;15675577777
2093;15656917000;15217233333;15717233333
2136;15795125000;15342588888;15842588888
2175;15981161000;15508911111;16008911111
