seqnum;now;rtptime;deadline;packet_len;payload_len
1;8256001000;7985844444;8485844444;10240;10228
2;8256118000;7985844444;8485844444;10240;10228
5;8256148000;8017144444;8517144444;10240;10228
6;8256156000;8017144444;8517144444;10240;10228
9;8256169000;8017144444;8517144444;10240;10228
10;8256175000;8017166666;8517166666;10240;10228
13;8256180000;8017522222;8517522222;10240;10228
14;8256204000;8058811111;8558811111;10240;10228
17;8256213000;8058811111;8558811111;10240;10228
18;8256221000;8058811111;8558811111;10240;10228
21;8256226000;8058822222;8558822222;10240;10228
22;8256230000;8059200000;8559200000;10240;10228
25;8256236000;8100477777;8600477777;10240;10228
26;8256243000;8100477777;8600477777;10240;10228
29;8256248000;8100477777;8600477777;10240;10228
30;8256254000;8100477777;8600477777;10240;10228
33;8256258000;8100822222;8600822222;10240;10228
36;8256263000;8142144444;8642144444;10240;10228
37;8256268000;8142144444;8642144444;10240;10228
40;8256299000;8142144444;8642144444;10240;10228
41;8256306000;8142144444;8642144444;10240;10228
0;8256336000;7985844444;8485844444;10240;10228
44;8256344000;8142488888;8642488888;10240;10228
45;8256355000;8142488888;8642488888;10240;10228
48;8256378000;8183811111;8683811111;10240;10228
49;8256397000;8183811111;8683811111;10240;10228
52;8256408000;8183811111;8683811111;10240;10228
53;8256419000;8183811111;8683811111;10240;10228
3;8256431000;8017144444;8517144444;10240;10228
4;8256532000;8017144444;8517144444;10240;10228
7;8256548000;8017144444;8517144444;10240;10228
8;8256735000;8017144444;8517144444;10240;10228
11;8256750000;8017522222;8517522222;10240;10228
12;8256933000;8017522222;8517522222;10240;10228
15;8256950000;8058811111;8558811111;10240;10228
16;8257172000;8058811111;8558811111;10240;10228
19;8257363000;8058811111;8558811111;10240;10228
20;8257372000;8058811111;8558811111;10240;10228
23;8257559000;8059200000;8559200000;10240;10228
24;8257566000;8059200000;8559200000;10240;10228
27;8257764000;8100477777;8600477777;10240;10228
28;8257970000;8100477777;8600477777;10240;10228
31;8257976000;8100477777;8600477777;10240;10228
32;8258182000;8100488888;8600488888;10240;10228
34;8258192000;8100822222;8600822222;10240;10228
35;8258379000;8100822222;8600822222;10240;10228
38;8258394000;8142144444;8642144444;10240;10228
39;8258570000;8142144444;8642144444;10240;10228
42;8258590000;8142144444;8642144444;10240;10228
43;8258798000;8142155555;8642155555;10240;10228
46;8258810000;8142488888;8642488888;10240;10228
47;8258976000;8183811111;8683811111;10240;10228
50;8259198000;8183811111;8683811111;10240;10228
51;8259204000;8183811111;8683811111;10240;10228
54;8259400000;8183822222;8683822222;10240;10228
56;8265628000;8184133333;8684133333;10240;10228
58;8265644000;8225500000;8725500000;10240;10228
60;8265649000;8225500000;8725500000;10240;10228
62;8265737000;8225500000;8725500000;10240;10228
