seqnum;now;rtptime;deadline
1;21057425000;8157288888;8657288888
2;21057429000;8157288888;8657288888
3;21410307000;8188455555;8688455555
236;21615123000;9063455555;9563455555
513;21860303000;10105122222;10605122222
783;22622975000;11105455555;11605455555
1958;23658779000;15563711111;16063711111
3715;24032657000;22230133333;22730133333
3793;24257322000;22521788888;23021788888
3838;24380892000;22688455555;23188455555
3864;24380897000;22813466666;23313466666
3865;24380899000;22813466666;23313466666
3866;24380900000;22813466666;23313466666
3867;24380901000;22813466666;23313466666
3868;24380902000;22813466666;23313466666
3871;24464766000;22813488888;23313488888
3885;24489927000;22855422222;23355422222
3886;24522445000;22896777777;23396777777
3897;24550849000;22938444444;23438444444
3914;24568006000;22980133333;23480133333
3915;24568146000;22980144444;23480144444
3916;24568152000;22980477777;23480477777
3917;24568154000;22980477777;23480477777
3918;24568155000;22980477777;23480477777
3919;24592669000;23021811111;23521811111
3930;24617156000;23063488888;23563488888
3931;24617159000;23063488888;23563488888
3932;24617161000;23063488888;23563488888
3933;24617162000;23063488888;23563488888
3934;24617164000;23063488888;23563488888
3935;24617165000;23063488888;23563488888
3936;24617166000;23063488888;23563488888
3937;24617298000;23063500000;23563500000
3938;24617304000;23063788888;23563788888
3939;24617305000;23063788888;23563788888
3940;24617307000;23063788888;23563788888
3941;24641016000;23105111111;23605111111
3951;24641088000;23105433333;23605433333
3952;24664407000;23146777777;23646777777
3959;24664573000;23146788888;23646788888
3962;24664576000;23147077777;23647077777
3963;24664587000;23188477777;23688477777
3964;24664599000;23188477777;23688477777
3965;24664600000;23188477777;23688477777
3966;24664601000;23188477777;23688477777
3967;24664603000;23188477777;23688477777
3968;24664604000;23188477777;23688477777
3969;24664605000;23188477777;23688477777
3970;24687513000;23188488888;23688488888
3976;24687530000;23230144444;23730144444
3977;24687532000;23230144444;23730144444
3978;24687533000;23230144444;23730144444
3979;24687535000;23230144444;23730144444
3980;24687536000;23230144444;23730144444
3981;24709792000;23230155555;23730155555
3991;24709808000;23271788888;23771788888
3992;24709928000;23271800000;23771800000
3993;24709945000;23272077777;23772077777
3994;24709946000;23272077777;23772077777
3995;24709947000;23272077777;23772077777
3996;24759587000;23313444444;23813444444
4006;24759659000;23313744444;23813744444
4007;24780141000;23355111111;23855111111
4008;24780145000;23355111111;23855111111
4009;24780147000;23355111111;23855111111
4010;24780148000;23355111111;23855111111
4011;24780149000;23355111111;23855111111
4012;24780150000;23355111111;23855111111
4013;24780152000;23355111111;23855111111
4014;24780337000;23355122222;23855122222
4015;24780352000;23355422222;23855422222
4016;24780354000;23355422222;23855422222
4017;24780355000;23355422222;23855422222
4018;24800391000;23396800000;23896800000
4030;24800504000;23438466666;23938466666
4031;24800508000;23438466666;23938466666
4032;24800509000;23438466666;23938466666
4033;24800510000;23438466666;23938466666
4034;24800512000;23438466666;23938466666
4035;24800513000;23438466666;23938466666
4036;24800633000;23438477777;23938477777
4037;24800648000;23438800000;23938800000
4038;24800650000;23438800000;23938800000
4039;24800651000;23438800000;23938800000
4040;24813774000;23480122222;23980122222
4041;24813778000;23480122222;23980122222
4042;24813779000;23480122222;23980122222
4043;24813781000;23480122222;23980122222
4044;24813782000;23480122222;23980122222
4045;24813784000;23480122222;23980122222
4046;24813785000;23480122222;23980122222
4047;24813925000;23480133333;23980133333
4048;24813928000;23480422222;23980422222
4049;24813930000;23480422222;23980422222
4050;24813931000;23480422222;23980422222
4051;24835509000;23521788888;24021788888
4066;24844994000;23563444444;24063444444
4067;24844997000;23563444444;24063444444
4068;24844998000;23563444444;24063444444
4069;24845097000;23563455555;24063455555
4070;24845111000;23563733333;24063733333
4071;24845122000;23563733333;24063733333
4072;24845124000;23563733333;24063733333
4073;24861845000;23605122222;24105122222
4074;24861847000;23605122222;24105122222
4075;24861848000;23605122222;24105122222
4076;24861850000;23605122222;24105122222
4077;24861851000;23605122222;24105122222
4078;24861852000;23605122222;24105122222
4079;24861853000;23605122222;24105122222
4080;24861976000;23605133333;24105133333
4081;24861979000;23605433333;24105433333
4082;24861980000;23605433333;24105433333
4083;24861982000;23605433333;24105433333
4084;24879214000;23646822222;24146822222
4094;24879288000;23647155555;24147155555
4095;24902984000;23688477777;24188477777
4096;24902986000;23688477777;24188477777
4097;24902987000;23688477777;24188477777
4098;24902989000;23688477777;24188477777
4099;24902990000;23688477777;24188477777
4100;24902991000;23688477777;24188477777
4101;24902993000;23688477777;24188477777
4102;24903066000;23688500000;24188500000
4103;24903069000;23688788888;24188788888
4104;24903070000;23688788888;24188788888
4106;24910066000;23730111111;24230111111
4107;24910068000;23730111111;24230111111
4108;24910069000;23730111111;24230111111
4109;24910070000;23730111111;24230111111
4110;24910071000;23730111111;24230111111
4111;24910072000;23730111111;24230111111
4113;24910121000;23730122222;24230122222
4114;24910123000;23730422222;24230422222
4115;24910134000;23730422222;24230422222
4116;24910135000;23730422222;24230422222
4117;24929669000;23771800000;24271800000
4131;24955250000;23813477777;24313477777
4134;24955254000;23813477777;24313477777
4135;24955396000;23813555555;24313555555
4136;24955411000;23813888888;24313888888
4137;24955413000;23813888888;24313888888
4138;24955414000;23813888888;24313888888
4139;24955425000;23855144444;24355144444
4140;24955437000;23855144444;24355144444
4141;24955438000;23855144444;24355144444
4142;24955439000;23855144444;24355144444
4143;24955441000;23855144444;24355144444
4144;24955442000;23855144444;24355144444
4145;24955443000;23855144444;24355144444
4146;24971012000;23855200000;24355200000
4157;24997501000;23896866666;24396866666
4164;24997507000;23938477777;24438477777
4165;24997518000;23938477777;24438477777
4166;24997520000;23938477777;24438477777
4167;24997521000;23938477777;24438477777
4168;25024522000;23938566666;24438566666
4175;25024537000;23980133333;24480133333
4176;25024539000;23980133333;24480133333
4177;25024540000;23980133333;24480133333
4178;25024542000;23980133333;24480133333
4179;25042354000;23980144444;24480144444
4190;25056489000;24021866666;24521866666
4191;25056495000;24022155555;24522155555
4192;25056497000;24022155555;24522155555
4193;25056498000;24022155555;24522155555
4194;25056509000;24063500000;24563500000
4195;25056510000;24063500000;24563500000
4196;25056522000;24063500000;24563500000
4197;25056523000;24063500000;24563500000
4198;25056525000;24063500000;24563500000
4199;25056526000;24063500000;24563500000
4200;25056527000;24063500000;24563500000
4201;25076545000;24063588888;24563588888
4204;25076560000;24063855555;24563855555
4207;25105465000;24105144444;24605144444
4217;25134739000;24146811111;24646811111
4225;25134853000;24147155555;24647155555
4226;25134856000;24147155555;24647155555
4227;25164355000;24188477777;24688477777
4233;25164359000;24188477777;24688477777
4234;25164576000;24188566666;24688566666
4237;25164579000;24188855555;24688855555
4238;25164588000;24230155555;24730155555
4239;25164589000;24230155555;24730155555
4240;25164601000;24230155555;24730155555
4241;25164602000;24230155555;24730155555
4242;25164604000;24230155555;24730155555
4243;25164605000;24230155555;24730155555
4244;25164608000;24230155555;24730155555
4245;25190418000;24230211111;24730211111
4250;25190433000;24271811111;24771811111
4251;25190435000;24271811111;24771811111
4252;25190436000;24271811111;24771811111
4253;25190438000;24271811111;24771811111
4254;25190439000;24271811111;24771811111
4255;25190440000;24271811111;24771811111
4256;25216963000;24271866666;24771866666
4269;25216978000;24313844444;24813844444
4270;25216980000;24313844444;24813844444
4271;25271398000;24355144444;24855144444
4284;25295829000;24396811111;24896811111
4295;25324293000;24438477777;24938477777
4300;25324496000;24438566666;24938566666
4301;25324512000;24438866666;24938866666
4302;25324513000;24438866666;24938866666
4303;25324514000;24438866666;24938866666
4304;25324525000;24480144444;24980144444
4305;25324536000;24480144444;24980144444
4306;25324537000;24480144444;24980144444
4307;25324538000;24480144444;24980144444
4308;25324539000;24480144444;24980144444
4309;25324540000;24480144444;24980144444
4310;25324541000;24480144444;24980144444
4311;25356410000;24480211111;24980211111
4323;25356425000;24522166666;25022166666
4324;25356426000;24522166666;25022166666
4325;25356427000;24522166666;25022166666
4326;25415215000;24563477777;25063477777
4350;25478293000;24646822222;25146822222
4359;25508716000;24688488888;25188488888
4374;25536995000;24730155555;25230155555
4375;25536998000;24730155555;25230155555
4376;25537000000;24730155555;25230155555
4377;25537222000;24730211111;25230211111
4378;25537237000;24730555555;25230555555
4379;25537239000;24730555555;25230555555
4380;25537240000;24730555555;25230555555
4381;25570926000;24771822222;25271822222
4391;25571039000;24772177777;25272177777
4392;25605016000;24813488888;25313488888
4403;25636849000;24855155555;25355155555
4415;25666675000;24896822222;25396822222
4429;25701470000;24938488888;25438488888
4430;25701473000;24938488888;25438488888
4431;25701474000;24938488888;25438488888
4432;25701675000;24938577777;25438577777
4433;25701690000;24938877777;25438877777
4434;25701692000;24938877777;25438877777
4435;25701693000;24938877777;25438877777
4436;25701703000;24980155555;25480155555
4437;25701704000;24980155555;25480155555
4438;25701716000;24980155555;25480155555
4439;25701717000;24980155555;25480155555
4440;25701718000;24980155555;25480155555
4441;25701718000;24980155555;25480155555
4442;25701719000;24980155555;25480155555
4443;25734294000;24980222222;25480222222
4455;25734309000;25022188888;25522188888
4456;25734311000;25022188888;25522188888
4457;25734311000;25022188888;25522188888
4458;25804885000;25063488888;25563488888
4480;25870033000;25146822222;25646822222
4493;25873811000;25188488888;25688488888
4503;25938259000;25230155555;25730155555
4515;25970856000;25271822222;25771822222
4525;25983052000;25313488888;25813488888
4526;25983055000;25313488888;25813488888
4527;25983056000;25313488888;25813488888
4528;25983057000;25313488888;25813488888
4529;25983058000;25313488888;25813488888
4530;25983059000;25313488888;25813488888
4531;26007373000;25313588888;25813588888
4546;26007389000;25396822222;25896822222
4547;26007390000;25396822222;25896822222
4548;26007391000;25396822222;25896822222
4549;26007392000;25396822222;25896822222
4550;26007393000;25396822222;25896822222
4551;26007394000;25396822222;25896822222
4552;26007395000;25396822222;25896822222
4553;26079284000;25396900000;25896900000
4567;26079299000;25438888888;25938888888
4568;26153068000;25480155555;25980155555
4590;26222983000;25563488888;26063488888
4613;26294950000;25646822222;26146822222
4636;26369386000;25730155555;26230155555
4648;26406998000;25771822222;26271822222
4661;26445160000;25813500000;26313500000
4672;26459165000;25855166666;26355166666
4684;26519200000;25896822222;26396822222
4696;26556246000;25938611111;26438611111
4707;26593579000;25980244444;26480244444
4720;26593584000;26022188888;26522188888
4721;26593585000;26022188888;26522188888
4722;26669861000;26063500000;26563500000
4744;26745278000;26146833333;26646833333
4753;26745391000;26147211111;26647211111
4754;26745394000;26147211111;26647211111
4755;26768564000;26188500000;26688500000
4765;26782145000;26188933333;26688933333
4767;26821257000;26230166666;26730166666
4778;26860304000;26271855555;26771855555
4791;26897719000;26313500000;26813500000
4803;26937719000;26355166666;26855166666
4817;26975439000;26396922222;26896922222
4826;26975446000;26438500000;26938500000
4827;26975447000;26438500000;26938500000
4828;27014789000;26438622222;26938622222
4838;27014795000;26480166666;26980166666
4839;27053490000;26480255555;26980255555
4849;27053514000;26521833333;27021833333
4850;27135202000;26521922222;27021922222
4871;27135222000;26605166666;27105166666
4872;27189861000;26605255555;27105255555
4883;27213304000;26646933333;27146933333
4894;27248660000;26688622222;27188622222
4902;27248669000;26730166666;27230166666
4903;27248671000;26730166666;27230166666
4904;27248672000;26730166666;27230166666
4905;27287797000;26730266666;27230266666
4908;27287814000;26730611111;27230611111
4909;27326330000;26771833333;27271833333
4918;27326445000;26772233333;27272233333
4919;27326449000;26772233333;27272233333
4920;27365232000;26813500000;27313500000
4928;27365347000;26813933333;27313933333
4929;27365351000;26813933333;27313933333
4930;27365352000;26813933333;27313933333
4931;27404662000;26855166666;27355166666
4938;27404866000;26855266666;27355266666
4939;27404882000;26855600000;27355600000
4940;27404883000;26855600000;27355600000
4941;27404885000;26855600000;27355600000
4942;27443624000;26896833333;27396833333
4950;27443738000;26897222222;27397222222
4951;27443742000;26897222222;27397222222
4952;27443743000;26897222222;27397222222
4953;27483721000;26938500000;27438500000
4960;27483932000;26938633333;27438633333
4961;27483947000;26938933333;27438933333
4962;27483949000;26938933333;27438933333
4963;27483950000;26938933333;27438933333
4964;27523824000;26980166666;27480166666
4971;27524028000;26980266666;27480266666
4972;27524047000;26980622222;27480622222
4973;27524049000;26980622222;27480622222
4974;27524050000;26980622222;27480622222
4975;27564034000;27021833333;27521833333
4982;27564260000;27021944444;27521944444
4983;27564276000;27022244444;27522244444
4984;27564278000;27022244444;27522244444
4985;27564279000;27022244444;27522244444
4986;27603223000;27063511111;27563511111
4994;27603297000;27063955555;27563955555
4995;27603299000;27063955555;27563955555
4996;27603301000;27063955555;27563955555
4997;27642605000;27105188888;27605188888
5005;27642687000;27105677777;27605677777
5006;27642689000;27105677777;27605677777
5007;27642690000;27105677777;27605677777
5008;27682983000;27146844444;27646844444
5014;27682987000;27146844444;27646844444
5015;27683208000;27146944444;27646944444
5016;27683223000;27147255555;27647255555
5017;27683224000;27147255555;27647255555
5018;27683226000;27147255555;27647255555
5019;27722810000;27188500000;27688500000
5027;27722917000;27188933333;27688933333
5028;27722920000;27188933333;27688933333
5029;27722921000;27188933333;27688933333
5030;27762871000;27230177777;27730177777
5038;27762983000;27230622222;27730622222
5039;27762987000;27230622222;27730622222
5040;27762988000;27230622222;27730622222
5041;27803245000;27271844444;27771844444
5047;27803248000;27271844444;27771844444
5048;27803449000;27271944444;27771944444
5049;27803464000;27272255555;27772255555
5050;27803465000;27272255555;27772255555
5051;27803467000;27272255555;27772255555
5052;27843756000;27313511111;27813511111
5060;27843869000;27313933333;27813933333
5061;27843872000;27313933333;27813933333
5062;27843873000;27313933333;27813933333
5063;27883864000;27355177777;27855177777
5070;27884088000;27355277777;27855277777
5071;27884103000;27355622222;27855622222
5072;27884104000;27355622222;27855622222
5073;27884105000;27355622222;27855622222
5074;27924427000;27396844444;27896844444
5082;27924540000;27397244444;27897244444
5083;27924544000;27397244444;27897244444
5084;27924545000;27397244444;27897244444
5085;27964988000;27438511111;27938511111
5091;27964991000;27438511111;27938511111
5092;27965227000;27438644444;27938644444
5093;27965242000;27438944444;27938944444
5094;27965244000;27438944444;27938944444
5095;27965245000;27438944444;27938944444
5096;28005075000;27480200000;27980200000
5104;28005207000;27480644444;27980644444
5105;28005210000;27480644444;27980644444
5106;28005211000;27480644444;27980644444
5107;28045791000;27521844444;28021844444
5115;28045904000;27522244444;28022244444
5116;28045907000;27522244444;28022244444
5117;28045909000;27522244444;28022244444
5118;28086456000;27563533333;28063533333
5126;28086569000;27563922222;28063922222
5127;28086572000;27563922222;28063922222
5128;28086582000;27563922222;28063922222
5129;28127150000;27605177777;28105177777
5137;28127263000;27605622222;28105622222
5138;28127266000;27605622222;28105622222
5139;28127267000;27605622222;28105622222
5140;28167479000;27646844444;28146844444
5145;28167482000;27646844444;28146844444
5146;28167483000;27646844444;28146844444
5147;28167684000;27646955555;28146955555
5148;28167699000;27647255555;28147255555
5149;28167701000;27647255555;28147255555
5150;28167702000;27647255555;28147255555
5151;28202956000;27688511111;28188511111
5152;28202959000;27688511111;28188511111
5153;28202960000;27688511111;28188511111
5157;28206163000;27688511111;28188511111
5158;28208191000;27688655555;28188655555
5162;28208207000;27730177777;28230177777
5163;28208208000;27730177777;28230177777
5164;28208209000;27730177777;28230177777
5165;28208210000;27730177777;28230177777
5166;28208211000;27730177777;28230177777
5167;28208212000;27730177777;28230177777
5168;28208213000;27730177777;28230177777
5169;28249038000;27730288888;28230288888
5173;28249060000;27771844444;28271844444
5174;28249062000;27771844444;28271844444
5175;28249073000;27771844444;28271844444
5176;28249074000;27771844444;28271844444
5177;28249075000;27771844444;28271844444
5178;28249076000;27771844444;28271844444
5179;28249077000;27771844444;28271844444
5180;28289568000;27771955555;28271955555
5183;28289583000;27772266666;28272266666
5184;28329376000;27813533333;28313533333
5185;28329380000;27813533333;28313533333
5186;28329381000;27813533333;28313533333
