seqnum;now;rtptime;deadline;packet_len;payload_len
0;10781244000;10590100000;10790100000;10240;10228
3;10781413000;10621600000;10821600000;10240;10228
7;10781424000;10621600000;10821600000;10240;10228
1;10781533000;10590100000;10790100000;10240;10228
2;10781546000;10590100000;10790100000;10240;10228
8;10781555000;10621600000;10821600000;10240;10228
5;10781729000;10621600000;10821600000;10240;10228
9;10781739000;10621600000;10821600000;10240;10228
11;10781749000;10621977777;10821977777;10240;10228
14;10781757000;10663266666;10863266666;10240;10228
15;10781963000;10663266666;10863266666;10240;10228
13;10781991000;10621977777;10821977777;10240;10228
16;10782010000;10663266666;10863266666;10240;10228
18;10782166000;10663266666;10863266666;10240;10228
19;10782188000;10663266666;10863266666;10240;10228
17;10782210000;10663266666;10863266666;10240;10228
20;10782230000;10663266666;10863266666;10240;10228
23;10782361000;10663666666;10863666666;10240;10228
27;10782378000;10704933333;10904933333;10240;10228
21;10782469000;10663277777;10863277777;10240;10228
24;10782497000;10663666666;10863666666;10240;10228
30;10782615000;10704933333;10904933333;10240;10228
31;10782622000;10704933333;10904933333;10240;10228
25;10782732000;10704933333;10904933333;10240;10228
28;10782743000;10704933333;10904933333;10240;10228
34;10786918000;10705266666;10905266666;10240;10228
42;10787105000;10746622222;10946622222;10240;10228
35;10787274000;10705266666;10905266666;10240;10228
37;10787290000;10746622222;10946622222;10240;10228
39;10787507000;10746622222;10946622222;10240;10228
43;10787530000;10746666666;10946666666;10240;10228
46;10828611000;10747011111;10947011111;10240;10228
48;10828787000;10788277777;10988277777;10240;10228
47;10828961000;10788277777;10988277777;10240;10228
49;10828973000;10788277777;10988277777;10240;10228
50;10828996000;10788277777;10988277777;10240;10228
52;10829005000;10788277777;10988277777;10240;10228
54;10829199000;10788322222;10988322222;10240;10228
51;10829206000;10788277777;10988277777;10240;10228
53;10829211000;10788277777;10988277777;10240;10228
12;10863005000;10621977777;10821977777;10240;10228
26;10863108000;10704933333;10904933333;10240;10228
22;10863402000;10663666666;10863666666;10240;10228
32;10867923000;10704944444;10904944444;10240;10228
55;10870234000;10788644444;10988644444;10240;10228
57;10870429000;10788644444;10988644444;10240;10228
65;10870468000;10829977777;11029977777;10240;10228
56;10870588000;10788644444;10988644444;10240;10228
58;10870793000;10829922222;11029922222;10240;10228
60;10870807000;10829922222;11029922222;10240;10228
62;10870817000;10829922222;11029922222;10240;10228
64;10871040000;10829922222;11029922222;10240;10228
40;10909272000;10746622222;10946622222;10240;10228
44;10909463000;10747011111;10947011111;10240;10228
41;10910000000;10746622222;10946622222;10240;10228
45;10910030000;10747011111;10947011111;10240;10228
