seqnum;now;rtptime;deadline
1;6422925000;6130966666;6330966666
3;6503730000;6162200000;6362200000
52;6654536000;6328888888;6528888888
96;6756111000;6495588888;6695588888
114;6796477000;6578944444;6778944444
129;6822309000;6620588888;6820588888
141;6931690000;6662255555;6862255555
171;7028022000;6787244444;6987244444
195;7084941000;6870577777;7070577777
207;7102564000;6912244444;7112244444
221;7224666000;6954300000;7154300000
253;7314132000;7079300000;7279300000
273;7370963000;7162244444;7362244444
284;7472760000;7203933333;7403933333
308;7533228000;7287588888;7487588888
330;7584013000;7370944444;7570944444
340;7621984000;7412311111;7612311111
351;7647208000;7453988888;7653988888
364;7647214000;7495944444;7695944444
365;7647215000;7495944444;7695944444
366;7696695000;7537277777;7737277777
376;7696807000;7537566666;7737566666
377;7727032000;7578911111;7778911111
387;7727144000;7579255555;7779255555
388;7753059000;7620577777;7820577777
389;7753063000;7620577777;7820577777
390;7753064000;7620577777;7820577777
391;7753065000;7620577777;7820577777
392;7753067000;7620577777;7820577777
393;7753068000;7620577777;7820577777
394;7753069000;7620577777;7820577777
395;7753279000;7620622222;7820622222
396;7753295000;7620933333;7820933333
397;7753297000;7620933333;7820933333
398;7753297000;7620933333;7820933333
399;7788018000;7662244444;7862244444
400;7788021000;7662244444;7862244444
401;7788022000;7662244444;7862244444
402;7788023000;7662244444;7862244444
403;7788025000;7662244444;7862244444
404;7788026000;7662244444;7862244444
405;7788027000;7662244444;7862244444
406;7788225000;7662300000;7862300000
407;7788241000;7662566666;7862566666
408;7788242000;7662566666;7862566666
409;7788243000;7662566666;7862566666
410;7823199000;7703911111;7903911111
411;7823203000;7703911111;7903911111
412;7823204000;7703911111;7903911111
413;7823206000;7703911111;7903911111
414;7823207000;7703911111;7903911111
415;7823218000;7703911111;7903911111
416;7823219000;7703911111;7903911111
417;7823437000;7703966666;7903966666
418;7823443000;7704277777;7904277777
419;7823444000;7704277777;7904277777
420;7823445000;7704277777;7904277777
421;7860858000;7745577777;7945577777
422;7860864000;7745577777;7945577777
423;7860867000;7745577777;7945577777
424;7860869000;7745577777;7945577777
425;7860870000;7745577777;7945577777
426;7860871000;7745577777;7945577777
427;7860873000;7745577777;7945577777
428;7861087000;7745633333;7945633333
429;7861091000;7745955555;7945955555
430;7861092000;7745955555;7945955555
431;7861093000;7745955555;7945955555
432;7900204000;7787244444;7987244444
433;7900210000;7787244444;7987244444
434;7900212000;7787244444;7987244444
436;7900215000;7787244444;7987244444
437;7900216000;7787244444;7987244444
438;7900217000;7787244444;7987244444
439;7900416000;7787300000;7987300000
440;7900432000;7787588888;7987588888
441;7900433000;7787588888;7987588888
442;7900434000;7787588888;7987588888
443;7940793000;7828922222;8028922222
444;7940798000;7828922222;8028922222
445;7940801000;7828922222;8028922222
446;7940802000;7828922222;8028922222
447;7940803000;7828922222;8028922222
448;7940805000;7828922222;8028922222
449;7940806000;7828922222;8028922222
450;7941010000;7828966666;8028966666
451;7941025000;7829266666;8029266666
452;7941027000;7829266666;8029266666
453;7941029000;7829266666;8029266666
454;7981703000;7870588888;8070588888
455;7981708000;7870588888;8070588888
456;7981710000;7870588888;8070588888
457;7981712000;7870588888;8070588888
458;7981714000;7870588888;8070588888
459;7981715000;7870588888;8070588888
460;7981716000;7870588888;8070588888
461;7981914000;7870633333;8070633333
462;7981929000;7870933333;8070933333
463;7981931000;7870933333;8070933333
464;7981932000;7870933333;8070933333
465;8023163000;7912244444;8112244444
466;8023167000;7912244444;8112244444
467;8023168000;7912244444;8112244444
469;8023169000;7912244444;8112244444
470;8023170000;7912244444;8112244444
471;8023171000;7912244444;8112244444
472;8023380000;7912300000;8112300000
473;8023383000;7912577777;8112577777
474;8023384000;7912577777;8112577777
475;8023385000;7912577777;8112577777
476;8064675000;7953911111;8153911111
477;8064696000;7953911111;8153911111
478;8064698000;7953911111;8153911111
480;8064699000;7953911111;8153911111
481;8064700000;7953911111;8153911111
482;8064701000;7953911111;8153911111
483;8064897000;7953966666;8153966666
484;8064903000;7954266666;8154266666
485;8064904000;7954266666;8154266666
486;8064905000;7954266666;8154266666
487;8106332000;7995577777;8195577777
488;8106335000;7995577777;8195577777
489;8106336000;7995577777;8195577777
491;8106337000;7995577777;8195577777
493;8106338000;7995577777;8195577777
494;8106536000;7995633333;8195633333
495;8106551000;7995944444;8195944444
496;8106552000;7995944444;8195944444
497;8106553000;7995944444;8195944444
498;8147830000;8037244444;8237244444
499;8147834000;8037244444;8237244444
500;8147835000;8037244444;8237244444
501;8147836000;8037244444;8237244444
502;8147837000;8037244444;8237244444
503;8147839000;8037244444;8237244444
504;8147840000;8037244444;8237244444
505;8148047000;8037300000;8237300000
506;8148062000;8037566666;8237566666
507;8148064000;8037566666;8237566666
508;8148065000;8037566666;8237566666
509;8189652000;8078911111;8278911111
510;8189656000;8078911111;8278911111
511;8189657000;8078911111;8278911111
512;8189658000;8078911111;8278911111
514;8189660000;8078911111;8278911111
515;8189661000;8078911111;8278911111
516;8189845000;8078966666;8278966666
517;8189849000;8079266666;8279266666
518;8189850000;8079266666;8279266666
519;8189851000;8079266666;8279266666
520;8231141000;8120577777;8320577777
521;8231145000;8120577777;8320577777
522;8231146000;8120577777;8320577777
523;8231147000;8120577777;8320577777
524;8231148000;8120577777;8320577777
525;8231149000;8120577777;8320577777
526;8231150000;8120577777;8320577777
527;8231316000;8120622222;8320622222
528;8231321000;8120944444;8320944444
529;8231322000;8120944444;8320944444
530;8231323000;8120944444;8320944444
531;8272820000;8162255555;8362255555
532;8272823000;8162255555;8362255555
533;8272824000;8162255555;8362255555
534;8272825000;8162255555;8362255555
535;8272826000;8162255555;8362255555
536;8272827000;8162255555;8362255555
537;8272828000;8162255555;8362255555
538;8273035000;8162300000;8362300000
539;8273050000;8162577777;8362577777
540;8273051000;8162577777;8362577777
541;8273052000;8162577777;8362577777
542;8314464000;8203911111;8403911111
543;8314468000;8203911111;8403911111
544;8314468000;8203911111;8403911111
545;8314469000;8203911111;8403911111
546;8314478000;8203911111;8403911111
547;8314479000;8203911111;8403911111
548;8314480000;8203911111;8403911111
549;8314648000;8203988888;8403988888
550;8314652000;8204300000;8404300000
551;8314653000;8204300000;8404300000
552;8314654000;8204300000;8404300000
553;8356147000;8245577777;8445577777
554;8356151000;8245577777;8445577777
555;8356152000;8245577777;8445577777
556;8356152000;8245577777;8445577777
557;8356153000;8245577777;8445577777
558;8356154000;8245577777;8445577777
559;8356155000;8245577777;8445577777
560;8356354000;8245633333;8445633333
561;8356369000;8245933333;8445933333
562;8356370000;8245933333;8445933333
563;8356371000;8245933333;8445933333
564;8397781000;8287244444;8487244444
565;8397784000;8287244444;8487244444
566;8397785000;8287244444;8487244444
567;8397786000;8287244444;8487244444
568;8397787000;8287244444;8487244444
569;8397788000;8287244444;8487244444
570;8397789000;8287244444;8487244444
571;8397985000;8287300000;8487300000
572;8398000000;8287577777;8487577777
573;8398002000;8287577777;8487577777
574;8398002000;8287577777;8487577777
575;8439489000;8328944444;8528944444
576;8439493000;8328944444;8528944444
577;8439494000;8328944444;8528944444
578;8439495000;8328944444;8528944444
579;8439496000;8328944444;8528944444
580;8439497000;8328944444;8528944444
581;8439507000;8328944444;8528944444
582;8439703000;8329000000;8529000000
583;8439719000;8329311111;8529311111
587;8481409000;8370577777;8570577777
588;8481412000;8370577777;8570577777
589;8481424000;8370577777;8570577777
590;8481425000;8370577777;8570577777
591;8481426000;8370577777;8570577777
592;8481427000;8370577777;8570577777
593;8481577000;8370633333;8570633333
595;8481601000;8370966666;8570966666
596;8481602000;8370966666;8570966666
597;8522816000;8412255555;8612255555
598;8522819000;8412255555;8612255555
599;8522820000;8412255555;8612255555
600;8522822000;8412255555;8612255555
601;8522822000;8412255555;8612255555
602;8522823000;8412255555;8612255555
603;8522824000;8412255555;8612255555
604;8523023000;8412300000;8612300000
605;8523038000;8412588888;8612588888
606;8523039000;8412588888;8612588888
607;8523040000;8412588888;8612588888
608;8564567000;8453922222;8653922222
609;8564584000;8453922222;8653922222
610;8564585000;8453922222;8653922222
611;8564586000;8453922222;8653922222
