seqnum;now;rtptime;deadline
1;4637138000;4418366666;4618366666
3;4710637000;4449611111;4649611111
12;4711012000;4449988888;4649988888
13;4711016000;4449988888;4649988888
14;4752389000;4491288888;4691288888
21;4752595000;4491344444;4691344444
22;4752610000;4491733333;4691733333
23;4752612000;4491733333;4691733333
24;4752613000;4491733333;4691733333
25;4793679000;4532966666;4732966666
34;4793771000;4533344444;4733344444
35;4793773000;4533344444;4733344444
36;4834460000;4574622222;4774622222
42;4834463000;4574622222;4774622222
43;4834613000;4574677777;4774677777
44;4834616000;4575033333;4775033333
45;4834618000;4575033333;4775033333
46;4834619000;4575033333;4775033333
47;4868302000;4616288888;4816288888
58;4912874000;4657977777;4857977777
67;4913000000;4658355555;4858355555
68;4913004000;4658355555;4858355555
69;4948100000;4699633333;4899633333
78;4948212000;4700066666;4900066666
79;4948216000;4700066666;4900066666
80;4985090000;4741288888;4941288888
88;4985203000;4741655555;4941655555
89;4985216000;4741655555;4941655555
90;4985217000;4741655555;4941655555
91;5019308000;4782955555;4982955555
98;5019446000;4783000000;4983000000
99;5019449000;4783344444;4983344444
100;5019450000;4783344444;4983344444
101;5019452000;4783344444;4983344444
102;5057748000;4824633333;5024633333
110;5057859000;4824988888;5024988888
111;5057862000;4824988888;5024988888
112;5057864000;4824988888;5024988888
113;5086600000;4866300000;5066300000
114;5086609000;4866300000;5066300000
115;5086610000;4866300000;5066300000
116;5086612000;4866300000;5066300000
117;5086613000;4866300000;5066300000
118;5086614000;4866300000;5066300000
119;5086615000;4866300000;5066300000
120;5086813000;4866344444;5066344444
121;5086828000;4866644444;5066644444
122;5086829000;4866644444;5066644444
123;5086830000;4866644444;5066644444
124;5122736000;4907966666;5107966666
125;5122740000;4907966666;5107966666
126;5122741000;4907966666;5107966666
127;5122742000;4907966666;5107966666
128;5122743000;4907966666;5107966666
129;5122744000;4907966666;5107966666
130;5122745000;4907966666;5107966666
131;5122941000;4908011111;5108011111
132;5122957000;4908300000;5108300000
133;5122958000;4908300000;5108300000
134;5122959000;4908300000;5108300000
135;5148141000;4949633333;5149633333
136;5148144000;4949633333;5149633333
137;5148145000;4949633333;5149633333
138;5148146000;4949633333;5149633333
139;5148147000;4949633333;5149633333
140;5148148000;4949633333;5149633333
141;5148149000;4949633333;5149633333
142;5153579000;4949677777;5149677777
143;5153595000;4949988888;5149988888
144;5153596000;4949988888;5149988888
145;5153597000;4949988888;5149988888
146;5192561000;4991311111;5191311111
147;5192564000;4991311111;5191311111
148;5192565000;4991311111;5191311111
149;5192566000;4991311111;5191311111
150;5192567000;4991311111;5191311111
151;5192568000;4991311111;5191311111
152;5192569000;4991311111;5191311111
