seqnum;now;rtptime;deadline
1;5642772000;5249944444;5449944444
2;5642775000;5249944444;5449944444
3;5783346000;5281366666;5481366666
45;5905670000;5406700000;5606700000
100;6021082000;5615011111;5815011111
144;6021203000;5781666666;5981666666
145;6021207000;5781666666;5981666666
146;6064832000;5823011111;6023011111
155;6064948000;5823322222;6023322222
156;6064952000;5823322222;6023322222
157;6089267000;5864677777;6064677777
164;6089444000;5864688888;6064688888
165;6089448000;5864988888;6064988888
166;6089450000;5864988888;6064988888
167;6089451000;5864988888;6064988888
168;6246316000;5906366666;6106366666
208;6342262000;6031355555;6231355555
231;6342278000;6115088888;6315088888
232;6342279000;6115088888;6315088888
233;6342280000;6115088888;6315088888
234;6423678000;6156366666;6356366666
253;6436992000;6198422222;6398422222
254;6436995000;6198422222;6398422222
255;6436997000;6198422222;6398422222
256;6480792000;6239700000;6439700000
265;6480916000;6240066666;6440066666
266;6480920000;6240066666;6440066666
267;6508784000;6281366666;6481366666
276;6508934000;6281711111;6481711111
277;6508938000;6281711111;6481711111
278;6535085000;6323033333;6523033333
287;6535197000;6323388888;6523388888
288;6535200000;6323388888;6523388888
289;6567820000;6364711111;6564711111
290;6567826000;6364711111;6564711111
291;6567837000;6364711111;6564711111
292;6567839000;6364711111;6564711111
293;6567840000;6364711111;6564711111
294;6567841000;6364711111;6564711111
295;6567842000;6364711111;6564711111
296;6568041000;6364755555;6564755555
297;6568056000;6365066666;6565066666
298;6568057000;6365066666;6565066666
299;6568058000;6365066666;6565066666
300;6603625000;6406366666;6606366666
301;6603638000;6406366666;6606366666
302;6603639000;6406366666;6606366666
303;6603641000;6406366666;6606366666
304;6603643000;6406366666;6606366666
305;6603644000;6406366666;6606366666
306;6603646000;6406366666;6606366666
307;6603793000;6406411111;6606411111
308;6603797000;6406700000;6606700000
309;6603798000;6406700000;6606700000
310;6603800000;6406700000;6606700000
311;6642003000;6448033333;6648033333
312;6642006000;6448033333;6648033333
313;6642008000;6448033333;6648033333
314;6642009000;6448033333;6648033333
315;6642010000;6448033333;6648033333
316;6642011000;6448033333;6648033333
317;6642011000;6448033333;6648033333
318;6642210000;6448088888;6648088888
319;6642225000;6448377777;6648377777
320;6642226000;6448377777;6648377777
321;6642227000;6448377777;6648377777
322;6682331000;6489700000;6689700000
323;6682335000;6489700000;6689700000
324;6682336000;6489700000;6689700000
325;6682337000;6489700000;6689700000
326;6682338000;6489700000;6689700000
327;6682339000;6489700000;6689700000
328;6682340000;6489700000;6689700000
329;6682564000;6489755555;6689755555
330;6682580000;6490066666;6690066666
331;6682582000;6490066666;6690066666
332;6682583000;6490066666;6690066666
333;6722800000;6531366666;6731366666
334;6722803000;6531366666;6731366666
335;6722804000;6531366666;6731366666
336;6722805000;6531366666;6731366666
337;6722806000;6531366666;6731366666
338;6722807000;6531366666;6731366666
339;6722808000;6531366666;6731366666
340;6723005000;6531422222;6731422222
341;6723020000;6531700000;6731700000
342;6723021000;6531700000;6731700000
343;6723022000;6531700000;6731700000
344;6764166000;6573033333;6773033333
345;6764170000;6573033333;6773033333
346;6764173000;6573033333;6773033333
347;6764174000;6573033333;6773033333
348;6764176000;6573033333;6773033333
349;6764177000;6573033333;6773033333
350;6764178000;6573033333;6773033333
351;6764382000;6573077777;6773077777
352;6764387000;6573377777;6773377777
353;6764912000;6573377777;6773377777
354;6764914000;6573377777;6773377777
355;6805551000;6614700000;6814700000
356;6805564000;6614700000;6814700000
357;6805566000;6614700000;6814700000
358;6805567000;6614700000;6814700000
359;6805569000;6614700000;6814700000
360;6805570000;6614700000;6814700000
361;6805572000;6614700000;6814700000
362;6805717000;6614755555;6814755555
363;6805721000;6615055555;6815055555
364;6805723000;6615055555;6815055555
365;6805724000;6615055555;6815055555
366;6847129000;6656366666;6856366666
367;6847158000;6656366666;6856366666
368;6847159000;6656366666;6856366666
369;6847160000;6656366666;6856366666
370;6847162000;6656366666;6856366666
371;6847163000;6656366666;6856366666
372;6847164000;6656366666;6856366666
373;6847368000;6656411111;6856411111
374;6847383000;6656688888;6856688888
375;6847385000;6656688888;6856688888
376;6847386000;6656688888;6856688888
377;7001017000;6698033333;6898033333
407;7075251000;6781688888;6981688888
429;7136418000;6865122222;7065122222
440;7175584000;6906722222;7106722222
450;7206880000;6948088888;7148088888
461;7235388000;6989755555;7189755555
462;7235400000;6990055555;7190055555
463;7235403000;6990055555;7190055555
464;7235405000;6990055555;7190055555
465;7266179000;7031377777;7231377777
473;7266294000;7031688888;7231688888
474;7266297000;7031688888;7231688888
475;7266299000;7031688888;7231688888
476;7299533000;7073033333;7273033333
486;7299642000;7073388888;7273388888
487;7333019000;7114700000;7314700000
496;7333131000;7115044444;7315044444
497;7333134000;7115044444;7315044444
498;7367232000;7156388888;7356388888
508;7367344000;7156733333;7356733333
509;7402881000;7198033333;7398033333
510;7402884000;7198033333;7398033333
511;7402885000;7198033333;7398033333
512;7402886000;7198033333;7398033333
513;7402887000;7198033333;7398033333
514;7402888000;7198033333;7398033333
515;7402889000;7198033333;7398033333
516;7403087000;7198088888;7398088888
517;7403093000;7198388888;7398388888
518;7403094000;7198388888;7398388888
519;7403095000;7198388888;7398388888
520;7437337000;7239722222;7439722222
521;7437341000;7239722222;7439722222
522;7437342000;7239722222;7439722222
523;7437344000;7239722222;7439722222
524;7437345000;7239722222;7439722222
525;7437346000;7239722222;7439722222
526;7437347000;7239722222;7439722222
527;7437495000;7239766666;7439766666
528;7437500000;7240077777;7440077777
529;7437502000;7240077777;7440077777
530;7437503000;7240077777;7440077777
531;7476401000;7281366666;7481366666
532;7476405000;7281366666;7481366666
533;7476406000;7281366666;7481366666
534;7476407000;7281366666;7481366666
535;7476408000;7281366666;7481366666
536;7476409000;7281366666;7481366666
537;7476410000;7281366666;7481366666
538;7476614000;7281422222;7481422222
539;7476630000;7281711111;7481711111
540;7476631000;7281711111;7481711111
541;7476632000;7281711111;7481711111
542;7515597000;7323033333;7523033333
543;7515600000;7323033333;7523033333
544;7515601000;7323033333;7523033333
545;7515602000;7323033333;7523033333
546;7515603000;7323033333;7523033333
547;7515604000;7323033333;7523033333
548;7515605000;7323033333;7523033333
549;7515805000;7323077777;7523077777
550;7515820000;7323400000;7523400000
551;7515821000;7323400000;7523400000
552;7515822000;7323400000;7523400000
553;7556369000;7364700000;7564700000
554;7556372000;7364700000;7564700000
555;7556373000;7364700000;7564700000
556;7556383000;7364700000;7564700000
557;7556385000;7364700000;7564700000
558;7556386000;7364700000;7564700000
559;7556386000;7364700000;7564700000
560;7556502000;7364744444;7564744444
561;7556514000;7365066666;7565066666
562;7556515000;7365066666;7565066666
563;7556516000;7365066666;7565066666
564;7597635000;7406366666;7606366666
565;7597638000;7406366666;7606366666
566;7597639000;7406366666;7606366666
567;7597640000;7406366666;7606366666
568;7597641000;7406366666;7606366666
569;7597642000;7406366666;7606366666
570;7597643000;7406366666;7606366666
571;7597851000;7406411111;7606411111
572;7597866000;7406711111;7606711111
573;7597867000;7406711111;7606711111
574;7597868000;7406711111;7606711111
575;7638956000;7448033333;7648033333
576;7638959000;7448033333;7648033333
577;7638960000;7448033333;7648033333
578;7638962000;7448033333;7648033333
579;7638972000;7448033333;7648033333
580;7638973000;7448033333;7648033333
581;7638974000;7448033333;7648033333
582;7639111000;7448088888;7648088888
583;7639114000;7448388888;7648388888
584;7639115000;7448388888;7648388888
585;7639116000;7448388888;7648388888
586;7680543000;7489700000;7689700000
587;7680547000;7489700000;7689700000
588;7680548000;7489700000;7689700000
589;7680558000;7489700000;7689700000
590;7680559000;7489700000;7689700000
591;7680560000;7489700000;7689700000
592;7680561000;7489700000;7689700000
593;7680766000;7489744444;7689744444
594;7680782000;7490066666;7690066666
595;7680783000;7490066666;7690066666
596;7680784000;7490066666;7690066666
597;7722203000;7531377777;7731377777
598;7722207000;7531377777;7731377777
599;7722208000;7531377777;7731377777
600;7722209000;7531377777;7731377777
601;7722210000;7531377777;7731377777
602;7722211000;7531377777;7731377777
603;7722212000;7531377777;7731377777
604;7722410000;7531422222;7731422222
605;7722425000;7531700000;7731700000
606;7722426000;7531700000;7731700000
607;7722427000;7531700000;7731700000
608;7763816000;7573033333;7773033333
609;7763819000;7573033333;7773033333
610;7763820000;7573033333;7773033333
611;7763821000;7573033333;7773033333
612;7763822000;7573033333;7773033333
613;7763823000;7573033333;7773033333
614;7763824000;7573033333;7773033333
615;7763993000;7573088888;7773088888
616;7763996000;7573388888;7773388888
617;7763997000;7573388888;7773388888
618;7763998000;7573388888;7773388888
619;7805500000;7614700000;7814700000
620;7805504000;7614700000;7814700000
621;7805505000;7614700000;7814700000
622;7805516000;7614700000;7814700000
623;7805517000;7614700000;7814700000
624;7805518000;7614700000;7814700000
625;7805519000;7614700000;7814700000
626;7805697000;7614755555;7814755555
627;7805700000;7615077777;7815077777
628;7805701000;7615077777;7815077777
629;7805702000;7615077777;7815077777
630;7847161000;7656366666;7856366666
631;7847165000;7656366666;7856366666
632;7847166000;7656366666;7856366666
633;7847167000;7656366666;7856366666
634;7847168000;7656366666;7856366666
635;7847169000;7656366666;7856366666
636;7847170000;7656366666;7856366666
637;7847341000;7656422222;7856422222
638;7847344000;7656700000;7856700000
639;7847345000;7656700000;7856700000
640;7847346000;7656700000;7856700000
641;7888823000;7698022222;7898022222
642;7888826000;7698022222;7898022222
643;7888827000;7698022222;7898022222
644;7888829000;7698022222;7898022222
645;7888830000;7698022222;7898022222
646;7888831000;7698022222;7898022222
647;7888832000;7698022222;7898022222
648;7889078000;7698077777;7898077777
649;7889082000;7698377777;7898377777
650;7889083000;7698377777;7898377777
651;7889084000;7698377777;7898377777
652;7930517000;7739700000;7939700000
653;7930530000;7739700000;7939700000
654;7930531000;7739700000;7939700000
655;7930532000;7739700000;7939700000
656;7930533000;7739700000;7939700000
657;7930534000;7739700000;7939700000
658;7930535000;7739700000;7939700000
