seqnum;now;rtptime;deadline;packet_len;payload_len
0;5531865000;5340833333;5540833333;10240;10228
1;5532023000;5340833333;5540833333;10240;10228
0;5532136000;5340833333;5540833333;10240;10228
2;5532231000;5340833333;5540833333;10240;10228
3;5532248000;5372288888;5572288888;10240;10228
1;5532389000;5340833333;5540833333;10240;10228
2;5532403000;5340833333;5540833333;10240;10228
3;5532409000;5372288888;5572288888;10240;10228
4;5532413000;5372288888;5572288888;10240;10228
5;5532422000;5372288888;5572288888;10240;10228
4;5532658000;5372288888;5572288888;10240;10228
5;5532674000;5372288888;5572288888;10240;10228
6;5532679000;5372288888;5572288888;10240;10228
7;5532683000;5372288888;5572288888;10240;10228
8;5532849000;5372288888;5572288888;10240;10228
6;5532870000;5372288888;5572288888;10240;10228
7;5532885000;5372288888;5572288888;10240;10228
11;5533036000;5372655555;5572655555;10240;10228
12;5533058000;5372655555;5572655555;10240;10228
8;5533135000;5372288888;5572288888;10240;10228
9;5533157000;5372288888;5572288888;10240;10228
13;5533250000;5372655555;5572655555;10240;10228
14;5533270000;5413944444;5613944444;10240;10228
10;5533350000;5372300000;5572300000;10240;10228
11;5533360000;5372655555;5572655555;10240;10228
15;5533428000;5413944444;5613944444;10240;10228
12;5533624000;5372655555;5572655555;10240;10228
13;5533648000;5372655555;5572655555;10240;10228
16;5533653000;5413944444;5613944444;10240;10228
17;5533671000;5413944444;5613944444;10240;10228
18;5533855000;5413944444;5613944444;10240;10228
19;5533870000;5413944444;5613944444;10240;10228
14;5533896000;5413944444;5613944444;10240;10228
15;5533901000;5413944444;5613944444;10240;10228
20;5534090000;5413944444;5613944444;10240;10228
21;5534111000;5413966666;5613966666;10240;10228
16;5534116000;5413944444;5613944444;10240;10228
17;5534126000;5413944444;5613944444;10240;10228
18;5534134000;5413944444;5613944444;10240;10228
22;5534242000;5414344444;5614344444;10240;10228
23;5534261000;5414344444;5614344444;10240;10228
19;5534352000;5413944444;5613944444;10240;10228
20;5534358000;5413944444;5613944444;10240;10228
24;5534428000;5414344444;5614344444;10240;10228
21;5534630000;5413966666;5613966666;10240;10228
22;5534645000;5414344444;5614344444;10240;10228
25;5534708000;5455600000;5655600000;10240;10228
26;5534725000;5455600000;5655600000;10240;10228
27;5534865000;5455600000;5655600000;10240;10228
28;5534891000;5455600000;5655600000;10240;10228
23;5534897000;5414344444;5614344444;10240;10228
24;5534901000;5414344444;5614344444;10240;10228
29;5535176000;5455600000;5655600000;10240;10228
30;5535181000;5455600000;5655600000;10240;10228
25;5535185000;5455600000;5655600000;10240;10228
26;5535188000;5455600000;5655600000;10240;10228
31;5535296000;5455600000;5655600000;10240;10228
32;5535302000;5455622222;5655622222;10240;10228
27;5535356000;5455600000;5655600000;10240;10228
28;5535367000;5455600000;5655600000;10240;10228
29;5535613000;5455600000;5655600000;10240;10228
30;5535630000;5455600000;5655600000;10240;10228
31;5535856000;5455600000;5655600000;10240;10228
32;5535902000;5455622222;5655622222;10240;10228
33;5537638000;5455955555;5655955555;10240;10228
34;5537834000;5455955555;5655955555;10240;10228
33;5537966000;5455955555;5655955555;10240;10228
34;5537977000;5455955555;5655955555;10240;10228
35;5538083000;5455955555;5655955555;10240;10228
36;5538104000;5497300000;5697300000;10240;10228
35;5538230000;5455955555;5655955555;10240;10228
36;5538251000;5497300000;5697300000;10240;10228
37;5538257000;5497300000;5697300000;10240;10228
38;5538261000;5497300000;5697300000;10240;10228
37;5538432000;5497300000;5697300000;10240;10228
38;5538450000;5497300000;5697300000;10240;10228
39;5538692000;5497300000;5697300000;10240;10228
40;5612712000;5497300000;5697300000;10240;10228
41;5612915000;5497300000;5697300000;10240;10228
42;5612922000;5497300000;5697300000;10240;10228
40;5613131000;5497300000;5697300000;10240;10228
43;5613160000;5497355555;5697355555;10240;10228
44;5613167000;5497688888;5697688888;10240;10228
41;5613312000;5497300000;5697300000;10240;10228
45;5613418000;5497688888;5697688888;10240;10228
46;5613452000;5497688888;5697688888;10240;10228
42;5613534000;5497300000;5697300000;10240;10228
43;5613558000;5497355555;5697355555;10240;10228
47;5613698000;5538900000;5738900000;10240;10228
48;5613710000;5538900000;5738900000;10240;10228
44;5613730000;5497688888;5697688888;10240;10228
49;5613941000;5538900000;5738900000;10240;10228
50;5613954000;5538900000;5738900000;10240;10228
45;5613960000;5497688888;5697688888;10240;10228
46;5613964000;5497688888;5697688888;10240;10228
47;5614174000;5538900000;5738900000;10240;10228
51;5614186000;5538900000;5738900000;10240;10228
52;5614190000;5538900000;5738900000;10240;10228
