seqnum;now;rtptime;deadline;packet_len;payload_len
0;5505653000;5214666666;5414666666;10240;10228
1;5505838000;5214666666;5414666666;10240;10228
0;5505964000;5214666666;5414666666;10240;10228
1;5505985000;5214666666;5414666666;10240;10228
2;5506046000;5214666666;5414666666;10240;10228
3;5506067000;5246011111;5446011111;10240;10228
2;5506232000;5214666666;5414666666;10240;10228
3;5506242000;5246011111;5446011111;10240;10228
4;5506247000;5246011111;5446011111;10240;10228
5;5506254000;5246011111;5446011111;10240;10228
6;5506444000;5246011111;5446011111;10240;10228
7;5506458000;5246011111;5446011111;10240;10228
4;5506462000;5246011111;5446011111;10240;10228
5;5506467000;5246011111;5446011111;10240;10228
8;5506657000;5246011111;5446011111;10240;10228
6;5506697000;5246011111;5446011111;10240;10228
7;5506720000;5246011111;5446011111;10240;10228
9;5506883000;5246011111;5446011111;10240;10228
10;5506894000;5246033333;5446033333;10240;10228
8;5506966000;5246011111;5446011111;10240;10228
9;5506978000;5246011111;5446011111;10240;10228
11;5507117000;5246366666;5446366666;10240;10228
12;5507147000;5246366666;5446366666;10240;10228
10;5507242000;5246033333;5446033333;10240;10228
11;5507253000;5246366666;5446366666;10240;10228
13;5507258000;5246366666;5446366666;10240;10228
14;5507262000;5287688888;5487688888;10240;10228
15;5507447000;5287688888;5487688888;10240;10228
12;5507465000;5246366666;5446366666;10240;10228
13;5507495000;5246366666;5446366666;10240;10228
16;5507668000;5287688888;5487688888;10240;10228
17;5507679000;5287688888;5487688888;10240;10228
14;5507684000;5287688888;5487688888;10240;10228
15;5507689000;5287688888;5487688888;10240;10228
16;5507701000;5287688888;5487688888;10240;10228
18;5507917000;5287688888;5487688888;10240;10228
19;5507929000;5287688888;5487688888;10240;10228
17;5507937000;5287688888;5487688888;10240;10228
18;5507942000;5287688888;5487688888;10240;10228
20;5508100000;5287688888;5487688888;10240;10228
21;5508111000;5287700000;5487700000;10240;10228
19;5508205000;5287688888;5487688888;10240;10228
20;5508217000;5287688888;5487688888;10240;10228
