seqnum;now;rtptime;deadline;packet_len;payload_len
0;3578919000;3487600000;3687600000;10240;10228
1;3579085000;3487600000;3687600000;10240;10228
2;3579116000;3487600000;3687600000;10240;10228
3;3579123000;3519000000;3719000000;10240;10228
4;3579357000;3519000000;3719000000;10240;10228
5;3579376000;3519000000;3719000000;10240;10228
6;3579599000;3519000000;3719000000;10240;10228
7;3579621000;3519000000;3719000000;10240;10228
8;3579846000;3519000000;3719000000;10240;10228
9;3579874000;3519000000;3719000000;10240;10228
10;3580100000;3519022222;3719022222;10240;10228
11;3581293000;3519333333;3719333333;10240;10228
12;3581308000;3519333333;3719333333;10240;10228
13;3581501000;3519333333;3719333333;10240;10228
14;3581521000;3560688888;3760688888;10240;10228
15;3581796000;3560688888;3760688888;10240;10228
16;3581822000;3560688888;3760688888;10240;10228
17;3582006000;3560688888;3760688888;10240;10228
18;3582017000;3560688888;3760688888;10240;10228
19;3582273000;3560688888;3760688888;10240;10228
20;3582287000;3560688888;3760688888;10240;10228
21;3582490000;3560733333;3760733333;10240;10228
22;3622945000;3561155555;3761155555;10240;10228
23;3622969000;3561155555;3761155555;10240;10228
24;3623183000;3561155555;3761155555;10240;10228
25;3623203000;3602355555;3802355555;10240;10228
26;3623428000;3602355555;3802355555;10240;10228
27;3623437000;3602355555;3802355555;10240;10228
28;3623680000;3602355555;3802355555;10240;10228
29;3623689000;3602355555;3802355555;10240;10228
30;3623891000;3602355555;3802355555;10240;10228
31;3623910000;3602355555;3802355555;10240;10228
32;3624186000;3602400000;3802400000;10240;10228
33;3664628000;3602744444;3802744444;10240;10228
34;3664651000;3602744444;3802744444;10240;10228
35;3664843000;3602744444;3802744444;10240;10228
36;3664864000;3644044444;3844044444;10240;10228
37;3665100000;3644044444;3844044444;10240;10228
38;3665120000;3644044444;3844044444;10240;10228
39;3665339000;3644044444;3844044444;10240;10228
40;3665349000;3644044444;3844044444;10240;10228
41;3665612000;3644044444;3844044444;10240;10228
42;3665622000;3644044444;3844044444;10240;10228
43;3665848000;3644111111;3844111111;10240;10228
44;3706254000;3644522222;3844522222;10240;10228
45;3706279000;3644522222;3844522222;10240;10228
46;3706532000;3644522222;3844522222;10240;10228
47;3706552000;3685677777;3885677777;10240;10228
48;3706740000;3685677777;3885677777;10240;10228
49;3706760000;3685677777;3885677777;10240;10228
50;3707019000;3685677777;3885677777;10240;10228
51;3707038000;3685677777;3885677777;10240;10228
52;3707259000;3685677777;3885677777;10240;10228
53;3707278000;3685677777;3885677777;10240;10228
54;3707524000;3685744444;3885744444;10240;10228
55;3747947000;3686100000;3886100000;10240;10228
56;3747975000;3686100000;3886100000;10240;10228
57;3748155000;3686100000;3886100000;10240;10228
58;3748176000;3727355555;3927355555;10240;10228
59;3748405000;3727355555;3927355555;10240;10228
60;3748416000;3727355555;3927355555;10240;10228
61;3748663000;3727355555;3927355555;10240;10228
62;3748683000;3727355555;3927355555;10240;10228
63;3748918000;3727355555;3927355555;10240;10228
64;3748928000;3727355555;3927355555;10240;10228
65;3749163000;3727422222;3927422222;10240;10228
66;3789594000;3727722222;3927722222;10240;10228
67;3789863000;3727722222;3927722222;10240;10228
68;3789871000;3727722222;3927722222;10240;10228
69;3789876000;3769033333;3969033333;10240;10228
70;3790110000;3769033333;3969033333;10240;10228
71;3790130000;3769033333;3969033333;10240;10228
72;3790317000;3769033333;3969033333;10240;10228
73;3790326000;3769033333;3969033333;10240;10228
74;3790617000;3769033333;3969033333;10240;10228
75;3790627000;3769033333;3969033333;10240;10228
76;3790861000;3769077777;3969077777;10240;10228
77;3831240000;3769422222;3969422222;10240;10228
78;3831261000;3769422222;3969422222;10240;10228
79;3831493000;3769422222;3969422222;10240;10228
80;3831505000;3810655555;4010655555;10240;10228
81;3831737000;3810655555;4010655555;10240;10228
82;3831758000;3810655555;4010655555;10240;10228
83;3831983000;3810655555;4010655555;10240;10228
84;3832004000;3810655555;4010655555;10240;10228
85;3832234000;3810655555;4010655555;10240;10228
