seqnum;now;rtptime;deadline;packet_len;payload_len
0;5400320000;5108888888;5308888888;10240;10228
1;5400408000;5108888888;5308888888;10240;10228
2;5400490000;5108888888;5308888888;10240;10228
3;5400780000;5140144444;5340144444;10240;10228
4;5400798000;5140144444;5340144444;10240;10228
5;5400802000;5140144444;5340144444;10240;10228
6;5401018000;5140144444;5340144444;10240;10228
8;5401027000;5140144444;5340144444;10240;10228
9;5401236000;5140144444;5340144444;10240;10228
10;5401249000;5140166666;5340166666;10240;10228
11;5401488000;5140555555;5340555555;10240;10228
12;5401509000;5140555555;5340555555;10240;10228
13;5401730000;5140555555;5340555555;10240;10228
14;5401739000;5181777777;5381777777;10240;10228
15;5402005000;5181777777;5381777777;10240;10228
16;5402037000;5181777777;5381777777;10240;10228
17;5402276000;5181777777;5381777777;10240;10228
19;5402289000;5181777777;5381777777;10240;10228
20;5402534000;5181777777;5381777777;10240;10228
21;5402556000;5181788888;5381788888;10240;10228
22;5402563000;5182188888;5382188888;10240;10228
23;5402754000;5182188888;5382188888;10240;10228
24;5402780000;5182188888;5382188888;10240;10228
25;5403016000;5223444444;5423444444;10240;10228
26;5403028000;5223444444;5423444444;10240;10228
27;5403266000;5223444444;5423444444;10240;10228
28;5403273000;5223444444;5423444444;10240;10228
29;5403489000;5223444444;5423444444;10240;10228
30;5403516000;5223444444;5423444444;10240;10228
31;5403736000;5223444444;5423444444;10240;10228
33;5403746000;5223788888;5423788888;10240;10228
34;5403988000;5223788888;5423788888;10240;10228
35;5404000000;5223788888;5423788888;10240;10228
36;5404005000;5265111111;5465111111;10240;10228
37;5404279000;5265111111;5465111111;10240;10228
38;5404302000;5265111111;5465111111;10240;10228
39;5404532000;5265111111;5465111111;10240;10228
40;5404556000;5265111111;5465111111;10240;10228
41;5404771000;5265111111;5465111111;10240;10228
42;5404778000;5265111111;5465111111;10240;10228
43;5405020000;5265133333;5465133333;10240;10228
44;5405028000;5265455555;5465455555;10240;10228
45;5405257000;5265455555;5465455555;10240;10228
46;5405265000;5265455555;5465455555;10240;10228
47;5405520000;5306777777;5506777777;10240;10228
48;5405528000;5306777777;5506777777;10240;10228
49;5405771000;5306777777;5506777777;10240;10228
50;5405777000;5306777777;5506777777;10240;10228
51;5405781000;5306777777;5506777777;10240;10228
52;5406022000;5306777777;5506777777;10240;10228
53;5406028000;5306777777;5506777777;10240;10228
54;5406272000;5306788888;5506788888;10240;10228
55;5409140000;5307111111;5507111111;10240;10228
56;5409147000;5307111111;5507111111;10240;10228
57;5409385000;5307111111;5507111111;10240;10228
58;5409390000;5348466666;5548466666;10240;10228
59;5409641000;5348466666;5548466666;10240;10228
62;5409649000;5348466666;5548466666;10240;10228
63;5409896000;5348466666;5548466666;10240;10228
64;5409902000;5348466666;5548466666;10240;10228
65;5410136000;5348511111;5548511111;10240;10228
66;5450827000;5348800000;5548800000;10240;10228
67;5450856000;5348800000;5548800000;10240;10228
68;5451061000;5348800000;5548800000;10240;10228
69;5451071000;5390133333;5590133333;10240;10228
70;5451302000;5390133333;5590133333;10240;10228
71;5451324000;5390133333;5590133333;10240;10228
72;5451600000;5390133333;5590133333;10240;10228
73;5451621000;5390133333;5590133333;10240;10228
74;5451817000;5390133333;5590133333;10240;10228
75;5451827000;5390133333;5590133333;10240;10228
76;5452081000;5390177777;5590177777;10240;10228
77;5492533000;5390522222;5590522222;10240;10228
78;5492560000;5390522222;5590522222;10240;10228
79;5521201000;5390522222;5590522222;10240;10228
80;5521464000;5431800000;5631800000;10240;10228
81;5521490000;5431800000;5631800000;10240;10228
82;5521713000;5431800000;5631800000;10240;10228
83;5522022000;5431800000;5631800000;10240;10228
87;5522033000;5431811111;5631811111;10240;10228
60;5530675000;5348466666;5548466666;10240;10228
61;5530701000;5348466666;5548466666;10240;10228
88;5534131000;5432122222;5632122222;10240;10228
89;5534141000;5432122222;5632122222;10240;10228
90;5534375000;5432122222;5632122222;10240;10228
91;5534404000;5473466666;5673466666;10240;10228
92;5534622000;5473466666;5673466666;10240;10228
94;5534632000;5473466666;5673466666;10240;10228
95;5534871000;5473466666;5673466666;10240;10228
96;5534893000;5473466666;5673466666;10240;10228
97;5535131000;5473466666;5673466666;10240;10228
99;5575817000;5473800000;5673800000;10240;10228
100;5575828000;5473800000;5673800000;10240;10228
101;5576094000;5473800000;5673800000;10240;10228
102;5576112000;5515133333;5715133333;10240;10228
103;5576311000;5515133333;5715133333;10240;10228
107;5576320000;5515133333;5715133333;10240;10228
108;5576565000;5515133333;5715133333;10240;10228
109;5576576000;5515177777;5715177777;10240;10228
110;5617496000;5515433333;5715433333;10240;10228
