seqnum;now;rtptime;deadline;packet_len;payload_len
0;4221334000;4169377777;4369377777;1398;1386
1;4221371000;4169377777;4369377777;1400;1388
2;4221459000;4169377777;4369377777;1398;1386
3;4221466000;4200500000;4400500000;1400;1388
4;4221718000;4200500000;4400500000;1400;1388
5;4221727000;4200500000;4400500000;1398;1386
6;4221949000;4200500000;4400500000;1400;1388
7;4221958000;4200500000;4400500000;1398;1386
8;4222252000;4200500000;4400500000;1400;1388
9;4222270000;4200500000;4400500000;1400;1388
10;4222273000;4200522222;4400522222;982;970
11;4262883000;4200833333;4400833333;1398;1386
12;4262916000;4200833333;4400833333;1400;1388
13;4263111000;4200833333;4400833333;1398;1386
14;4263121000;4242155555;4442155555;1400;1388
15;4263368000;4242155555;4442155555;1400;1388
16;4263396000;4242155555;4442155555;1398;1386
17;4263605000;4242155555;4442155555;1400;1388
18;4263616000;4242155555;4442155555;1398;1386
19;4263871000;4242155555;4442155555;1400;1388
20;4263894000;4242155555;4442155555;1400;1388
21;4264114000;4242177777;4442177777;982;970
22;4304576000;4242544444;4442544444;1398;1386
23;4304588000;4242544444;4442544444;1400;1388
24;4304814000;4242544444;4442544444;1398;1386
25;4304822000;4283855555;4483855555;1400;1388
26;4305063000;4283855555;4483855555;1400;1388
27;4305071000;4283855555;4483855555;1398;1386
28;4305268000;4283855555;4483855555;1400;1388
29;4305272000;4283855555;4483855555;1398;1386
30;4305520000;4283855555;4483855555;1400;1388
31;4305524000;4283855555;4483855555;1400;1388
32;4305815000;4283888888;4483888888;982;970
33;4346228000;4284277777;4484277777;1398;1386
34;4346243000;4284277777;4484277777;1400;1388
35;4346441000;4284277777;4484277777;1398;1386
36;4346450000;4325500000;4525500000;1400;1388
37;4346697000;4325500000;4525500000;1400;1388
38;4346707000;4325500000;4525500000;1398;1386
39;4346949000;4325500000;4525500000;1400;1388
40;4346960000;4325500000;4525500000;1398;1386
41;4347194000;4325500000;4525500000;1400;1388
42;4347209000;4325500000;4525500000;1400;1388
43;4347440000;4325511111;4525511111;982;970
44;4387898000;4325844444;4525844444;1398;1386
45;4387910000;4325844444;4525844444;1400;1388
46;4388115000;4325844444;4525844444;1398;1386
47;4388124000;4367166666;4567166666;1400;1388
48;4388338000;4367166666;4567166666;1400;1388
49;4388342000;4367166666;4567166666;1398;1386
50;4388587000;4367166666;4567166666;1400;1388
51;4388592000;4367166666;4567166666;1398;1386
52;4388866000;4367166666;4567166666;1400;1388
53;4388874000;4367166666;4567166666;1400;1388
54;4389116000;4367177777;4567177777;982;970
55;4429550000;4367477777;4567477777;1398;1386
56;4429569000;4367477777;4567477777;1400;1388
57;4429792000;4367477777;4567477777;1398;1386
58;4429804000;4408833333;4608833333;1400;1388
59;4430040000;4408833333;4608833333;1400;1388
60;4430049000;4408833333;4608833333;1398;1386
61;4430276000;4408833333;4608833333;1400;1388
62;4430301000;4408833333;4608833333;1398;1386
63;4430544000;4408833333;4608833333;1400;1388
64;4430567000;4408833333;4608833333;1400;1388
65;4430800000;4408844444;4608844444;982;970
66;4471198000;4409133333;4609133333;1398;1386
67;4471410000;4409133333;4609133333;1400;1388
68;4471415000;4409133333;4609133333;1398;1386
69;4471702000;4450500000;4650500000;1400;1388
70;4471710000;4450500000;4650500000;1400;1388
71;4471714000;4450500000;4650500000;1398;1386
72;4471957000;4450500000;4650500000;1400;1388
73;4471965000;4450500000;4650500000;1398;1386
74;4472161000;4450500000;4650500000;1400;1388
75;4472165000;4450500000;4650500000;1400;1388
76;4472450000;4450511111;4650511111;982;970
77;4512886000;4450833333;4650833333;1398;1386
78;4512895000;4450833333;4650833333;1400;1388
79;4513112000;4450833333;4650833333;1398;1386
80;4513120000;4492166666;4692166666;1400;1388
81;4513363000;4492166666;4692166666;1400;1388
82;4513371000;4492166666;4692166666;1398;1386
83;4513613000;4492166666;4692166666;1400;1388
84;4513621000;4492166666;4692166666;1398;1386
85;4513863000;4492166666;4692166666;1400;1388
86;4513871000;4492166666;4692166666;1400;1388
87;4514086000;4492177777;4692177777;982;970
88;4554596000;4492477777;4692477777;1398;1386
89;4554628000;4492477777;4692477777;1400;1388
90;4554818000;4492477777;4692477777;1398;1386
91;4554826000;4533844444;4733844444;1400;1388
93;4555069000;4533844444;4733844444;1398;1386
94;4555091000;4533844444;4733844444;1400;1388
95;4555318000;4533844444;4733844444;1398;1386
96;4555326000;4533844444;4733844444;1400;1388
97;4555569000;4533844444;4733844444;1400;1388
98;4555577000;4533855555;4733855555;982;970
99;4596240000;4534188888;4734188888;1398;1386
100;4596248000;4534188888;4734188888;1400;1388
101;4596466000;4534188888;4734188888;1398;1386
102;4596490000;4575511111;4775511111;1400;1388
103;4596717000;4575511111;4775511111;1400;1388
104;4596725000;4575511111;4775511111;1398;1386
