seqnum;now;rtptime;deadline;packet_len;payload_len
0;6993676000;6902055555;7102055555;1398;1386
1;6993724000;6902055555;7102055555;1400;1388
0;6993878000;6902055555;7102055555;1398;1386
2;6993976000;6902055555;7102055555;1398;1386
3;6993984000;6933188888;7133188888;1400;1388
1;6994165000;6902055555;7102055555;1400;1388
4;6994184000;6933188888;7133188888;1400;1388
2;6994204000;6902055555;7102055555;1398;1386
3;6994225000;6933188888;7133188888;1400;1388
5;6994257000;6933188888;7133188888;1398;1386
4;6994362000;6933188888;7133188888;1400;1388
5;6994374000;6933188888;7133188888;1398;1386
6;6994399000;6933188888;7133188888;1400;1388
7;6994409000;6933188888;7133188888;1398;1386
8;6994598000;6933188888;7133188888;1400;1388
7;6994625000;6933188888;7133188888;1398;1386
9;6994654000;6933188888;7133188888;1400;1388
8;6994689000;6933188888;7133188888;1400;1388
10;6994776000;6933211111;7133211111;982;970
9;6994871000;6933188888;7133188888;1400;1388
10;6994883000;6933211111;7133211111;982;970
11;7035303000;6933522222;7133522222;1398;1386
12;7035411000;6933522222;7133522222;1400;1388
11;7035569000;6933522222;7133522222;1398;1386
13;7035590000;6933522222;7133522222;1398;1386
13;7035609000;6933522222;7133522222;1398;1386
14;7035621000;6974833333;7174833333;1400;1388
14;7035806000;6974833333;7174833333;1400;1388
15;7035814000;6974833333;7174833333;1400;1388
17;7035824000;6974833333;7174833333;1400;1388
18;7035846000;6974833333;7174833333;1398;1386
19;7036015000;6974833333;7174833333;1400;1388
20;7036023000;6974833333;7174833333;1400;1388
16;7036053000;6974833333;7174833333;1398;1386
17;7036065000;6974833333;7174833333;1400;1388
21;7036222000;6974855555;7174855555;982;970
18;7036315000;6974833333;7174833333;1398;1386
19;7036325000;6974833333;7174833333;1400;1388
20;7036560000;6974833333;7174833333;1400;1388
21;7036570000;6974855555;7174855555;982;970
22;7076856000;6975244444;7175244444;1398;1386
23;7077049000;6975244444;7175244444;1400;1388
24;7077058000;6975244444;7175244444;1398;1386
22;7077196000;6975244444;7175244444;1398;1386
24;7077216000;6975244444;7175244444;1398;1386
25;7077248000;7016466666;7216466666;1400;1388
25;7077461000;7016466666;7216466666;1400;1388
26;7077501000;7016466666;7216466666;1400;1388
28;7077532000;7016466666;7216466666;1400;1388
26;7077558000;7016466666;7216466666;1400;1388
29;7077679000;7016466666;7216466666;1398;1386
30;7077699000;7016466666;7216466666;1400;1388
27;7077719000;7016466666;7216466666;1398;1386
28;7077752000;7016466666;7216466666;1400;1388
31;7077864000;7016466666;7216466666;1400;1388
32;7077874000;7016488888;7216488888;982;970
29;7077936000;7016466666;7216466666;1398;1386
31;7077942000;7016466666;7216466666;1400;1388
32;7078146000;7016488888;7216488888;982;970
33;7118581000;7016811111;7216811111;1398;1386
34;7118760000;7016811111;7216811111;1400;1388
35;7118768000;7016811111;7216811111;1398;1386
33;7118920000;7016811111;7216811111;1398;1386
34;7118931000;7016811111;7216811111;1400;1388
36;7118942000;7058166666;7258166666;1400;1388
37;7119168000;7058166666;7258166666;1400;1388
35;7119184000;7016811111;7216811111;1398;1386
38;7119200000;7058166666;7258166666;1398;1386
36;7119213000;7058166666;7258166666;1400;1388
39;7119369000;7058166666;7258166666;1400;1388
40;7119379000;7058166666;7258166666;1398;1386
37;7119407000;7058166666;7258166666;1400;1388
38;7119416000;7058166666;7258166666;1398;1386
41;7119561000;7058166666;7258166666;1400;1388
42;7119569000;7058166666;7258166666;1400;1388
39;7119653000;7058166666;7258166666;1400;1388
40;7119662000;7058166666;7258166666;1398;1386
42;7119898000;7058166666;7258166666;1400;1388
