seqnum;now;rtptime;deadline;packet_len;payload_len
0;5535604000;5423733333;5623733333;1398;1386
1;5535649000;5423733333;5623733333;1400;1388
0;5535819000;5423733333;5623733333;1398;1386
1;5535832000;5423733333;5623733333;1400;1388
2;5535903000;5423733333;5623733333;1398;1386
3;5535928000;5455111111;5655111111;1400;1388
2;5536064000;5423733333;5623733333;1398;1386
3;5536089000;5455111111;5655111111;1400;1388
4;5536119000;5455111111;5655111111;1400;1388
5;5536143000;5455111111;5655111111;1398;1386
6;5536315000;5455111111;5655111111;1400;1388
4;5536332000;5455111111;5655111111;1400;1388
7;5536350000;5455111111;5655111111;1398;1386
5;5536374000;5455111111;5655111111;1398;1386
8;5536503000;5455111111;5655111111;1400;1388
6;5536558000;5455111111;5655111111;1400;1388
7;5536587000;5455111111;5655111111;1398;1386
9;5536699000;5455111111;5655111111;1400;1388
10;5536711000;5455133333;5655133333;982;970
8;5536778000;5455111111;5655111111;1400;1388
9;5536800000;5455111111;5655111111;1400;1388
10;5537024000;5455133333;5655133333;982;970
11;5577158000;5455477777;5655477777;1398;1386
12;5577292000;5455477777;5655477777;1400;1388
11;5577501000;5455477777;5655477777;1398;1386
13;5577515000;5455477777;5655477777;1398;1386
12;5577526000;5455477777;5655477777;1400;1388
14;5577534000;5496755555;5696755555;1400;1388
15;5577701000;5496755555;5696755555;1400;1388
16;5577741000;5496755555;5696755555;1398;1386
13;5577763000;5455477777;5655477777;1398;1386
14;5577773000;5496755555;5696755555;1400;1388
17;5577907000;5496755555;5696755555;1400;1388
18;5577913000;5496755555;5696755555;1398;1386
15;5577981000;5496755555;5696755555;1400;1388
16;5577991000;5496755555;5696755555;1398;1386
19;5578118000;5496755555;5696755555;1400;1388
17;5578236000;5496755555;5696755555;1400;1388
18;5578243000;5496755555;5696755555;1398;1386
20;5578324000;5496755555;5696755555;1400;1388
21;5578333000;5496777777;5696777777;982;970
19;5578486000;5496755555;5696755555;1400;1388
20;5578492000;5496755555;5696755555;1400;1388
21;5578496000;5496777777;5696777777;982;970
22;5618811000;5497177777;5697177777;1398;1386
23;5619001000;5497177777;5697177777;1400;1388
24;5619009000;5497177777;5697177777;1398;1386
22;5619158000;5497177777;5697177777;1398;1386
