seqnum;now;rtptime;deadline
1;5660633000;5547722222;5747722222
2;5660685000;5547722222;5747722222
3;5741735000;5579244444;5779244444
4;5741800000;5579244444;5779244444
5;5741810000;5579244444;5779244444
6;5741823000;5579244444;5779244444
7;5741837000;5579244444;5779244444
8;5741847000;5579244444;5779244444
9;5741848000;5579244444;5779244444
10;5742104000;5579266666;5779266666
11;5742144000;5579577777;5779577777
12;5742146000;5579577777;5779577777
13;5742156000;5579577777;5779577777
14;5783132000;5620900000;5820900000
15;5783177000;5620900000;5820900000
16;5783179000;5620900000;5820900000
17;5783181000;5620900000;5820900000
18;5783182000;5620900000;5820900000
19;5783193000;5620900000;5820900000
20;5783202000;5620900000;5820900000
21;5783420000;5620922222;5820922222
22;5783461000;5621300000;5821300000
23;5783463000;5621300000;5821300000
24;5783464000;5621300000;5821300000
25;5824553000;5662566666;5862566666
26;5824573000;5662566666;5862566666
27;5824581000;5662566666;5862566666
28;5824583000;5662566666;5862566666
29;5824585000;5662566666;5862566666
30;5824597000;5662566666;5862566666
31;5824598000;5662566666;5862566666
32;5824756000;5662577777;5862577777
33;5824781000;5662922222;5862922222
34;5824783000;5662922222;5862922222
35;5824800000;5662922222;5862922222
36;5865537000;5704244444;5904244444
37;5865576000;5704244444;5904244444
38;5865578000;5704244444;5904244444
39;5865595000;5704244444;5904244444
40;5865597000;5704244444;5904244444
41;5865612000;5704244444;5904244444
42;5865625000;5704244444;5904244444
43;5865771000;5704277777;5904277777
44;5865797000;5704644444;5904644444
45;5865798000;5704644444;5904644444
46;5865815000;5704644444;5904644444
47;5906140000;5745900000;5945900000
48;5906178000;5745900000;5945900000
49;5906180000;5745900000;5945900000
50;5906187000;5745900000;5945900000
51;5906189000;5745900000;5945900000
52;5906213000;5745900000;5945900000
53;5906222000;5745900000;5945900000
54;5906369000;5745922222;5945922222
55;5906395000;5746222222;5946222222
56;5906397000;5746222222;5946222222
57;5906413000;5746222222;5946222222
58;5946135000;5787566666;5987566666
59;5946156000;5787566666;5987566666
60;5946158000;5787566666;5987566666
61;5946174000;5787566666;5987566666
62;5946175000;5787566666;5987566666
63;5946183000;5787566666;5987566666
64;5946192000;5787566666;5987566666
65;5946339000;5787588888;5987588888
66;5946365000;5787888888;5987888888
67;5946366000;5787888888;5987888888
68;5946382000;5787888888;5987888888
69;5987055000;5829233333;6029233333
70;5987084000;5829233333;6029233333
71;5987092000;5829233333;6029233333
72;5987093000;5829233333;6029233333
73;5987095000;5829233333;6029233333
74;5987114000;5829233333;6029233333
75;5987123000;5829233333;6029233333
76;5987312000;5829255555;6029255555
77;5987347000;5829577777;6029577777
78;5987349000;5829577777;6029577777
79;5987366000;5829577777;6029577777
80;6023857000;5870900000;6070900000
81;6023885000;5870900000;6070900000
82;6023893000;5870900000;6070900000
83;6023894000;5870900000;6070900000
84;6023896000;5870900000;6070900000
85;6023905000;5870900000;6070900000
86;6023915000;5870900000;6070900000
87;6024126000;5870922222;6070922222
88;6024167000;5871222222;6071222222
89;6024169000;5871222222;6071222222
90;6024185000;5871222222;6071222222
91;6061900000;5912577777;6112577777
92;6061927000;5912577777;6112577777
93;6061929000;5912577777;6112577777
94;6061930000;5912577777;6112577777
95;6061931000;5912577777;6112577777
96;6061939000;5912577777;6112577777
97;6061940000;5912577777;6112577777
98;6062096000;5912600000;6112600000
99;6062121000;5912922222;6112922222
100;6062123000;5912922222;6112922222
101;6062124000;5912922222;6112922222
102;6099744000;5954233333;6154233333
103;6099772000;5954233333;6154233333
104;6099773000;5954233333;6154233333
105;6099780000;5954233333;6154233333
106;6099781000;5954233333;6154233333
107;6099793000;5954233333;6154233333
108;6099794000;5954233333;6154233333
109;6100011000;5954244444;6154244444
110;6100052000;5954522222;6154522222
111;6100054000;5954522222;6154522222
112;6100070000;5954522222;6154522222
113;6137781000;5995900000;6195900000
114;6137823000;5995900000;6195900000
115;6137824000;5995900000;6195900000
116;6137825000;5995900000;6195900000
117;6137826000;5995900000;6195900000
118;6137834000;5995900000;6195900000
119;6137845000;5995900000;6195900000
120;6138011000;5995922222;6195922222
121;6138044000;5996211111;6196211111
122;6138046000;5996211111;6196211111
123;6138055000;5996211111;6196211111
124;6176298000;6037566666;6237566666
125;6176326000;6037566666;6237566666
126;6176333000;6037566666;6237566666
127;6176334000;6037566666;6237566666
128;6176335000;6037566666;6237566666
129;6176352000;6037566666;6237566666
130;6176361000;6037566666;6237566666
131;6176591000;6037588888;6237588888
132;6176631000;6037877777;6237877777
133;6176633000;6037877777;6237877777
134;6176649000;6037877777;6237877777
135;6215363000;6079233333;6279233333
136;6215391000;6079233333;6279233333
137;6215392000;6079233333;6279233333
138;6215393000;6079233333;6279233333
139;6215395000;6079233333;6279233333
140;6215402000;6079233333;6279233333
141;6215403000;6079233333;6279233333
142;6215649000;6079255555;6279255555
143;6215690000;6079511111;6279511111
144;6215691000;6079511111;6279511111
145;6215692000;6079511111;6279511111
146;6255064000;6120900000;6320900000
147;6255092000;6120900000;6320900000
148;6255094000;6120900000;6320900000
149;6255101000;6120900000;6320900000
150;6255102000;6120900000;6320900000
151;6255117000;6120900000;6320900000
152;6255119000;6120900000;6320900000
153;6255343000;6120922222;6320922222
154;6255384000;6121222222;6321222222
155;6255386000;6121222222;6321222222
156;6255387000;6121222222;6321222222
157;6295400000;6162566666;6362566666
159;6295427000;6162566666;6362566666
160;6295429000;6162566666;6362566666
161;6295430000;6162566666;6362566666
162;6295437000;6162566666;6362566666
163;6295438000;6162566666;6362566666
164;6295696000;6162588888;6362588888
165;6295736000;6162888888;6362888888
166;6295738000;6162888888;6362888888
167;6295739000;6162888888;6362888888
168;6336161000;6204244444;6404244444
169;6336182000;6204244444;6404244444
170;6336184000;6204244444;6404244444
171;6336200000;6204244444;6404244444
172;6336202000;6204244444;6404244444
173;6336209000;6204244444;6404244444
174;6336215000;6204244444;6404244444
175;6336359000;6204266666;6404266666
176;6336395000;6204577777;6404577777
177;6336396000;6204577777;6404577777
178;6336413000;6204577777;6404577777
179;6377335000;6245900000;6445900000
180;6377356000;6245900000;6445900000
181;6377358000;6245900000;6445900000
182;6377374000;6245900000;6445900000
183;6377375000;6245900000;6445900000
184;6377381000;6245900000;6445900000
185;6377398000;6245900000;6445900000
186;6377632000;6245922222;6445922222
187;6377673000;6246200000;6446200000
188;6377675000;6246200000;6446200000
189;6377689000;6246200000;6446200000
190;6418830000;6287577777;6487577777
192;6418857000;6287577777;6487577777
193;6418864000;6287577777;6487577777
194;6418866000;6287577777;6487577777
195;6418881000;6287577777;6487577777
196;6418893000;6287577777;6487577777
197;6419123000;6287600000;6487600000
198;6419164000;6287877777;6487877777
199;6419165000;6287877777;6487877777
200;6419167000;6287877777;6487877777
201;6460274000;6329233333;6529233333
203;6460301000;6329233333;6529233333
204;6460309000;6329233333;6529233333
205;6460310000;6329233333;6529233333
206;6460311000;6329233333;6529233333
207;6460312000;6329233333;6529233333
208;6460562000;6329255555;6529255555
209;6460603000;6329511111;6529511111
210;6460604000;6329511111;6529511111
211;6460606000;6329511111;6529511111
212;6501751000;6370900000;6570900000
213;6501791000;6370900000;6570900000
214;6501792000;6370900000;6570900000
215;6501794000;6370900000;6570900000
216;6501795000;6370900000;6570900000
217;6501802000;6370900000;6570900000
218;6501804000;6370900000;6570900000
219;6502051000;6370922222;6570922222
220;6502092000;6371233333;6571233333
221;6502094000;6371233333;6571233333
222;6502095000;6371233333;6571233333
223;6543495000;6412577777;6612577777
225;6543524000;6412577777;6612577777
226;6543532000;6412577777;6612577777
227;6543548000;6412577777;6612577777
228;6543549000;6412577777;6612577777
229;6543559000;6412577777;6612577777
230;6543725000;6412600000;6612600000
231;6543758000;6412922222;6612922222
232;6543760000;6412922222;6612922222
233;6543761000;6412922222;6612922222
234;6585179000;6454233333;6654233333
235;6585209000;6454233333;6654233333
236;6585211000;6454233333;6654233333
237;6585212000;6454233333;6654233333
238;6585213000;6454233333;6654233333
239;6585229000;6454233333;6654233333
240;6585231000;6454233333;6654233333
241;6585487000;6454255555;6654255555
242;6585519000;6454544444;6654544444
243;6585520000;6454544444;6654544444
244;6585536000;6454544444;6654544444
245;6626822000;6495911111;6695911111
246;6626849000;6495911111;6695911111
247;6626851000;6495911111;6695911111
248;6626858000;6495911111;6695911111
249;6626860000;6495911111;6695911111
250;6626861000;6495911111;6695911111
251;6626862000;6495911111;6695911111
252;6627012000;6495933333;6695933333
253;6627037000;6496255555;6696255555
254;6627038000;6496255555;6696255555
255;6627040000;6496255555;6696255555
256;6668500000;6537566666;6737566666
257;6668527000;6537566666;6737566666
258;6668529000;6537566666;6737566666
259;6668530000;6537566666;6737566666
260;6668531000;6537566666;6737566666
261;6668538000;6537566666;6737566666
262;6668540000;6537566666;6737566666
263;6668773000;6537588888;6737588888
264;6668797000;6537855555;6737855555
265;6668799000;6537855555;6737855555
266;6668815000;6537855555;6737855555
267;6710128000;6579233333;6779233333
269;6710159000;6579233333;6779233333
270;6710161000;6579233333;6779233333
271;6710162000;6579233333;6779233333
272;6710168000;6579233333;6779233333
273;6710170000;6579233333;6779233333
274;6710417000;6579255555;6779255555
275;6710440000;6579522222;6779522222
276;6710442000;6579522222;6779522222
277;6710458000;6579522222;6779522222
278;6751761000;6620900000;6820900000
279;6751795000;6620900000;6820900000
280;6751796000;6620900000;6820900000
281;6751803000;6620900000;6820900000
282;6751810000;6620900000;6820900000
283;6751811000;6620900000;6820900000
284;6751822000;6620900000;6820900000
285;6751969000;6620922222;6820922222
286;6751994000;6621211111;6821211111
287;6751996000;6621211111;6821211111
288;6752012000;6621211111;6821211111
289;6793405000;6662566666;6862566666
291;6793426000;6662566666;6862566666
292;6793427000;6662566666;6862566666
293;6793428000;6662566666;6862566666
294;6793436000;6662566666;6862566666
295;6793451000;6662566666;6862566666
296;6793529000;6662577777;6862577777
297;6793552000;6662844444;6862844444
298;6793553000;6662844444;6862844444
299;6793560000;6662844444;6862844444
300;6835078000;6704233333;6904233333
301;6835100000;6704233333;6904233333
302;6835116000;6704233333;6904233333
303;6835118000;6704233333;6904233333
304;6835119000;6704233333;6904233333
305;6835125000;6704233333;6904233333
306;6835132000;6704233333;6904233333
307;6835283000;6704244444;6904244444
308;6835308000;6704533333;6904533333
309;6835310000;6704533333;6904533333
310;6835326000;6704533333;6904533333
311;6876752000;6745900000;6945900000
312;6876776000;6745900000;6945900000
313;6876777000;6745900000;6945900000
314;6876778000;6745900000;6945900000
315;6876794000;6745900000;6945900000
316;6876795000;6745900000;6945900000
317;6876802000;6745900000;6945900000
318;6876951000;6745911111;6945911111
319;6876976000;6746211111;6946211111
320;6876978000;6746211111;6946211111
321;6876993000;6746211111;6946211111
322;6918491000;6787566666;6987566666
323;6918525000;6787566666;6987566666
324;6918527000;6787566666;6987566666
325;6918545000;6787566666;6987566666
326;6918553000;6787566666;6987566666
327;6918560000;6787566666;6987566666
328;6918570000;6787566666;6987566666
329;6918724000;6787588888;6987588888
330;6918749000;6787855555;6987855555
331;6918750000;6787855555;6987855555
332;6918769000;6787855555;6987855555
333;6960136000;6829233333;7029233333
334;6960160000;6829233333;7029233333
335;6960170000;6829233333;7029233333
336;6960172000;6829233333;7029233333
337;6960173000;6829233333;7029233333
338;6960184000;6829233333;7029233333
339;6960193000;6829233333;7029233333
340;6960333000;6829244444;7029244444
341;6960358000;6829522222;7029522222
342;6960374000;6829522222;7029522222
343;6960385000;6829522222;7029522222
344;7001797000;6870900000;7070900000
347;7001825000;6870900000;7070900000
348;7001827000;6870900000;7070900000
349;7001834000;6870900000;7070900000
350;7001850000;6870900000;7070900000
351;7002076000;6870922222;7070922222
352;7002117000;6871211111;7071211111
353;7002118000;6871211111;7071211111
354;7002134000;6871211111;7071211111
355;7043492000;6912566666;7112566666
358;7043529000;6912566666;7112566666
359;7043531000;6912566666;7112566666
360;7043532000;6912566666;7112566666
361;7043539000;6912566666;7112566666
362;7043742000;6912588888;7112588888
363;7043770000;6912888888;7112888888
364;7043772000;6912888888;7112888888
365;7043773000;6912888888;7112888888
366;7085135000;6954233333;7154233333
367;7085164000;6954233333;7154233333
368;7085165000;6954233333;7154233333
369;7085173000;6954233333;7154233333
370;7085190000;6954233333;7154233333
371;7085191000;6954233333;7154233333
372;7085193000;6954233333;7154233333
373;7085328000;6954255555;7154255555
374;7085356000;6954511111;7154511111
375;7085358000;6954511111;7154511111
376;7085359000;6954511111;7154511111
377;7126832000;6995900000;7195900000
378;7126859000;6995900000;7195900000
379;7126861000;6995900000;7195900000
380;7126862000;6995900000;7195900000
381;7126863000;6995900000;7195900000
382;7126870000;6995900000;7195900000
383;7126872000;6995900000;7195900000
384;7127107000;6995922222;7195922222
385;7127147000;6996200000;7196200000
386;7127149000;6996200000;7196200000
387;7127151000;6996200000;7196200000
388;7168506000;7037566666;7237566666
389;7168534000;7037566666;7237566666
390;7168535000;7037566666;7237566666
391;7168542000;7037566666;7237566666
392;7168557000;7037566666;7237566666
393;7168566000;7037566666;7237566666
394;7168567000;7037566666;7237566666
395;7168793000;7037588888;7237588888
396;7168834000;7037866666;7237866666
397;7168835000;7037866666;7237866666
398;7168837000;7037866666;7237866666
399;7210157000;7079233333;7279233333
400;7210187000;7079233333;7279233333
401;7210189000;7079233333;7279233333
402;7210191000;7079233333;7279233333
403;7210192000;7079233333;7279233333
404;7210209000;7079233333;7279233333
405;7210211000;7079233333;7279233333
406;7210368000;7079255555;7279255555
407;7210404000;7079511111;7279511111
408;7210406000;7079511111;7279511111
409;7210422000;7079511111;7279511111
410;7251824000;7120911111;7320911111
412;7251862000;7120911111;7320911111
413;7251864000;7120911111;7320911111
414;7251866000;7120911111;7320911111
415;7251883000;7120911111;7320911111
416;7251899000;7120911111;7320911111
417;7252046000;7120933333;7320933333
418;7252071000;7121233333;7321233333
419;7252073000;7121233333;7321233333
420;7252090000;7121233333;7321233333
421;7293421000;7162555555;7362555555
422;7293449000;7162555555;7362555555
423;7293458000;7162555555;7362555555
424;7293489000;7162555555;7362555555
425;7293507000;7162555555;7362555555
426;7293509000;7162555555;7362555555
427;7293518000;7162555555;7362555555
428;7293599000;7162577777;7362577777
429;7293621000;7162877777;7362877777
430;7293623000;7162877777;7362877777
431;7293630000;7162877777;7362877777
432;7335164000;7204222222;7404222222
433;7335209000;7204222222;7404222222
434;7335212000;7204222222;7404222222
435;7335214000;7204222222;7404222222
436;7335221000;7204222222;7404222222
437;7335233000;7204222222;7404222222
438;7335242000;7204222222;7404222222
439;7335458000;7204244444;7404244444
440;7335511000;7204577777;7404577777
441;7335513000;7204577777;7404577777
442;7335532000;7204577777;7404577777
443;7376852000;7245900000;7445900000
444;7376895000;7245900000;7445900000
445;7376902000;7245900000;7445900000
446;7376904000;7245900000;7445900000
447;7376925000;7245900000;7445900000
448;7376936000;7245900000;7445900000
449;7376944000;7245900000;7445900000
450;7377180000;7245922222;7445922222
451;7377221000;7246222222;7446222222
452;7377223000;7246222222;7446222222
453;7377224000;7246222222;7446222222
454;7418516000;7287555555;7487555555
455;7418557000;7287555555;7487555555
456;7418559000;7287555555;7487555555
457;7418577000;7287555555;7487555555
458;7418597000;7287555555;7487555555
459;7418599000;7287555555;7487555555
460;7418616000;7287555555;7487555555
461;7418829000;7287577777;7487577777
462;7418870000;7287866666;7487866666
463;7418871000;7287866666;7487866666
464;7418872000;7287866666;7487866666
465;7460165000;7329233333;7529233333
466;7460192000;7329233333;7529233333
467;7460194000;7329233333;7529233333
468;7460201000;7329233333;7529233333
469;7460202000;7329233333;7529233333
470;7460219000;7329233333;7529233333
471;7460220000;7329233333;7529233333
472;7460445000;7329244444;7529244444
473;7460501000;7329533333;7529533333
474;7460503000;7329533333;7529533333
475;7460504000;7329533333;7529533333
476;7501756000;7370900000;7570900000
477;7501777000;7370900000;7570900000
478;7501778000;7370900000;7570900000
479;7501795000;7370900000;7570900000
480;7501801000;7370900000;7570900000
481;7501808000;7370900000;7570900000
482;7501815000;7370900000;7570900000
483;7501964000;7370922222;7570922222
484;7501989000;7371255555;7571255555
485;7501991000;7371255555;7571255555
486;7502007000;7371255555;7571255555
487;7543408000;7412555555;7612555555
488;7543429000;7412555555;7612555555
489;7543431000;7412555555;7612555555
490;7543432000;7412555555;7612555555
491;7543433000;7412555555;7612555555
492;7543450000;7412555555;7612555555
493;7543456000;7412555555;7612555555
494;7543606000;7412577777;7612577777
495;7543631000;7412900000;7612900000
496;7543633000;7412900000;7612900000
497;7543649000;7412900000;7612900000
498;7585075000;7454222222;7654222222
499;7585096000;7454222222;7654222222
500;7585097000;7454222222;7654222222
501;7585098000;7454222222;7654222222
502;7585100000;7454222222;7654222222
503;7585116000;7454222222;7654222222
504;7585131000;7454222222;7654222222
505;7585277000;7454244444;7654244444
506;7585303000;7454555555;7654555555
507;7585304000;7454555555;7654555555
508;7585320000;7454555555;7654555555
509;7626739000;7495900000;7695900000
510;7626761000;7495900000;7695900000
511;7626762000;7495900000;7695900000
512;7626764000;7495900000;7695900000
513;7626765000;7495900000;7695900000
514;7626782000;7495900000;7695900000
515;7626797000;7495900000;7695900000
516;7626949000;7495922222;7695922222
517;7626974000;7496255555;7696255555
518;7626976000;7496255555;7696255555
519;7626993000;7496255555;7696255555
520;7668408000;7537555555;7737555555
521;7668429000;7537555555;7737555555
522;7668446000;7537555555;7737555555
523;7668447000;7537555555;7737555555
524;7668448000;7537555555;7737555555
525;7668455000;7537555555;7737555555
526;7668464000;7537555555;7737555555
527;7668612000;7537577777;7737577777
528;7668637000;7537900000;7737900000
529;7668639000;7537900000;7737900000
530;7668655000;7537900000;7737900000
531;7710128000;7579222222;7779222222
532;7710163000;7579222222;7779222222
533;7710165000;7579222222;7779222222
534;7710166000;7579222222;7779222222
535;7710167000;7579222222;7779222222
536;7710175000;7579222222;7779222222
537;7710193000;7579222222;7779222222
538;7710341000;7579244444;7779244444
539;7710366000;7579522222;7779522222
540;7710368000;7579522222;7779522222
541;7710384000;7579522222;7779522222
542;7751736000;7620900000;7820900000
543;7751757000;7620900000;7820900000
544;7751765000;7620900000;7820900000
545;7751772000;7620900000;7820900000
546;7751789000;7620900000;7820900000
547;7751790000;7620900000;7820900000
548;7751799000;7620900000;7820900000
549;7751875000;7620922222;7820922222
550;7751896000;7621255555;7821255555
551;7751898000;7621255555;7821255555
552;7751905000;7621255555;7821255555
553;7793408000;7662555555;7862555555
554;7793429000;7662555555;7862555555
555;7793430000;7662555555;7862555555
556;7793431000;7662555555;7862555555
557;7793448000;7662555555;7862555555
558;7793455000;7662555555;7862555555
559;7793465000;7662555555;7862555555
560;7793615000;7662577777;7862577777
561;7793640000;7662877777;7862877777
562;7793642000;7662877777;7862877777
563;7793658000;7662877777;7862877777
564;7835075000;7704222222;7904222222
565;7835096000;7704222222;7904222222
566;7835112000;7704222222;7904222222
567;7835114000;7704222222;7904222222
568;7835123000;7704222222;7904222222
569;7835133000;7704222222;7904222222
570;7835140000;7704222222;7904222222
571;7835289000;7704244444;7904244444
572;7835315000;7704577777;7904577777
573;7835316000;7704577777;7904577777
574;7835332000;7704577777;7904577777
575;7876736000;7745900000;7945900000
576;7876757000;7745900000;7945900000
577;7876764000;7745900000;7945900000
578;7876772000;7745900000;7945900000
579;7876788000;7745900000;7945900000
580;7876789000;7745900000;7945900000
581;7876798000;7745900000;7945900000
582;7876874000;7745922222;7945922222
583;7876896000;7746255555;7946255555
584;7876897000;7746255555;7946255555
585;7876905000;7746255555;7946255555
586;7918435000;7787555555;7987555555
587;7918466000;7787555555;7987555555
588;7918467000;7787555555;7987555555
589;7918468000;7787555555;7987555555
590;7918482000;7787555555;7987555555
591;7918489000;7787555555;7987555555
592;7918540000;7787555555;7987555555
593;7918707000;7787577777;7987577777
594;7918733000;7787900000;7987900000
595;7918734000;7787900000;7987900000
596;7918750000;7787900000;7987900000
597;7960083000;7829222222;8029222222
598;7960104000;7829222222;8029222222
599;7960111000;7829222222;8029222222
600;7960113000;7829222222;8029222222
601;7960114000;7829222222;8029222222
602;7960150000;7829222222;8029222222
603;7960162000;7829222222;8029222222
604;7960247000;7829244444;8029244444
605;7960269000;7829555555;8029555555
606;7960270000;7829555555;8029555555
607;7960277000;7829555555;8029555555
608;8001833000;7870900000;8070900000
609;8001861000;7870900000;8070900000
610;8001862000;7870900000;8070900000
611;8001869000;7870900000;8070900000
612;8001870000;7870900000;8070900000
613;8001886000;7870900000;8070900000
614;8001894000;7870900000;8070900000
615;8002124000;7870922222;8070922222
616;8002165000;7871255555;8071255555
617;8002166000;7871255555;8071255555
618;8002182000;7871255555;8071255555
619;8043479000;7912555555;8112555555
620;8043507000;7912555555;8112555555
621;8043508000;7912555555;8112555555
622;8043510000;7912555555;8112555555
623;8043511000;7912555555;8112555555
624;8043518000;7912555555;8112555555
625;8043529000;7912555555;8112555555
626;8043760000;7912577777;8112577777
627;8043802000;7912900000;8112900000
628;8043803000;7912900000;8112900000
629;8043804000;7912900000;8112900000
630;8085119000;7954233333;8154233333
631;8085140000;7954233333;8154233333
632;8085142000;7954233333;8154233333
633;8085159000;7954233333;8154233333
634;8085165000;7954233333;8154233333
635;8085172000;7954233333;8154233333
636;8085188000;7954233333;8154233333
637;8085414000;7954255555;8154255555
638;8085455000;7954522222;8154522222
639;8085456000;7954522222;8154522222
640;8085480000;7954522222;8154522222
641;8126847000;7995900000;8195900000
642;8126888000;7995900000;8195900000
643;8126889000;7995900000;8195900000
644;8126897000;7995900000;8195900000
645;8126898000;7995900000;8195900000
646;8126905000;7995900000;8195900000
647;8126923000;7995900000;8195900000
648;8127151000;7995922222;8195922222
649;8127192000;7996211111;8196211111
650;8127194000;7996211111;8196211111
651;8127195000;7996211111;8196211111
652;8168491000;8037566666;8237566666
653;8168519000;8037566666;8237566666
654;8168520000;8037566666;8237566666
655;8168527000;8037566666;8237566666
656;8168528000;8037566666;8237566666
657;8168546000;8037566666;8237566666
658;8168547000;8037566666;8237566666
659;8168773000;8037588888;8237588888
660;8168813000;8037888888;8237888888
661;8168815000;8037888888;8237888888
662;8168816000;8037888888;8237888888
663;8210119000;8079233333;8279233333
664;8210146000;8079233333;8279233333
665;8210147000;8079233333;8279233333
666;8210155000;8079233333;8279233333
667;8210157000;8079233333;8279233333
668;8210158000;8079233333;8279233333
669;8210184000;8079233333;8279233333
670;8210349000;8079255555;8279255555
671;8210381000;8079522222;8279522222
672;8210383000;8079522222;8279522222
673;8210400000;8079522222;8279522222
674;8251835000;8120911111;8320911111
675;8251863000;8120911111;8320911111
676;8251864000;8120911111;8320911111
677;8251865000;8120911111;8320911111
678;8251872000;8120911111;8320911111
679;8251904000;8120911111;8320911111
680;8251921000;8120911111;8320911111
681;8252134000;8120933333;8320933333
682;8252175000;8121266666;8321266666
683;8252176000;8121266666;8321266666
684;8252184000;8121266666;8321266666
685;8293325000;8162566666;8362566666
686;8293353000;8162566666;8362566666
687;8293361000;8162566666;8362566666
688;8293362000;8162566666;8362566666
689;8293363000;8162566666;8362566666
690;8293374000;8162566666;8362566666
691;8293383000;8162566666;8362566666
692;8293624000;8162588888;8362588888
693;8293665000;8162888888;8362888888
694;8293666000;8162888888;8362888888
695;8293682000;8162888888;8362888888
696;8335176000;8204244444;8404244444
701;8335203000;8204244444;8404244444
702;8335205000;8204244444;8404244444
703;8335387000;8204266666;8404266666
704;8335415000;8204588888;8404588888
705;8335417000;8204588888;8404588888
706;8335418000;8204588888;8404588888
707;8376817000;8245900000;8445900000
708;8376845000;8245900000;8445900000
709;8376847000;8245900000;8445900000
710;8376848000;8245900000;8445900000
711;8376855000;8245900000;8445900000
712;8376856000;8245900000;8445900000
713;8376857000;8245900000;8445900000
714;8377068000;8245922222;8445922222
715;8377096000;8246211111;8446211111
716;8377098000;8246211111;8446211111
717;8377099000;8246211111;8446211111
718;8418511000;8287577777;8487577777
719;8418549000;8287577777;8487577777
720;8418550000;8287577777;8487577777
721;8418552000;8287577777;8487577777
722;8418553000;8287577777;8487577777
723;8418571000;8287577777;8487577777
724;8418572000;8287577777;8487577777
725;8418811000;8287600000;8487600000
726;8418852000;8287888888;8487888888
727;8418853000;8287888888;8487888888
728;8418855000;8287888888;8487888888
729;8460138000;8329233333;8529233333
730;8460166000;8329233333;8529233333
731;8460168000;8329233333;8529233333
732;8460175000;8329233333;8529233333
733;8460176000;8329233333;8529233333
734;8460178000;8329233333;8529233333
735;8460190000;8329233333;8529233333
736;8460355000;8329255555;8529255555
737;8460387000;8329544444;8529544444
738;8460389000;8329544444;8529544444
739;8460390000;8329544444;8529544444
740;8501825000;8370911111;8570911111
741;8501853000;8370911111;8570911111
742;8501854000;8370911111;8570911111
743;8501861000;8370911111;8570911111
744;8501876000;8370911111;8570911111
745;8501877000;8370911111;8570911111
746;8501879000;8370911111;8570911111
747;8502116000;8370933333;8570933333
748;8502157000;8371255555;8571255555
749;8502159000;8371255555;8571255555
750;8502166000;8371255555;8571255555
751;8543486000;8412577777;8612577777
752;8543508000;8412577777;8612577777
753;8543509000;8412577777;8612577777
754;8543511000;8412577777;8612577777
755;8543527000;8412577777;8612577777
756;8543534000;8412577777;8612577777
757;8543541000;8412577777;8612577777
758;8543769000;8412600000;8612600000
759;8543793000;8412911111;8612911111
760;8543794000;8412911111;8612911111
761;8543810000;8412911111;8612911111
762;8585095000;8454244444;8654244444
763;8585117000;8454244444;8654244444
764;8585118000;8454244444;8654244444
765;8585125000;8454244444;8654244444
766;8585127000;8454244444;8654244444
767;8585140000;8454244444;8654244444
768;8585149000;8454244444;8654244444
769;8585225000;8454266666;8654266666
770;8585248000;8454566666;8654566666
771;8585249000;8454566666;8654566666
772;8585256000;8454566666;8654566666
773;8626757000;8495900000;8695900000
774;8626777000;8495900000;8695900000
775;8626785000;8495900000;8695900000
776;8626786000;8495900000;8695900000
