seqnum;now;rtptime;deadline;packet_len;payload_len
1;6686661000;6195722222;6395722222;10240;10228
2;6686844000;6195722222;6395722222;10240;10228
0;6686923000;6195722222;6395722222;10240;10228
3;6686950000;6195722222;6395722222;10240;10228
5;6687021000;6195722222;6395722222;10240;10228
6;6687027000;6195722222;6395722222;10240;10228
4;6687153000;6195722222;6395722222;10240;10228
7;6687172000;6195722222;6395722222;10240;10228
9;6687230000;6195722222;6395722222;10240;10228
10;6687237000;6195722222;6395722222;10240;10228
8;6687391000;6195722222;6395722222;10240;10228
13;6687396000;6227466666;6427466666;10240;10228
14;6687404000;6227466666;6427466666;10240;10228
11;6687408000;6227466666;6427466666;10240;10228
17;6687640000;6227466666;6427466666;10240;10228
18;6687656000;6227466666;6427466666;10240;10228
12;6687660000;6227466666;6427466666;10240;10228
15;6687664000;6227466666;6427466666;10240;10228
21;6687821000;6227466666;6427466666;10240;10228
22;6687826000;6269088888;6469088888;10240;10228
16;6687913000;6227466666;6427466666;10240;10228
19;6687922000;6227466666;6427466666;10240;10228
25;6688006000;6269088888;6469088888;10240;10228
20;6688146000;6227466666;6427466666;10240;10228
23;6688158000;6269088888;6469088888;10240;10228
26;6688253000;6269088888;6469088888;10240;10228
29;6688272000;6269088888;6469088888;10240;10228
24;6688386000;6269088888;6469088888;10240;10228
27;6688396000;6269088888;6469088888;10240;10228
30;6688407000;6269088888;6469088888;10240;10228
33;6688418000;6310688888;6510688888;10240;10228
34;6688621000;6310688888;6510688888;10240;10228
28;6688632000;6269088888;6469088888;10240;10228
31;6688653000;6269088888;6469088888;10240;10228
32;6688657000;6269088888;6469088888;10240;10228
37;6688819000;6310688888;6510688888;10240;10228
38;6688825000;6310688888;6510688888;10240;10228
35;6688881000;6310688888;6510688888;10240;10228
36;6688892000;6310688888;6510688888;10240;10228
41;6689024000;6310688888;6510688888;10240;10228
42;6689035000;6310688888;6510688888;10240;10228
39;6689127000;6310688888;6510688888;10240;10228
40;6689138000;6310688888;6510688888;10240;10228
45;6689232000;6352366666;6552366666;10240;10228
46;6689240000;6352366666;6552366666;10240;10228
43;6689365000;6310688888;6510688888;10240;10228
44;6689372000;6352366666;6552366666;10240;10228
49;6689418000;6352366666;6552366666;10240;10228
47;6689659000;6352366666;6552366666;10240;10228
48;6689700000;6352366666;6552366666;10240;10228
50;6689707000;6352366666;6552366666;10240;10228
53;6689713000;6352366666;6552366666;10240;10228
54;6689728000;6352366666;6552366666;10240;10228
57;6689846000;6394011111;6594011111;10240;10228
51;6689892000;6352366666;6552366666;10240;10228
52;6689901000;6352366666;6552366666;10240;10228
58;6690080000;6394011111;6594011111;10240;10228
61;6690116000;6394011111;6594011111;10240;10228
55;6690157000;6394011111;6594011111;10240;10228
56;6690168000;6394011111;6594011111;10240;10228
62;6690260000;6394011111;6594011111;10240;10228
65;6690270000;6394011111;6594011111;10240;10228
59;6690381000;6394011111;6594011111;10240;10228
60;6690395000;6394011111;6594011111;10240;10228
66;6690449000;6435655555;6635655555;10240;10228
63;6690650000;6394011111;6594011111;10240;10228
64;6690675000;6394011111;6594011111;10240;10228
67;6690684000;6435655555;6635655555;10240;10228
69;6690701000;6435655555;6635655555;10240;10228
70;6690709000;6435655555;6635655555;10240;10228
73;6690908000;6435655555;6635655555;10240;10228
74;6690921000;6435655555;6635655555;10240;10228
68;6690929000;6435655555;6635655555;10240;10228
71;6690949000;6435655555;6635655555;10240;10228
77;6691094000;6477388888;6677388888;10240;10228
78;6691123000;6477388888;6677388888;10240;10228
72;6691210000;6435655555;6635655555;10240;10228
75;6691232000;6435655555;6635655555;10240;10228
76;6691373000;6435655555;6635655555;10240;10228
79;6691380000;6477388888;6677388888;10240;10228
80;6887161000;6477388888;6677388888;10240;10228
81;6887314000;6477388888;6677388888;10240;10228
82;6887520000;6477388888;6677388888;10240;10228
86;6887728000;6477388888;6677388888;10240;10228
83;6887840000;6477388888;6677388888;10240;10228
84;6887890000;6477388888;6677388888;10240;10228
87;6887984000;6477388888;6677388888;10240;10228
89;6887999000;6519011111;6719011111;10240;10228
85;6888049000;6477388888;6677388888;10240;10228
90;6888159000;6519011111;6719011111;10240;10228
93;6888175000;6519011111;6719011111;10240;10228
88;6888336000;6519011111;6719011111;10240;10228
91;6888357000;6519011111;6719011111;10240;10228
92;6888362000;6519011111;6719011111;10240;10228
95;6888367000;6519011111;6719011111;10240;10228
96;6888376000;6519011111;6719011111;10240;10228
97;6888506000;6519011111;6719011111;10240;10228
94;6888577000;6519011111;6719011111;10240;10228
98;6888596000;6519011111;6719011111;10240;10228
100;6888719000;6560655555;6760655555;10240;10228
103;6888725000;6560655555;6760655555;10240;10228
99;6888818000;6560655555;6760655555;10240;10228
101;6888837000;6560655555;6760655555;10240;10228
104;6888900000;6560655555;6760655555;10240;10228
102;6889055000;6560655555;6760655555;10240;10228
107;6889075000;6560655555;6760655555;10240;10228
105;6889159000;6560655555;6760655555;10240;10228
106;6889177000;6560655555;6760655555;10240;10228
110;6889305000;6602288888;6802288888;10240;10228
111;6889314000;6602288888;6802288888;10240;10228
108;6889319000;6560655555;6760655555;10240;10228
109;6889327000;6560655555;6760655555;10240;10228
112;6889534000;6602288888;6802288888;10240;10228
115;6889539000;6602288888;6802288888;10240;10228
113;6889554000;6602288888;6802288888;10240;10228
114;6889558000;6602288888;6802288888;10240;10228
116;6889734000;6602288888;6802288888;10240;10228
118;6889738000;6602288888;6802288888;10240;10228
117;6889862000;6602288888;6802288888;10240;10228
119;6889893000;6602288888;6802288888;10240;10228
120;6889900000;6602288888;6802288888;10240;10228
123;6889991000;6644000000;6844000000;10240;10228
121;6890080000;6644000000;6844000000;10240;10228
124;6890178000;6644000000;6844000000;10240;10228
125;6890193000;6644000000;6844000000;10240;10228
122;6890310000;6644000000;6844000000;10240;10228
127;6890329000;6644000000;6844000000;10240;10228
126;6890352000;6644000000;6844000000;10240;10228
130;6890371000;6644000000;6844000000;10240;10228
128;6890547000;6644000000;6844000000;10240;10228
129;6890565000;6644000000;6844000000;10240;10228
131;6890569000;6644000000;6844000000;10240;10228
133;6890583000;6685655555;6885655555;10240;10228
134;6890799000;6685655555;6885655555;10240;10228
139;6890815000;6685655555;6885655555;10240;10228
132;6890819000;6685655555;6885655555;10240;10228
135;6890825000;6685655555;6885655555;10240;10228
140;6890991000;6685655555;6885655555;10240;10228
141;6890996000;6685655555;6885655555;10240;10228
136;6891075000;6685655555;6885655555;10240;10228
137;6891094000;6685655555;6885655555;10240;10228
142;6891196000;6685655555;6885655555;10240;10228
138;6891301000;6685655555;6885655555;10240;10228
143;6891309000;6727300000;6927300000;10240;10228
149;6891392000;6727300000;6927300000;10240;10228
144;6891561000;6727300000;6927300000;10240;10228
145;6891582000;6727300000;6927300000;10240;10228
150;6891622000;6727300000;6927300000;10240;10228
146;6891820000;6727300000;6927300000;10240;10228
147;6891838000;6727300000;6927300000;10240;10228
148;6892079000;6727300000;6927300000;10240;10228
151;6892098000;6727300000;6927300000;10240;10228
152;6892334000;6727300000;6927300000;10240;10228
153;6892340000;6727300000;6927300000;10240;10228
154;6910693000;6769011111;6969011111;10240;10228
156;6910902000;6769011111;6969011111;10240;10228
158;6910908000;6769011111;6969011111;10240;10228
155;6911030000;6769011111;6969011111;10240;10228
157;6911047000;6769011111;6969011111;10240;10228
159;6911274000;6769011111;6969011111;10240;10228
160;7087887000;6769011111;6969011111;10240;10228
161;7088085000;6769011111;6969011111;10240;10228
162;7088281000;6769011111;6969011111;10240;10228
165;7088301000;6810688888;7010688888;10240;10228
163;7088535000;6769011111;6969011111;10240;10228
164;7088562000;6769011111;6969011111;10240;10228
171;7088674000;6810688888;7010688888;10240;10228
166;7088818000;6810688888;7010688888;10240;10228
167;7088844000;6810688888;7010688888;10240;10228
173;7088879000;6810688888;7010688888;10240;10228
168;7089029000;6810688888;7010688888;10240;10228
169;7089053000;6810688888;7010688888;10240;10228
174;7089068000;6810688888;7010688888;10240;10228
175;7089072000;6810688888;7010688888;10240;10228
176;7089269000;6852322222;7052322222;10240;10228
177;7089283000;6852322222;7052322222;10240;10228
170;7089288000;6810688888;7010688888;10240;10228
172;7089308000;6810688888;7010688888;10240;10228
181;7089454000;6852322222;7052322222;10240;10228
178;7089616000;6852322222;7052322222;10240;10228
179;7089641000;6852322222;7052322222;10240;10228
182;7089663000;6852322222;7052322222;10240;10228
183;7089692000;6852322222;7052322222;10240;10228
180;7089814000;6852322222;7052322222;10240;10228
184;7089849000;6852322222;7052322222;10240;10228
188;7089855000;6893977777;7093977777;10240;10228
185;7090062000;6852322222;7052322222;10240;10228
186;7090089000;6852322222;7052322222;10240;10228
187;7090094000;6893977777;7093977777;10240;10228
189;7090106000;6893977777;7093977777;10240;10228
190;7090111000;6893977777;7093977777;10240;10228
191;7090273000;6893977777;7093977777;10240;10228
192;7090285000;6893977777;7093977777;10240;10228
194;7090436000;6893977777;7093977777;10240;10228
198;7090461000;6935633333;7135633333;10240;10228
193;7090497000;6893977777;7093977777;10240;10228
195;7090528000;6893977777;7093977777;10240;10228
199;7090640000;6935633333;7135633333;10240;10228
202;7090650000;6935633333;7135633333;10240;10228
196;7090781000;6893977777;7093977777;10240;10228
197;7090809000;6893977777;7093977777;10240;10228
200;7090815000;6935633333;7135633333;10240;10228
205;7090836000;6935633333;7135633333;10240;10228
201;7091068000;6935633333;7135633333;10240;10228
203;7091093000;6935633333;7135633333;10240;10228
206;7091098000;6935633333;7135633333;10240;10228
207;7091112000;6935633333;7135633333;10240;10228
