seqnum;now;rtptime;deadline;packet_len;payload_len
1;3356934000;3266000000;3466000000;10240;10228
2;3357163000;3266000000;3466000000;10240;10228
5;3357174000;3266000000;3466000000;10240;10228
0;3357179000;3266000000;3466000000;10240;10228
3;3357201000;3266000000;3466000000;10240;10228
6;3357323000;3266000000;3466000000;10240;10228
4;3357428000;3266000000;3466000000;10240;10228
7;3357442000;3266000000;3466000000;10240;10228
9;3357449000;3266000000;3466000000;10240;10228
10;3357460000;3266000000;3466000000;10240;10228
8;3357684000;3266000000;3466000000;10240;10228
12;3359431000;3297722222;3497722222;10240;10228
14;3359637000;3297722222;3497722222;10240;10228
11;3359741000;3297722222;3497722222;10240;10228
16;3359845000;3297722222;3497722222;10240;10228
18;3359852000;3297722222;3497722222;10240;10228
13;3360047000;3297722222;3497722222;10240;10228
15;3360076000;3297722222;3497722222;10240;10228
17;3360087000;3297722222;3497722222;10240;10228
20;3360105000;3297722222;3497722222;10240;10228
19;3360271000;3297722222;3497722222;10240;10228
21;3360281000;3297722222;3497722222;10240;10228
22;3401124000;3339511111;3539511111;10240;10228
24;3401330000;3339511111;3539511111;10240;10228
26;3401342000;3339511111;3539511111;10240;10228
23;3401391000;3339511111;3539511111;10240;10228
28;3401484000;3339511111;3539511111;10240;10228
25;3401682000;3339511111;3539511111;10240;10228
27;3401706000;3339511111;3539511111;10240;10228
29;3401713000;3339511111;3539511111;10240;10228
30;3401721000;3339511111;3539511111;10240;10228
32;3401728000;3339511111;3539511111;10240;10228
31;3401923000;3339511111;3539511111;10240;10228
34;3442763000;3381122222;3581122222;10240;10228
36;3442963000;3381122222;3581122222;10240;10228
38;3442973000;3381122222;3581122222;10240;10228
33;3443018000;3381122222;3581122222;10240;10228
40;3443121000;3381122222;3581122222;10240;10228
35;3443276000;3381122222;3581122222;10240;10228
37;3443295000;3381122222;3581122222;10240;10228
39;3443322000;3381122222;3581122222;10240;10228
42;3443332000;3381122222;3581122222;10240;10228
41;3443561000;3381122222;3581122222;10240;10228
43;3443571000;3381122222;3581122222;10240;10228
44;3484434000;3422744444;3622744444;10240;10228
46;3484619000;3422744444;3622744444;10240;10228
45;3484734000;3422744444;3622744444;10240;10228
48;3484830000;3422744444;3622744444;10240;10228
50;3484842000;3422744444;3622744444;10240;10228
47;3484983000;3422744444;3622744444;10240;10228
49;3485008000;3422744444;3622744444;10240;10228
51;3485015000;3422744444;3622744444;10240;10228
52;3485019000;3422744444;3622744444;10240;10228
54;3485024000;3422744444;3622744444;10240;10228
53;3485235000;3422744444;3622744444;10240;10228
56;3526105000;3464400000;3664400000;10240;10228
58;3526279000;3464400000;3664400000;10240;10228
55;3526426000;3464400000;3664400000;10240;10228
57;3526447000;3464400000;3664400000;10240;10228
60;3526453000;3464400000;3664400000;10240;10228
62;3526459000;3464400000;3664400000;10240;10228
64;3526699000;3464400000;3664400000;10240;10228
59;3526717000;3464400000;3664400000;10240;10228
61;3526745000;3464400000;3664400000;10240;10228
63;3526912000;3464400000;3664400000;10240;10228
65;3526925000;3464400000;3664400000;10240;10228
66;3567794000;3506022222;3706022222;10240;10228
68;3567972000;3506022222;3706022222;10240;10228
