seqnum;now;rtptime;deadline;packet_len;payload_len
0;7414221000;7022900000;7222900000;10240;10228
3;7414403000;7022900000;7222900000;10240;10228
1;7414487000;7022900000;7222900000;10240;10228
2;7414502000;7022900000;7222900000;10240;10228
4;7414527000;7022900000;7222900000;10240;10228
7;7414533000;7022900000;7222900000;10240;10228
5;7414725000;7022900000;7222900000;10240;10228
6;7414755000;7022900000;7222900000;10240;10228
8;7414776000;7022900000;7222900000;10240;10228
11;7414784000;7054288888;7254288888;10240;10228
12;7415021000;7054288888;7254288888;10240;10228
15;7415046000;7054288888;7254288888;10240;10228
9;7415054000;7022900000;7222900000;10240;10228
10;7415059000;7022900000;7222900000;10240;10228
16;7415180000;7054288888;7254288888;10240;10228
13;7415276000;7054288888;7254288888;10240;10228
14;7415287000;7054288888;7254288888;10240;10228
19;7415349000;7054288888;7254288888;10240;10228
20;7415360000;7054288888;7254288888;10240;10228
17;7415460000;7054288888;7254288888;10240;10228
18;7415472000;7054288888;7254288888;10240;10228
21;7415478000;7054288888;7254288888;10240;10228
23;7415578000;7095988888;7295988888;10240;10228
24;7415601000;7095988888;7295988888;10240;10228
22;7415772000;7095988888;7295988888;10240;10228
25;7415796000;7095988888;7295988888;10240;10228
27;7415801000;7095988888;7295988888;10240;10228
28;7415805000;7095988888;7295988888;10240;10228
26;7416029000;7095988888;7295988888;10240;10228
29;7416054000;7095988888;7295988888;10240;10228
31;7416060000;7095988888;7295988888;10240;10228
32;7416064000;7095988888;7295988888;10240;10228
34;7416206000;7137577777;7337577777;10240;10228
30;7416232000;7095988888;7295988888;10240;10228
33;7416244000;7137577777;7337577777;10240;10228
35;7416402000;7137577777;7337577777;10240;10228
38;7416418000;7137577777;7337577777;10240;10228
36;7416494000;7137577777;7337577777;10240;10228
37;7416507000;7137577777;7337577777;10240;10228
39;7416664000;7137577777;7337577777;10240;10228
42;7416710000;7137577777;7337577777;10240;10228
40;7416784000;7137577777;7337577777;10240;10228
41;7416812000;7137577777;7337577777;10240;10228
43;7416818000;7137577777;7337577777;10240;10228
46;7416838000;7179277777;7379277777;10240;10228
44;7417020000;7179277777;7379277777;10240;10228
45;7417031000;7179277777;7379277777;10240;10228
47;7417049000;7179277777;7379277777;10240;10228
50;7417255000;7179277777;7379277777;10240;10228
51;7417280000;7179277777;7379277777;10240;10228
48;7417286000;7179277777;7379277777;10240;10228
49;7417291000;7179277777;7379277777;10240;10228
54;7417407000;7179277777;7379277777;10240;10228
55;7417419000;7220900000;7420900000;10240;10228
52;7417493000;7179277777;7379277777;10240;10228
53;7417506000;7179277777;7379277777;10240;10228
58;7417640000;7220900000;7420900000;10240;10228
59;7417661000;7220900000;7420900000;10240;10228
56;7417768000;7220900000;7420900000;10240;10228
57;7417787000;7220900000;7420900000;10240;10228
60;7417804000;7220900000;7420900000;10240;10228
62;7417888000;7220900000;7420900000;10240;10228
63;7417900000;7220900000;7420900000;10240;10228
61;7418004000;7220900000;7420900000;10240;10228
64;7418026000;7220900000;7420900000;10240;10228
66;7418032000;7262544444;7462544444;10240;10228
65;7418262000;7220900000;7420900000;10240;10228
68;7418274000;7262544444;7462544444;10240;10228
67;7418280000;7262544444;7462544444;10240;10228
70;7418285000;7262544444;7462544444;10240;10228
71;7418434000;7262544444;7462544444;10240;10228
74;7418446000;7262544444;7462544444;10240;10228
69;7418452000;7262544444;7462544444;10240;10228
72;7418458000;7262544444;7462544444;10240;10228
75;7418674000;7262544444;7462544444;10240;10228
73;7418780000;7262544444;7462544444;10240;10228
76;7418789000;7262544444;7462544444;10240;10228
78;7426640000;7304266666;7504266666;10240;10228
77;7426969000;7304266666;7504266666;10240;10228
79;7426989000;7304266666;7504266666;10240;10228
80;7574951000;7304266666;7504266666;10240;10228
83;7575128000;7304266666;7504266666;10240;10228
84;7575156000;7304266666;7504266666;10240;10228
81;7575311000;7304266666;7504266666;10240;10228
82;7575342000;7304266666;7504266666;10240;10228
87;7575407000;7304266666;7504266666;10240;10228
85;7575550000;7304266666;7504266666;10240;10228
88;7575565000;7345922222;7545922222;10240;10228
91;7575572000;7345922222;7545922222;10240;10228
86;7575578000;7304266666;7504266666;10240;10228
92;7575718000;7345922222;7545922222;10240;10228
95;7575734000;7345922222;7545922222;10240;10228
89;7575740000;7345922222;7545922222;10240;10228
90;7575770000;7345922222;7545922222;10240;10228
96;7575915000;7345922222;7545922222;10240;10228
99;7575922000;7387588888;7587588888;10240;10228
