seqnum;now;rtptime;deadline
2;7396579000;6902900000;7102900000
5;7396582000;6902900000;7102900000
6;7396584000;6902900000;7102900000
7;7396585000;6902900000;7102900000
8;7396597000;6902900000;7102900000
9;7396598000;6902900000;7102900000
10;7444400000;6902900000;7102900000
22;7444428000;6976400000;7176400000
23;7444430000;6976400000;7176400000
24;7444433000;6976400000;7176400000
25;7444435000;6976400000;7176400000
26;7444437000;6976400000;7176400000
27;7444438000;6976400000;7176400000
28;7444440000;6976400000;7176400000
29;7444441000;6976400000;7176400000
30;7444443000;6976400000;7176400000
31;7444444000;6976400000;7176400000
32;7517956000;6976400000;7176400000
33;7517963000;7018011111;7218011111
34;7517966000;7018011111;7218011111
35;7517967000;7018011111;7218011111
36;7517970000;7018011111;7218011111
37;7517971000;7018011111;7218011111
38;7517973000;7018011111;7218011111
39;7517975000;7018011111;7218011111
40;7594889000;7018011111;7218011111
41;7595081000;7018011111;7218011111
42;7595315000;7018011111;7218011111
43;7595456000;7018011111;7218011111
44;7595463000;7059688888;7259688888
45;7595626000;7059688888;7259688888
46;7595628000;7059688888;7259688888
47;7595856000;7059688888;7259688888
48;7595859000;7059688888;7259688888
49;7596140000;7059688888;7259688888
50;7596142000;7059688888;7259688888
51;7596340000;7059688888;7259688888
52;7596342000;7059688888;7259688888
53;7596590000;7059688888;7259688888
54;7600983000;7059688888;7259688888
67;7600989000;7142966666;7342966666
68;7600990000;7142966666;7342966666
69;7600991000;7142966666;7342966666
70;7600992000;7142966666;7342966666
71;7600993000;7142966666;7342966666
72;7600994000;7142966666;7342966666
74;7684571000;7142966666;7342966666
75;7684582000;7142966666;7342966666
76;7684691000;7142966666;7342966666
77;7684697000;7184666666;7384666666
78;7684698000;7184666666;7384666666
79;7684699000;7184666666;7384666666
80;7684700000;7184666666;7384666666
81;7684701000;7184666666;7384666666
82;7684701000;7184666666;7384666666
83;7684702000;7184666666;7384666666
84;7684703000;7184666666;7384666666
87;7726108000;7184666666;7384666666
88;7726122000;7226333333;7426333333
89;7726124000;7226333333;7426333333
90;7726125000;7226333333;7426333333
91;7726127000;7226333333;7426333333
92;7795742000;7226333333;7426333333
93;7795949000;7226333333;7426333333
94;7795951000;7226333333;7426333333
95;7796345000;7226333333;7426333333
96;7796518000;7226333333;7426333333
97;7796536000;7226333333;7426333333
