seqnum;now;rtptime;deadline
1;5586904000;5293044444;5493044444
3;5586908000;5293044444;5493044444
4;5586910000;5293044444;5493044444
5;5586911000;5293044444;5493044444
6;5586913000;5293044444;5493044444
7;5586915000;5293044444;5493044444
9;5586917000;5293044444;5493044444
10;5634539000;5293044444;5493044444
22;5634556000;5366500000;5566500000
23;5634568000;5366500000;5566500000
24;5634569000;5366500000;5566500000
25;5634571000;5366500000;5566500000
26;5634572000;5366500000;5566500000
27;5634573000;5366500000;5566500000
28;5634575000;5366500000;5566500000
29;5634576000;5366500000;5566500000
30;5634578000;5366500000;5566500000
31;5634579000;5366500000;5566500000
32;5708106000;5366500000;5566500000
44;5708124000;5449811111;5649811111
45;5708126000;5449811111;5649811111
46;5708128000;5449811111;5649811111
47;5708129000;5449811111;5649811111
48;5708135000;5449811111;5649811111
49;5708141000;5449811111;5649811111
51;5708143000;5449811111;5649811111
52;5708145000;5449811111;5649811111
53;5708146000;5449811111;5649811111
55;5832764000;5491422222;5691422222
96;5880377000;5616400000;5816400000
99;5922151000;5658055555;5858055555
100;5922155000;5658055555;5858055555
101;5922156000;5658055555;5858055555
102;5922157000;5658055555;5858055555
103;5922167000;5658055555;5858055555
104;5922168000;5658055555;5858055555
105;5922169000;5658055555;5858055555
106;5922170000;5658055555;5858055555
107;5922171000;5658055555;5858055555
108;5922172000;5658055555;5858055555
109;5922237000;5658055555;5858055555
110;5922240000;5699700000;5899700000
111;5922241000;5699700000;5899700000
112;5922242000;5699700000;5899700000
113;5922243000;5699700000;5899700000
114;5922244000;5699700000;5899700000
115;5922245000;5699700000;5899700000
116;5922246000;5699700000;5899700000
117;5946490000;5699700000;5899700000
118;5947002000;5699700000;5899700000
119;5947195000;5699700000;5899700000
120;5963730000;5699700000;5899700000
132;5963735000;5783044444;5983044444
133;5963737000;5783044444;5983044444
134;5963738000;5783044444;5983044444
135;5963738000;5783044444;5983044444
136;5963739000;5783044444;5983044444
137;5963740000;5783044444;5983044444
138;5963741000;5783044444;5983044444
139;5963742000;5783044444;5983044444
140;5963743000;5783044444;5983044444
141;5963744000;5783044444;5983044444
142;6047412000;5783044444;5983044444
143;6047418000;5824700000;6024700000
144;6047419000;5824700000;6024700000
145;6047420000;5824700000;6024700000
146;6047421000;5824700000;6024700000
147;6047422000;5824700000;6024700000
148;6047423000;5824700000;6024700000
149;6047424000;5824700000;6024700000
150;6047425000;5824700000;6024700000
151;6047426000;5824700000;6024700000
152;6047427000;5824700000;6024700000
153;6088788000;5824700000;6024700000
165;6088803000;5908122222;6108122222
166;6088805000;5908122222;6108122222
167;6088806000;5908122222;6108122222
168;6088807000;5908122222;6108122222
169;6088808000;5908122222;6108122222
170;6088809000;5908122222;6108122222
171;6088810000;5908122222;6108122222
172;6088811000;5908122222;6108122222
173;6088811000;5908122222;6108122222
174;6088812000;5908122222;6108122222
175;6172491000;5908122222;6108122222
176;6172498000;5949722222;6149722222
177;6172499000;5949722222;6149722222
178;6172500000;5949722222;6149722222
179;6172501000;5949722222;6149722222
180;6172502000;5949722222;6149722222
181;6172503000;5949722222;6149722222
182;6172504000;5949722222;6149722222
183;6172505000;5949722222;6149722222
184;6172506000;5949722222;6149722222
185;6172507000;5949722222;6149722222
186;6213879000;5949722222;6149722222
198;6213885000;6033166666;6233166666
199;6213886000;6033166666;6233166666
200;6213887000;6033166666;6233166666
201;6213889000;6033166666;6233166666
202;6213890000;6033166666;6233166666
203;6213891000;6033166666;6233166666
204;6213892000;6033166666;6233166666
