seqnum;now;rtptime;deadline
1;5576992000;5383833333;5583833333
2;5576995000;5383833333;5583833333
3;5576996000;5383833333;5583833333
4;5576998000;5383833333;5583833333
11;5656845000;5415444444;5615444444
33;5740378000;5498744444;5698744444
51;5781878000;5540488888;5740488888
62;5823584000;5582155555;5782155555
76;5865221000;5623722222;5823722222
86;5865237000;5665488888;5865488888
87;5906888000;5665488888;5865488888
98;5948505000;5707122222;5907122222
107;5948518000;5748766666;5948766666
108;5948519000;5748766666;5948766666
111;6031948000;5790400000;5990400000
130;6073509000;5832122222;6032122222
143;6157054000;5915477777;6115477777
163;6198599000;5957188888;6157188888
175;6240157000;5998755555;6198755555
186;6281788000;6040455555;6240455555
196;6281794000;6082100000;6282100000
197;6323486000;6082100000;6282100000
207;6323491000;6123733333;6323733333
208;6365119000;6123733333;6323733333
218;6365125000;6165444444;6365444444
219;6406747000;6165444444;6365444444
230;6448528000;6207133333;6407133333
239;6448543000;6248755555;6448755555
240;6448544000;6248755555;6448755555
243;6531981000;6290433333;6490433333
261;6573539000;6332155555;6532155555
278;6656998000;6415433333;6615433333
292;6698495000;6457122222;6657122222
302;6740116000;6498733333;6698733333
314;6781807000;6540422222;6740422222
325;6823564000;6582144444;6782144444
333;6865129000;6623744444;6823744444
349;6906833000;6665444444;6865444444
363;6990344000;6748744444;6948744444
379;7031829000;6790411111;6990411111
391;7073510000;6832111111;7032111111
402;7116471000;6873744444;7073744444
414;7156823000;6915433333;7115433333
428;7198636000;6957122222;7157122222
439;7240123000;6998755555;7198755555
450;7281825000;7040444444;7240444444
459;7281831000;7082100000;7282100000
460;7281832000;7082100000;7282100000
461;7323483000;7082100000;7282100000
471;7323489000;7123744444;7323744444
472;7365112000;7123744444;7323744444
486;7372600000;7207100000;7407100000
490;7372808000;7207100000;7407100000
491;7372810000;7207100000;7407100000
492;7372811000;7207100000;7407100000
493;7372812000;7207100000;7407100000
494;7448598000;7207100000;7407100000
503;7448613000;7248777777;7448777777
504;7448614000;7248777777;7448777777
505;7490154000;7248777777;7448777777
515;7490160000;7290422222;7490422222
516;7531804000;7290422222;7490422222
528;7531810000;7373755555;7573755555
529;7531812000;7373755555;7573755555
530;7531812000;7373755555;7573755555
531;7531813000;7373755555;7573755555
532;7531814000;7373755555;7573755555
533;7531815000;7373755555;7573755555
534;7531816000;7373755555;7573755555
535;7531817000;7373755555;7573755555
536;7531818000;7373755555;7573755555
537;7531819000;7373755555;7573755555
542;7657018000;7415444444;7615444444
561;7740335000;7498744444;7698744444
579;7781863000;7540466666;7740466666
592;7823533000;7582155555;7782155555
606;7906898000;7665433333;7865433333
621;7948510000;7707122222;7907122222
628;7990122000;7748744444;7948744444
642;8031800000;7790411111;7990411111
655;8073528000;7832122222;8032122222
670;8115316000;7873755555;8073755555
682;8115331000;7957133333;8157133333
683;8115333000;7957133333;8157133333
684;8115334000;7957133333;8157133333
685;8115335000;7957133333;8157133333
686;8115336000;7957133333;8157133333
687;8115337000;7957133333;8157133333
688;8115339000;7957133333;8157133333
689;8115340000;7957133333;8157133333
690;8115341000;7957133333;8157133333
691;8115342000;7957133333;8157133333
692;8198725000;7957133333;8157133333
700;8198731000;7998755555;8198755555
701;8198733000;7998755555;8198755555
702;8198734000;7998755555;8198755555
703;8240139000;7998755555;8198755555
714;8281822000;8040455555;8240455555
726;8281828000;8123744444;8323744444
727;8281829000;8123744444;8323744444
728;8281830000;8123744444;8323744444
729;8281831000;8123744444;8323744444
730;8281832000;8123744444;8323744444
731;8281833000;8123744444;8323744444
732;8281834000;8123744444;8323744444
733;8281835000;8123744444;8323744444
736;8365308000;8123744444;8323744444
746;8365314000;8165444444;8365444444
747;8406820000;8165444444;8365444444
760;8414155000;8248755555;8448755555
761;8414157000;8248755555;8448755555
762;8414168000;8248755555;8448755555
763;8414169000;8248755555;8448755555
764;8414170000;8248755555;8448755555
765;8414171000;8248755555;8448755555
766;8414171000;8248755555;8448755555
767;8414172000;8248755555;8448755555
768;8414173000;8248755555;8448755555
769;8490300000;8248755555;8448755555
777;8490306000;8290433333;8490433333
778;8490307000;8290433333;8490433333
779;8490308000;8290433333;8490433333
780;8531803000;8290433333;8490433333
