seqnum;now;rtptime;deadline
0;8339277000;8156755555;8356755555
1;8339284000;8156755555;8356755555
2;8339285000;8156755555;8356755555
3;8339287000;8156755555;8356755555
4;8339289000;8156755555;8356755555
5;8339290000;8156755555;8356755555
6;8339292000;8156755555;8356755555
7;8339294000;8156755555;8356755555
8;8339296000;8156755555;8356755555
9;8339297000;8156755555;8356755555
10;8339622000;8156755555;8356755555
11;8339637000;8188522222;8388522222
12;8339639000;8188522222;8388522222
14;8370875000;8188522222;8388522222
15;8370879000;8188522222;8388522222
16;8370881000;8188522222;8388522222
17;8370882000;8188522222;8388522222
18;8370884000;8188522222;8388522222
19;8370886000;8188522222;8388522222
20;8370887000;8188522222;8388522222
21;8371009000;8188522222;8388522222
22;8372244000;8230244444;8430244444
23;8372246000;8230244444;8430244444
24;8372456000;8230244444;8430244444
25;8372459000;8230244444;8430244444
26;8372706000;8230244444;8430244444
27;8372709000;8230244444;8430244444
28;8372958000;8230244444;8430244444
29;8372960000;8230244444;8430244444
30;8373207000;8230244444;8430244444
31;8373210000;8230244444;8430244444
32;8412725000;8230244444;8430244444
33;8413905000;8271855555;8471855555
34;8413907000;8271855555;8471855555
35;8414125000;8271855555;8471855555
36;8414128000;8271855555;8471855555
37;8414369000;8271855555;8471855555
38;8414372000;8271855555;8471855555
39;8414620000;8271855555;8471855555
40;8414623000;8271855555;8471855555
41;8414840000;8271855555;8471855555
42;8414843000;8271855555;8471855555
43;8454343000;8271855555;8471855555
45;8495949000;8313511111;8513511111
46;8495952000;8313511111;8513511111
47;8495953000;8313511111;8513511111
48;8495955000;8313511111;8513511111
49;8495957000;8313511111;8513511111
50;8495959000;8313511111;8513511111
51;8495961000;8313511111;8513511111
52;8495964000;8313511111;8513511111
53;8495966000;8313511111;8513511111
54;8496106000;8313511111;8513511111
55;8497239000;8355188888;8555188888
56;8497242000;8355188888;8555188888
57;8497456000;8355188888;8555188888
58;8497459000;8355188888;8555188888
59;8497706000;8355188888;8555188888
60;8497709000;8355188888;8555188888
62;8537623000;8355188888;8555188888
63;8537626000;8355188888;8555188888
64;8537628000;8355188888;8555188888
65;8537765000;8355188888;8555188888
66;8538877000;8396811111;8596811111
67;8538889000;8396811111;8596811111
68;8539148000;8396811111;8596811111
69;8539151000;8396811111;8596811111
70;8539403000;8396811111;8596811111
71;8539406000;8396811111;8596811111
72;8539655000;8396811111;8596811111
73;8539657000;8396811111;8596811111
74;8539857000;8396811111;8596811111
75;8539869000;8396811111;8596811111
76;8579269000;8396811111;8596811111
77;8580561000;8438511111;8638511111
78;8580564000;8438511111;8638511111
79;8580791000;8438511111;8638511111
80;8580794000;8438511111;8638511111
81;8581042000;8438511111;8638511111
82;8581045000;8438511111;8638511111
83;8581300000;8438511111;8638511111
84;8581302000;8438511111;8638511111
85;8581555000;8438511111;8638511111
86;8581558000;8438511111;8638511111
87;8620997000;8438511111;8638511111
88;8622241000;8480166666;8680166666
90;8662576000;8480166666;8680166666
91;8662590000;8480166666;8680166666
92;8662591000;8480166666;8680166666
93;8662592000;8480166666;8680166666
94;8662593000;8480166666;8680166666
95;8662594000;8480166666;8680166666
96;8662595000;8480166666;8680166666
97;8662596000;8480166666;8680166666
98;8662706000;8480166666;8680166666
99;8663882000;8521833333;8721833333
100;8663885000;8521833333;8721833333
101;8664129000;8521833333;8721833333
102;8664131000;8521833333;8721833333
103;8664373000;8521833333;8721833333
104;8664375000;8521833333;8721833333
105;8664631000;8521833333;8721833333
106;8664633000;8521833333;8721833333
107;8664875000;8521833333;8721833333
108;8664877000;8521833333;8721833333
109;8704290000;8521833333;8721833333
110;8705576000;8563455555;8763455555
111;8705578000;8563455555;8763455555
112;8705786000;8563455555;8763455555
114;8745864000;8563455555;8763455555
115;8745877000;8563455555;8763455555
116;8745878000;8563455555;8763455555
117;8745880000;8563455555;8763455555
119;8745890000;8563455555;8763455555
126;8787685000;8605155555;8805155555
127;8787689000;8605155555;8805155555
128;8787690000;8605155555;8805155555
129;8787691000;8605155555;8805155555
130;8787692000;8605155555;8805155555
131;8787705000;8605155555;8805155555
132;8788892000;8646800000;8846800000
133;8788895000;8646800000;8846800000
135;8829208000;8646800000;8846800000
136;8829222000;8646800000;8846800000
137;8829223000;8646800000;8846800000
138;8829224000;8646800000;8846800000
139;8829225000;8646800000;8846800000
140;8829226000;8646800000;8846800000
141;8829227000;8646800000;8846800000
142;8829337000;8646800000;8846800000
143;8830527000;8688466666;8888466666
144;8830529000;8688466666;8888466666
145;8830767000;8688466666;8888466666
146;8830770000;8688466666;8888466666
147;8831017000;8688466666;8888466666
148;8831020000;8688466666;8888466666
149;8831225000;8688466666;8888466666
150;8831228000;8688466666;8888466666
151;8831474000;8688466666;8888466666
152;8831477000;8688466666;8888466666
153;8870924000;8688466666;8888466666
154;8872235000;8730255555;8930255555
155;8872237000;8730255555;8930255555
156;8872480000;8730255555;8930255555
157;8872482000;8730255555;8930255555
158;8872729000;8730255555;8930255555
159;8872731000;8730255555;8930255555
160;8872985000;8730255555;8930255555
161;8872987000;8730255555;8930255555
162;8873236000;8730255555;8930255555
163;8873238000;8730255555;8930255555
164;8912727000;8730255555;8930255555
165;8913882000;8771888888;8971888888
166;8914143000;8771888888;8971888888
167;8914145000;8771888888;8971888888
168;8914147000;8771888888;8971888888
169;8914343000;8771888888;8971888888
170;8914346000;8771888888;8971888888
171;8914594000;8771888888;8971888888
172;8914605000;8771888888;8971888888
173;8914894000;8771888888;8971888888
174;8914897000;8771888888;8971888888
175;8954359000;8771888888;8971888888
176;8955555000;8813522222;9013522222
177;8955558000;8813522222;9013522222
178;8955790000;8813522222;9013522222
179;8955792000;8813522222;9013522222
180;8956039000;8813522222;9013522222
181;8956041000;8813522222;9013522222
182;8956299000;8813522222;9013522222
183;8956301000;8813522222;9013522222
184;8956550000;8813522222;9013522222
185;8956553000;8813522222;9013522222
186;8995969000;8813522222;9013522222
187;8997169000;8855155555;9055155555
188;8997170000;8855155555;9055155555
190;9037565000;8855155555;9055155555
191;9037579000;8855155555;9055155555
192;9037580000;8855155555;9055155555
193;9037581000;8855155555;9055155555
194;9037582000;8855155555;9055155555
195;9037583000;8855155555;9055155555
196;9037585000;8855155555;9055155555
198;9079344000;8896800000;9096800000
199;9079348000;8896800000;9096800000
200;9079349000;8896800000;9096800000
202;9079350000;8896800000;9096800000
203;9079351000;8896800000;9096800000
204;9079352000;8896800000;9096800000
205;9079354000;8896800000;9096800000
206;9079355000;8896800000;9096800000
207;9079356000;8896800000;9096800000
208;9079366000;8896800000;9096800000
209;9080555000;8938455555;9138455555
210;9080558000;8938455555;9138455555
211;9080790000;8938455555;9138455555
212;9080793000;8938455555;9138455555
213;9081041000;8938455555;9138455555
214;9081043000;8938455555;9138455555
215;9081249000;8938455555;9138455555
216;9081251000;8938455555;9138455555
217;9081498000;8938455555;9138455555
218;9081510000;8938455555;9138455555
219;9120927000;8938455555;9138455555
220;9122221000;8980188888;9180188888
221;9122223000;8980188888;9180188888
222;9122467000;8980188888;9180188888
223;9122470000;8980188888;9180188888
224;9122713000;8980188888;9180188888
225;9122715000;8980188888;9180188888
226;9122969000;8980188888;9180188888
227;9122971000;8980188888;9180188888
228;9123223000;8980188888;9180188888
229;9123226000;8980188888;9180188888
230;9162647000;8980188888;9180188888
231;9163868000;9021811111;9221811111
232;9163871000;9021811111;9221811111
233;9164116000;9021811111;9221811111
234;9164119000;9021811111;9221811111
