seqnum;now;rtptime;deadline;packet_len;payload_len
0;4203475000;4151155555;4351155555;1398;1386
1;4203509000;4151155555;4351155555;1400;1388
2;4203592000;4151155555;4351155555;1398;1386
3;4203864000;4151155555;4351155555;1400;1388
4;4203873000;4151155555;4351155555;1400;1388
5;4203877000;4151155555;4351155555;1398;1386
6;4204134000;4151155555;4351155555;1400;1388
7;4204143000;4151155555;4351155555;1398;1386
8;4204361000;4151155555;4351155555;1400;1388
9;4204369000;4151155555;4351155555;1400;1388
10;4204610000;4151155555;4351155555;982;970
11;4245084000;4183100000;4383100000;1398;1386
12;4245116000;4183100000;4383100000;1400;1388
13;4245305000;4183100000;4383100000;1398;1386
14;4245315000;4183100000;4383100000;1400;1388
15;4245553000;4183100000;4383100000;1400;1388
16;4245563000;4183100000;4383100000;1398;1386
17;4245803000;4183100000;4383100000;1400;1388
18;4245819000;4183100000;4383100000;1398;1386
19;4246015000;4183100000;4383100000;1400;1388
20;4246024000;4183100000;4383100000;1400;1388
21;4246303000;4183100000;4383100000;982;970
22;4286739000;4224800000;4424800000;1398;1386
23;4286754000;4224800000;4424800000;1400;1388
24;4286973000;4224800000;4424800000;1398;1386
25;4286985000;4224800000;4424800000;1400;1388
26;4287233000;4224800000;4424800000;1400;1388
27;4287244000;4224800000;4424800000;1398;1386
28;4287439000;4224800000;4424800000;1400;1388
29;4287447000;4224800000;4424800000;1398;1386
30;4287730000;4224800000;4424800000;1400;1388
31;4287741000;4224800000;4424800000;1400;1388
32;4287749000;4224800000;4424800000;982;970
33;4328361000;4266433333;4466433333;1398;1386
34;4328635000;4266433333;4466433333;1400;1388
35;4328647000;4266433333;4466433333;1398;1386
36;4328654000;4266433333;4466433333;1400;1388
37;4328878000;4266433333;4466433333;1400;1388
38;4328890000;4266433333;4466433333;1398;1386
39;4329100000;4266433333;4466433333;1400;1388
40;4329108000;4266433333;4466433333;1398;1386
41;4329385000;4266433333;4466433333;1400;1388
42;4329396000;4266433333;4466433333;1400;1388
43;4329636000;4266433333;4466433333;982;970
44;4370034000;4308111111;4508111111;1398;1386
45;4370316000;4308111111;4508111111;1400;1388
46;4370328000;4308111111;4508111111;1398;1386
47;4370335000;4308111111;4508111111;1400;1388
48;4370560000;4308111111;4508111111;1400;1388
49;4370572000;4308111111;4508111111;1398;1386
50;4370819000;4308111111;4508111111;1400;1388
51;4370830000;4308111111;4508111111;1398;1386
52;4371067000;4308111111;4508111111;1400;1388
53;4371079000;4308111111;4508111111;1400;1388
54;4371273000;4308111111;4508111111;982;970
55;4411717000;4349811111;4549811111;1398;1386
56;4411730000;4349811111;4549811111;1400;1388
57;4411939000;4349811111;4549811111;1398;1386
58;4411955000;4349811111;4549811111;1400;1388
59;4412217000;4349811111;4549811111;1400;1388
60;4412229000;4349811111;4549811111;1398;1386
61;4412467000;4349811111;4549811111;1400;1388
62;4412479000;4349811111;4549811111;1398;1386
63;4412730000;4349811111;4549811111;1400;1388
64;4412742000;4349811111;4549811111;1400;1388
65;4412749000;4349811111;4549811111;982;970
66;4453347000;4391377777;4591377777;1398;1386
67;4453360000;4391377777;4591377777;1400;1388
