seqnum;now;rtptime;deadline;packet_len;payload_len
1;7177873000;6686877777;6886877777;10240;10228
2;7178033000;6686877777;6886877777;10240;10228
0;7178135000;6686877777;6886877777;10240;10228
3;7178166000;6686877777;6886877777;10240;10228
5;7178187000;6686877777;6886877777;10240;10228
6;7178197000;6686877777;6886877777;10240;10228
4;7178369000;6686877777;6886877777;10240;10228
7;7178381000;6686877777;6886877777;10240;10228
9;7378383000;6686877777;6886877777;10240;10228
10;7378523000;6686877777;6886877777;10240;10228
11;7378542000;6718622222;6918622222;10240;10228
8;7378686000;6686877777;6886877777;10240;10228
12;7378737000;6718622222;6918622222;10240;10228
14;7378957000;6718622222;6918622222;10240;10228
15;7378981000;6718622222;6918622222;10240;10228
13;7379031000;6718622222;6918622222;10240;10228
18;7379217000;6718622222;6918622222;10240;10228
19;7379250000;6718622222;6918622222;10240;10228
16;7379265000;6718622222;6918622222;10240;10228
17;7379271000;6718622222;6918622222;10240;10228
20;7386725000;6718622222;6918622222;10240;10228
21;7386737000;6718622222;6918622222;10240;10228
22;7578873000;6760411111;6960411111;10240;10228
24;7579079000;6760411111;6960411111;10240;10228
25;7579100000;6760411111;6960411111;10240;10228
23;7579253000;6760411111;6960411111;10240;10228
26;7579274000;6760411111;6960411111;10240;10228
27;7579475000;6760411111;6960411111;10240;10228
28;7579498000;6760411111;6960411111;10240;10228
30;7579700000;6760411111;6960411111;10240;10228
31;7579725000;6760411111;6960411111;10240;10228
29;7579743000;6760411111;6960411111;10240;10228
32;7579888000;6760411111;6960411111;10240;10228
33;7579910000;6801933333;7001933333;10240;10228
36;7579944000;6801933333;7001933333;10240;10228
39;7579965000;6801933333;7001933333;10240;10228
34;7580113000;6801933333;7001933333;10240;10228
35;7580131000;6801933333;7001933333;10240;10228
37;7580294000;6801933333;7001933333;10240;10228
38;7580462000;6801933333;7001933333;10240;10228
40;7580472000;6801933333;7001933333;10240;10228
41;7580711000;6801933333;7001933333;10240;10228
42;7587734000;6801933333;7001933333;10240;10228
43;7587757000;6801933333;7001933333;10240;10228
44;7587983000;6843588888;7043588888;10240;10228
45;7587996000;6843588888;7043588888;10240;10228
47;7779526000;6843588888;7043588888;10240;10228
48;7779739000;6843588888;7043588888;10240;10228
49;7779759000;6843588888;7043588888;10240;10228
46;7779876000;6843588888;7043588888;10240;10228
50;7779901000;6843588888;7043588888;10240;10228
51;7780132000;6843588888;7043588888;10240;10228
52;7780138000;6843588888;7043588888;10240;10228
53;7780333000;6843588888;7043588888;10240;10228
54;7780339000;6843588888;7043588888;10240;10228
57;7780431000;6885255555;7085255555;10240;10228
55;7780539000;6885255555;7085255555;10240;10228
56;7780778000;6885255555;7085255555;10240;10228
58;7780798000;6885255555;7085255555;10240;10228
65;7780805000;6885255555;7085255555;10240;10228
59;7780955000;6885255555;7085255555;10240;10228
60;7780973000;6885255555;7085255555;10240;10228
68;7781048000;6926888888;7126888888;10240;10228
69;7781070000;6926888888;7126888888;10240;10228
61;7781160000;6885255555;7085255555;10240;10228
62;7781170000;6885255555;7085255555;10240;10228
72;7781243000;6926888888;7126888888;10240;10228
63;7781316000;6885255555;7085255555;10240;10228
64;7781528000;6885255555;7085255555;10240;10228
66;7781534000;6926888888;7126888888;10240;10228
67;7781732000;6926888888;7126888888;10240;10228
70;7781776000;6926888888;7126888888;10240;10228
71;7781980000;6926888888;7126888888;10240;10228
73;7782003000;6926888888;7126888888;10240;10228
74;7782142000;6926888888;7126888888;10240;10228
75;7782357000;6926888888;7126888888;10240;10228
76;7782378000;6926888888;7126888888;10240;10228
77;7782628000;6968600000;7168600000;10240;10228
78;7782649000;6968600000;7168600000;10240;10228
79;7782792000;6968600000;7168600000;10240;10228
80;7782823000;6968600000;7168600000;10240;10228
81;7788754000;6968600000;7168600000;10240;10228
82;7788777000;6968600000;7168600000;10240;10228
83;7789002000;6968600000;7168600000;10240;10228
84;7789025000;6968600000;7168600000;10240;10228
85;7789232000;6968600000;7168600000;10240;10228
86;7789250000;6968600000;7168600000;10240;10228
87;7789487000;6968600000;7168600000;10240;10228
88;7789504000;7010244444;7210244444;10240;10228
90;7980015000;7010244444;7210244444;10240;10228
91;7980219000;7010244444;7210244444;10240;10228
92;7980240000;7010244444;7210244444;10240;10228
89;7980348000;7010244444;7210244444;10240;10228
93;7980394000;7010244444;7210244444;10240;10228
94;7980625000;7010244444;7210244444;10240;10228
95;7980640000;7010244444;7210244444;10240;10228
96;7980832000;7010244444;7210244444;10240;10228
97;7980864000;7010244444;7210244444;10240;10228
98;7981035000;7010244444;7210244444;10240;10228
99;7981067000;7051877777;7251877777;10240;10228
100;7981282000;7051877777;7251877777;10240;10228
106;7981322000;7051877777;7251877777;10240;10228
107;7981340000;7051877777;7251877777;10240;10228
101;7981445000;7051877777;7251877777;10240;10228
102;7981455000;7051877777;7251877777;10240;10228
103;7981648000;7051877777;7251877777;10240;10228
104;7981668000;7051877777;7251877777;10240;10228
112;7981697000;7093522222;7293522222;10240;10228
105;7981827000;7051877777;7251877777;10240;10228
122;7981963000;7135244444;7335244444;10240;10228
123;7981983000;7135244444;7335244444;10240;10228
108;7982070000;7051877777;7251877777;10240;10228
109;7982076000;7051877777;7251877777;10240;10228
125;7982193000;7135244444;7335244444;10240;10228
126;7982213000;7135244444;7335244444;10240;10228
110;7982242000;7093522222;7293522222;10240;10228
111;7982261000;7093522222;7293522222;10240;10228
113;7982435000;7093522222;7293522222;10240;10228
114;7982441000;7093522222;7293522222;10240;10228
128;7982445000;7135244444;7335244444;10240;10228
115;7982660000;7093522222;7293522222;10240;10228
116;7982666000;7093522222;7293522222;10240;10228
117;7982868000;7093522222;7293522222;10240;10228
118;7983084000;7093522222;7293522222;10240;10228
119;7983102000;7093522222;7293522222;10240;10228
120;7983290000;7093522222;7293522222;10240;10228
121;7983299000;7135244444;7335244444;10240;10228
124;7983452000;7135244444;7335244444;10240;10228
127;7983457000;7135244444;7335244444;10240;10228
129;7983683000;7135244444;7335244444;10240;10228
130;7983690000;7135244444;7335244444;10240;10228
131;7983892000;7135244444;7335244444;10240;10228
132;7983923000;7176922222;7376922222;10240;10228
133;7984074000;7176922222;7376922222;10240;10228
134;7984280000;7176922222;7376922222;10240;10228
135;7984290000;7176922222;7376922222;10240;10228
136;7984477000;7176922222;7376922222;10240;10228
137;7984483000;7176922222;7376922222;10240;10228
138;7984682000;7176922222;7376922222;10240;10228
139;7984884000;7176922222;7376922222;10240;10228
140;7984891000;7176922222;7376922222;10240;10228
141;7985089000;7176922222;7376922222;10240;10228
142;7985096000;7176922222;7376922222;10240;10228
143;7985294000;7218555555;7418555555;10240;10228
144;7985301000;7218555555;7418555555;10240;10228
145;7985496000;7218555555;7418555555;10240;10228
146;7989804000;7218555555;7418555555;10240;10228
147;7989828000;7218555555;7418555555;10240;10228
148;7990052000;7218555555;7418555555;10240;10228
149;7990075000;7218555555;7418555555;10240;10228
150;7990292000;7218555555;7418555555;10240;10228
151;7990323000;7218555555;7418555555;10240;10228
152;7990531000;7218555555;7418555555;10240;10228
153;7990562000;7218555555;7418555555;10240;10228
154;7990797000;7260255555;7460255555;10240;10228
155;7990814000;7260255555;7460255555;10240;10228
156;7991039000;7260255555;7460255555;10240;10228
157;7991045000;7260255555;7460255555;10240;10228
158;7991292000;7260255555;7460255555;10240;10228
159;7991297000;7260255555;7460255555;10240;10228
160;7996740000;7260255555;7460255555;10240;10228
161;7996760000;7260255555;7460255555;10240;10228
163;8180505000;7260255555;7460255555;10240;10228
164;8180708000;7260255555;7460255555;10240;10228
165;8180721000;7301900000;7501900000;10240;10228
162;8180841000;7260255555;7460255555;10240;10228
166;8180950000;7301900000;7501900000;10240;10228
