seqnum;now;rtptime;deadline
1;7228299000;6686877777;6886877777
2;7228303000;6686877777;6886877777
3;7228304000;6686877777;6886877777
4;7228306000;6686877777;6886877777
5;7228307000;6686877777;6886877777
6;7228309000;6686877777;6886877777
7;7228310000;6686877777;6886877777
9;7378443000;6686877777;6886877777
10;7379327000;6686877777;6886877777
11;7379344000;6718622222;6918622222
12;7379346000;6718622222;6918622222
14;7379347000;6718622222;6918622222
15;7379348000;6718622222;6918622222
18;7379349000;6718622222;6918622222
19;7379351000;6718622222;6918622222
20;7386752000;6718622222;6918622222
21;7386811000;6718622222;6918622222
22;7578904000;6760411111;6960411111
24;7579128000;6760411111;6960411111
25;7579130000;6760411111;6960411111
26;7579301000;6760411111;6960411111
27;7579505000;6760411111;6960411111
28;7579508000;6760411111;6960411111
30;7579763000;6760411111;6960411111
31;7579765000;6760411111;6960411111
32;7579952000;6760411111;6960411111
33;7579967000;6801933333;7001933333
36;7579973000;6801933333;7001933333
39;7580063000;6801933333;7001933333
40;7580500000;6801933333;7001933333
41;7580740000;6801933333;7001933333
42;7587775000;6801933333;7001933333
43;7587797000;6801933333;7001933333
44;7588011000;6843588888;7043588888
45;7588023000;6843588888;7043588888
47;7779558000;6843588888;7043588888
48;7779778000;6843588888;7043588888
49;7779781000;6843588888;7043588888
50;7779938000;6843588888;7043588888
51;7780170000;6843588888;7043588888
52;7780172000;6843588888;7043588888
53;7780361000;6843588888;7043588888
54;7780375000;6843588888;7043588888
57;7780462000;6885255555;7085255555
58;7780846000;6885255555;7085255555
65;7780910000;6885255555;7085255555
68;7781099000;6926888888;7126888888
69;7781101000;6926888888;7126888888
72;7781286000;6926888888;7126888888
73;7782031000;6926888888;7126888888
74;7782178000;6926888888;7126888888
75;7782387000;6926888888;7126888888
76;7782411000;6926888888;7126888888
77;7782659000;6968600000;7168600000
78;7782661000;6968600000;7168600000
79;7782833000;6968600000;7168600000
80;7782835000;6968600000;7168600000
81;7788794000;6968600000;7168600000
82;7788796000;6968600000;7168600000
83;7789043000;6968600000;7168600000
84;7789110000;6968600000;7168600000
85;7789273000;6968600000;7168600000
86;7789275000;6968600000;7168600000
87;7789553000;6968600000;7168600000
88;7789567000;7010244444;7210244444
90;7980092000;7010244444;7210244444
91;7980264000;7010244444;7210244444
92;7980266000;7010244444;7210244444
93;7980423000;7010244444;7210244444
94;7980652000;7010244444;7210244444
95;7980654000;7010244444;7210244444
96;7980873000;7010244444;7210244444
97;7980876000;7010244444;7210244444
98;7981097000;7010244444;7210244444
99;7981101000;7051877777;7251877777
100;7981311000;7051877777;7251877777
106;7981383000;7051877777;7251877777
107;7981396000;7051877777;7251877777
112;7981769000;7093522222;7293522222
122;7982050000;7135244444;7335244444
123;7982053000;7135244444;7335244444
125;7982269000;7135244444;7335244444
126;7982282000;7135244444;7335244444
128;7982489000;7135244444;7335244444
129;7983696000;7135244444;7335244444
130;7983698000;7135244444;7335244444
131;7983938000;7135244444;7335244444
132;7983952000;7176922222;7376922222
133;7984082000;7176922222;7376922222
134;7984287000;7176922222;7376922222
135;7984294000;7176922222;7376922222
136;7984482000;7176922222;7376922222
137;7984486000;7176922222;7376922222
138;7984734000;7176922222;7376922222
139;7984896000;7176922222;7376922222
140;7984898000;7176922222;7376922222
141;7985094000;7176922222;7376922222
142;7985106000;7176922222;7376922222
143;7985301000;7218555555;7418555555
144;7985306000;7218555555;7418555555
145;7985500000;7218555555;7418555555
146;7989846000;7218555555;7418555555
147;7989849000;7218555555;7418555555
148;7990074000;7218555555;7418555555
149;7990089000;7218555555;7418555555
150;7990326000;7218555555;7418555555
151;7990328000;7218555555;7418555555
152;7990586000;7218555555;7418555555
153;7990607000;7218555555;7418555555
154;7990838000;7260255555;7460255555
155;7990840000;7260255555;7460255555
156;7991078000;7260255555;7460255555
157;7991080000;7260255555;7460255555
158;7991319000;7260255555;7460255555
159;7991321000;7260255555;7460255555
160;7996786000;7260255555;7460255555
161;7996798000;7260255555;7460255555
163;8180552000;7260255555;7460255555
164;8180770000;7260255555;7460255555
165;8180774000;7301900000;7501900000
166;8180973000;7301900000;7501900000
167;8181124000;7301900000;7501900000
168;8181139000;7301900000;7501900000
169;8181293000;7301900000;7501900000
170;8181301000;7301900000;7501900000
171;8181499000;7301900000;7501900000
172;8181699000;7301900000;7501900000
173;8181700000;7301900000;7501900000
174;8181936000;7301900000;7501900000
175;8181945000;7301900000;7501900000
176;8182126000;7343555555;7543555555
177;8182134000;7343555555;7543555555
181;8182292000;7343555555;7543555555
182;8182297000;7343555555;7543555555
185;8182492000;7343555555;7543555555
186;8182531000;7343555555;7543555555
187;8182714000;7385244444;7585244444
190;8182822000;7385244444;7585244444
192;8183003000;7385244444;7585244444
195;8183005000;7385244444;7585244444
196;8183195000;7385244444;7585244444
199;8183283000;7426866666;7626866666
203;8183466000;7426866666;7626866666
205;8183468000;7426866666;7626866666
206;8183698000;7426866666;7626866666
207;8184197000;7426866666;7626866666
208;8184354000;7426866666;7626866666
209;8184357000;7468544444;7668544444
210;8184621000;7468544444;7668544444
211;8184623000;7468544444;7668544444
212;8184833000;7468544444;7668544444
213;8184836000;7468544444;7668544444
214;8185049000;7468544444;7668544444
215;8185236000;7468544444;7668544444
216;8185394000;7468544444;7668544444
217;8185395000;7468544444;7668544444
218;8185648000;7468544444;7668544444
219;8185671000;7468544444;7668544444
220;8185805000;7510255555;7710255555
221;8186039000;7510255555;7710255555
222;8186040000;7510255555;7710255555
223;8190757000;7510255555;7710255555
226;8190985000;7510255555;7710255555
227;8190988000;7510255555;7710255555
228;8191143000;7510255555;7710255555
230;8191248000;7510255555;7710255555
232;8191412000;7551888888;7751888888
233;8191539000;7551888888;7751888888
234;8191777000;7551888888;7751888888
236;8191799000;7551888888;7751888888
237;8192033000;7551888888;7751888888
238;8197772000;7551888888;7751888888
239;8197774000;7551888888;7751888888
241;8381009000;7551888888;7751888888
242;8381174000;7593533333;7793533333
243;8381393000;7593533333;7793533333
244;8381404000;7593533333;7793533333
245;8381556000;7593533333;7793533333
246;8381777000;7593533333;7793533333
