seqnum;now;rtptime;deadline
1;8280763000;7739188888;7939188888
2;8280767000;7739188888;7939188888
3;8280768000;7739188888;7939188888
4;8280770000;7739188888;7939188888
7;8280772000;7739188888;7939188888
9;8431204000;7739188888;7939188888
11;8432145000;7770800000;7970800000
12;8432149000;7770800000;7970800000
13;8432150000;7770800000;7970800000
14;8432151000;7770800000;7970800000
15;8432152000;7770800000;7970800000
16;8432153000;7770800000;7970800000
17;8631867000;7770800000;7970800000
20;8632063000;7770800000;7970800000
21;8632139000;7770800000;7970800000
24;8632283000;7812477777;8012477777
25;8632389000;7812477777;8012477777
27;8632755000;7812477777;8012477777
28;8632757000;7812477777;8012477777
29;8632939000;7812477777;8012477777
30;8632943000;7812477777;8012477777
31;8633191000;7812477777;8012477777
32;8633271000;7812477777;8012477777
33;8633432000;7854100000;8054100000
34;8633434000;7854100000;8054100000
35;8832312000;7854100000;8054100000
40;8832772000;7854100000;8054100000
43;8833003000;7854100000;8054100000
44;8833142000;7895755555;8095755555
45;8833158000;7895755555;8095755555
46;8833392000;7895755555;8095755555
47;8833737000;7895755555;8095755555
48;8833739000;7895755555;8095755555
49;8833988000;7895755555;8095755555
50;8833990000;7895755555;8095755555
51;8834251000;7895755555;8095755555
52;8834254000;7895755555;8095755555
53;8834494000;7895755555;8095755555
54;8834535000;7895755555;8095755555
56;9033228000;7937411111;8137411111
59;9033420000;7937411111;8137411111
60;9033422000;7937411111;8137411111
61;9033565000;7937411111;8137411111
64;9033810000;7937411111;8137411111
65;9033833000;7937411111;8137411111
66;9033991000;7979055555;8179055555
67;9034719000;7979055555;8179055555
68;9034722000;7979055555;8179055555
69;9034968000;7979055555;8179055555
70;9034970000;7979055555;8179055555
72;9035258000;7979055555;8179055555
73;9035445000;7979055555;8179055555
74;9035447000;7979055555;8179055555
75;9035450000;7979055555;8179055555
76;9233609000;7979055555;8179055555
77;9233771000;8020766666;8220766666
78;9233974000;8020766666;8220766666
81;9234234000;8020766666;8220766666
82;9234239000;8020766666;8220766666
83;9234367000;8020766666;8220766666
85;9234605000;8020766666;8220766666
87;9234619000;8020766666;8220766666
88;9234621000;8062477777;8262477777
89;9234633000;8062477777;8262477777
91;9235956000;8062477777;8262477777
92;9235958000;8062477777;8262477777
94;9236216000;8062477777;8262477777
95;9236228000;8062477777;8262477777
96;9236463000;8062477777;8262477777
97;9236465000;8062477777;8262477777
98;9236743000;8062477777;8262477777
100;9434449000;8104055555;8304055555
101;9434640000;8104055555;8304055555
105;9434788000;8104055555;8304055555
106;9434791000;8104055555;8304055555
108;9435088000;8104055555;8304055555
109;9435351000;8104055555;8304055555
111;9435355000;8145688888;8345688888
113;9436676000;8145688888;8345688888
114;9436980000;8145688888;8345688888
115;9437160000;8145688888;8345688888
116;9437399000;8145688888;8345688888
117;9437401000;8145688888;8345688888
118;9437402000;8145688888;8345688888
119;9437708000;8145688888;8345688888
120;9437730000;8145688888;8345688888
121;9437961000;8187400000;8387400000
122;9437963000;8187400000;8387400000
123;9635301000;8187400000;8387400000
126;9635473000;8187400000;8387400000
127;9635638000;8187400000;8387400000
128;9635640000;8187400000;8387400000
131;9635915000;8187400000;8387400000
132;9636096000;8229055555;8429055555
133;9636108000;8229055555;8429055555
135;9636133000;8229055555;8429055555
136;9637075000;8229055555;8429055555
137;9637426000;8229055555;8429055555
138;9638004000;8229055555;8429055555
139;9638006000;8229055555;8429055555
140;9638476000;8229055555;8429055555
141;9638481000;8229055555;8429055555
142;9638496000;8229055555;8429055555
144;9638737000;8270711111;8470711111
145;9638740000;8270711111;8470711111
146;9638974000;8270711111;8470711111
147;9638976000;8270711111;8470711111
148;9835830000;8270711111;8470711111
149;9836382000;8270711111;8470711111
152;9836571000;8270711111;8470711111
155;9836621000;8312411111;8512411111
157;9836821000;8312411111;8512411111
158;9836954000;8312411111;8512411111
161;9837040000;8312411111;8512411111
162;9837239000;8312411111;8512411111
163;9837241000;8312411111;8512411111
167;9837262000;8354066666;8554066666
169;9838160000;8354066666;8554066666
170;9838365000;8354066666;8554066666
171;9838443000;8354066666;8554066666
172;9838955000;8354066666;8554066666
173;9839201000;8354066666;8554066666
174;9839203000;8354066666;8554066666
175;9839215000;8354066666;8554066666
176;9839460000;8395733333;8595733333
177;9839468000;8395733333;8595733333
178;9839745000;8395733333;8595733333
179;9839756000;8395733333;8595733333
180;9839974000;8395733333;8595733333
181;9839976000;8395733333;8595733333
183;9840245000;8395733333;8595733333
184;9840257000;8395733333;8595733333
185;9840424000;8395733333;8595733333
186;9840437000;8395733333;8595733333
187;10036293000;8437388888;8637388888
188;10036464000;8437388888;8637388888
189;10036824000;8437388888;8637388888
190;10037036000;8437388888;8637388888
191;10037039000;8437388888;8637388888
194;10037261000;8437388888;8637388888
196;10037451000;8437388888;8637388888
197;10037474000;8437388888;8637388888
198;10037637000;8479033333;8679033333
199;10037640000;8479033333;8679033333
201;10037673000;8479033333;8679033333
205;10037851000;8479033333;8679033333
207;10038284000;8479033333;8679033333
208;10038306000;8479033333;8679033333
209;10038418000;8520733333;8720733333
210;10038420000;8520733333;8720733333
211;10038656000;8520733333;8720733333
212;10038659000;8520733333;8720733333
214;10038886000;8520733333;8720733333
216;10039382000;8520733333;8720733333
217;10039984000;8520733333;8720733333
218;10039986000;8520733333;8720733333
221;10040457000;8562411111;8762411111
222;10040460000;8562411111;8762411111
223;10040705000;8562411111;8762411111
224;10040707000;8562411111;8762411111
225;10040958000;8562411111;8762411111
226;10040960000;8562411111;8762411111
227;10041219000;8562411111;8762411111
228;10041222000;8562411111;8762411111
229;10041452000;8562411111;8762411111
230;10041474000;8562411111;8762411111
231;10041725000;8604055555;8804055555
232;10041728000;8604055555;8804055555
233;10236732000;8604055555;8804055555
234;10236948000;8604055555;8804055555
235;10237201000;8604055555;8804055555
236;10237450000;8604055555;8804055555
237;10237659000;8604055555;8804055555
238;10237858000;8604055555;8804055555
242;10237882000;8645700000;8845700000
245;10238055000;8645700000;8845700000
247;10238313000;8645700000;8845700000
248;10238425000;8645700000;8845700000
251;10238646000;8645700000;8845700000
252;10238660000;8645700000;8845700000
254;10238850000;8687422222;8887422222
255;10238852000;8687422222;8887422222
256;10239051000;8687422222;8887422222
257;10239054000;8687422222;8887422222
258;10239224000;8687422222;8887422222
259;10239451000;8687422222;8887422222
260;10239453000;8687422222;8887422222
263;10239466000;8687422222;8887422222
264;10239907000;8729066666;8929066666
265;10240664000;8729066666;8929066666
266;10240992000;8729066666;8929066666
267;10240994000;8729066666;8929066666
269;10241408000;8729066666;8929066666
271;10241411000;8729066666;8929066666
272;10241639000;8729066666;8929066666
273;10241641000;8729066666;8929066666
274;10241902000;8729066666;8929066666
275;10241916000;8770700000;8970700000
276;10242139000;8770700000;8970700000
277;10242142000;8770700000;8970700000
278;10242399000;8770700000;8970700000
279;10242401000;8770700000;8970700000
280;10242661000;8770700000;8970700000
281;10242663000;8770700000;8970700000
282;10242888000;8770700000;8970700000
283;10242891000;8770700000;8970700000
284;10437144000;8770700000;8970700000
285;10437367000;8770700000;8970700000
286;10437816000;8812400000;9012400000
288;10438086000;8812400000;9012400000
290;10438300000;8812400000;9012400000
294;10438422000;8812400000;9012400000
296;10438733000;8812400000;9012400000
297;10438736000;8854055555;9054055555
298;10438856000;8854055555;9054055555
300;10439043000;8854055555;9054055555
304;10439272000;8854055555;9054055555
306;10439448000;8854055555;9054055555
307;10439471000;8854055555;9054055555
308;10439723000;8895722222;9095722222
309;10439725000;8895722222;9095722222
310;10439905000;8895722222;9095722222
311;10439907000;8895722222;9095722222
312;10440101000;8895722222;9095722222
313;10440299000;8895722222;9095722222
314;10440301000;8895722222;9095722222
315;10440468000;8895722222;9095722222
316;10440470000;8895722222;9095722222
317;10440724000;8895722222;9095722222
318;10441187000;8895722222;9095722222
319;10442014000;8937422222;9137422222
320;10442016000;8937422222;9137422222
321;10442360000;8937422222;9137422222
322;10442362000;8937422222;9137422222
323;10442633000;8937422222;9137422222
324;10442635000;8937422222;9137422222
325;10442863000;8937422222;9137422222
326;10442866000;8937422222;9137422222
327;10443067000;8937422222;9137422222
328;10443129000;8937422222;9137422222
329;10443370000;8937422222;9137422222
330;10443384000;8979044444;9179044444
332;10443640000;8979044444;9179044444
333;10443643000;8979044444;9179044444
334;10443820000;8979044444;9179044444
335;10443883000;8979044444;9179044444
336;10444069000;8979044444;9179044444
337;10444111000;8979044444;9179044444
338;10444355000;8979044444;9179044444
339;10444368000;8979044444;9179044444
341;10637898000;9020722222;9220722222
342;10638268000;9020722222;9220722222
343;10638714000;9020722222;9220722222
345;10638949000;9020722222;9220722222
346;10639147000;9020722222;9220722222
348;10639157000;9020722222;9220722222
352;10639351000;9062400000;9262400000
354;10639353000;9062400000;9262400000
355;10639501000;9062400000;9262400000
356;10639754000;9062400000;9262400000
357;10639756000;9062400000;9262400000
358;10639802000;9062400000;9262400000
359;10639914000;9062400000;9262400000
364;10640082000;9104033333;9304033333
365;10640131000;9104033333;9304033333
366;10640159000;9104033333;9304033333
367;10640267000;9104033333;9304033333
369;10640505000;9104033333;9304033333
374;10641005000;9145677777;9345677777
375;10641130000;9145677777;9345677777
376;10641141000;9145677777;9345677777
377;10641311000;9145677777;9345677777
378;10642983000;9145677777;9345677777
379;10643331000;9145677777;9345677777
380;10643334000;9145677777;9345677777
381;10643556000;9145677777;9345677777
382;10643831000;9145677777;9345677777
383;10643844000;9145677777;9345677777
384;10643856000;9145677777;9345677777
385;10644075000;9187377777;9387377777
386;10644080000;9187377777;9387377777
387;10644325000;9187377777;9387377777
389;10644390000;9187377777;9387377777
390;10644572000;9187377777;9387377777
391;10644573000;9187377777;9387377777
392;10644818000;9187377777;9387377777
393;10644824000;9187377777;9387377777
394;10645096000;9187377777;9387377777
395;10645104000;9187377777;9387377777
