seqnum;now;rtptime;deadline;packet_len;payload_len
0;4132086000;3941400000;4141400000;10240;10228
3;4132208000;3941400000;4141400000;10240;10228
4;4132299000;3941400000;4141400000;10240;10228
1;4132306000;3941400000;4141400000;10240;10228
2;4132311000;3941400000;4141400000;10240;10228
7;4132390000;3941400000;4141400000;10240;10228
5;4132535000;3941400000;4141400000;10240;10228
6;4132764000;3941400000;4141400000;10240;10228
9;4212796000;3941400000;4141400000;10240;10228
10;4212944000;3941400000;4141400000;10240;10228
12;4212954000;3972844444;4172844444;10240;10228
8;4213070000;3941400000;4141400000;10240;10228
13;4213117000;3972844444;4172844444;10240;10228
11;4213337000;3972844444;4172844444;10240;10228
16;4213382000;3972844444;4172844444;10240;10228
19;4213396000;3972844444;4172844444;10240;10228
14;4213404000;3972844444;4172844444;10240;10228
15;4213413000;3972844444;4172844444;10240;10228
17;4213529000;3972844444;4172844444;10240;10228
18;4213554000;3972844444;4172844444;10240;10228
20;4293276000;3972844444;4172844444;10240;10228
22;4293444000;4014566666;4214566666;10240;10228
21;4293490000;3972844444;4172844444;10240;10228
23;4293648000;4014566666;4214566666;10240;10228
25;4293658000;4014566666;4214566666;10240;10228
24;4293812000;4014566666;4214566666;10240;10228
26;4293839000;4014566666;4214566666;10240;10228
27;4293848000;4014566666;4214566666;10240;10228
28;4294045000;4014566666;4214566666;10240;10228
29;4294068000;4014566666;4214566666;10240;10228
30;4294192000;4014566666;4214566666;10240;10228
31;4294215000;4014566666;4214566666;10240;10228
32;4294237000;4014566666;4214566666;10240;10228
34;4294472000;4056133333;4256133333;10240;10228
35;4294488000;4056133333;4256133333;10240;10228
33;4294494000;4056133333;4256133333;10240;10228
36;4294507000;4056133333;4256133333;10240;10228
37;4294622000;4056133333;4256133333;10240;10228
38;4294632000;4056133333;4256133333;10240;10228
39;4373911000;4056133333;4256133333;10240;10228
41;4374109000;4056133333;4256133333;10240;10228
42;4374135000;4056133333;4256133333;10240;10228
40;4374224000;4056133333;4256133333;10240;10228
43;4374327000;4056133333;4256133333;10240;10228
44;4374448000;4097788888;4297788888;10240;10228
45;4374467000;4097788888;4297788888;10240;10228
46;4374477000;4097788888;4297788888;10240;10228
47;4374682000;4097788888;4297788888;10240;10228
48;4374698000;4097788888;4297788888;10240;10228
49;4374879000;4097788888;4297788888;10240;10228
50;4374888000;4097788888;4297788888;10240;10228
58;4375003000;4139444444;4339444444;10240;10228
59;4375029000;4139444444;4339444444;10240;10228
51;4375133000;4097788888;4297788888;10240;10228
61;4375251000;4139444444;4339444444;10240;10228
62;4375267000;4139444444;4339444444;10240;10228
