seqnum;now;rtptime;deadline
1;7230041000;6648633333;6848633333
2;7230045000;6648633333;6848633333
3;7230046000;6648633333;6848633333
4;7230048000;6648633333;6848633333
5;7230049000;6648633333;6848633333
6;7230051000;6648633333;6848633333
7;7230053000;6648633333;6848633333
8;7339930000;6648633333;6848633333
9;7340243000;6648633333;6848633333
10;7341029000;6648633333;6848633333
13;7341036000;6680233333;6880233333
16;7341047000;6680233333;6880233333
17;7341048000;6680233333;6880233333
18;7341049000;6680233333;6880233333
19;7341050000;6680233333;6880233333
20;7347460000;6680233333;6880233333
21;7347756000;6680233333;6880233333
22;7369419000;6721944444;6921944444
23;7369422000;6721944444;6921944444
24;7414546000;6721944444;6921944444
25;7414570000;6721944444;6921944444
26;7455259000;6721944444;6921944444
27;7455261000;6721944444;6921944444
28;7495896000;6721944444;6921944444
29;7495898000;6721944444;6921944444
30;7536480000;6721944444;6921944444
31;7536482000;6721944444;6921944444
32;7540931000;6721944444;6921944444
33;7541166000;6763533333;6963533333
34;7541169000;6763533333;6963533333
35;7541408000;6763533333;6963533333
36;7541416000;6763533333;6963533333
40;7541418000;6763533333;6963533333
42;7548454000;6763533333;6963533333
43;7548477000;6763533333;6963533333
44;7548680000;6805222222;7005222222
45;7569863000;6805222222;7005222222
46;7570090000;6805222222;7005222222
47;7570092000;6805222222;7005222222
48;7570281000;6805222222;7005222222
49;7577708000;6805222222;7005222222
50;7577962000;6805222222;7005222222
51;7577965000;6805222222;7005222222
52;7578220000;6805222222;7005222222
53;7578222000;6805222222;7005222222
54;7578532000;6805222222;7005222222
55;7578536000;6846855555;7046855555
56;7578547000;6846855555;7046855555
57;7578720000;6846855555;7046855555
58;7623073000;6846855555;7046855555
59;7623076000;6846855555;7046855555
60;7623357000;6846855555;7046855555
61;7623359000;6846855555;7046855555
62;7623571000;6846855555;7046855555
63;7623582000;6846855555;7046855555
64;7623835000;6846855555;7046855555
65;7623857000;6846855555;7046855555
66;7624096000;6888500000;7088500000
67;7663831000;6888500000;7088500000
68;7663833000;6888500000;7088500000
69;7664062000;6888500000;7088500000
70;7664065000;6888500000;7088500000
71;7664276000;6888500000;7088500000
72;7664287000;6888500000;7088500000
73;7664526000;6888500000;7088500000
74;7664538000;6888500000;7088500000
75;7704478000;6888500000;7088500000
76;7704502000;6888500000;7088500000
77;7704786000;6930222222;7130222222
78;7704789000;6930222222;7130222222
79;7704986000;6930222222;7130222222
80;7704997000;6930222222;7130222222
81;7705253000;6930222222;7130222222
82;7705255000;6930222222;7130222222
83;7705492000;6930222222;7130222222
84;7742227000;6930222222;7130222222
85;7742229000;6930222222;7130222222
86;7745269000;6930222222;7130222222
87;7745291000;6930222222;7130222222
88;7745485000;6971844444;7171844444
89;7745488000;6971844444;7171844444
90;7745742000;6971844444;7171844444
91;7745745000;6971844444;7171844444
92;7745987000;6971844444;7171844444
93;7745990000;6971844444;7171844444
94;7746240000;6971844444;7171844444
95;7746242000;6971844444;7171844444
96;7746477000;6971844444;7171844444
97;7770699000;6971844444;7171844444
98;7770720000;6971844444;7171844444
99;7770937000;7013500000;7213500000
100;7770949000;7013500000;7213500000
101;7771199000;7013500000;7213500000
102;7771202000;7013500000;7213500000
103;7771395000;7013500000;7213500000
104;7771409000;7013500000;7213500000
105;7778905000;7013500000;7213500000
106;7779119000;7013500000;7213500000
107;7784720000;7013500000;7213500000
108;7784937000;7013500000;7213500000
109;7786496000;7013500000;7213500000
110;7786500000;7055133333;7255133333
111;7786729000;7055133333;7255133333
112;7786740000;7055133333;7255133333
113;7786998000;7055133333;7255133333
114;7787000000;7055133333;7255133333
115;7823492000;7055133333;7255133333
116;7823494000;7055133333;7255133333
