seqnum;now;rtptime;deadline
2;6924942000;6503200000;6703200000
3;6924945000;6503200000;6703200000
4;6924947000;6503200000;6703200000
5;6924948000;6503200000;6703200000
6;6924950000;6503200000;6703200000
7;6924951000;6503200000;6703200000
8;6924953000;6503200000;6703200000
9;6924954000;6503200000;6703200000
10;6925365000;6503200000;6703200000
11;6925381000;6534855555;6734855555
12;6934221000;6534855555;6734855555
13;6934224000;6534855555;6734855555
14;6934228000;6534855555;6734855555
15;6934233000;6534855555;6734855555
19;7035602000;6534855555;6734855555
20;7035735000;6534855555;6734855555
22;7036048000;6576577777;6776577777
23;7036117000;6576577777;6776577777
25;7036136000;6576577777;6776577777
26;7036322000;6576577777;6776577777
27;7036331000;6576577777;6776577777
29;7061898000;6576577777;6776577777
31;7102129000;6576577777;6776577777
32;7142614000;6576577777;6776577777
33;7142851000;6618211111;6818211111
34;7156373000;6618211111;6818211111
35;7156380000;6618211111;6818211111
36;7156622000;6618211111;6818211111
39;7156876000;6618211111;6818211111
40;7182631000;6618211111;6818211111
41;7182748000;6618211111;6818211111
42;7183635000;6618211111;6818211111
43;7183946000;6618211111;6818211111
44;7183949000;6659855555;6859855555
45;7184135000;6659855555;6859855555
46;7224165000;6659855555;6859855555
47;7224167000;6659855555;6859855555
48;7224402000;6659855555;6859855555
49;7224404000;6659855555;6859855555
50;7269887000;6659855555;6859855555
51;7269890000;6659855555;6859855555
52;7270136000;6659855555;6859855555
53;7270138000;6659855555;6859855555
57;7277371000;6701488888;6901488888
58;7277520000;6701488888;6901488888
59;7277530000;6701488888;6901488888
60;7277707000;6701488888;6901488888
62;7303649000;6701488888;6901488888
63;7304135000;6701488888;6901488888
64;7304619000;6701488888;6901488888
65;7304804000;6701488888;6901488888
66;7304818000;6743166666;6943166666
67;7305003000;6743166666;6943166666
69;7311088000;6743166666;6943166666
70;7311100000;6743166666;6943166666
71;7311314000;6743166666;6943166666
72;7344871000;6743166666;6943166666
73;7345090000;6743166666;6943166666
74;7345092000;6743166666;6943166666
75;7345271000;6743166666;6943166666
76;7345294000;6743166666;6943166666
77;7345493000;6784844444;6984844444
78;7345683000;6784844444;6984844444
79;7345685000;6784844444;6984844444
80;7351053000;6784844444;6984844444
81;7351246000;6784844444;6984844444
82;7351471000;6784844444;6984844444
84;7351498000;6784844444;6984844444
85;7351633000;6784844444;6984844444
87;7351768000;6784844444;6984844444
88;7351898000;6826488888;7026488888
89;7351900000;6826488888;7026488888
90;7352079000;6826488888;7026488888
91;7390391000;6826488888;7026488888
92;7390600000;6826488888;7026488888
93;7390804000;6826488888;7026488888
94;7390806000;6826488888;7026488888
98;7390875000;6826488888;7026488888
99;7391816000;6868166666;7068166666
101;7392035000;6868166666;7068166666
102;7392038000;6868166666;7068166666
103;7392220000;6868166666;7068166666
104;7392375000;6868166666;7068166666
106;7392405000;6868166666;7068166666
107;7392618000;6868166666;7068166666
108;7392664000;6868166666;7068166666
109;7392863000;6868166666;7068166666
110;7392866000;6909800000;7109800000
111;7393037000;6909800000;7109800000
113;7397795000;6909800000;7109800000
114;7397921000;6909800000;7109800000
115;7398201000;6909800000;7109800000
116;7398203000;6909800000;7109800000
117;7398383000;6909800000;7109800000
118;7398385000;6909800000;7109800000
119;7398538000;6909800000;7109800000
120;7424137000;6909800000;7109800000
121;7424343000;6951488888;7151488888
122;7432635000;6951488888;7151488888
124;7432861000;6951488888;7151488888
125;7432863000;6951488888;7151488888
126;7433009000;6951488888;7151488888
127;7433201000;6951488888;7151488888
128;7465340000;6951488888;7151488888
129;7465474000;6951488888;7151488888
130;7465745000;6951488888;7151488888
131;7465856000;6951488888;7151488888
132;7465912000;6993144444;7193144444
133;7465914000;6993144444;7193144444
134;7466123000;6993144444;7193144444
135;7466125000;6993144444;7193144444
136;7466350000;6993144444;7193144444
137;7466352000;6993144444;7193144444
138;7466532000;6993144444;7193144444
139;7466738000;6993144444;7193144444
140;7466740000;6993144444;7193144444
141;7466969000;6993144444;7193144444
144;7467051000;7034788888;7234788888
145;7473357000;7034788888;7234788888
146;7473590000;7034788888;7234788888
147;7473592000;7034788888;7234788888
148;7473773000;7034788888;7234788888
150;7473996000;7034788888;7234788888
151;7473998000;7034788888;7234788888
152;7474132000;7034788888;7234788888
155;7497738000;7076500000;7276500000
156;7497741000;7076500000;7276500000
157;7497742000;7076500000;7276500000
158;7497743000;7076500000;7276500000
159;7497744000;7076500000;7276500000
160;7497745000;7076500000;7276500000
161;7497746000;7076500000;7276500000
162;7497746000;7076500000;7276500000
163;7521535000;7076500000;7276500000
164;7521817000;7076500000;7276500000
165;7521830000;7118155555;7318155555
166;7521831000;7118155555;7318155555
167;7521832000;7118155555;7318155555
168;7521833000;7118155555;7318155555
169;7521834000;7118155555;7318155555
171;7539196000;7118155555;7318155555
172;7539199000;7118155555;7318155555
173;7539210000;7118155555;7318155555
174;7539211000;7118155555;7318155555
175;7539337000;7118155555;7318155555
176;7544562000;7159900000;7359900000
177;7544737000;7159900000;7359900000
178;7544740000;7159900000;7359900000
179;7544930000;7159900000;7359900000
180;7545137000;7159900000;7359900000
181;7545139000;7159900000;7359900000
182;7545382000;7159900000;7359900000
183;7545384000;7159900000;7359900000
184;7545544000;7159900000;7359900000
185;7545751000;7159900000;7359900000
186;7581135000;7159900000;7359900000
187;7581140000;7201477777;7401477777
188;7581142000;7201477777;7401477777
189;7581143000;7201477777;7401477777
190;7581144000;7201477777;7401477777
191;7585809000;7201477777;7401477777
192;7586062000;7201477777;7401477777
193;7586229000;7201477777;7401477777
194;7586235000;7201477777;7401477777
195;7586428000;7201477777;7401477777
196;7586430000;7201477777;7401477777
199;7664392000;7243222222;7443222222
210;7706218000;7284966666;7484966666
223;7747774000;7326522222;7526522222
237;7789387000;7368166666;7568166666
272;7914845000;7493177777;7693177777
300;8039750000;7618144444;7818144444
335;8164881000;7743211111;7943211111
372;8292333000;7868211111;8068211111
396;8414922000;7993211111;8193211111
428;8498130000;8076533333;8276533333
450;8581327000;8159866666;8359866666
473;8581333000;8284833333;8484833333
474;8581335000;8284833333;8484833333
475;8581336000;8284833333;8484833333
482;8595090000;8284833333;8484833333
483;8706434000;8284833333;8484833333
512;8706440000;8409855555;8609855555
513;8706441000;8409855555;8609855555
514;8706442000;8409855555;8609855555
515;8706443000;8409855555;8609855555
516;8831534000;8409855555;8609855555
547;8831539000;8534844444;8734844444
548;8831541000;8534844444;8734844444
549;8956533000;8534844444;8734844444
571;9039692000;8618222222;8818222222
594;9039697000;8743233333;8943233333
601;9053444000;8743233333;8943233333
602;9053447000;8743233333;8943233333
603;9053448000;8743233333;8943233333
606;9206694000;8784855555;8984855555
644;9331538000;8909844444;9109844444
668;9414700000;8993222222;9193222222
687;9498029000;9076555555;9276555555
710;9581343000;9159877777;9359877777
736;9664813000;9243222222;9443222222
753;9664829000;9326555555;9526555555
754;9664830000;9326555555;9526555555
755;9664831000;9326555555;9526555555
756;9664832000;9326555555;9526555555
757;9664833000;9326555555;9526555555
760;9789834000;9368222222;9568222222
788;9873024000;9451544444;9651544444
814;9998160000;9576544444;9776544444
841;10081276000;9659866666;9859866666
863;10164707000;9743244444;9943244444
880;10248010000;9826533333;10026533333
897;10289481000;9868233333;10068233333
910;10331068000;9909855555;10109855555
919;10372836000;9951555555;10151555555
932;10414458000;9993244444;10193244444
943;10456008000;10034844444;10234844444
954;10497811000;10076544444;10276544444
970;10581371000;10159888888;10359888888
999;10664629000;10243222222;10443222222
1015;10748053000;10326544444;10526544444
1034;10831326000;10409866666;10609866666
1053;10872785000;10451544444;10651544444
1065;10914477000;10493211111;10693211111
1079;10998039000;10576566666;10776566666
1106;11081260000;10659855555;10859855555
1125;11164705000;10743244444;10943244444
1145;11247927000;10826533333;11026533333
1167;11331313000;10909844444;11109844444
1191;11414682000;10993222222;11193222222
1213;11498006000;11076533333;11276533333
1231;11539522000;11118222222;11318222222
1244;11539528000;11201522222;11401522222
1245;11539529000;11201522222;11401522222
1246;11539530000;11201522222;11401522222
1247;11539532000;11201522222;11401522222
1248;11539533000;11201522222;11401522222
1249;11539533000;11201522222;11401522222
1250;11539534000;11201522222;11401522222
1251;11539535000;11201522222;11401522222
1252;11539536000;11201522222;11401522222
