seqnum;now;rtptime;deadline;packet_len;payload_len
0;6473647000;6082522222;6282522222;10240;10228
3;6473845000;6082522222;6282522222;10240;10228
4;6473866000;6082522222;6282522222;10240;10228
1;6473949000;6082522222;6282522222;10240;10228
2;6473967000;6082522222;6282522222;10240;10228
7;6473973000;6082522222;6282522222;10240;10228
5;6474153000;6082522222;6282522222;10240;10228
6;6474173000;6082522222;6282522222;10240;10228
8;6634367000;6082522222;6282522222;10240;10228
11;6634560000;6114388888;6314388888;10240;10228
16;6634587000;6114388888;6314388888;10240;10228
9;6634654000;6082522222;6282522222;10240;10228
10;6634679000;6082522222;6282522222;10240;10228
19;6634774000;6114388888;6314388888;10240;10228
12;6634951000;6114388888;6314388888;10240;10228
13;6634974000;6114388888;6314388888;10240;10228
14;6635162000;6114388888;6314388888;10240;10228
15;6635198000;6114388888;6314388888;10240;10228
17;6635425000;6114388888;6314388888;10240;10228
18;6635434000;6114388888;6314388888;10240;10228
20;6640980000;6114388888;6314388888;10240;10228
21;6641000000;6114388888;6314388888;10240;10228
22;6641176000;6156077777;6356077777;10240;10228
23;6641188000;6156077777;6356077777;10240;10228
24;6681255000;6156077777;6356077777;10240;10228
25;6681290000;6156077777;6356077777;10240;10228
26;6681444000;6156077777;6356077777;10240;10228
27;6681467000;6156077777;6356077777;10240;10228
28;6721910000;6156077777;6356077777;10240;10228
29;6721935000;6156077777;6356077777;10240;10228
30;6722151000;6156077777;6356077777;10240;10228
31;6722174000;6156077777;6356077777;10240;10228
32;6762443000;6156077777;6356077777;10240;10228
33;6762702000;6197766666;6397766666;10240;10228
34;6762723000;6197766666;6397766666;10240;10228
35;6762968000;6197766666;6397766666;10240;10228
36;6795317000;6197766666;6397766666;10240;10228
37;6795339000;6197766666;6397766666;10240;10228
38;6795556000;6197766666;6397766666;10240;10228
39;6795580000;6197766666;6397766666;10240;10228
40;6795818000;6197766666;6397766666;10240;10228
41;6795838000;6197766666;6397766666;10240;10228
42;6796062000;6197766666;6397766666;10240;10228
43;6796083000;6197766666;6397766666;10240;10228
44;6803276000;6239388888;6439388888;10240;10228
45;6803298000;6239388888;6439388888;10240;10228
46;6803493000;6239388888;6439388888;10240;10228
47;6803540000;6239388888;6439388888;10240;10228
48;6803714000;6239388888;6439388888;10240;10228
49;6803730000;6239388888;6439388888;10240;10228
50;6804027000;6239388888;6439388888;10240;10228
51;6804053000;6239388888;6439388888;10240;10228
52;6804293000;6239388888;6439388888;10240;10228
53;6804316000;6239388888;6439388888;10240;10228
54;6804500000;6239388888;6439388888;10240;10228
55;6804543000;6281000000;6481000000;10240;10228
56;6849154000;6281000000;6481000000;10240;10228
57;6849179000;6281000000;6481000000;10240;10228
58;6849365000;6281000000;6481000000;10240;10228
59;6849389000;6281000000;6481000000;10240;10228
60;6849630000;6281000000;6481000000;10240;10228
61;6849652000;6281000000;6481000000;10240;10228
62;6849873000;6281000000;6481000000;10240;10228
63;6849895000;6281000000;6481000000;10240;10228
