seqnum;now;rtptime;deadline;packet_len;payload_len
0;6006022000;5615100000;5815100000;10240;10228
3;6006199000;5615100000;5815100000;10240;10228
1;6006317000;5615100000;5815100000;10240;10228
2;6006328000;5615100000;5815100000;10240;10228
4;6006400000;5615100000;5815100000;10240;10228
7;6006409000;5615100000;5815100000;10240;10228
5;6006533000;5615100000;5815100000;10240;10228
6;6006554000;5615100000;5815100000;10240;10228
8;6166715000;5615100000;5815100000;10240;10228
11;6166895000;5646755555;5846755555;10240;10228
15;6166912000;5646755555;5846755555;10240;10228
9;6167049000;5615100000;5815100000;10240;10228
10;6167059000;5615100000;5815100000;10240;10228
16;6167082000;5646755555;5846755555;10240;10228
12;6167257000;5646755555;5846755555;10240;10228
13;6167278000;5646755555;5846755555;10240;10228
14;6167489000;5646755555;5846755555;10240;10228
17;6167510000;5646755555;5846755555;10240;10228
18;6167771000;5646755555;5846755555;10240;10228
19;6167791000;5646755555;5846755555;10240;10228
20;6173399000;5646755555;5846755555;10240;10228
21;6173410000;5646755555;5846755555;10240;10228
22;6173637000;5688488888;5888488888;10240;10228
23;6173656000;5688488888;5888488888;10240;10228
24;6213680000;5688488888;5888488888;10240;10228
25;6213699000;5688488888;5888488888;10240;10228
26;6213881000;5688488888;5888488888;10240;10228
27;6213903000;5688488888;5888488888;10240;10228
28;6254366000;5688488888;5888488888;10240;10228
29;6254389000;5688488888;5888488888;10240;10228
30;6254609000;5688488888;5888488888;10240;10228
31;6254632000;5688488888;5888488888;10240;10228
32;6294926000;5688488888;5888488888;10240;10228
33;6295151000;5730077777;5930077777;10240;10228
34;6295182000;5730077777;5930077777;10240;10228
35;6295426000;5730077777;5930077777;10240;10228
36;6327659000;5730077777;5930077777;10240;10228
37;6327903000;5730077777;5930077777;10240;10228
38;6327929000;5730077777;5930077777;10240;10228
39;6327933000;5730077777;5930077777;10240;10228
40;6328150000;5730077777;5930077777;10240;10228
41;6328162000;5730077777;5930077777;10240;10228
42;6328398000;5730077777;5930077777;10240;10228
43;6328419000;5730077777;5930077777;10240;10228
44;6334332000;5771744444;5971744444;10240;10228
45;6334538000;5771744444;5971744444;10240;10228
46;6336009000;5771744444;5971744444;10240;10228
47;6336030000;5771744444;5971744444;10240;10228
48;6336233000;5771744444;5971744444;10240;10228
49;6336253000;5771744444;5971744444;10240;10228
50;6336453000;5771744444;5971744444;10240;10228
51;6336466000;5771744444;5971744444;10240;10228
52;6336710000;5771744444;5971744444;10240;10228
53;6336731000;5771744444;5971744444;10240;10228
54;6336958000;5771744444;5971744444;10240;10228
55;6336982000;5813388888;6013388888;10240;10228
56;6381589000;5813388888;6013388888;10240;10228
57;6381616000;5813388888;6013388888;10240;10228
58;6381868000;5813388888;6013388888;10240;10228
59;6381899000;5813388888;6013388888;10240;10228
60;6382089000;5813388888;6013388888;10240;10228
61;6382111000;5813388888;6013388888;10240;10228
62;6382309000;5813388888;6013388888;10240;10228
63;6382317000;5813388888;6013388888;10240;10228
64;6382591000;5813388888;6013388888;10240;10228
65;6382597000;5813388888;6013388888;10240;10228
66;6422294000;5855033333;6055033333;10240;10228
67;6422317000;5855033333;6055033333;10240;10228
68;6422496000;5855033333;6055033333;10240;10228
69;6422508000;5855033333;6055033333;10240;10228
70;6422758000;5855033333;6055033333;10240;10228
71;6422788000;5855033333;6055033333;10240;10228
72;6423020000;5855033333;6055033333;10240;10228
73;6423040000;5855033333;6055033333;10240;10228
74;6423265000;5855033333;6055033333;10240;10228
75;6423295000;5855033333;6055033333;10240;10228
76;6462861000;5855033333;6055033333;10240;10228
77;6463126000;5896733333;6096733333;10240;10228
78;6463150000;5896733333;6096733333;10240;10228
79;6463380000;5896733333;6096733333;10240;10228
80;6463393000;5896733333;6096733333;10240;10228
81;6463638000;5896733333;6096733333;10240;10228
82;6463657000;5896733333;6096733333;10240;10228
83;6463831000;5896733333;6096733333;10240;10228
84;6463836000;5896733333;6096733333;10240;10228
85;6464095000;5896733333;6096733333;10240;10228
86;6495378000;5896733333;6096733333;10240;10228
87;6495401000;5896733333;6096733333;10240;10228
88;6495620000;5938455555;6138455555;10240;10228
89;6495643000;5938455555;6138455555;10240;10228
90;6496437000;5938455555;6138455555;10240;10228
91;6496633000;5938455555;6138455555;10240;10228
92;6496645000;5938455555;6138455555;10240;10228
93;6496842000;5938455555;6138455555;10240;10228
94;6497056000;5938455555;6138455555;10240;10228
95;6497076000;5938455555;6138455555;10240;10228
96;6497247000;5938455555;6138455555;10240;10228
97;6497258000;5938455555;6138455555;10240;10228
98;6497415000;5938455555;6138455555;10240;10228
99;6497656000;5980055555;6180055555;10240;10228
100;6497688000;5980055555;6180055555;10240;10228
101;6497859000;5980055555;6180055555;10240;10228
102;6497892000;5980055555;6180055555;10240;10228
103;6498031000;5980055555;6180055555;10240;10228
104;6498043000;5980055555;6180055555;10240;10228
105;6498235000;5980055555;6180055555;10240;10228
106;6498438000;5980055555;6180055555;10240;10228
107;6498451000;5980055555;6180055555;10240;10228
108;6504934000;5980055555;6180055555;10240;10228
109;6505107000;5980055555;6180055555;10240;10228
110;6505303000;6021688888;6221688888;10240;10228
111;6505317000;6021688888;6221688888;10240;10228
112;6505484000;6021688888;6221688888;10240;10228
113;6505496000;6021688888;6221688888;10240;10228
114;6542052000;6021688888;6221688888;10240;10228
115;6542244000;6021688888;6221688888;10240;10228
116;6542265000;6021688888;6221688888;10240;10228
117;6542442000;6021688888;6221688888;10240;10228
118;6542623000;6021688888;6221688888;10240;10228
119;6542633000;6021688888;6221688888;10240;10228
120;6542823000;6021688888;6221688888;10240;10228
