seqnum;now;rtptime;deadline;packet_len;payload_len
0;3930508000;3839511111;4039511111;10240;10228
1;3930667000;3839511111;4039511111;10240;10228
2;3930676000;3839511111;4039511111;10240;10228
0;3930826000;3839511111;4039511111;10240;10228
1;3930834000;3839511111;4039511111;10240;10228
3;3930852000;3839511111;4039511111;10240;10228
2;3931045000;3839511111;4039511111;10240;10228
3;3931055000;3839511111;4039511111;10240;10228
4;3971014000;3839511111;4039511111;10240;10228
5;3971161000;3839511111;4039511111;10240;10228
6;3971372000;3839511111;4039511111;10240;10228
7;3971388000;3839511111;4039511111;10240;10228
8;3971606000;3839511111;4039511111;10240;10228
4;3971704000;3839511111;4039511111;10240;10228
5;3971717000;3839511111;4039511111;10240;10228
6;3971928000;3839511111;4039511111;10240;10228
7;3971942000;3839511111;4039511111;10240;10228
8;3972198000;3839511111;4039511111;10240;10228
9;3972220000;3839511111;4039511111;10240;10228
10;3972448000;3839511111;4039511111;10240;10228
11;3972462000;3871400000;4071400000;10240;10228
9;4011496000;3839511111;4039511111;10240;10228
10;4011680000;3839511111;4039511111;10240;10228
11;4011888000;3871400000;4071400000;10240;10228
12;4012083000;3871400000;4071400000;10240;10228
13;4012108000;3871400000;4071400000;10240;10228
12;4012600000;3871400000;4071400000;10240;10228
13;4012611000;3871400000;4071400000;10240;10228
14;4012823000;3871400000;4071400000;10240;10228
15;4012847000;3871400000;4071400000;10240;10228
16;4013064000;3871400000;4071400000;10240;10228
17;4013091000;3871400000;4071400000;10240;10228
18;4013316000;3871400000;4071400000;10240;10228
19;4013341000;3871400000;4071400000;10240;10228
20;4013608000;3871400000;4071400000;10240;10228
21;4013632000;3871400000;4071400000;10240;10228
22;4013654000;3913066666;4113066666;10240;10228
23;4013817000;3913066666;4113066666;10240;10228
24;4014071000;3913066666;4113066666;10240;10228
25;4014096000;3913066666;4113066666;10240;10228
26;4014107000;3913066666;4113066666;10240;10228
14;4051984000;3871400000;4071400000;10240;10228
15;4052152000;3871400000;4071400000;10240;10228
16;4052347000;3871400000;4071400000;10240;10228
17;4052566000;3871400000;4071400000;10240;10228
18;4052765000;3871400000;4071400000;10240;10228
19;4052777000;3871400000;4071400000;10240;10228
20;4052971000;3871400000;4071400000;10240;10228
21;4052981000;3871400000;4071400000;10240;10228
22;4053176000;3913066666;4113066666;10240;10228
27;4053619000;3913066666;4113066666;10240;10228
28;4053800000;3913066666;4113066666;10240;10228
29;4053820000;3913066666;4113066666;10240;10228
30;4054060000;3913066666;4113066666;10240;10228
31;4054074000;3913066666;4113066666;10240;10228
32;4054082000;3913066666;4113066666;10240;10228
33;4054301000;3954666666;4154666666;10240;10228
23;4092445000;3913066666;4113066666;10240;10228
24;4092616000;3913066666;4113066666;10240;10228
34;4092744000;3954666666;4154666666;10240;10228
35;4092768000;3954666666;4154666666;10240;10228
25;4092856000;3913066666;4113066666;10240;10228
26;4092864000;3913066666;4113066666;10240;10228
37;4093058000;3954666666;4154666666;10240;10228
38;4093072000;3954666666;4154666666;10240;10228
27;4093080000;3913066666;4113066666;10240;10228
28;4093084000;3913066666;4113066666;10240;10228
