seqnum;now;rtptime;deadline
0;5647309000;5305933333;5505933333
1;5647313000;5305933333;5505933333
2;5647315000;5305933333;5505933333
3;5647316000;5305933333;5505933333
4;5717359000;5305933333;5505933333
5;5717498000;5305933333;5505933333
6;5717721000;5305933333;5505933333
7;5717900000;5305933333;5505933333
8;5717919000;5305933333;5505933333
9;5718558000;5305933333;5505933333
10;5719151000;5305933333;5505933333
11;5719157000;5337555555;5537555555
12;5838376000;5337555555;5537555555
13;5838567000;5337555555;5537555555
14;5839122000;5337555555;5537555555
15;5839135000;5337555555;5537555555
16;5839373000;5337555555;5537555555
17;5839384000;5337555555;5537555555
18;5839622000;5337555555;5537555555
19;5839631000;5337555555;5537555555
20;5839874000;5337555555;5537555555
21;5839978000;5337555555;5537555555
22;5839982000;5379266666;5579266666
23;5958687000;5379266666;5579266666
24;5958705000;5379266666;5579266666
25;5958926000;5379266666;5579266666
26;5958946000;5379266666;5579266666
27;5959868000;5379266666;5579266666
28;5959876000;5379266666;5579266666
29;5960115000;5379266666;5579266666
30;5960122000;5379266666;5579266666
31;5960355000;5379266666;5579266666
32;5960375000;5379266666;5579266666
33;5960613000;5420866666;5620866666
34;5960623000;5420866666;5620866666
35;5960864000;5420866666;5620866666
36;5960881000;5420866666;5620866666
37;5961114000;5420866666;5620866666
38;5961121000;5420866666;5620866666
39;5961309000;5420866666;5620866666
40;5961318000;5420866666;5620866666
41;5961563000;5420866666;5620866666
23;6079453000;5379266666;5579266666
24;6079463000;5379266666;5579266666
25;6079466000;5379266666;5579266666
26;6079467000;5379266666;5579266666
27;6079468000;5379266666;5579266666
28;6079491000;5379266666;5579266666
29;6079668000;5379266666;5579266666
30;6079683000;5379266666;5579266666
36;6082143000;5420866666;5620866666
37;6082145000;5420866666;5620866666
38;6082147000;5420866666;5620866666
39;6082148000;5420866666;5620866666
43;6171570000;5420866666;5620866666
44;6171577000;5462555555;5662555555
45;6171578000;5462555555;5662555555
46;6171579000;5462555555;5662555555
47;6171580000;5462555555;5662555555
48;6171581000;5462555555;5662555555
49;6171582000;5462555555;5662555555
50;6171583000;5462555555;5662555555
51;6171584000;5462555555;5662555555
52;6171585000;5462555555;5662555555
53;6171586000;5462555555;5662555555
54;6213010000;5462555555;5662555555
64;6213016000;5504200000;5704200000
65;6333744000;5504200000;5704200000
102;6333749000;5670822222;5870822222
103;6333751000;5670822222;5870822222
104;6333752000;5670822222;5870822222
105;6333753000;5670822222;5870822222
106;6333754000;5670822222;5870822222
107;6333755000;5670822222;5870822222
108;6333756000;5670822222;5870822222
109;6500610000;5670822222;5870822222
135;6500625000;5795822222;5995822222
136;6500626000;5795822222;5995822222
137;6500627000;5795822222;5995822222
138;6500628000;5795822222;5995822222
139;6500629000;5795822222;5995822222
140;6500630000;5795822222;5995822222
141;6500631000;5795822222;5995822222
142;6500712000;5795822222;5995822222
143;6500716000;5837533333;6037533333
144;6500717000;5837533333;6037533333
145;6500718000;5837533333;6037533333
146;6500719000;5837533333;6037533333
147;6500720000;5837533333;6037533333
148;6500721000;5837533333;6037533333
149;6500722000;5837533333;6037533333
150;6500723000;5837533333;6037533333
151;6500723000;5837533333;6037533333
152;6500725000;5837533333;6037533333
153;6561439000;5837533333;6037533333
154;6561444000;5879222222;6079222222
155;6561445000;5879222222;6079222222
156;6561624000;5879222222;6079222222
157;6561626000;5879222222;6079222222
158;6561835000;5879222222;6079222222
159;6561852000;5879222222;6079222222
160;6562016000;5879222222;6079222222
161;6562025000;5879222222;6079222222
162;6562219000;5879222222;6079222222
163;6562418000;5879222222;6079222222
164;6579181000;5879222222;6079222222
176;6579187000;5962511111;6162511111
177;6579189000;5962511111;6162511111
178;6579190000;5962511111;6162511111
179;6579191000;5962511111;6162511111
180;6579192000;5962511111;6162511111
181;6579193000;5962511111;6162511111
182;6579193000;5962511111;6162511111
183;6579206000;5962511111;6162511111
184;6579207000;5962511111;6162511111
185;6579208000;5962511111;6162511111
186;6662795000;5962511111;6162511111
187;6662801000;6004177777;6204177777
188;6662803000;6004177777;6204177777
189;6662804000;6004177777;6204177777
190;6662805000;6004177777;6204177777
191;6662806000;6004177777;6204177777
192;6662807000;6004177777;6204177777
193;6662808000;6004177777;6204177777
194;6662809000;6004177777;6204177777
195;6662810000;6004177777;6204177777
196;6662811000;6004177777;6204177777
197;6704166000;6004177777;6204177777
224;6704172000;6129200000;6329200000
225;6704173000;6129200000;6329200000
228;6802817000;6129200000;6329200000
229;6802820000;6129200000;6329200000
230;6829213000;6129200000;6329200000
260;6829219000;6254200000;6454200000
261;6829220000;6254200000;6454200000
262;6829222000;6254200000;6454200000
263;6979739000;6254200000;6454200000
286;6979745000;6379188888;6579188888
287;6979747000;6379188888;6579188888
288;6979747000;6379188888;6579188888
289;6979748000;6379188888;6579188888
290;6979750000;6379188888;6579188888
291;6979750000;6379188888;6579188888
292;6979752000;6379188888;6579188888
293;6979753000;6379188888;6579188888
294;6979753000;6379188888;6579188888
295;6979754000;6379188888;6579188888
296;7101129000;6379188888;6579188888
313;7101146000;6462455555;6662455555
314;7101148000;6462455555;6662455555
315;7101150000;6462455555;6662455555
316;7101151000;6462455555;6662455555
317;7101153000;6462455555;6662455555
318;7180042000;6462455555;6662455555
341;7180072000;6587477777;6787477777
342;7180074000;6587477777;6787477777
343;7180075000;6587477777;6787477777
344;7180076000;6587477777;6787477777
345;7180078000;6587477777;6787477777
346;7180079000;6587477777;6787477777
347;7180081000;6587477777;6787477777
348;7180082000;6587477777;6787477777
349;7180083000;6587477777;6787477777
350;7180085000;6587477777;6787477777
351;7382755000;6587477777;6787477777
368;7382769000;6670822222;6870822222
