seqnum;now;rtptime;deadline;packet_len;payload_len
0;7010239000;6719577777;6919577777;10240;10228
1;7010399000;6719577777;6919577777;10240;10228
2;7010410000;6719577777;6919577777;10240;10228
0;7010528000;6719577777;6919577777;10240;10228
1;7010540000;6719577777;6919577777;10240;10228
3;7010550000;6719577777;6919577777;10240;10228
2;7010757000;6719577777;6919577777;10240;10228
3;7010767000;6719577777;6919577777;10240;10228
4;7130733000;6719577777;6919577777;10240;10228
5;7130887000;6719577777;6919577777;10240;10228
6;7131083000;6719577777;6919577777;10240;10228
7;7131108000;6719577777;6919577777;10240;10228
8;7131294000;6719577777;6919577777;10240;10228
4;7131408000;6719577777;6919577777;10240;10228
5;7131419000;6719577777;6919577777;10240;10228
6;7131671000;6719577777;6919577777;10240;10228
7;7131682000;6719577777;6919577777;10240;10228
8;7131920000;6719577777;6919577777;10240;10228
9;7131941000;6719577777;6919577777;10240;10228
10;7132165000;6719577777;6919577777;10240;10228
11;7132188000;6751177777;6951177777;10240;10228
9;7251184000;6719577777;6919577777;10240;10228
10;7251345000;6719577777;6919577777;10240;10228
11;7251525000;6751177777;6951177777;10240;10228
12;7251759000;6751177777;6951177777;10240;10228
13;7251787000;6751177777;6951177777;10240;10228
13;7252290000;6751177777;6951177777;10240;10228
14;7252301000;6751177777;6951177777;10240;10228
15;7252543000;6751177777;6951177777;10240;10228
16;7252572000;6751177777;6951177777;10240;10228
17;7252788000;6751177777;6951177777;10240;10228
18;7252813000;6751177777;6951177777;10240;10228
19;7253033000;6751177777;6951177777;10240;10228
20;7253059000;6751177777;6951177777;10240;10228
21;7253280000;6751177777;6951177777;10240;10228
22;7253306000;6792955555;6992955555;10240;10228
14;7371710000;6751177777;6951177777;10240;10228
15;7371916000;6751177777;6951177777;10240;10228
16;7371926000;6751177777;6951177777;10240;10228
23;7372005000;6792955555;6992955555;10240;10228
24;7372023000;6792955555;6992955555;10240;10228
25;7372247000;6792955555;6992955555;10240;10228
26;7372265000;6792955555;6992955555;10240;10228
17;7372292000;6751177777;6951177777;10240;10228
18;7372297000;6751177777;6951177777;10240;10228
19;7372479000;6751177777;6951177777;10240;10228
20;7372738000;6751177777;6951177777;10240;10228
21;7372751000;6751177777;6951177777;10240;10228
22;7372765000;6792955555;6992955555;10240;10228
27;7373142000;6792955555;6992955555;10240;10228
28;7373157000;6792955555;6992955555;10240;10228
29;7374058000;6792955555;6992955555;10240;10228
23;7492226000;6792955555;6992955555;10240;10228
24;7492397000;6792955555;6992955555;10240;10228
25;7492605000;6792955555;6992955555;10240;10228
26;7492813000;6792955555;6992955555;10240;10228
27;7493045000;6792955555;6992955555;10240;10228
30;7493063000;6792955555;6992955555;10240;10228
31;7493072000;6792955555;6992955555;10240;10228
32;7493305000;6792955555;6992955555;10240;10228
33;7493321000;6834522222;7034522222;10240;10228
34;7493537000;6834522222;7034522222;10240;10228
35;7494196000;6834522222;7034522222;10240;10228
36;7494220000;6834522222;7034522222;10240;10228
37;7495107000;6834522222;7034522222;10240;10228
