seqnum;now;rtptime;deadline
0;6541668000;6100122222;6300122222
1;6541675000;6100122222;6300122222
2;6541676000;6100122222;6300122222
3;6541678000;6100122222;6300122222
4;6651745000;6100122222;6300122222
5;6651907000;6100122222;6300122222
6;6652110000;6100122222;6300122222
7;6652113000;6100122222;6300122222
8;6652309000;6100122222;6300122222
9;6652917000;6100122222;6300122222
10;6653718000;6100122222;6300122222
11;6653725000;6131866666;6331866666
12;6812831000;6131866666;6331866666
13;6812833000;6131866666;6331866666
14;6813677000;6131866666;6331866666
15;6813680000;6131866666;6331866666
16;6813928000;6131866666;6331866666
17;6813930000;6131866666;6331866666
18;6814196000;6131866666;6331866666
19;6814197000;6131866666;6331866666
20;6814443000;6131866666;6331866666
21;6814571000;6131866666;6331866666
22;6814693000;6173600000;6373600000
23;6814695000;6173600000;6373600000
24;6814884000;6173600000;6373600000
25;6814897000;6173600000;6373600000
26;6815141000;6173600000;6373600000
27;6974468000;6173600000;6373600000
28;6974470000;6173600000;6373600000
29;6974719000;6173600000;6373600000
30;6974721000;6173600000;6373600000
31;6975017000;6173600000;6373600000
32;6975043000;6173600000;6373600000
33;6975241000;6215211111;6415211111
34;7133723000;6215211111;6415211111
35;7133725000;6215211111;6415211111
36;7133932000;6215211111;6415211111
37;7133935000;6215211111;6415211111
38;7134199000;6215211111;6415211111
39;7134201000;6215211111;6415211111
40;7134375000;6215211111;6415211111
41;7134378000;6215211111;6415211111
42;7134663000;6215211111;6415211111
43;7134688000;6215211111;6415211111
44;7134971000;6256888888;6456888888
45;7134974000;6256888888;6456888888
46;7135437000;6256888888;6456888888
47;7135713000;6256888888;6456888888
48;7135715000;6256888888;6456888888
49;7135720000;6256888888;6456888888
50;7135989000;6256888888;6456888888
51;7135997000;6256888888;6456888888
52;7136259000;6256888888;6456888888
53;7294541000;6256888888;6456888888
54;7294554000;6256888888;6456888888
55;7294816000;6298511111;6498511111
56;7294818000;6298511111;6498511111
57;7295051000;6298511111;6498511111
58;7295058000;6298511111;6498511111
59;7295308000;6298511111;6498511111
60;7295310000;6298511111;6498511111
61;7295518000;6298511111;6498511111
62;7295596000;6298511111;6498511111
63;7295750000;6298511111;6498511111
64;7295765000;6298511111;6498511111
65;7295786000;6298511111;6498511111
66;7296057000;6340177777;6540177777
67;7296059000;6340177777;6540177777
68;7296311000;6340177777;6540177777
69;7296319000;6340177777;6540177777
70;7296466000;6340177777;6540177777
71;7296468000;6340177777;6540177777
72;7296750000;6340177777;6540177777
73;7296765000;6340177777;6540177777
74;7297097000;6340177777;6540177777
75;7297100000;6340177777;6540177777
76;7297114000;6340177777;6540177777
77;7297247000;6381866666;6581866666
78;7297261000;6381866666;6581866666
79;7297470000;6381866666;6581866666
80;7297788000;6381866666;6581866666
81;7297790000;6381866666;6581866666
82;7455107000;6381866666;6581866666
83;7455292000;6381866666;6581866666
84;7455295000;6381866666;6581866666
85;7455436000;6381866666;6581866666
86;7455759000;6381866666;6581866666
87;7455809000;6381866666;6581866666
88;7455966000;6423511111;6623511111
89;7455968000;6423511111;6623511111
90;7456121000;6423511111;6623511111
91;7456123000;6423511111;6623511111
92;7456309000;6423511111;6623511111
93;7456448000;6423511111;6623511111
94;7456457000;6423511111;6623511111
95;7456737000;6423511111;6623511111
96;7456739000;6423511111;6623511111
97;7456959000;6423511111;6623511111
98;7456982000;6423511111;6623511111
99;7457157000;6465188888;6665188888
100;7457160000;6465188888;6665188888
101;7457330000;6465188888;6665188888
102;7457486000;6465188888;6665188888
103;7457488000;6465188888;6665188888
104;7457759000;6465188888;6665188888
105;7457761000;6465188888;6665188888
106;7457992000;6465188888;6665188888
107;7457994000;6465188888;6665188888
