seqnum;now;rtptime;deadline;packet_len;payload_len
0;6547364000;6056188888;6256188888;10240;10228
1;6547453000;6056188888;6256188888;10240;10228
2;6547587000;6056188888;6256188888;10240;10228
3;6547838000;6056188888;6256188888;10240;10228
4;6748433000;6056188888;6256188888;10240;10228
5;6748456000;6056188888;6256188888;10240;10228
6;6748646000;6056188888;6256188888;10240;10228
7;6748668000;6056188888;6256188888;10240;10228
8;6748892000;6056188888;6256188888;10240;10228
9;6748916000;6056188888;6256188888;10240;10228
10;6749143000;6056188888;6256188888;10240;10228
11;6749166000;6087811111;6287811111;10240;10228
12;6949305000;6087811111;6287811111;10240;10228
13;6949328000;6087811111;6287811111;10240;10228
14;6949577000;6087811111;6287811111;10240;10228
15;6949606000;6087811111;6287811111;10240;10228
16;6949804000;6087811111;6287811111;10240;10228
17;6949824000;6087811111;6287811111;10240;10228
18;6950049000;6087811111;6287811111;10240;10228
19;6950070000;6087811111;6287811111;10240;10228
20;6950296000;6087811111;6287811111;10240;10228
21;6950327000;6087811111;6287811111;10240;10228
22;6950521000;6129500000;6329500000;10240;10228
23;6950543000;6129500000;6329500000;10240;10228
24;6950807000;6129500000;6329500000;10240;10228
25;6950827000;6129500000;6329500000;10240;10228
26;6957421000;6129500000;6329500000;10240;10228
27;6957443000;6129500000;6329500000;10240;10228
28;7150167000;6129500000;6329500000;10240;10228
29;7150190000;6129500000;6329500000;10240;10228
30;7150408000;6129500000;6329500000;10240;10228
31;7150431000;6129500000;6329500000;10240;10228
32;7150666000;6129500000;6329500000;10240;10228
33;7150691000;6171111111;6371111111;10240;10228
34;7150909000;6171111111;6371111111;10240;10228
35;7150922000;6171111111;6371111111;10240;10228
36;7151159000;6171111111;6371111111;10240;10228
37;7151192000;6171111111;6371111111;10240;10228
38;7151410000;6171111111;6371111111;10240;10228
39;7151434000;6171111111;6371111111;10240;10228
40;7151669000;6171111111;6371111111;10240;10228
41;7151693000;6171111111;6371111111;10240;10228
42;7151699000;6171111111;6371111111;10240;10228
43;7151852000;6171111111;6371111111;10240;10228
44;7151858000;6212777777;6412777777;10240;10228
45;7152119000;6212777777;6412777777;10240;10228
46;7152130000;6212777777;6412777777;10240;10228
47;7152367000;6212777777;6412777777;10240;10228
48;7152386000;6212777777;6412777777;10240;10228
49;7152673000;6212777777;6412777777;10240;10228
50;7152695000;6212777777;6412777777;10240;10228
51;7152906000;6212777777;6412777777;10240;10228
52;7152940000;6212777777;6412777777;10240;10228
53;7153157000;6212777777;6412777777;10240;10228
54;7153180000;6212777777;6412777777;10240;10228
55;7153194000;6254422222;6454422222;10240;10228
56;7158451000;6254422222;6454422222;10240;10228
57;7158474000;6254422222;6454422222;10240;10228
58;7158699000;6254422222;6454422222;10240;10228
59;7158723000;6254422222;6454422222;10240;10228
60;7351212000;6254422222;6454422222;10240;10228
61;7351225000;6254422222;6454422222;10240;10228
62;7351474000;6254422222;6454422222;10240;10228
63;7351499000;6254422222;6454422222;10240;10228
64;7351891000;6254422222;6454422222;10240;10228
65;7351913000;6254422222;6454422222;10240;10228
66;7352118000;6296066666;6496066666;10240;10228
67;7352140000;6296066666;6496066666;10240;10228
68;7352363000;6296066666;6496066666;10240;10228
69;7352386000;6296066666;6496066666;10240;10228
70;7352617000;6296066666;6496066666;10240;10228
71;7352637000;6296066666;6496066666;10240;10228
72;7352866000;6296066666;6496066666;10240;10228
73;7352887000;6296066666;6496066666;10240;10228
74;7353120000;6296066666;6496066666;10240;10228
75;7353141000;6296066666;6496066666;10240;10228
76;7353156000;6296066666;6496066666;10240;10228
77;7353322000;6337777777;6537777777;10240;10228
78;7353332000;6337777777;6537777777;10240;10228
79;7353580000;6337777777;6537777777;10240;10228
80;7353595000;6337777777;6537777777;10240;10228
81;7353860000;6337777777;6537777777;10240;10228
82;7353892000;6337777777;6537777777;10240;10228
83;7354132000;6337777777;6537777777;10240;10228
84;7354153000;6337777777;6537777777;10240;10228
85;7354325000;6337777777;6537777777;10240;10228
86;7354341000;6337777777;6537777777;10240;10228
87;7354655000;6337777777;6537777777;10240;10228
88;7354677000;6379422222;6579422222;10240;10228
89;7354682000;6379422222;6579422222;10240;10228
90;7354863000;6379422222;6579422222;10240;10228
91;7354896000;6379422222;6579422222;10240;10228
92;7355122000;6379422222;6579422222;10240;10228
93;7355153000;6379422222;6579422222;10240;10228
94;7355364000;6379422222;6579422222;10240;10228
95;7355387000;6379422222;6579422222;10240;10228
96;7355636000;6379422222;6579422222;10240;10228
97;7355657000;6379422222;6579422222;10240;10228
98;7355863000;6379422222;6579422222;10240;10228
99;7355895000;6421066666;6621066666;10240;10228
100;7356135000;6421066666;6621066666;10240;10228
101;7356156000;6421066666;6621066666;10240;10228
