seqnum;now;rtptime;deadline;packet_len;payload_len
0;4184413000;4093044444;4293044444;10240;10228
1;4184649000;4093044444;4293044444;10240;10228
2;4184659000;4093044444;4293044444;10240;10228
3;4184665000;4093044444;4293044444;10240;10228
4;4225754000;4093044444;4293044444;10240;10228
5;4225774000;4093044444;4293044444;10240;10228
6;4225961000;4093044444;4293044444;10240;10228
7;4225980000;4093044444;4293044444;10240;10228
8;4226196000;4093044444;4293044444;10240;10228
9;4226219000;4093044444;4293044444;10240;10228
10;4226453000;4093044444;4293044444;10240;10228
11;4226464000;4124877777;4324877777;10240;10228
12;4266643000;4124877777;4324877777;10240;10228
13;4266688000;4124877777;4324877777;10240;10228
14;4266858000;4124877777;4324877777;10240;10228
15;4266871000;4124877777;4324877777;10240;10228
16;4267103000;4124877777;4324877777;10240;10228
17;4267125000;4124877777;4324877777;10240;10228
18;4267352000;4124877777;4324877777;10240;10228
19;4267367000;4124877777;4324877777;10240;10228
20;4267601000;4124877777;4324877777;10240;10228
21;4267631000;4124877777;4324877777;10240;10228
22;4267822000;4166555555;4366555555;10240;10228
23;4267835000;4166555555;4366555555;10240;10228
24;4268102000;4166555555;4366555555;10240;10228
25;4268135000;4166555555;4366555555;10240;10228
26;4275278000;4166555555;4366555555;10240;10228
27;4275317000;4166555555;4366555555;10240;10228
28;4307538000;4166555555;4366555555;10240;10228
29;4307560000;4166555555;4366555555;10240;10228
30;4307791000;4166555555;4366555555;10240;10228
31;4307803000;4166555555;4366555555;10240;10228
32;4308046000;4166555555;4366555555;10240;10228
33;4308058000;4208200000;4408200000;10240;10228
34;4308279000;4208200000;4408200000;10240;10228
35;4308309000;4208200000;4408200000;10240;10228
36;4308585000;4208200000;4408200000;10240;10228
37;4308606000;4208200000;4408200000;10240;10228
38;4308622000;4208200000;4408200000;10240;10228
39;4308799000;4208200000;4408200000;10240;10228
40;4308823000;4208200000;4408200000;10240;10228
41;4309045000;4208200000;4408200000;10240;10228
42;4309076000;4208200000;4408200000;10240;10228
43;4309258000;4208200000;4408200000;10240;10228
44;4311883000;4249833333;4449833333;10240;10228
45;4311904000;4249833333;4449833333;10240;10228
46;4312122000;4249833333;4449833333;10240;10228
47;4312142000;4249833333;4449833333;10240;10228
48;4312371000;4249833333;4449833333;10240;10228
49;4312382000;4249833333;4449833333;10240;10228
50;4312634000;4249833333;4449833333;10240;10228
51;4312654000;4249833333;4449833333;10240;10228
52;4316266000;4249833333;4449833333;10240;10228
53;4316287000;4249833333;4449833333;10240;10228
54;4316507000;4249833333;4449833333;10240;10228
55;4353553000;4291522222;4491522222;10240;10228
56;4353772000;4291522222;4491522222;10240;10228
58;4353786000;4291522222;4491522222;10240;10228
59;4354033000;4291522222;4491522222;10240;10228
60;4354044000;4291522222;4491522222;10240;10228
61;4354063000;4291522222;4491522222;10240;10228
62;4354279000;4291522222;4491522222;10240;10228
63;4354302000;4291522222;4491522222;10240;10228
64;4354543000;4291522222;4491522222;10240;10228
65;4354556000;4291522222;4491522222;10240;10228
57;4395088000;4291522222;4491522222;10240;10228
66;4395320000;4333233333;4533233333;10240;10228
67;4395339000;4333233333;4533233333;10240;10228
68;4395343000;4333233333;4533233333;10240;10228
69;4395611000;4333233333;4533233333;10240;10228
70;4395632000;4333233333;4533233333;10240;10228
71;4395828000;4333233333;4533233333;10240;10228
72;4395847000;4333233333;4533233333;10240;10228
73;4396089000;4333233333;4533233333;10240;10228
74;4396108000;4333233333;4533233333;10240;10228
75;4396318000;4333233333;4533233333;10240;10228
76;4396327000;4333233333;4533233333;10240;10228
77;4436898000;4374911111;4574911111;10240;10228
78;4436917000;4374911111;4574911111;10240;10228
79;4437146000;4374911111;4574911111;10240;10228
80;4437165000;4374911111;4574911111;10240;10228
81;4437381000;4374911111;4574911111;10240;10228
82;4437391000;4374911111;4574911111;10240;10228
83;4437602000;4374911111;4574911111;10240;10228
84;4437608000;4374911111;4574911111;10240;10228
85;4437895000;4374911111;4574911111;10240;10228
86;4437916000;4374911111;4574911111;10240;10228
87;4438147000;4374911111;4574911111;10240;10228
88;4478571000;4416544444;4616544444;10240;10228
89;4478594000;4416544444;4616544444;10240;10228
90;4478805000;4416544444;4616544444;10240;10228
91;4478824000;4416544444;4616544444;10240;10228
92;4479059000;4416544444;4616544444;10240;10228
93;4479077000;4416544444;4616544444;10240;10228
94;4479289000;4416544444;4616544444;10240;10228
95;4479309000;4416544444;4616544444;10240;10228
96;4479576000;4416544444;4616544444;10240;10228
97;4479596000;4416544444;4616544444;10240;10228
98;4479803000;4416544444;4616544444;10240;10228
99;4520236000;4458266666;4658266666;10240;10228
100;4520255000;4458266666;4658266666;10240;10228
101;4520476000;4458266666;4658266666;10240;10228
103;4520486000;4458266666;4658266666;10240;10228
104;4520736000;4458266666;4658266666;10240;10228
107;4520745000;4458266666;4658266666;10240;10228
108;4520943000;4458266666;4658266666;10240;10228
109;4520973000;4458266666;4658266666;10240;10228
102;4561775000;4458266666;4658266666;10240;10228
105;4561802000;4458266666;4658266666;10240;10228
106;4562029000;4458266666;4658266666;10240;10228
110;4562065000;4499811111;4699811111;10240;10228
111;4562270000;4499811111;4699811111;10240;10228
112;4562290000;4499811111;4699811111;10240;10228
