seqnum;now;rtptime;deadline
0;3865417000;3723711111;3923711111
1;3865423000;3723711111;3923711111
2;3865425000;3723711111;3923711111
3;3865426000;3723711111;3923711111
4;3865428000;3723711111;3923711111
5;3865430000;3723711111;3923711111
6;3865432000;3723711111;3923711111
7;3865434000;3723711111;3923711111
8;3865436000;3723711111;3923711111
9;3865437000;3723711111;3923711111
10;3868429000;3723711111;3923711111
11;3868441000;3755377777;3955377777
12;3896891000;3755377777;3955377777
13;3897090000;3755377777;3955377777
14;3897098000;3755377777;3955377777
15;3897122000;3755377777;3955377777
16;3897361000;3755377777;3955377777
17;3897363000;3755377777;3955377777
18;3897629000;3755377777;3955377777
19;3897631000;3755377777;3955377777
20;3897870000;3755377777;3955377777
21;3898011000;3755377777;3955377777
22;3898081000;3797033333;3997033333
23;3898092000;3797033333;3997033333
24;3898320000;3797033333;3997033333
25;3898333000;3797033333;3997033333
26;3906273000;3797033333;3997033333
27;3906287000;3797033333;3997033333
28;3937942000;3797033333;3997033333
29;3937987000;3797033333;3997033333
30;3938145000;3797033333;3997033333
31;3938150000;3797033333;3997033333
32;3938594000;3797033333;3997033333
33;3938600000;3838644444;4038644444
34;3938729000;3838644444;4038644444
35;3938731000;3838644444;4038644444
36;3938739000;3838644444;4038644444
37;3938950000;3838644444;4038644444
38;3938952000;3838644444;4038644444
39;3939190000;3838644444;4038644444
40;3939192000;3838644444;4038644444
41;3939465000;3838644444;4038644444
42;3939467000;3838644444;4038644444
43;3980232000;3838644444;4038644444
44;3980246000;3880344444;4080344444
45;3980248000;3880344444;4080344444
46;3980250000;3880344444;4080344444
47;3980251000;3880344444;4080344444
48;3980253000;3880344444;4080344444
49;3980255000;3880344444;4080344444
50;3980256000;3880344444;4080344444
51;3980258000;3880344444;4080344444
52;3980259000;3880344444;4080344444
53;3980260000;3880344444;4080344444
54;4021935000;3880344444;4080344444
55;4021958000;3922000000;4122000000
56;4021960000;3922000000;4122000000
57;4021961000;3922000000;4122000000
58;4021963000;3922000000;4122000000
59;4021964000;3922000000;4122000000
60;4021965000;3922000000;4122000000
61;4021966000;3922000000;4122000000
62;4021967000;3922000000;4122000000
63;4021969000;3922000000;4122000000
64;4021970000;3922000000;4122000000
65;4063544000;3922000000;4122000000
66;4063551000;3963655555;4163655555
67;4063552000;3963655555;4163655555
68;4063553000;3963655555;4163655555
69;4063554000;3963655555;4163655555
70;4063555000;3963655555;4163655555
71;4063556000;3963655555;4163655555
72;4063557000;3963655555;4163655555
73;4063558000;3963655555;4163655555
74;4063560000;3963655555;4163655555
75;4063561000;3963655555;4163655555
76;4105237000;3963655555;4163655555
77;4105249000;4005444444;4205444444
78;4105251000;4005444444;4205444444
79;4105261000;4005444444;4205444444
80;4105262000;4005444444;4205444444
81;4105264000;4005444444;4205444444
82;4105265000;4005444444;4205444444
83;4105266000;4005444444;4205444444
84;4105268000;4005444444;4205444444
85;4105269000;4005444444;4205444444
86;4105270000;4005444444;4205444444
87;4147001000;4005444444;4205444444
88;4147007000;4047033333;4247033333
89;4147008000;4047033333;4247033333
90;4147009000;4047033333;4247033333
91;4147010000;4047033333;4247033333
92;4147010000;4047033333;4247033333
93;4147011000;4047033333;4247033333
94;4147012000;4047033333;4247033333
95;4147013000;4047033333;4247033333
96;4147014000;4047033333;4247033333
97;4147015000;4047033333;4247033333
98;4188577000;4047033333;4247033333
99;4188593000;4088700000;4288700000
100;4188594000;4088700000;4288700000
101;4188595000;4088700000;4288700000
102;4188596000;4088700000;4288700000
103;4188596000;4088700000;4288700000
104;4188597000;4088700000;4288700000
105;4188598000;4088700000;4288700000
106;4188599000;4088700000;4288700000
107;4188600000;4088700000;4288700000
108;4188601000;4088700000;4288700000
109;4230244000;4088700000;4288700000
110;4230249000;4130344444;4330344444
111;4230250000;4130344444;4330344444
112;4233711000;4130344444;4330344444
113;4233736000;4130344444;4330344444
114;4233737000;4130344444;4330344444
115;4233738000;4130344444;4330344444
116;4233739000;4130344444;4330344444
117;4233740000;4130344444;4330344444
118;4233741000;4130344444;4330344444
119;4233742000;4130344444;4330344444
120;4271886000;4130344444;4330344444
121;4271891000;4172011111;4372011111
122;4271892000;4172011111;4372011111
123;4271893000;4172011111;4372011111
124;4271894000;4172011111;4372011111
125;4271895000;4172011111;4372011111
126;4271896000;4172011111;4372011111
127;4271897000;4172011111;4372011111
128;4271898000;4172011111;4372011111
129;4271899000;4172011111;4372011111
130;4271900000;4172011111;4372011111
131;4313543000;4172011111;4372011111
132;4313558000;4213788888;4413788888
133;4313559000;4213788888;4413788888
134;4313560000;4213788888;4413788888
135;4313561000;4213788888;4413788888
136;4313562000;4213788888;4413788888
137;4313563000;4213788888;4413788888
138;4313564000;4213788888;4413788888
139;4313565000;4213788888;4413788888
140;4313566000;4213788888;4413788888
141;4313567000;4213788888;4413788888
142;4355332000;4213788888;4413788888
143;4355337000;4255400000;4455400000
144;4355338000;4255400000;4455400000
145;4355339000;4255400000;4455400000
146;4355340000;4255400000;4455400000
147;4355341000;4255400000;4455400000
148;4355342000;4255400000;4455400000
149;4355343000;4255400000;4455400000
150;4355344000;4255400000;4455400000
151;4355345000;4255400000;4455400000
152;4355346000;4255400000;4455400000
153;4396940000;4255400000;4455400000
154;4396946000;4296977777;4496977777
155;4396947000;4296977777;4496977777
156;4396948000;4296977777;4496977777
157;4396949000;4296977777;4496977777
158;4396950000;4296977777;4496977777
159;4396951000;4296977777;4496977777
160;4396952000;4296977777;4496977777
161;4396952000;4296977777;4496977777
162;4396953000;4296977777;4496977777
163;4396954000;4296977777;4496977777
164;4438529000;4296977777;4496977777
165;4438544000;4338688888;4538688888
166;4438545000;4338688888;4538688888
167;4438546000;4338688888;4538688888
168;4438547000;4338688888;4538688888
169;4438548000;4338688888;4538688888
170;4438549000;4338688888;4538688888
171;4438550000;4338688888;4538688888
172;4438551000;4338688888;4538688888
173;4438552000;4338688888;4538688888
174;4438553000;4338688888;4538688888
175;4480226000;4338688888;4538688888
176;4480233000;4380366666;4580366666
177;4480234000;4380366666;4580366666
178;4480235000;4380366666;4580366666
179;4483708000;4380366666;4580366666
180;4483711000;4380366666;4580366666
181;4483712000;4380366666;4580366666
182;4483713000;4380366666;4580366666
183;4483714000;4380366666;4580366666
184;4483717000;4380366666;4580366666
185;4483719000;4380366666;4580366666
186;4521908000;4380366666;4580366666
187;4521914000;4422100000;4622100000
188;4521915000;4422100000;4622100000
189;4521916000;4422100000;4622100000
190;4521917000;4422100000;4622100000
191;4521918000;4422100000;4622100000
192;4521919000;4422100000;4622100000
193;4521920000;4422100000;4622100000
194;4524636000;4422100000;4622100000
195;4524639000;4422100000;4622100000
196;4524881000;4422100000;4622100000
197;4563628000;4422100000;4622100000
198;4563634000;4463655555;4663655555
199;4563635000;4463655555;4663655555
200;4563636000;4463655555;4663655555
201;4563637000;4463655555;4663655555
202;4563638000;4463655555;4663655555
203;4563639000;4463655555;4663655555
204;4563640000;4463655555;4663655555
205;4565606000;4463655555;4663655555
206;4565609000;4463655555;4663655555
207;4565845000;4463655555;4663655555
208;4605186000;4463655555;4663655555
209;4605191000;4505311111;4705311111
210;4605192000;4505311111;4705311111
211;4605193000;4505311111;4705311111
212;4605194000;4505311111;4705311111
213;4605195000;4505311111;4705311111
214;4605196000;4505311111;4705311111
215;4605197000;4505311111;4705311111
216;4605198000;4505311111;4705311111
217;4606619000;4505311111;4705311111
218;4606621000;4505311111;4705311111
219;4646843000;4505311111;4705311111
220;4646849000;4547000000;4747000000
221;4646850000;4547000000;4747000000
222;4646851000;4547000000;4747000000
