seqnum;now;rtptime;deadline
0;6223436000;5781677777;5981677777
1;6223445000;5781677777;5981677777
2;6223447000;5781677777;5981677777
3;6223449000;5781677777;5981677777
4;6334093000;5781677777;5981677777
5;6334100000;5781677777;5981677777
6;6334308000;5781677777;5981677777
7;6334310000;5781677777;5981677777
8;6334561000;5781677777;5981677777
9;6334563000;5781677777;5981677777
10;6335360000;5781677777;5981677777
11;6335375000;5813411111;6013411111
12;6494989000;5813411111;6013411111
13;6494991000;5813411111;6013411111
14;6495193000;5813411111;6013411111
15;6495197000;5813411111;6013411111
16;6495430000;5813411111;6013411111
17;6495432000;5813411111;6013411111
18;6495697000;5813411111;6013411111
19;6495699000;5813411111;6013411111
20;6495949000;5813411111;6013411111
21;6496037000;5813411111;6013411111
22;6496191000;5855188888;6055188888
23;6496193000;5855188888;6055188888
24;6496402000;5855188888;6055188888
25;6496404000;5855188888;6055188888
26;6501020000;5855188888;6055188888
27;6501022000;5855188888;6055188888
28;6655859000;5855188888;6055188888
29;6655861000;5855188888;6055188888
30;6656085000;5855188888;6055188888
31;6656087000;5855188888;6055188888
32;6656346000;5855188888;6055188888
33;6656349000;5896722222;6096722222
34;6656654000;5896722222;6096722222
35;6656656000;5896722222;6096722222
36;6656828000;5896722222;6096722222
37;6656841000;5896722222;6096722222
38;6657066000;5896722222;6096722222
39;6657079000;5896722222;6096722222
40;6657303000;5896722222;6096722222
41;6657315000;5896722222;6096722222
42;6657582000;5896722222;6096722222
43;6657607000;5896722222;6096722222
44;6657609000;5938422222;6138422222
45;6657833000;5938422222;6138422222
46;6657846000;5938422222;6138422222
47;6658053000;5938422222;6138422222
48;6658066000;5938422222;6138422222
49;6658306000;5938422222;6138422222
50;6658316000;5938422222;6138422222
51;6658566000;5938422222;6138422222
52;6658580000;5938422222;6138422222
53;6658803000;5938422222;6138422222
54;6658821000;5938422222;6138422222
55;6659039000;5980033333;6180033333
56;6662054000;5980033333;6180033333
57;6662057000;5980033333;6180033333
58;6662263000;5980033333;6180033333
59;6662269000;5980033333;6180033333
60;6816918000;5980033333;6180033333
61;6816921000;5980033333;6180033333
62;6817167000;5980033333;6180033333
63;6817169000;5980033333;6180033333
64;6817409000;5980033333;6180033333
65;6817422000;5980033333;6180033333
66;6817660000;6021677777;6221677777
67;6817662000;6021677777;6221677777
68;6817932000;6021677777;6221677777
69;6817934000;6021677777;6221677777
70;6818184000;6021677777;6221677777
71;6818186000;6021677777;6221677777
72;6818410000;6021677777;6221677777
73;6818413000;6021677777;6221677777
74;6818604000;6021677777;6221677777
75;6818614000;6021677777;6221677777
76;6818640000;6021677777;6221677777
77;6818877000;6063388888;6263388888
78;6818879000;6063388888;6263388888
79;6819149000;6063388888;6263388888
80;6819161000;6063388888;6263388888
81;6819436000;6063388888;6263388888
82;6819438000;6063388888;6263388888
83;6819678000;6063388888;6263388888
84;6819743000;6063388888;6263388888
85;6819941000;6063388888;6263388888
86;6819943000;6063388888;6263388888
87;6819999000;6063388888;6263388888
88;6820189000;6105022222;6305022222
89;6820191000;6105022222;6305022222
90;6820431000;6105022222;6305022222
91;6820433000;6105022222;6305022222
92;6820653000;6105022222;6305022222
93;6820655000;6105022222;6305022222
94;6820873000;6105022222;6305022222
95;6820881000;6105022222;6305022222
96;6821108000;6105022222;6305022222
97;6821116000;6105022222;6305022222
98;6821367000;6105022222;6305022222
99;6821380000;6146666666;6346666666
100;6821643000;6146666666;6346666666
101;6821656000;6146666666;6346666666
102;6821663000;6146666666;6346666666
103;6821877000;6146666666;6346666666
104;6821887000;6146666666;6346666666
105;6822126000;6146666666;6346666666
106;6822135000;6146666666;6346666666
107;6822376000;6146666666;6346666666
108;6822385000;6146666666;6346666666
109;6822632000;6146666666;6346666666
110;6822648000;6188311111;6388311111
