seqnum;now;rtptime;deadline;packet_len;payload_len
0;6461547000;6329255555;6529255555;1398;1386
1;6461570000;6329255555;6529255555;1400;1388
2;6461700000;6329255555;6529255555;1398;1386
3;6461708000;6329255555;6529255555;1400;1388
4;6461935000;6329255555;6529255555;1400;1388
5;6461944000;6329255555;6529255555;1398;1386
6;6462166000;6329255555;6529255555;1400;1388
7;6462176000;6329255555;6529255555;1398;1386
8;6462417000;6329255555;6529255555;1400;1388
9;6462426000;6329255555;6529255555;1400;1388
10;6462665000;6329255555;6529255555;982;970
11;6503087000;6361100000;6561100000;1398;1386
12;6503114000;6361100000;6561100000;1400;1388
13;6503299000;6361100000;6561100000;1398;1386
14;6503304000;6361100000;6561100000;1400;1388
15;6503547000;6361100000;6561100000;1400;1388
16;6503551000;6361100000;6561100000;1398;1386
17;6503797000;6361100000;6561100000;1400;1388
18;6503803000;6361100000;6561100000;1398;1386
19;6504048000;6361100000;6561100000;1400;1388
20;6504057000;6361100000;6561100000;1400;1388
21;6504299000;6361100000;6561100000;982;970
22;6544779000;6402788888;6602788888;1398;1386
23;6544805000;6402788888;6602788888;1400;1388
24;6544999000;6402788888;6602788888;1398;1386
25;6545019000;6402788888;6602788888;1400;1388
26;6545255000;6402788888;6602788888;1400;1388
27;6545275000;6402788888;6602788888;1398;1386
28;6545508000;6402788888;6602788888;1400;1388
29;6545539000;6402788888;6602788888;1398;1386
30;6545757000;6402788888;6602788888;1400;1388
31;6545777000;6402788888;6602788888;1400;1388
32;6545781000;6402788888;6602788888;982;970
33;6586435000;6444411111;6644411111;1398;1386
34;6586452000;6444411111;6644411111;1400;1388
35;6586659000;6444411111;6644411111;1398;1386
36;6586678000;6444411111;6644411111;1400;1388
37;6586890000;6444411111;6644411111;1400;1388
38;6586901000;6444411111;6644411111;1398;1386
39;6587158000;6444411111;6644411111;1400;1388
40;6587177000;6444411111;6644411111;1398;1386
41;6587409000;6444411111;6644411111;1400;1388
42;6587428000;6444411111;6644411111;1400;1388
43;6587640000;6444411111;6644411111;982;970
44;6628104000;6486066666;6686066666;1398;1386
45;6628130000;6486066666;6686066666;1400;1388
46;6628328000;6486066666;6686066666;1398;1386
47;6628348000;6486066666;6686066666;1400;1388
48;6628576000;6486066666;6686066666;1400;1388
49;6628596000;6486066666;6686066666;1398;1386
50;6628834000;6486066666;6686066666;1400;1388
51;6628854000;6486066666;6686066666;1398;1386
52;6629038000;6486066666;6686066666;1400;1388
53;6629043000;6486066666;6686066666;1400;1388
54;6629287000;6486066666;6686066666;982;970
55;6669785000;6527711111;6727711111;1398;1386
56;6669801000;6527711111;6727711111;1400;1388
57;6670009000;6527711111;6727711111;1398;1386
58;6670019000;6527711111;6727711111;1400;1388
59;6670247000;6527711111;6727711111;1400;1388
60;6670257000;6527711111;6727711111;1398;1386
61;6670532000;6527711111;6727711111;1400;1388
62;6670542000;6527711111;6727711111;1398;1386
63;6670749000;6527711111;6727711111;1400;1388
64;6670759000;6527711111;6727711111;1400;1388
65;6670763000;6527711111;6727711111;982;970
66;6711403000;6569355555;6769355555;1398;1386
67;6711428000;6569355555;6769355555;1400;1388
68;6711630000;6569355555;6769355555;1398;1386
69;6711650000;6569355555;6769355555;1400;1388
70;6711877000;6569355555;6769355555;1400;1388
71;6711897000;6569355555;6769355555;1398;1386
72;6712136000;6569355555;6769355555;1400;1388
73;6712155000;6569355555;6769355555;1398;1386
74;6712339000;6569355555;6769355555;1400;1388
75;6712344000;6569355555;6769355555;1400;1388
76;6712636000;6569355555;6769355555;982;970
77;6753082000;6611100000;6811100000;1398;1386
78;6753102000;6611100000;6811100000;1400;1388
79;6753285000;6611100000;6811100000;1398;1386
80;6753604000;6611100000;6811100000;1400;1388
81;6753615000;6611100000;6811100000;1400;1388
82;6753619000;6611100000;6811100000;1398;1386
83;6753835000;6611100000;6811100000;1400;1388
84;6753854000;6611100000;6811100000;1398;1386
85;6754085000;6611100000;6811100000;1400;1388
86;6754105000;6611100000;6811100000;1400;1388
87;6754334000;6611100000;6811100000;982;970
88;6794754000;6652777777;6852777777;1398;1386
89;6794803000;6652777777;6852777777;1400;1388
90;6794988000;6652777777;6852777777;1398;1386
91;6795009000;6652777777;6852777777;1400;1388
92;6795238000;6652777777;6852777777;1400;1388
93;6795259000;6652777777;6852777777;1398;1386
94;6795489000;6652777777;6852777777;1400;1388
95;6795537000;6652777777;6852777777;1398;1386
96;6795750000;6652777777;6852777777;1400;1388
97;6795770000;6652777777;6852777777;1400;1388
98;6796000000;6652777777;6852777777;982;970
99;6836400000;6694422222;6894422222;1398;1386
100;6836411000;6694422222;6894422222;1400;1388
101;6836625000;6694422222;6894422222;1398;1386
102;6836635000;6694422222;6894422222;1400;1388
103;6836887000;6694422222;6894422222;1400;1388
104;6836906000;6694422222;6894422222;1398;1386
105;6837099000;6694422222;6894422222;1400;1388
106;6837104000;6694422222;6894422222;1398;1386
107;6837395000;6694422222;6894422222;1400;1388
108;6837414000;6694422222;6894422222;1400;1388
109;6837645000;6694422222;6894422222;982;970
110;6878082000;6736011111;6936011111;1398;1386
111;6878101000;6736011111;6936011111;1400;1388
112;6878332000;6736011111;6936011111;1398;1386
113;6878351000;6736011111;6936011111;1400;1388
114;6878577000;6736011111;6936011111;1400;1388
115;6878595000;6736011111;6936011111;1398;1386
116;6878833000;6736011111;6936011111;1400;1388
117;6878851000;6736011111;6936011111;1398;1386
118;6879039000;6736011111;6936011111;1400;1388
119;6879044000;6736011111;6936011111;1400;1388
120;6879334000;6736011111;6936011111;982;970
121;6919771000;6777722222;6977722222;1398;1386
122;6919791000;6777722222;6977722222;1400;1388
123;6920020000;6777722222;6977722222;1398;1386
124;6920039000;6777722222;6977722222;1400;1388
125;6920265000;6777722222;6977722222;1400;1388
126;6920284000;6777722222;6977722222;1398;1386
127;6920476000;6777722222;6977722222;1400;1388
128;6920481000;6777722222;6977722222;1398;1386
129;6920773000;6777722222;6977722222;1400;1388
130;6920793000;6777722222;6977722222;1400;1388
131;6921022000;6777722222;6977722222;982;970
132;6961408000;6819377777;7019377777;1398;1386
133;6961428000;6819377777;7019377777;1400;1388
134;6961657000;6819377777;7019377777;1398;1386
135;6961676000;6819377777;7019377777;1400;1388
136;6961901000;6819377777;7019377777;1400;1388
137;6961919000;6819377777;7019377777;1398;1386
138;6962158000;6819377777;7019377777;1400;1388
139;6962178000;6819377777;7019377777;1398;1386
140;6962363000;6819377777;7019377777;1400;1388
141;6962368000;6819377777;7019377777;1400;1388
142;6962659000;6819377777;7019377777;982;970
143;7003071000;6861000000;7061000000;1398;1386
144;7003092000;6861000000;7061000000;1400;1388
145;7003322000;6861000000;7061000000;1398;1386
146;7003341000;6861000000;7061000000;1400;1388
147;7003590000;6861000000;7061000000;1400;1388
148;7003609000;6861000000;7061000000;1398;1386
149;7003777000;6861000000;7061000000;1400;1388
150;7003782000;6861000000;7061000000;1398;1386
151;7004074000;6861000000;7061000000;1400;1388
152;7004093000;6861000000;7061000000;1400;1388
153;7004323000;6861000000;7061000000;982;970
154;7044740000;6902711111;7102711111;1398;1386
155;7044759000;6902711111;7102711111;1400;1388
156;7044990000;6902711111;7102711111;1398;1386
157;7045010000;6902711111;7102711111;1400;1388
158;7045233000;6902711111;7102711111;1400;1388
159;7045252000;6902711111;7102711111;1398;1386
160;7045492000;6902711111;7102711111;1400;1388
161;7045522000;6902711111;7102711111;1398;1386
162;7045742000;6902711111;7102711111;1400;1388
163;7045761000;6902711111;7102711111;1400;1388
164;7045946000;6902711111;7102711111;982;970
165;7086414000;6944377777;7144377777;1398;1386
166;7086433000;6944377777;7144377777;1400;1388
167;7086672000;6944377777;7144377777;1398;1386
168;7086692000;6944377777;7144377777;1400;1388
169;7086873000;6944377777;7144377777;1400;1388
170;7086878000;6944377777;7144377777;1398;1386
171;7087170000;6944377777;7144377777;1400;1388
172;7087190000;6944377777;7144377777;1398;1386
173;7087422000;6944377777;7144377777;1400;1388
174;7087441000;6944377777;7144377777;1400;1388
175;7087445000;6944377777;7144377777;982;970
176;7128077000;6986044444;7186044444;1398;1386
177;7128105000;6986044444;7186044444;1400;1388
178;7128326000;6986044444;7186044444;1398;1386
179;7128345000;6986044444;7186044444;1400;1388
180;7128570000;6986044444;7186044444;1400;1388
181;7128590000;6986044444;7186044444;1398;1386
182;7128828000;6986044444;7186044444;1400;1388
183;7128848000;6986044444;7186044444;1398;1386
184;7129079000;6986044444;7186044444;1400;1388
185;7129098000;6986044444;7186044444;1400;1388
186;7129282000;6986044444;7186044444;982;970
187;7169780000;7027722222;7227722222;1398;1386
188;7169790000;7027722222;7227722222;1400;1388
189;7170027000;7027722222;7227722222;1398;1386
190;7170047000;7027722222;7227722222;1400;1388
191;7170275000;7027722222;7227722222;1400;1388
192;7170294000;7027722222;7227722222;1398;1386
193;7170526000;7027722222;7227722222;1400;1388
194;7170545000;7027722222;7227722222;1398;1386
