seqnum;now;rtptime;deadline
0;3764071000;3661411111;3861411111
2;3764076000;3661411111;3861411111
3;3764080000;3661411111;3861411111
4;3764082000;3661411111;3861411111
5;3764084000;3661411111;3861411111
6;3764085000;3661411111;3861411111
7;3764087000;3661411111;3861411111
8;3764089000;3661411111;3861411111
9;3764091000;3661411111;3861411111
10;3764660000;3661411111;3861411111
11;3764666000;3693177777;3893177777
12;3764668000;3693177777;3893177777
13;3764670000;3693177777;3893177777
14;3764680000;3693177777;3893177777
15;3764682000;3693177777;3893177777
16;3764683000;3693177777;3893177777
17;3764684000;3693177777;3893177777
18;3764686000;3693177777;3893177777
19;3764687000;3693177777;3893177777
20;3764689000;3693177777;3893177777
21;3795738000;3693177777;3893177777
22;3796848000;3734888888;3934888888
23;3796860000;3734888888;3934888888
24;3797059000;3734888888;3934888888
25;3797062000;3734888888;3934888888
26;3797302000;3734888888;3934888888
27;3797305000;3734888888;3934888888
28;3797564000;3734888888;3934888888
29;3797566000;3734888888;3934888888
30;3797804000;3734888888;3934888888
31;3797806000;3734888888;3934888888
32;3837453000;3734888888;3934888888
33;3838527000;3776500000;3976500000
34;3838529000;3776500000;3976500000
35;3838741000;3776500000;3976500000
36;3838743000;3776500000;3976500000
37;3838991000;3776500000;3976500000
38;3838993000;3776500000;3976500000
39;3839250000;3776500000;3976500000
40;3839253000;3776500000;3976500000
41;3839448000;3776500000;3976500000
42;3839450000;3776500000;3976500000
43;3879092000;3776500000;3976500000
44;3880229000;3818200000;4018200000
45;3880232000;3818200000;4018200000
46;3880431000;3818200000;4018200000
47;3880433000;3818200000;4018200000
48;3880688000;3818200000;4018200000
49;3880691000;3818200000;4018200000
50;3880939000;3818200000;4018200000
51;3880941000;3818200000;4018200000
52;3881190000;3818200000;4018200000
53;3881192000;3818200000;4018200000
54;3920766000;3818200000;4018200000
55;3921825000;3859822222;4059822222
56;3921828000;3859822222;4059822222
57;3922015000;3859822222;4059822222
58;3922266000;3859822222;4059822222
59;3922268000;3859822222;4059822222
60;3922269000;3859822222;4059822222
61;3922528000;3859822222;4059822222
62;3922531000;3859822222;4059822222
63;3922765000;3859822222;4059822222
64;3922768000;3859822222;4059822222
65;3962387000;3859822222;4059822222
