seqnum;now;rtptime;deadline
0;4919296000;4776666666;4976666666
1;4919303000;4776666666;4976666666
2;4919305000;4776666666;4976666666
3;4919307000;4776666666;4976666666
4;4919308000;4776666666;4976666666
5;4919310000;4776666666;4976666666
6;4919312000;4776666666;4976666666
7;4919314000;4776666666;4976666666
8;4919316000;4776666666;4976666666
9;4919317000;4776666666;4976666666
10;4919846000;4776666666;4976666666
11;4919853000;4808477777;5008477777
12;4919864000;4808477777;5008477777
13;4919866000;4808477777;5008477777
14;4919867000;4808477777;5008477777
15;4919868000;4808477777;5008477777
16;4919870000;4808477777;5008477777
17;4919871000;4808477777;5008477777
18;4919872000;4808477777;5008477777
19;4919873000;4808477777;5008477777
20;4919875000;4808477777;5008477777
21;4950989000;4808477777;5008477777
22;4952202000;4850166666;5050166666
23;4952214000;4850166666;5050166666
24;4952409000;4850166666;5050166666
25;4952411000;4850166666;5050166666
26;4952669000;4850166666;5050166666
27;4952671000;4850166666;5050166666
28;4952919000;4850166666;5050166666
29;4952921000;4850166666;5050166666
31;4992644000;4850166666;5050166666
32;4992790000;4850166666;5050166666
33;4993814000;4891766666;5091766666
34;4993819000;4891766666;5091766666
35;4994035000;4891766666;5091766666
36;4994038000;4891766666;5091766666
37;4994287000;4891766666;5091766666
38;4994291000;4891766666;5091766666
39;4994598000;4891766666;5091766666
40;4994601000;4891766666;5091766666
41;4994776000;4891766666;5091766666
42;4994779000;4891766666;5091766666
43;5034304000;4891766666;5091766666
44;5035543000;4933433333;5133433333
45;5035547000;4933433333;5133433333
46;5035767000;4933433333;5133433333
47;5035769000;4933433333;5133433333
48;5036006000;4933433333;5133433333
49;5036009000;4933433333;5133433333
50;5036262000;4933433333;5133433333
51;5036265000;4933433333;5133433333
52;5036536000;4933433333;5133433333
53;5036538000;4933433333;5133433333
54;5075967000;4933433333;5133433333
55;5077158000;4975088888;5175088888
56;5077171000;4975088888;5175088888
57;5077371000;4975088888;5175088888
58;5077376000;4975088888;5175088888
59;5077642000;4975088888;5175088888
60;5077645000;4975088888;5175088888
61;5077893000;4975088888;5175088888
62;5077896000;4975088888;5175088888
63;5078106000;4975088888;5175088888
64;5078111000;4975088888;5175088888
65;5117590000;4975088888;5175088888
66;5118869000;5016722222;5216722222
67;5118881000;5016722222;5216722222
68;5119091000;5016722222;5216722222
69;5119093000;5016722222;5216722222
70;5119349000;5016722222;5216722222
71;5119351000;5016722222;5216722222
72;5119602000;5016722222;5216722222
73;5119604000;5016722222;5216722222
74;5119850000;5016722222;5216722222
75;5119853000;5016722222;5216722222
76;5159218000;5016722222;5216722222
77;5160500000;5058433333;5258433333
78;5160502000;5058433333;5258433333
79;5160748000;5058433333;5258433333
80;5160750000;5058433333;5258433333
81;5160992000;5058433333;5258433333
82;5160995000;5058433333;5258433333
83;5161199000;5058433333;5258433333
84;5161202000;5058433333;5258433333
85;5161448000;5058433333;5258433333
86;5161460000;5058433333;5258433333
87;5200900000;5058433333;5258433333
88;5202127000;5100155555;5300155555
89;5202419000;5100155555;5300155555
90;5202422000;5100155555;5300155555
91;5202423000;5100155555;5300155555
92;5202645000;5100155555;5300155555
93;5202648000;5100155555;5300155555
94;5202885000;5100155555;5300155555
95;5202887000;5100155555;5300155555
96;5203141000;5100155555;5300155555
97;5203143000;5100155555;5300155555
98;5242678000;5100155555;5300155555
99;5243847000;5141722222;5341722222
100;5243859000;5141722222;5341722222
101;5244075000;5141722222;5341722222
102;5244078000;5141722222;5341722222
103;5244282000;5141722222;5341722222
104;5244284000;5141722222;5341722222
105;5244533000;5141722222;5341722222
106;5244540000;5141722222;5341722222
107;5244833000;5141722222;5341722222
108;5244835000;5141722222;5341722222
109;5284220000;5141722222;5341722222
110;5285488000;5183366666;5383366666
111;5285490000;5183366666;5383366666
112;5285736000;5183366666;5383366666
113;5285739000;5183366666;5383366666
114;5285980000;5183366666;5383366666
115;5285983000;5183366666;5383366666
116;5286237000;5183366666;5383366666
117;5286240000;5183366666;5383366666
118;5286487000;5183366666;5383366666
120;5325895000;5183366666;5383366666
122;5367542000;5225066666;5425066666
123;5367544000;5225066666;5425066666
124;5367546000;5225066666;5425066666
125;5367547000;5225066666;5425066666
126;5367548000;5225066666;5425066666
127;5367549000;5225066666;5425066666
128;5367551000;5225066666;5425066666
129;5367552000;5225066666;5425066666
130;5367553000;5225066666;5425066666
131;5367661000;5225066666;5425066666
132;5368844000;5266722222;5466722222
133;5368847000;5266722222;5466722222
134;5369088000;5266722222;5466722222
135;5369090000;5266722222;5466722222
136;5369345000;5266722222;5466722222
137;5369348000;5266722222;5466722222
138;5369597000;5266722222;5466722222
139;5369600000;5266722222;5466722222
140;5369850000;5266722222;5466722222
141;5369853000;5266722222;5466722222
142;5409233000;5266722222;5466722222
143;5410477000;5308388888;5508388888
144;5410736000;5308388888;5508388888
145;5410739000;5308388888;5508388888
146;5410740000;5308388888;5508388888
