seqnum;now;rtptime;deadline;packet_len;payload_len
0;5951468000;5839344444;6039344444;1398;1386
1;5951597000;5839344444;6039344444;1400;1388
2;5951612000;5839344444;6039344444;1398;1386
3;5951832000;5839344444;6039344444;1400;1388
4;5951840000;5839344444;6039344444;1400;1388
5;5952089000;5839344444;6039344444;1398;1386
6;5952102000;5839344444;6039344444;1400;1388
7;5952107000;5839344444;6039344444;1398;1386
8;5952371000;5839344444;6039344444;1400;1388
9;5952390000;5839344444;6039344444;1400;1388
10;5952590000;5839344444;6039344444;982;970
12;5993049000;5871044444;6071044444;1400;1388
13;5993078000;5871044444;6071044444;1398;1386
14;5993271000;5871044444;6071044444;1400;1388
17;5993281000;5871044444;6071044444;1400;1388
18;5993527000;5871044444;6071044444;1398;1386
19;5993536000;5871044444;6071044444;1400;1388
20;5993766000;5871044444;6071044444;1400;1388
21;5993779000;5871044444;6071044444;982;970
22;6034735000;5912733333;6112733333;1398;1386
23;6034763000;5912733333;6112733333;1400;1388
24;6034958000;5912733333;6112733333;1398;1386
25;6034978000;5912733333;6112733333;1400;1388
26;6035213000;5912733333;6112733333;1400;1388
27;6035233000;5912733333;6112733333;1398;1386
28;6035457000;5912733333;6112733333;1400;1388
29;6035477000;5912733333;6112733333;1398;1386
30;6035716000;5912733333;6112733333;1400;1388
31;6035738000;5912733333;6112733333;1400;1388
32;6035743000;5912733333;6112733333;982;970
33;6076390000;5954366666;6154366666;1398;1386
34;6076406000;5954366666;6154366666;1400;1388
35;6076612000;5954366666;6154366666;1398;1386
36;6076632000;5954366666;6154366666;1400;1388
37;6076843000;5954366666;6154366666;1400;1388
38;6076853000;5954366666;6154366666;1398;1386
39;6077115000;5954366666;6154366666;1400;1388
40;6077135000;5954366666;6154366666;1398;1386
41;6077332000;5954366666;6154366666;1400;1388
42;6077355000;5954366666;6154366666;1400;1388
43;6077591000;5954366666;6154366666;982;970
44;6118077000;5996022222;6196022222;1398;1386
45;6118103000;5996022222;6196022222;1400;1388
46;6118301000;5996022222;6196022222;1398;1386
47;6118321000;5996022222;6196022222;1400;1388
48;6118559000;5996022222;6196022222;1400;1388
49;6118579000;5996022222;6196022222;1398;1386
50;6118810000;5996022222;6196022222;1400;1388
