seqnum;now;rtptime;deadline;packet_len;payload_len
0;7100607000;6968733333;7168733333;1398;1386
1;7100661000;6968733333;7168733333;1400;1388
0;7100835000;6968733333;7168733333;1398;1386
1;7100857000;6968733333;7168733333;1400;1388
2;7100911000;6968733333;7168733333;1398;1386
3;7100928000;6968733333;7168733333;1400;1388
2;7101114000;6968733333;7168733333;1398;1386
3;7101127000;6968733333;7168733333;1400;1388
4;7101142000;6968733333;7168733333;1400;1388
5;7101165000;6968733333;7168733333;1398;1386
6;7101328000;6968733333;7168733333;1400;1388
4;7101347000;6968733333;7168733333;1400;1388
7;7101365000;6968733333;7168733333;1398;1386
5;7101380000;6968733333;7168733333;1398;1386
8;7101490000;6968733333;7168733333;1400;1388
6;7101570000;6968733333;7168733333;1400;1388
7;7101585000;6968733333;7168733333;1398;1386
9;7101698000;6968733333;7168733333;1400;1388
10;7101712000;6968733333;7168733333;982;970
8;7101820000;6968733333;7168733333;1400;1388
9;7101840000;6968733333;7168733333;1400;1388
10;7102060000;6968733333;7168733333;982;970
11;7142223000;7000522222;7200522222;1398;1386
12;7142393000;7000522222;7200522222;1400;1388
13;7142402000;7000522222;7200522222;1398;1386
11;7142542000;7000522222;7200522222;1398;1386
12;7142552000;7000522222;7200522222;1400;1388
14;7142578000;7000522222;7200522222;1400;1388
13;7142795000;7000522222;7200522222;1398;1386
15;7142814000;7000522222;7200522222;1400;1388
16;7142828000;7000522222;7200522222;1398;1386
14;7142845000;7000522222;7200522222;1400;1388
17;7143008000;7000522222;7200522222;1400;1388
15;7143022000;7000522222;7200522222;1400;1388
18;7143035000;7000522222;7200522222;1398;1386
16;7143075000;7000522222;7200522222;1398;1386
19;7143215000;7000522222;7200522222;1400;1388
20;7143223000;7000522222;7200522222;1400;1388
17;7143290000;7000522222;7200522222;1400;1388
18;7143300000;7000522222;7200522222;1398;1386
21;7143425000;7000522222;7200522222;982;970
19;7143541000;7000522222;7200522222;1400;1388
20;7143550000;7000522222;7200522222;1400;1388
21;7143554000;7000522222;7200522222;982;970
22;7183881000;7042244444;7242244444;1398;1386
23;7184052000;7042244444;7242244444;1400;1388
24;7184065000;7042244444;7242244444;1398;1386
22;7184211000;7042244444;7242244444;1398;1386
23;7184221000;7042244444;7242244444;1400;1388
25;7184245000;7042244444;7242244444;1400;1388
24;7184449000;7042244444;7242244444;1398;1386
25;7184458000;7042244444;7242244444;1400;1388
26;7184469000;7042244444;7242244444;1400;1388
27;7184484000;7042244444;7242244444;1398;1386
28;7184680000;7042244444;7242244444;1400;1388
26;7184695000;7042244444;7242244444;1400;1388
29;7184712000;7042244444;7242244444;1398;1386
27;7184727000;7042244444;7242244444;1398;1386
30;7184885000;7042244444;7242244444;1400;1388
31;7184907000;7042244444;7242244444;1400;1388
28;7184942000;7042244444;7242244444;1400;1388
29;7184961000;7042244444;7242244444;1398;1386
32;7185087000;7042244444;7242244444;982;970
30;7185221000;7042244444;7242244444;1400;1388
31;7185229000;7042244444;7242244444;1400;1388
32;7185233000;7042244444;7242244444;982;970
33;7225547000;7083833333;7283833333;1398;1386
34;7225721000;7083833333;7283833333;1400;1388
35;7225730000;7083833333;7283833333;1398;1386
33;7225878000;7083833333;7283833333;1398;1386
34;7225888000;7083833333;7283833333;1400;1388
36;7225903000;7083833333;7283833333;1400;1388
35;7226116000;7083833333;7283833333;1398;1386
37;7226140000;7083833333;7283833333;1400;1388
36;7226176000;7083833333;7283833333;1400;1388
40;7226202000;7083833333;7283833333;1398;1386
41;7226308000;7083833333;7283833333;1400;1388
42;7226323000;7083833333;7283833333;1400;1388
37;7226380000;7083833333;7283833333;1400;1388
38;7226389000;7083833333;7283833333;1398;1386
43;7226554000;7083833333;7283833333;982;970
39;7226609000;7083833333;7283833333;1400;1388
40;7226631000;7083833333;7283833333;1398;1386
41;7226859000;7083833333;7283833333;1400;1388
42;7226868000;7083833333;7283833333;1400;1388
43;7227102000;7083833333;7283833333;982;970
44;7267228000;7125500000;7325500000;1398;1386
45;7267391000;7125500000;7325500000;1400;1388
46;7267403000;7125500000;7325500000;1398;1386
44;7267550000;7125500000;7325500000;1398;1386
45;7267560000;7125500000;7325500000;1400;1388
47;7267618000;7125500000;7325500000;1400;1388
46;7267797000;7125500000;7325500000;1398;1386
48;7267831000;7125500000;7325500000;1400;1388
49;7267862000;7125500000;7325500000;1398;1386
47;7267916000;7125500000;7325500000;1400;1388
50;7268054000;7125500000;7325500000;1400;1388
48;7268071000;7125500000;7325500000;1400;1388
51;7268098000;7125500000;7325500000;1398;1386
49;7268192000;7125500000;7325500000;1398;1386
52;7268260000;7125500000;7325500000;1400;1388
53;7268275000;7125500000;7325500000;1400;1388
50;7268310000;7125500000;7325500000;1400;1388
51;7268321000;7125500000;7325500000;1398;1386
54;7268404000;7125500000;7325500000;982;970
52;7268549000;7125500000;7325500000;1400;1388
53;7268558000;7125500000;7325500000;1400;1388
54;7268562000;7125500000;7325500000;982;970
55;7308883000;7167166666;7367166666;1398;1386
56;7309051000;7167166666;7367166666;1400;1388
57;7309063000;7167166666;7367166666;1398;1386
55;7309209000;7167166666;7367166666;1398;1386
56;7309220000;7167166666;7367166666;1400;1388
58;7309263000;7167166666;7367166666;1400;1388
57;7309454000;7167166666;7367166666;1398;1386
59;7309478000;7167166666;7367166666;1400;1388
60;7309504000;7167166666;7367166666;1398;1386
58;7309620000;7167166666;7367166666;1400;1388
59;7309651000;7167166666;7367166666;1400;1388
60;7309656000;7167166666;7367166666;1398;1386
61;7309686000;7167166666;7367166666;1400;1388
62;7309701000;7167166666;7367166666;1398;1386
63;7309856000;7167166666;7367166666;1400;1388
61;7309906000;7167166666;7367166666;1400;1388
62;7309922000;7167166666;7367166666;1398;1386
64;7310072000;7167166666;7367166666;1400;1388
65;7310094000;7167166666;7367166666;982;970
63;7310146000;7167166666;7367166666;1400;1388
64;7310159000;7167166666;7367166666;1400;1388
65;7310429000;7167166666;7367166666;982;970
66;7350560000;7208800000;7408800000;1398;1386
67;7350741000;7208800000;7408800000;1400;1388
68;7350753000;7208800000;7408800000;1398;1386
66;7350896000;7208800000;7408800000;1398;1386
67;7350906000;7208800000;7408800000;1400;1388
69;7350950000;7208800000;7408800000;1400;1388
68;7351135000;7208800000;7408800000;1398;1386
70;7351165000;7208800000;7408800000;1400;1388
71;7351189000;7208800000;7408800000;1398;1386
69;7351229000;7208800000;7408800000;1400;1388
72;7351362000;7208800000;7408800000;1400;1388
70;7351389000;7208800000;7408800000;1400;1388
73;7351413000;7208800000;7408800000;1398;1386
71;7351501000;7208800000;7408800000;1398;1386
74;7351585000;7208800000;7408800000;1400;1388
75;7351608000;7208800000;7408800000;1400;1388
72;7351640000;7208800000;7408800000;1400;1388
73;7351661000;7208800000;7408800000;1398;1386
76;7351766000;7208800000;7408800000;982;970
74;7351873000;7208800000;7408800000;1400;1388
75;7351882000;7208800000;7408800000;1400;1388
76;7352107000;7208800000;7408800000;982;970
77;7392199000;7250600000;7450600000;1398;1386
78;7392394000;7250600000;7450600000;1400;1388
79;7392406000;7250600000;7450600000;1398;1386
77;7392540000;7250600000;7450600000;1398;1386
78;7392550000;7250600000;7450600000;1400;1388
80;7392595000;7250600000;7450600000;1400;1388
79;7392786000;7250600000;7450600000;1398;1386
81;7392811000;7250600000;7450600000;1400;1388
80;7392823000;7250600000;7450600000;1400;1388
82;7392852000;7250600000;7450600000;1398;1386
81;7392976000;7250600000;7450600000;1400;1388
82;7392983000;7250600000;7450600000;1398;1386
83;7392996000;7250600000;7450600000;1400;1388
84;7393019000;7250600000;7450600000;1398;1386
85;7393192000;7250600000;7450600000;1400;1388
83;7393234000;7250600000;7450600000;1400;1388
84;7393239000;7250600000;7450600000;1398;1386
86;7393417000;7250600000;7450600000;1400;1388
87;7393439000;7250600000;7450600000;982;970
85;7393535000;7250600000;7450600000;1400;1388
86;7393544000;7250600000;7450600000;1400;1388
87;7393548000;7250600000;7450600000;982;970
88;7433877000;7292177777;7492177777;1398;1386
89;7434050000;7292177777;7492177777;1400;1388
90;7434059000;7292177777;7492177777;1398;1386
88;7434189000;7292177777;7492177777;1398;1386
89;7434199000;7292177777;7492177777;1400;1388
91;7434266000;7292177777;7492177777;1400;1388
90;7434460000;7292177777;7492177777;1398;1386
92;7434474000;7292177777;7492177777;1400;1388
93;7434485000;7292177777;7492177777;1398;1386
91;7434494000;7292177777;7492177777;1400;1388
94;7434686000;7292177777;7492177777;1400;1388
92;7434701000;7292177777;7492177777;1400;1388
93;7434723000;7292177777;7492177777;1398;1386
95;7434778000;7292177777;7492177777;1398;1386
96;7434870000;7292177777;7492177777;1400;1388
97;7434878000;7292177777;7492177777;1400;1388
94;7434961000;7292177777;7492177777;1400;1388
95;7434970000;7292177777;7492177777;1398;1386
98;7435077000;7292177777;7492177777;982;970
96;7435238000;7292177777;7492177777;1400;1388
97;7435248000;7292177777;7492177777;1400;1388
98;7435441000;7292177777;7492177777;982;970
99;7475536000;7333800000;7533800000;1398;1386
100;7475717000;7333800000;7533800000;1400;1388
99;7475832000;7333800000;7533800000;1398;1386
101;7475947000;7333800000;7533800000;1398;1386
102;7475956000;7333800000;7533800000;1400;1388
100;7476075000;7333800000;7533800000;1400;1388
101;7476095000;7333800000;7533800000;1398;1386
103;7476163000;7333800000;7533800000;1400;1388
104;7476181000;7333800000;7533800000;1398;1386
102;7476366000;7333800000;7533800000;1400;1388
103;7476386000;7333800000;7533800000;1400;1388
104;7476402000;7333800000;7533800000;1398;1386
105;7476430000;7333800000;7533800000;1400;1388
106;7476452000;7333800000;7533800000;1398;1386
107;7476559000;7333800000;7533800000;1400;1388
108;7476580000;7333800000;7533800000;1400;1388
105;7476605000;7333800000;7533800000;1400;1388
106;7476625000;7333800000;7533800000;1398;1386
109;7476719000;7333800000;7533800000;982;970
107;7476826000;7333800000;7533800000;1400;1388
108;7476833000;7333800000;7533800000;1400;1388
109;7477094000;7333800000;7533800000;982;970
110;7517174000;7375455555;7575455555;1398;1386
111;7517344000;7375455555;7575455555;1400;1388
110;7517531000;7375455555;7575455555;1398;1386
111;7517553000;7375455555;7575455555;1400;1388
112;7517632000;7375455555;7575455555;1398;1386
113;7517641000;7375455555;7575455555;1400;1388
112;7517802000;7375455555;7575455555;1398;1386
114;7517833000;7375455555;7575455555;1400;1388
113;7517853000;7375455555;7575455555;1400;1388
115;7517939000;7375455555;7575455555;1398;1386
116;7517985000;7375455555;7575455555;1400;1388
117;7517991000;7375455555;7575455555;1398;1386
114;7518113000;7375455555;7575455555;1400;1388
115;7518138000;7375455555;7575455555;1398;1386
118;7518235000;7375455555;7575455555;1400;1388
119;7518244000;7375455555;7575455555;1400;1388
116;7518291000;7375455555;7575455555;1400;1388
117;7518304000;7375455555;7575455555;1398;1386
120;7518429000;7375455555;7575455555;982;970
118;7518524000;7375455555;7575455555;1400;1388
119;7518533000;7375455555;7575455555;1400;1388
120;7518785000;7375455555;7575455555;982;970
121;7558864000;7417155555;7617155555;1398;1386
122;7559052000;7417155555;7617155555;1400;1388
123;7559071000;7417155555;7617155555;1398;1386
121;7559197000;7417155555;7617155555;1398;1386
122;7559219000;7417155555;7617155555;1400;1388
124;7559282000;7417155555;7617155555;1400;1388
123;7559454000;7417155555;7617155555;1398;1386
125;7559482000;7417155555;7617155555;1400;1388
124;7559502000;7417155555;7617155555;1400;1388
126;7559562000;7417155555;7617155555;1398;1386
127;7559679000;7417155555;7617155555;1400;1388
125;7559698000;7417155555;7617155555;1400;1388
126;7559731000;7417155555;7617155555;1398;1386
128;7559773000;7417155555;7617155555;1398;1386
129;7559882000;7417155555;7617155555;1400;1388
130;7559902000;7417155555;7617155555;1400;1388
127;7559952000;7417155555;7617155555;1400;1388
128;7559974000;7417155555;7617155555;1398;1386
131;7560079000;7417155555;7617155555;982;970
129;7560160000;7417155555;7617155555;1400;1388
130;7560169000;7417155555;7617155555;1400;1388
131;7560442000;7417155555;7617155555;982;970
132;7600538000;7458800000;7658800000;1398;1386
133;7600725000;7458800000;7658800000;1400;1388
134;7600745000;7458800000;7658800000;1398;1386
132;7600866000;7458800000;7658800000;1398;1386
133;7600889000;7458800000;7658800000;1400;1388
135;7600940000;7458800000;7658800000;1400;1388
134;7601115000;7458800000;7658800000;1398;1386
136;7601143000;7458800000;7658800000;1400;1388
135;7601163000;7458800000;7658800000;1400;1388
137;7601249000;7458800000;7658800000;1398;1386
137;7601355000;7458800000;7658800000;1398;1386
138;7601378000;7458800000;7658800000;1400;1388
139;7601390000;7458800000;7658800000;1398;1386
138;7601413000;7458800000;7658800000;1400;1388
140;7601573000;7458800000;7658800000;1400;1388
141;7601582000;7458800000;7658800000;1400;1388
139;7601626000;7458800000;7658800000;1398;1386
140;7601639000;7458800000;7658800000;1400;1388
142;7601763000;7458800000;7658800000;982;970
141;7601846000;7458800000;7658800000;1400;1388
142;7601855000;7458800000;7658800000;982;970
143;7642200000;7500455555;7700455555;1398;1386
144;7642397000;7500455555;7700455555;1400;1388
145;7642417000;7500455555;7700455555;1398;1386
143;7642543000;7500455555;7700455555;1398;1386
144;7642576000;7500455555;7700455555;1400;1388
146;7642609000;7500455555;7700455555;1400;1388
145;7642813000;7500455555;7700455555;1398;1386
147;7642845000;7500455555;7700455555;1400;1388
146;7642860000;7500455555;7700455555;1400;1388
148;7642930000;7500455555;7700455555;1398;1386
149;7642992000;7500455555;7700455555;1400;1388
150;7643000000;7500455555;7700455555;1398;1386
147;7643031000;7500455555;7700455555;1400;1388
148;7643052000;7500455555;7700455555;1398;1386
151;7643230000;7500455555;7700455555;1400;1388
152;7643239000;7500455555;7700455555;1400;1388
149;7643290000;7500455555;7700455555;1400;1388
150;7643303000;7500455555;7700455555;1398;1386
153;7643433000;7500455555;7700455555;982;970
151;7643530000;7500455555;7700455555;1400;1388
152;7643539000;7500455555;7700455555;1400;1388
153;7643794000;7500455555;7700455555;982;970
154;7683864000;7542166666;7742166666;1398;1386
155;7684053000;7542166666;7742166666;1400;1388
156;7684072000;7542166666;7742166666;1398;1386
154;7684199000;7542166666;7742166666;1398;1386
155;7684221000;7542166666;7742166666;1400;1388
157;7684283000;7542166666;7742166666;1400;1388
156;7684454000;7542166666;7742166666;1398;1386
158;7684481000;7542166666;7742166666;1400;1388
157;7684502000;7542166666;7742166666;1400;1388
159;7684564000;7542166666;7742166666;1398;1386
158;7684668000;7542166666;7742166666;1400;1388
160;7684708000;7542166666;7742166666;1400;1388
159;7684724000;7542166666;7742166666;1398;1386
161;7684810000;7542166666;7742166666;1398;1386
162;7684852000;7542166666;7742166666;1400;1388
160;7684950000;7542166666;7742166666;1400;1388
161;7684962000;7542166666;7742166666;1398;1386
163;7685080000;7542166666;7742166666;1400;1388
164;7685090000;7542166666;7742166666;982;970
162;7685166000;7542166666;7742166666;1400;1388
163;7685174000;7542166666;7742166666;1400;1388
164;7685425000;7542166666;7742166666;982;970
165;7725540000;7583811111;7783811111;1398;1386
166;7725723000;7583811111;7783811111;1400;1388
167;7725743000;7583811111;7783811111;1398;1386
165;7725846000;7583811111;7783811111;1398;1386
166;7725868000;7583811111;7783811111;1400;1388
168;7725948000;7583811111;7783811111;1400;1388
167;7726102000;7583811111;7783811111;1398;1386
168;7726122000;7583811111;7783811111;1400;1388
169;7726138000;7583811111;7783811111;1400;1388
170;7726147000;7583811111;7783811111;1398;1386
169;7726312000;7583811111;7783811111;1400;1388
171;7726334000;7583811111;7783811111;1400;1388
170;7726355000;7583811111;7783811111;1398;1386
172;7726407000;7583811111;7783811111;1398;1386
173;7726530000;7583811111;7783811111;1400;1388
171;7726572000;7583811111;7783811111;1400;1388
172;7726591000;7583811111;7783811111;1398;1386
174;7726737000;7583811111;7783811111;1400;1388
175;7726757000;7583811111;7783811111;982;970
173;7726831000;7583811111;7783811111;1400;1388
174;7726847000;7583811111;7783811111;1400;1388
175;7727056000;7583811111;7783811111;982;970
176;7767199000;7625466666;7825466666;1398;1386
177;7767394000;7625466666;7825466666;1400;1388
178;7767414000;7625466666;7825466666;1398;1386
176;7767561000;7625466666;7825466666;1398;1386
177;7767584000;7625466666;7825466666;1400;1388
179;7767623000;7625466666;7825466666;1400;1388
178;7767810000;7625466666;7825466666;1398;1386
179;7767834000;7625466666;7825466666;1400;1388
180;7767886000;7625466666;7825466666;1400;1388
181;7767909000;7625466666;7825466666;1398;1386
182;7768044000;7625466666;7825466666;1400;1388
183;7768054000;7625466666;7825466666;1398;1386
180;7768080000;7625466666;7825466666;1400;1388
181;7768103000;7625466666;7825466666;1398;1386
186;7768228000;7625466666;7825466666;982;970
182;7768290000;7625466666;7825466666;1400;1388
183;7768299000;7625466666;7825466666;1398;1386
184;7768553000;7625466666;7825466666;1400;1388
185;7768581000;7625466666;7825466666;1400;1388
186;7768600000;7625466666;7825466666;982;970
187;7808875000;7667144444;7867144444;1398;1386
188;7809062000;7667144444;7867144444;1400;1388
189;7809070000;7667144444;7867144444;1398;1386
187;7809203000;7667144444;7867144444;1398;1386
188;7809212000;7667144444;7867144444;1400;1388
190;7809283000;7667144444;7867144444;1400;1388
189;7809460000;7667144444;7867144444;1398;1386
191;7809476000;7667144444;7867144444;1400;1388
192;7809495000;7667144444;7867144444;1398;1386
190;7809550000;7667144444;7867144444;1400;1388
193;7809697000;7667144444;7867144444;1400;1388
191;7809711000;7667144444;7867144444;1400;1388
194;7809725000;7667144444;7867144444;1398;1386
192;7809738000;7667144444;7867144444;1398;1386
195;7809893000;7667144444;7867144444;1400;1388
196;7809911000;7667144444;7867144444;1400;1388
193;7809947000;7667144444;7867144444;1400;1388
194;7809956000;7667144444;7867144444;1398;1386
197;7810089000;7667144444;7867144444;982;970
195;7810205000;7667144444;7867144444;1400;1388
196;7810214000;7667144444;7867144444;1400;1388
197;7810451000;7667144444;7867144444;982;970
198;7850534000;7708811111;7908811111;1398;1386
199;7850707000;7708811111;7908811111;1400;1388
198;7850834000;7708811111;7908811111;1398;1386
200;7850955000;7708811111;7908811111;1398;1386
201;7850963000;7708811111;7908811111;1400;1388
199;7851119000;7708811111;7908811111;1400;1388
202;7851146000;7708811111;7908811111;1400;1388
200;7851163000;7708811111;7908811111;1398;1386
203;7851179000;7708811111;7908811111;1398;1386
201;7851190000;7708811111;7908811111;1400;1388
202;7851317000;7708811111;7908811111;1400;1388
203;7851322000;7708811111;7908811111;1398;1386
204;7851337000;7708811111;7908811111;1400;1388
205;7851346000;7708811111;7908811111;1398;1386
206;7851546000;7708811111;7908811111;1400;1388
207;7851566000;7708811111;7908811111;1400;1388
204;7851607000;7708811111;7908811111;1400;1388
205;7851629000;7708811111;7908811111;1398;1386
208;7851764000;7708811111;7908811111;982;970
206;7851848000;7708811111;7908811111;1400;1388
207;7851857000;7708811111;7908811111;1400;1388
208;7852103000;7708811111;7908811111;982;970
209;7892198000;7750466666;7950466666;1398;1386
210;7892393000;7750466666;7950466666;1400;1388
211;7892413000;7750466666;7950466666;1398;1386
209;7892536000;7750466666;7950466666;1398;1386
210;7892559000;7750466666;7950466666;1400;1388
212;7892605000;7750466666;7950466666;1400;1388
211;7892792000;7750466666;7950466666;1398;1386
213;7892819000;7750466666;7950466666;1400;1388
212;7892836000;7750466666;7950466666;1400;1388
214;7892871000;7750466666;7950466666;1398;1386
213;7893018000;7750466666;7950466666;1400;1388
215;7893048000;7750466666;7950466666;1400;1388
214;7893066000;7750466666;7950466666;1398;1386
216;7893151000;7750466666;7950466666;1398;1386
217;7893193000;7750466666;7950466666;1400;1388
215;7893291000;7750466666;7950466666;1400;1388
216;7893304000;7750466666;7950466666;1398;1386
218;7893414000;7750466666;7950466666;1400;1388
219;7893424000;7750466666;7950466666;982;970
217;7893535000;7750466666;7950466666;1400;1388
218;7893544000;7750466666;7950466666;1400;1388
219;7893548000;7750466666;7950466666;982;970
220;7933875000;7792177777;7992177777;1398;1386
221;7934053000;7792177777;7992177777;1400;1388
222;7934073000;7792177777;7992177777;1398;1386
220;7934204000;7792177777;7992177777;1398;1386
221;7934226000;7792177777;7992177777;1400;1388
223;7934273000;7792177777;7992177777;1400;1388
222;7934474000;7792177777;7992177777;1398;1386
223;7934537000;7792177777;7992177777;1400;1388
224;7934565000;7792177777;7992177777;1400;1388
225;7934589000;7792177777;7992177777;1398;1386
226;7934655000;7792177777;7992177777;1400;1388
224;7934669000;7792177777;7992177777;1400;1388
227;7934696000;7792177777;7992177777;1398;1386
225;7934710000;7792177777;7992177777;1398;1386
228;7934866000;7792177777;7992177777;1400;1388
226;7934935000;7792177777;7992177777;1400;1388
227;7934954000;7792177777;7992177777;1398;1386
229;7935092000;7792177777;7992177777;1400;1388
230;7935101000;7792177777;7992177777;982;970
228;7935185000;7792177777;7992177777;1400;1388
229;7935193000;7792177777;7992177777;1400;1388
230;7935455000;7792177777;7992177777;982;970
231;7975538000;7833800000;8033800000;1398;1386
232;7975726000;7833800000;8033800000;1400;1388
233;7975746000;7833800000;8033800000;1398;1386
231;7975854000;7833800000;8033800000;1398;1386
232;7975877000;7833800000;8033800000;1400;1388
234;7975956000;7833800000;8033800000;1400;1388
233;7976110000;7833800000;8033800000;1398;1386
234;7976131000;7833800000;8033800000;1400;1388
235;7976147000;7833800000;8033800000;1400;1388
236;7976157000;7833800000;8033800000;1398;1386
237;7976348000;7833800000;8033800000;1400;1388
235;7976364000;7833800000;8033800000;1400;1388
238;7976390000;7833800000;8033800000;1398;1386
236;7976406000;7833800000;8033800000;1398;1386
239;7976531000;7833800000;8033800000;1400;1388
237;7976582000;7833800000;8033800000;1400;1388
238;7976600000;7833800000;8033800000;1398;1386
240;7976738000;7833800000;8033800000;1400;1388
241;7976759000;7833800000;8033800000;982;970
