seqnum;now;rtptime;deadline;packet_len;payload_len
0;4984029000;4891922222;5091922222;1398;1386
1;4984068000;4891922222;5091922222;1400;1388
0;4984222000;4891922222;5091922222;1398;1386
1;4984243000;4891922222;5091922222;1400;1388
2;4984283000;4891922222;5091922222;1398;1386
3;4984292000;4891922222;5091922222;1400;1388
2;4984476000;4891922222;5091922222;1398;1386
4;4984507000;4891922222;5091922222;1400;1388
3;4984547000;4891922222;5091922222;1400;1388
5;4984571000;4891922222;5091922222;1398;1386
6;4984691000;4891922222;5091922222;1400;1388
4;4984719000;4891922222;5091922222;1400;1388
5;4984742000;4891922222;5091922222;1398;1386
7;4984784000;4891922222;5091922222;1398;1386
8;4984893000;4891922222;5091922222;1400;1388
9;4984917000;4891922222;5091922222;1400;1388
6;4984948000;4891922222;5091922222;1400;1388
7;4984957000;4891922222;5091922222;1398;1386
10;4985096000;4891922222;5091922222;982;970
8;4985186000;4891922222;5091922222;1400;1388
9;4985210000;4891922222;5091922222;1400;1388
10;4985481000;4891922222;5091922222;982;970
11;5025550000;4923922222;5123922222;1398;1386
12;5025732000;4923922222;5123922222;1400;1388
13;5025740000;4923922222;5123922222;1398;1386
11;5025877000;4923922222;5123922222;1398;1386
12;5025887000;4923922222;5123922222;1400;1388
14;5025917000;4923922222;5123922222;1400;1388
13;5026106000;4923922222;5123922222;1398;1386
14;5026112000;4923922222;5123922222;1400;1388
15;5026132000;4923922222;5123922222;1400;1388
16;5026140000;4923922222;5123922222;1398;1386
17;5026342000;4923922222;5123922222;1400;1388
15;5026352000;4923922222;5123922222;1400;1388
18;5026364000;4923922222;5123922222;1398;1386
16;5026371000;4923922222;5123922222;1398;1386
19;5026527000;4923922222;5123922222;1400;1388
17;5026597000;4923922222;5123922222;1400;1388
18;5026607000;4923922222;5123922222;1398;1386
20;5026741000;4923922222;5123922222;1400;1388
21;5026760000;4923922222;5123922222;982;970
19;5026848000;4923922222;5123922222;1400;1388
21;5026858000;4923922222;5123922222;982;970
22;5067224000;4965566666;5165566666;1398;1386
23;5067396000;4965566666;5165566666;1400;1388
24;5067416000;4965566666;5165566666;1398;1386
22;5067584000;4965566666;5165566666;1398;1386
25;5067598000;4965566666;5165566666;1400;1388
23;5067626000;4965566666;5165566666;1400;1388
24;5067807000;4965566666;5165566666;1398;1386
26;5067838000;4965566666;5165566666;1400;1388
28;5067858000;4965566666;5165566666;1400;1388
25;5067934000;4965566666;5165566666;1400;1388
29;5068024000;4965566666;5165566666;1398;1386
26;5068053000;4965566666;5165566666;1400;1388
27;5068073000;4965566666;5165566666;1398;1386
30;5068120000;4965566666;5165566666;1400;1388
31;5068214000;4965566666;5165566666;1400;1388
32;5068234000;4965566666;5165566666;982;970
28;5068316000;4965566666;5165566666;1400;1388
29;5068325000;4965566666;5165566666;1398;1386
30;5068561000;4965566666;5165566666;1400;1388
31;5068569000;4965566666;5165566666;1400;1388
32;5068573000;4965566666;5165566666;982;970
33;5108890000;5007188888;5207188888;1398;1386
34;5109046000;5007188888;5207188888;1400;1388
33;5109175000;5007188888;5207188888;1398;1386
35;5109246000;5007188888;5207188888;1398;1386
36;5109254000;5007188888;5207188888;1400;1388
34;5109464000;5007188888;5207188888;1400;1388
35;5109476000;5007188888;5207188888;1398;1386
36;5109482000;5007188888;5207188888;1400;1388
37;5109524000;5007188888;5207188888;1400;1388
38;5109536000;5007188888;5207188888;1398;1386
37;5109685000;5007188888;5207188888;1400;1388
38;5109705000;5007188888;5207188888;1398;1386
39;5109751000;5007188888;5207188888;1400;1388
40;5109763000;5007188888;5207188888;1398;1386
41;5109862000;5007188888;5207188888;1400;1388
39;5109943000;5007188888;5207188888;1400;1388
40;5109963000;5007188888;5207188888;1398;1386
42;5110084000;5007188888;5207188888;1400;1388
43;5110093000;5007188888;5207188888;982;970
41;5110161000;5007188888;5207188888;1400;1388
42;5110171000;5007188888;5207188888;1400;1388
43;5110407000;5007188888;5207188888;982;970
46;5150557000;5048844444;5248844444;1398;1386
47;5150720000;5048844444;5248844444;1400;1388
48;5150728000;5048844444;5248844444;1400;1388
44;5150866000;5048844444;5248844444;1398;1386
45;5150906000;5048844444;5248844444;1400;1388
